frame index,joint index,joint name,joint pos/angle,joint velocity,joint axis
0,0,lfemurrz,-0.35217777245517184,0.0,[  0.00000000e+00  -1.00000000e+00   1.70002901e-16]
0,1,lfemurry,-0.017815971938507716,0.0,[ -3.37133954e-01   1.63064007e-16   9.41456689e-01]
0,2,lfemurrx,-0.4890255484455433,0.0,[  9.41456689e-01   2.77555756e-17   3.37133954e-01]
0,3,ltibiarx,0.39091360987393398,0.0,[  9.41456689e-01   5.55111512e-17   3.37133954e-01]
0,4,lfootrz,0.23523547658379573,0.0,[ -3.37133954e-01   2.14021971e-16   9.41456689e-01]
0,5,lfootrx,-0.21136635373352133,0.0,[  9.41456689e-01   6.53358582e-17   3.37133954e-01]
0,6,ltoesrx,-0.17841977344362436,0.0,[  9.41456689e-01   6.53358582e-17   3.37133954e-01]
0,7,rfemurrz,0.52208557513681986,0.0,[  0.00000000e+00  -1.00000000e+00   1.70002901e-16]
0,8,rfemurry,0.034331324518429268,0.0,[  3.37133954e-01   1.63064007e-16   9.41456689e-01]
0,9,rfemurrx,0.28235413039988672,0.0,[  9.41456689e-01  -2.77555756e-17  -3.37133954e-01]
0,10,rtibiarx,0.20123995341345025,0.0,[  9.41456689e-01  -5.55111512e-17  -3.37133954e-01]
0,11,rfootrz,0.0161541392379288,0.0,[  3.37133954e-01   2.14021971e-16   9.41456689e-01]
0,12,rfootrx,-0.27870639226321858,0.0,[  9.41456689e-01  -6.53358582e-17  -3.37133954e-01]
0,13,rtoesrx,0.075635413931501083,0.0,[  9.41456689e-01  -6.53358582e-17  -3.37133954e-01]
0,14,lowerbackrz,0.11095232587853154,0.0,[  0.00000000e+00  -1.00000000e+00   2.22044605e-16]
0,15,lowerbackry,0.027449142211965222,0.0,[  0.00000000e+00   2.22044605e-16   1.00000000e+00]
0,16,lowerbackrx,0.13728288657289361,0.0,[ 1.  0.  0.]
0,17,upperbackrz,0.028917313178742854,0.0,[  0.00000000e+00  -1.00000000e+00   2.22044605e-16]
0,18,upperbackry,0.044545340366950487,0.0,[  0.00000000e+00   2.22044605e-16   1.00000000e+00]
0,19,upperbackrx,0.060607430940129096,0.0,[ 1.  0.  0.]
0,20,thoraxrz,-0.035871228517463875,0.0,[  0.00000000e+00  -1.00000000e+00   2.22044605e-16]
0,21,thoraxry,0.023028572282513982,0.0,[  0.00000000e+00   2.22044605e-16   1.00000000e+00]
0,22,thoraxrx,-0.010464872021910361,0.0,[ 1.  0.  0.]
0,23,lowerneckrz,0.018053336716778952,0.0,[  0.00000000e+00  -1.00000000e+00   2.22044605e-16]
0,24,lowerneckry,0.070983587876160603,0.0,[  0.00000000e+00   2.22044605e-16   1.00000000e+00]
0,25,lowerneckrx,-0.21799336890334381,0.0,[ 1.  0.  0.]
0,26,upperneckrz,-0.11182900476180829,0.0,[  0.00000000e+00  -1.00000000e+00   2.22044605e-16]
0,27,upperneckry,0.097955906136480961,0.0,[  0.00000000e+00   2.22044605e-16   1.00000000e+00]
0,28,upperneckrx,0.028236634770465067,0.0,[ 1.  0.  0.]
0,29,headrz,-0.033641570398041096,0.0,[  0.00000000e+00  -1.00000000e+00   2.22044605e-16]
