3.867221e-02 -6.155415e-01 2.764210e+00,3.835317e-02 -6.150467e-01 2.764017e+00,3.780923e-02 -6.145513e-01 2.763551e+00,3.621119e-02 -6.146351e-01 2.762645e+00,3.503345e-02 -6.140543e-01 2.761649e+00,3.296567e-02 -6.141626e-01 2.760481e+00,3.133372e-02 -6.133024e-01 2.759572e+00,2.927972e-02 -6.141342e-01 2.758752e+00,2.695882e-02 -6.141159e-01 2.757899e+00,2.596208e-02 -6.137072e-01 2.757471e+00,2.482097e-02 -6.145437e-01 2.756751e+00,2.406600e-02 -6.157154e-01 2.755997e+00,2.364994e-02 -6.157190e-01 2.755903e+00,2.329288e-02 -6.160558e-01 2.755736e+00,2.264154e-02 -6.165258e-01 2.755811e+00,2.223282e-02 -6.175150e-01 2.755881e+00,2.060254e-02 -6.234742e-01 2.757705e+00,2.096494e-02 -6.258932e-01 2.758328e+00,2.644426e-02 -6.312816e-01 2.760630e+00,2.403671e-02 -6.366877e-01 2.761696e+00,2.448510e-02 -6.371924e-01 2.761660e+00,2.424421e-02 -6.382085e-01 2.761693e+00,2.417250e-02 -6.383264e-01 2.761773e+00,2.378926e-02 -6.389595e-01 2.761705e+00,1.872241e-02 -6.386980e-01 2.762085e+00,1.560546e-02 -6.334348e-01 2.761362e+00,1.505559e-02 -6.280106e-01 2.761865e+00,1.494530e-02 -6.271452e-01 2.761655e+00,1.567675e-02 -6.224255e-01 2.761419e+00,1.601426e-02 -6.211624e-01 2.760877e+00,1.636470e-02 -6.193883e-01 2.760187e+00,1.529272e-02 -6.174240e-01 2.759686e+00,1.538673e-02 -6.174309e-01 2.759690e+00,1.667428e-02 -6.179160e-01 2.759593e+00,1.707659e-02 -6.177443e-01 2.759582e+00,1.720403e-02 -6.174880e-01 2.759576e+00,1.861463e-02 -6.171879e-01 2.759565e+00,1.884431e-02 -6.168693e-01 2.759588e+00,1.989378e-02 -6.159124e-01 2.759686e+00,2.036042e-02 -6.160762e-01 2.760575e+00,2.085145e-02 -6.159698e-01 2.761482e+00,2.357897e-02 -6.147583e-01 2.763346e+00,2.361070e-02 -6.147588e-01 2.763404e+00,2.512516e-02 -6.155356e-01 2.764262e+00
4.241010e-02 -3.296504e-01 2.775729e+00,4.214243e-02 -3.295783e-01 2.775548e+00,4.212165e-02 -3.295165e-01 2.775505e+00,4.116991e-02 -3.292082e-01 2.774959e+00,4.041059e-02 -3.289171e-01 2.774868e+00,3.951555e-02 -3.286470e-01 2.773928e+00,3.902669e-02 -3.285101e-01 2.773637e+00,3.808844e-02 -3.286153e-01 2.773287e+00,3.712143e-02 -3.285528e-01 2.772662e+00,3.672371e-02 -3.283870e-01 2.772482e+00,3.636693e-02 -3.285012e-01 2.771899e+00,3.637698e-02 -3.286290e-01 2.771382e+00,3.620267e-02 -3.285540e-01 2.771343e+00,3.516919e-02 -3.286524e-01 2.771487e+00,3.487914e-02 -3.280088e-01 2.771625e+00,3.354839e-02 -3.282068e-01 2.772170e+00,3.073000e-02 -3.296399e-01 2.772899e+00,3.030061e-02 -3.300007e-01 2.773077e+00,3.077156e-02 -3.306593e-01 2.773772e+00,2.986475e-02 -3.337853e-01 2.776268e+00,2.994816e-02 -3.343188e-01 2.776688e+00,2.926264e-02 -3.354045e-01 2.777128e+00,2.900071e-02 -3.356248e-01 2.777487e+00,2.865730e-02 -3.362696e-01 2.777841e+00,2.752692e-02 -3.368627e-01 2.778291e+00,2.663310e-02 -3.359183e-01 2.777296e+00,2.652854e-02 -3.347003e-01 2.776615e+00,2.633259e-02 -3.344785e-01 2.776517e+00,2.592688e-02 -3.326797e-01 2.775644e+00,2.593900e-02 -3.322191e-01 2.774521e+00,2.582822e-02 -3.315683e-01 2.773512e+00,2.513622e-02 -3.301299e-01 2.771860e+00,2.520891e-02 -3.300446e-01 2.771696e+00,2.606836e-02 -3.303043e-01 2.771086e+00,2.609847e-02 -3.302609e-01 2.771260e+00,2.630530e-02 -3.299733e-01 2.771161e+00,2.641068e-02 -3.298627e-01 2.771077e+00,2.647754e-02 -3.297151e-01 2.771058e+00,2.692107e-02 -3.293455e-01 2.771198e+00,2.697008e-02 -3.294432e-01 2.771511e+00,2.742879e-02 -3.293726e-01 2.772166e+00,2.857926e-02 -3.285725e-01 2.773589e+00,2.854463e-02 -3.285652e-01 2.773686e+00,2.894332e-02 -3.286676e-01 2.774242e+00
4.558370e-02 -4.913581e-02 2.774523e+00,4.526229e-02 -4.931960e-02 2.774274e+00,4.551538e-02 -4.932639e-02 2.774384e+00,4.493099e-02 -4.861176e-02 2.774037e+00,4.432275e-02 -4.841189e-02 2.774657e+00,4.439747e-02 -4.792083e-02 2.773949e+00,4.440761e-02 -4.797314e-02 2.773944e+00,4.431190e-02 -4.787499e-02 2.773938e+00,4.440595e-02 -4.779828e-02 2.773737e+00,4.442333e-02 -4.777925e-02 2.773739e+00,4.496812e-02 -4.744232e-02 2.773242e+00,4.622033e-02 -4.695134e-02 2.772665e+00,4.628253e-02 -4.674073e-02 2.772743e+00,4.448289e-02 -4.622236e-02 2.773765e+00,4.538555e-02 -4.191988e-02 2.774468e+00,4.237275e-02 -4.138415e-02 2.776084e+00,3.822530e-02 -4.119704e-02 2.776131e+00,3.700252e-02 -4.042070e-02 2.776072e+00,3.622354e-02 -3.948818e-02 2.776491e+00,3.555141e-02 -3.980091e-02 2.779584e+00,3.521902e-02 -3.991286e-02 2.780361e+00,3.414537e-02 -4.030556e-02 2.780908e+00,3.364659e-02 -4.026124e-02 2.781476e+00,3.336710e-02 -4.057885e-02 2.782090e+00,3.399908e-02 -4.192708e-02 2.782390e+00,3.499298e-02 -4.290275e-02 2.780208e+00,3.603344e-02 -4.375646e-02 2.778167e+00,3.582508e-02 -4.402409e-02 2.778131e+00,3.498287e-02 -4.436915e-02 2.776720e+00,3.475178e-02 -4.552891e-02 2.774196e+00,3.431719e-02 -4.609735e-02 2.772713e+00,3.416822e-02 -4.576306e-02 2.770041e+00,3.421979e-02 -4.567205e-02 2.769702e+00,3.487208e-02 -4.611317e-02 2.768578e+00,3.438805e-02 -4.638836e-02 2.769725e+00,3.470827e-02 -4.618769e-02 2.769567e+00,3.427518e-02 -4.612673e-02 2.769353e+00,3.425923e-02 -4.614539e-02 2.769319e+00,3.434877e-02 -4.614531e-02 2.769469e+00,3.415327e-02 -4.641182e-02 2.769651e+00,3.446116e-02 -4.648350e-02 2.770080e+00,3.438010e-02 -4.618715e-02 2.771223e+00,3.409040e-02 -4.623381e-02 2.771445e+00,3.384769e-02 -4.612039e-02 2.771954e+00
5.605160e-02 6.277005e-02 2.780308e+00,5.612171e-02 6.203797e-02 2.780305e+00,5.580976e-02 6.211287e-02 2.780037e+00,5.495634e-02 6.236348e-02 2.779171e+00,5.492686e-02 6.229704e-02 2.779136e+00,5.478238e-02 6.225222e-02 2.778440e+00,5.481689e-02 6.218862e-02 2.778434e+00,5.522507e-02 6.177088e-02 2.778206e+00,5.504189e-02 6.233269e-02 2.777831e+00,5.541301e-02 6.243058e-02 2.777873e+00,5.553705e-02 6.226499e-02 2.777412e+00,5.500017e-02 6.287472e-02 2.777179e+00,5.313113e-02 6.356315e-02 2.777800e+00,5.153349e-02 6.430528e-02 2.777896e+00,4.677317e-02 6.649364e-02 2.780098e+00,4.511387e-02 6.767195e-02 2.781670e+00,4.570365e-02 6.556399e-02 2.785634e+00,4.743775e-02 6.347708e-02 2.788491e+00,5.016782e-02 6.187463e-02 2.791918e+00,5.254158e-02 5.741742e-02 2.797339e+00,5.338717e-02 5.748381e-02 2.799588e+00,5.161174e-02 5.697568e-02 2.800972e+00,5.151618e-02 5.700779e-02 2.801063e+00,5.178120e-02 5.756580e-02 2.801250e+00,5.242945e-02 5.945349e-02 2.799825e+00,5.036245e-02 6.184783e-02 2.796063e+00,4.963344e-02 6.235351e-02 2.794353e+00,4.756836e-02 6.275585e-02 2.792086e+00,4.168523e-02 6.375703e-02 2.787779e+00,4.149888e-02 6.417406e-02 2.786581e+00,4.110978e-02 6.512953e-02 2.784307e+00,4.130149e-02 6.539237e-02 2.782371e+00,4.158633e-02 6.577978e-02 2.781908e+00,4.208959e-02 6.589784e-02 2.779571e+00,4.255809e-02 6.574696e-02 2.778712e+00,4.254862e-02 6.585680e-02 2.778574e+00,4.263370e-02 6.611416e-02 2.778615e+00,4.266424e-02 6.598900e-02 2.778614e+00,4.264048e-02 6.603467e-02 2.778567e+00,4.261566e-02 6.540013e-02 2.778805e+00,4.270247e-02 6.522193e-02 2.779088e+00,4.287240e-02 6.531373e-02 2.779636e+00,4.292139e-02 6.548960e-02 2.779616e+00,4.304634e-02 6.504780e-02 2.780171e+00
-1.092725e-01 -1.515065e-01 2.752274e+00,-1.095239e-01 -1.514995e-01 2.752162e+00,-1.095694e-01 -1.513091e-01 2.751887e+00,-1.099246e-01 -1.514231e-01 2.751572e+00,-1.100213e-01 -1.514169e-01 2.751535e+00,-1.101385e-01 -1.513925e-01 2.750945e+00,-1.101659e-01 -1.512646e-01 2.750587e+00,-1.101585e-01 -1.510733e-01 2.750265e+00,-1.098047e-01 -1.509026e-01 2.749111e+00,-1.097676e-01 -1.508120e-01 2.748983e+00,-1.080531e-01 -1.498887e-01 2.748111e+00,-1.081383e-01 -1.498803e-01 2.748002e+00,-1.085075e-01 -1.497259e-01 2.748549e+00,-1.094217e-01 -1.502035e-01 2.749591e+00,-1.113742e-01 -1.513318e-01 2.752032e+00,-1.118954e-01 -1.519843e-01 2.753649e+00,-1.124845e-01 -1.530038e-01 2.756804e+00,-1.126510e-01 -1.527716e-01 2.757998e+00,-1.131766e-01 -1.534019e-01 2.759576e+00,-1.121735e-01 -1.542086e-01 2.761788e+00,-1.108040e-01 -1.567508e-01 2.766578e+00,-1.115395e-01 -1.570597e-01 2.767364e+00,-1.096392e-01 -1.578619e-01 2.767965e+00,-1.088814e-01 -1.582163e-01 2.768577e+00,-1.075283e-01 -1.572773e-01 2.770925e+00,-1.106601e-01 -1.568187e-01 2.769601e+00,-1.126372e-01 -1.558288e-01 2.766758e+00,-1.142804e-01 -1.563598e-01 2.764266e+00,-1.150371e-01 -1.523131e-01 2.760924e+00,-1.162491e-01 -1.534601e-01 2.759105e+00,-1.168480e-01 -1.534269e-01 2.757605e+00,-1.178457e-01 -1.530476e-01 2.754416e+00,-1.179887e-01 -1.529880e-01 2.753259e+00,-1.179093e-01 -1.531728e-01 2.750247e+00,-1.180760e-01 -1.532629e-01 2.749162e+00,-1.180954e-01 -1.530409e-01 2.748359e+00,-1.184660e-01 -1.533735e-01 2.747934e+00,-1.187398e-01 -1.536500e-01 2.747813e+00,-1.187201e-01 -1.536799e-01 2.747639e+00,-1.188789e-01 -1.536188e-01 2.747675e+00,-1.189385e-01 -1.535794e-01 2.747720e+00,-1.190156e-01 -1.535804e-01 2.748127e+00,-1.192564e-01 -1.532778e-01 2.748646e+00,-1.195306e-01 -1.530029e-01 2.749484e+00
-1.526147e-01 -3.904051e-01 2.754479e+00,-1.527508e-01 -3.899823e-01 2.754569e+00,-1.528684e-01 -3.895949e-01 2.754645e+00,-1.531483e-01 -3.884721e-01 2.754185e+00,-1.534267e-01 -3.877661e-01 2.754097e+00,-1.540602e-01 -3.865754e-01 2.753530e+00,-1.543698e-01 -3.872101e-01 2.753004e+00,-1.547314e-01 -3.876795e-01 2.752591e+00,-1.550967e-01 -3.875001e-01 2.751829e+00,-1.551189e-01 -3.868437e-01 2.751794e+00,-1.550246e-01 -3.853747e-01 2.751534e+00,-1.548429e-01 -3.863281e-01 2.751389e+00,-1.552431e-01 -3.869862e-01 2.751940e+00,-1.553299e-01 -3.864566e-01 2.753134e+00,-1.550733e-01 -3.866376e-01 2.755011e+00,-1.555147e-01 -3.887038e-01 2.755929e+00,-1.551618e-01 -3.909121e-01 2.757551e+00,-1.550892e-01 -3.926839e-01 2.758273e+00,-1.545215e-01 -3.985750e-01 2.758621e+00,-1.524710e-01 -4.005404e-01 2.758865e+00,-1.503410e-01 -4.019042e-01 2.760388e+00,-1.499100e-01 -4.046190e-01 2.765386e+00,-1.500012e-01 -4.046337e-01 2.770130e+00,-1.501210e-01 -4.058230e-01 2.771939e+00,-1.519705e-01 -4.048618e-01 2.775204e+00,-1.551769e-01 -4.017425e-01 2.775321e+00,-1.555306e-01 -4.012904e-01 2.774723e+00,-1.558772e-01 -4.009514e-01 2.773967e+00,-1.561773e-01 -4.004422e-01 2.772498e+00,-1.564590e-01 -4.001828e-01 2.771364e+00,-1.568362e-01 -3.963130e-01 2.769563e+00,-1.575850e-01 -3.970993e-01 2.767418e+00,-1.584397e-01 -3.977650e-01 2.765830e+00,-1.602730e-01 -3.994278e-01 2.761166e+00,-1.610591e-01 -3.989467e-01 2.759748e+00,-1.615896e-01 -3.991368e-01 2.758287e+00,-1.626370e-01 -3.990667e-01 2.755969e+00,-1.635518e-01 -3.992068e-01 2.754983e+00,-1.640266e-01 -3.988611e-01 2.754565e+00,-1.642754e-01 -3.988532e-01 2.754146e+00,-1.640999e-01 -3.971627e-01 2.754019e+00,-1.643507e-01 -3.964370e-01 2.754238e+00,-1.645937e-01 -3.970940e-01 2.754143e+00,-1.653857e-01 -3.973745e-01 2.754579e+00
-1.567319e-01 -5.853682e-01 2.679619e+00,-1.566675e-01 -5.849171e-01 2.679603e+00,-1.562838e-01 -5.843059e-01 2.678962e+00,-1.574483e-01 -5.834110e-01 2.679241e+00,-1.576169e-01 -5.828046e-01 2.679441e+00,-1.577593e-01 -5.818884e-01 2.679636e+00,-1.579695e-01 -5.825563e-01 2.679198e+00,-1.585616e-01 -5.830183e-01 2.678782e+00,-1.597109e-01 -5.829028e-01 2.678279e+00,-1.607164e-01 -5.822281e-01 2.678267e+00,-1.609185e-01 -5.808579e-01 2.678329e+00,-1.614501e-01 -5.817276e-01 2.678010e+00,-1.616719e-01 -5.822178e-01 2.678025e+00,-1.617649e-01 -5.814555e-01 2.678493e+00,-1.623798e-01 -5.812422e-01 2.679274e+00,-1.629654e-01 -5.831744e-01 2.679833e+00,-1.636761e-01 -5.850123e-01 2.680520e+00,-1.633907e-01 -5.867062e-01 2.681005e+00,-1.634849e-01 -5.918764e-01 2.679430e+00,-1.620375e-01 -5.936311e-01 2.679186e+00,-1.605433e-01 -5.942613e-01 2.678784e+00,-1.563192e-01 -5.954012e-01 2.679202e+00,-1.533907e-01 -5.942613e-01 2.680868e+00,-1.509449e-01 -5.970489e-01 2.686592e+00,-1.589503e-01 -5.983815e-01 2.696455e+00,-1.686634e-01 -5.959124e-01 2.699501e+00,-1.691381e-01 -5.953387e-01 2.698560e+00,-1.687905e-01 -5.948522e-01 2.697215e+00,-1.679188e-01 -5.943774e-01 2.695614e+00,-1.676600e-01 -5.940766e-01 2.694256e+00,-1.672046e-01 -5.910425e-01 2.694770e+00,-1.668675e-01 -5.918499e-01 2.692524e+00,-1.672817e-01 -5.926954e-01 2.691430e+00,-1.681324e-01 -5.952209e-01 2.689413e+00,-1.686700e-01 -5.950711e-01 2.688997e+00,-1.696671e-01 -5.952042e-01 2.687417e+00,-1.706666e-01 -5.952524e-01 2.685482e+00,-1.712319e-01 -5.950868e-01 2.683447e+00,-1.713467e-01 -5.946936e-01 2.682823e+00,-1.714577e-01 -5.942444e-01 2.680977e+00,-1.714320e-01 -5.927411e-01 2.681441e+00,-1.713080e-01 -5.918870e-01 2.681196e+00,-1.713165e-01 -5.924985e-01 2.680938e+00,-1.713268e-01 -5.926676e-01 2.680942e+00
-1.472991e-01 -6.079980e-01 2.673399e+00,-1.472286e-01 -6.079888e-01 2.671979e+00,-1.468434e-01 -6.083457e-01 2.669993e+00,-1.486956e-01 -6.091204e-01 2.670951e+00,-1.480872e-01 -6.088575e-01 2.672456e+00,-1.495490e-01 -6.068887e-01 2.673297e+00,-1.489634e-01 -6.081008e-01 2.670959e+00,-1.501037e-01 -6.066740e-01 2.670995e+00,-1.510081e-01 -6.083410e-01 2.670444e+00,-1.504553e-01 -6.017720e-01 2.671200e+00,-1.500815e-01 -6.031199e-01 2.671732e+00,-1.495343e-01 -6.008486e-01 2.669986e+00,-1.496322e-01 -6.012701e-01 2.672281e+00,-1.499463e-01 -6.022779e-01 2.672324e+00,-1.506154e-01 -6.068394e-01 2.674576e+00,-1.515180e-01 -6.036515e-01 2.677142e+00,-1.504872e-01 -6.032212e-01 2.677209e+00,-1.492156e-01 -6.045467e-01 2.678286e+00,-1.481326e-01 -6.033740e-01 2.677824e+00,-1.463680e-01 -6.035739e-01 2.676178e+00,-1.462157e-01 -6.019017e-01 2.676062e+00,-1.395843e-01 -6.226937e-01 2.665328e+00,-1.364379e-01 -6.213827e-01 2.668686e+00,-1.238580e-01 -6.278625e-01 2.673125e+00,-1.497917e-01 -6.276751e-01 2.689236e+00,-1.562118e-01 -6.139650e-01 2.691065e+00,-1.547925e-01 -6.161682e-01 2.688192e+00,-1.540389e-01 -6.152844e-01 2.684145e+00,-1.525938e-01 -6.148964e-01 2.684686e+00,-1.518502e-01 -6.123689e-01 2.681823e+00,-1.525673e-01 -6.114913e-01 2.680501e+00,-1.540032e-01 -6.121557e-01 2.681800e+00,-1.563060e-01 -6.122525e-01 2.682822e+00,-1.573157e-01 -6.113650e-01 2.681621e+00,-1.578440e-01 -6.116294e-01 2.680906e+00,-1.592337e-01 -6.117266e-01 2.678006e+00,-1.594796e-01 -6.121950e-01 2.675541e+00,-1.599677e-01 -6.123125e-01 2.674431e+00,-1.597258e-01 -6.108074e-01 2.674264e+00,-1.601262e-01 -6.109645e-01 2.675271e+00,-1.578323e-01 -6.103569e-01 2.675144e+00,-1.598255e-01 -6.100036e-01 2.676754e+00,-1.582485e-01 -6.105504e-01 2.675421e+00,-1.593416e-01 -6.089175e-01 2.678472e+00
1.902803e-01 -1.647248e-01 2.766963e+00,1.902114e-01 -1.647552e-01 2.767018e+00,1.900710e-01 -1.647446e-01 2.767086e+00,1.889773e-01 -1.653814e-01 2.767134e+00,1.887310e-01 -1.654277e-01 2.767393e+00,1.875099e-01 -1.652627e-01 2.767166e+00,1.870914e-01 -1.652670e-01 2.767266e+00,1.869747e-01 -1.653491e-01 2.767474e+00,1.866791e-01 -1.658649e-01 2.767720e+00,1.865405e-01 -1.663979e-01 2.768271e+00,1.877434e-01 -1.713107e-01 2.767829e+00,1.803508e-01 -1.740211e-01 2.747656e+00,1.775270e-01 -1.752173e-01 2.742357e+00,1.745524e-01 -1.739112e-01 2.736089e+00,1.742953e-01 -1.732192e-01 2.734504e+00,1.743311e-01 -1.732501e-01 2.734319e+00,1.697157e-01 -1.752186e-01 2.731176e+00,1.679966e-01 -1.749547e-01 2.730062e+00,1.651487e-01 -1.826848e-01 2.726565e+00,1.608575e-01 -1.944455e-01 2.719963e+00,1.593178e-01 -1.976779e-01 2.718512e+00,1.571523e-01 -2.036633e-01 2.717550e+00,1.572353e-01 -2.048566e-01 2.717560e+00,1.572323e-01 -2.051679e-01 2.717565e+00,1.565994e-01 -2.061393e-01 2.716145e+00,1.655981e-01 -1.894319e-01 2.716045e+00,1.682660e-01 -1.839043e-01 2.718989e+00,1.693995e-01 -1.765687e-01 2.723728e+00,1.730866e-01 -1.677131e-01 2.732048e+00,1.782483e-01 -1.690778e-01 2.744992e+00,1.790170e-01 -1.675663e-01 2.747270e+00,1.788364e-01 -1.662403e-01 2.749418e+00,1.786668e-01 -1.653236e-01 2.751257e+00,1.789168e-01 -1.642303e-01 2.754473e+00,1.788012e-01 -1.640078e-01 2.755224e+00,1.785280e-01 -1.637939e-01 2.755846e+00,1.787111e-01 -1.633116e-01 2.757907e+00,1.785191e-01 -1.630484e-01 2.759119e+00,1.783938e-01 -1.629294e-01 2.759691e+00,1.777815e-01 -1.622387e-01 2.760481e+00,1.774255e-01 -1.619503e-01 2.761265e+00,1.773743e-01 -1.617402e-01 2.763300e+00,1.772676e-01 -1.612721e-01 2.763622e+00,1.770475e-01 -1.618392e-01 2.765002e+00
2.224192e-01 -4.079714e-01 2.794799e+00,2.223162e-01 -4.082294e-01 2.794920e+00,2.221236e-01 -4.097594e-01 2.794827e+00,2.215571e-01 -4.089811e-01 2.796185e+00,2.211184e-01 -4.092479e-01 2.797546e+00,2.196670e-01 -4.034082e-01 2.805026e+00,2.192309e-01 -4.033470e-01 2.804457e+00,2.170597e-01 -3.977399e-01 2.804374e+00,2.089959e-01 -3.867558e-01 2.789596e+00,2.155977e-01 -3.699087e-01 2.769403e+00,2.191333e-01 -3.746547e-01 2.766321e+00,2.512630e-01 -3.676236e-01 2.728301e+00,2.577042e-01 -3.650730e-01 2.719769e+00,2.789445e-01 -3.452388e-01 2.672052e+00,2.697629e-01 -2.960788e-01 2.583384e+00,2.492709e-01 -2.668082e-01 2.551024e+00,1.832663e-01 -1.729470e-01 2.510054e+00,1.698295e-01 -1.532440e-01 2.499109e+00,1.720646e-01 -1.511138e-01 2.499100e+00,1.759739e-01 -1.096940e-01 2.516465e+00,1.615301e-01 -1.163753e-01 2.512919e+00,1.541036e-01 -3.298326e-02 2.537233e+00,1.773988e-01 -4.679073e-02 2.537210e+00,2.136722e-01 -9.280759e-02 2.531298e+00,1.841039e-01 -1.538933e-01 2.461444e+00,2.210595e-01 -2.381172e-01 2.508186e+00,2.364114e-01 -3.036925e-01 2.549954e+00,2.303458e-01 -3.164679e-01 2.569187e+00,2.290804e-01 -3.494309e-01 2.635629e+00,2.298501e-01 -3.584953e-01 2.665052e+00,2.342810e-01 -3.617275e-01 2.687983e+00,2.180342e-01 -3.701431e-01 2.786541e+00,2.192036e-01 -3.708518e-01 2.795967e+00,2.216101e-01 -3.814147e-01 2.805661e+00,2.214255e-01 -3.866950e-01 2.808528e+00,2.208199e-01 -3.877059e-01 2.808764e+00,2.187099e-01 -3.960090e-01 2.808955e+00,2.169519e-01 -4.007921e-01 2.808612e+00,2.164642e-01 -4.023521e-01 2.808158e+00,2.142174e-01 -4.022981e-01 2.806948e+00,2.133911e-01 -4.034242e-01 2.805649e+00,2.113173e-01 -4.065732e-01 2.802183e+00,2.110257e-01 -4.065469e-01 2.801456e+00,2.108301e-01 -4.059346e-01 2.801043e+00
2.007884e-01 -5.993702e-01 2.712950e+00,1.898443e-01 -5.943972e-01 2.703726e+00,1.829625e-01 -5.916542e-01 2.697015e+00,2.382967e-01 -6.030377e-01 2.721045e+00,2.087864e-01 -5.929692e-01 2.696015e+00,2.304856e-01 -5.705663e-01 2.675670e+00,2.493414e-01 -5.379328e-01 2.641798e+00,2.650079e-01 -4.717210e-01 2.608381e+00,2.708686e-01 -3.387907e-01 2.588598e+00,2.800614e-01 -2.955309e-01 2.577718e+00,2.442168e-01 -1.623599e-01 2.625331e+00,2.140290e-01 -1.737288e-01 2.651744e+00,2.155055e-01 -1.690020e-01 2.653123e+00,1.784852e-01 -1.089991e-01 2.633210e+00,1.398556e-01 -9.591074e-02 2.581872e+00,1.051602e-01 -6.283136e-02 2.527785e+00,3.779336e-02 -5.389875e-02 2.411040e+00,9.516001e-02 -9.945735e-02 2.408187e+00,6.538878e-02 -7.967517e-02 2.326469e+00,8.731354e-02 -9.736224e-02 2.311904e+00,1.058300e-01 -1.004294e-01 2.266476e+00,1.153513e-01 -1.091597e-01 2.291506e+00,1.124226e-01 -9.434450e-02 2.260187e+00,1.095710e-01 -1.499806e-01 2.284756e+00,1.111378e-01 -9.290703e-02 2.267727e+00,1.656597e-01 -1.739541e-01 2.444588e+00,1.741921e-01 -2.185133e-01 2.494697e+00,1.810239e-01 -2.458990e-01 2.517776e+00,1.913758e-01 -3.035550e-01 2.568143e+00,1.974919e-01 -3.447024e-01 2.592373e+00,2.056227e-01 -3.710400e-01 2.618655e+00,1.828723e-01 -4.993749e-01 2.619961e+00,1.886231e-01 -5.137147e-01 2.640730e+00,1.975040e-01 -5.506347e-01 2.680924e+00,2.024139e-01 -5.624363e-01 2.693123e+00,2.189309e-01 -5.716830e-01 2.706825e+00,2.276972e-01 -5.858336e-01 2.720629e+00,2.371674e-01 -5.962546e-01 2.738863e+00,2.373496e-01 -5.984552e-01 2.740866e+00,2.342855e-01 -6.004022e-01 2.746846e+00,2.361443e-01 -6.033503e-01 2.755168e+00,2.349849e-01 -6.057068e-01 2.748414e+00,2.336320e-01 -6.066973e-01 2.752111e+00,1.993009e-01 -5.982469e-01 2.719373e+00
