3.294969e-02 -6.120875e-01 2.777752e+00,3.257850e-02 -6.122562e-01 2.778181e+00,3.238930e-02 -6.125286e-01 2.778411e+00,3.192833e-02 -6.126171e-01 2.778635e+00,3.168076e-02 -6.125092e-01 2.778684e+00,2.826060e-02 -6.122763e-01 2.779118e+00,2.226979e-02 -6.111707e-01 2.779370e+00,2.090728e-02 -6.111618e-01 2.779494e+00,2.013062e-02 -6.111540e-01 2.779926e+00,1.836372e-02 -6.093881e-01 2.782415e+00,1.686002e-02 -6.149980e-01 2.784184e+00,1.746146e-02 -6.173092e-01 2.784883e+00,1.728217e-02 -6.180519e-01 2.784904e+00,1.385695e-02 -6.229369e-01 2.786120e+00,1.231874e-02 -6.268024e-01 2.786048e+00,1.215606e-02 -6.279748e-01 2.785397e+00,1.182060e-02 -6.291159e-01 2.784348e+00,1.338894e-02 -6.295941e-01 2.783369e+00,1.420800e-02 -6.228357e-01 2.782644e+00,1.339441e-02 -6.232514e-01 2.782357e+00,1.011899e-02 -6.205338e-01 2.781772e+00,9.402773e-03 -6.155556e-01 2.781538e+00,7.867467e-03 -6.130258e-01 2.781829e+00,6.319402e-03 -6.114416e-01 2.781823e+00,6.302704e-03 -6.105371e-01 2.781360e+00,6.303935e-03 -6.101881e-01 2.780888e+00,5.485207e-03 -6.098918e-01 2.780198e+00,5.433136e-03 -6.101619e-01 2.779660e+00,5.873961e-03 -6.098570e-01 2.779384e+00,7.112349e-03 -6.102027e-01 2.778454e+00,7.684440e-03 -6.103058e-01 2.778158e+00,7.963937e-03 -6.116366e-01 2.777787e+00,8.063708e-03 -6.117673e-01 2.777655e+00,8.303951e-03 -6.118025e-01 2.777293e+00,1.031333e-02 -6.133376e-01 2.775896e+00,1.082152e-02 -6.133150e-01 2.775756e+00,1.378935e-02 -6.135284e-01 2.775065e+00,1.479751e-02 -6.134909e-01 2.774519e+00,1.732113e-02 -6.120838e-01 2.774305e+00,2.004343e-02 -6.116932e-01 2.773984e+00,2.383454e-02 -6.118003e-01 2.773614e+00,2.622678e-02 -6.122367e-01 2.773519e+00,2.690840e-02 -6.119397e-01 2.773172e+00,2.685253e-02 -6.117523e-01 2.772984e+00,2.864958e-02 -6.117482e-01 2.771797e+00,2.897576e-02 -6.128314e-01 2.771520e+00,2.968283e-02 -6.129221e-01 2.770748e+00
3.331792e-02 -3.262532e-01 2.792521e+00,3.292541e-02 -3.261340e-01 2.793048e+00,3.284453e-02 -3.262399e-01 2.793303e+00,3.255742e-02 -3.264794e-01 2.793729e+00,3.215934e-02 -3.264605e-01 2.793990e+00,3.081715e-02 -3.265250e-01 2.794354e+00,2.805564e-02 -3.260214e-01 2.794950e+00,2.749470e-02 -3.260524e-01 2.795180e+00,2.651720e-02 -3.259540e-01 2.795648e+00,2.651589e-02 -3.265290e-01 2.796934e+00,2.647651e-02 -3.267604e-01 2.797294e+00,2.956831e-02 -3.233822e-01 2.794866e+00,2.956749e-02 -3.228462e-01 2.793504e+00,2.831516e-02 -3.233372e-01 2.792739e+00,2.222750e-02 -3.268477e-01 2.790294e+00,2.312696e-02 -3.260181e-01 2.789654e+00,2.462006e-02 -3.230174e-01 2.789231e+00,2.465199e-02 -3.229846e-01 2.789185e+00,2.418092e-02 -3.165717e-01 2.788821e+00,2.358554e-02 -3.162707e-01 2.788738e+00,9.806521e-03 -3.228667e-01 2.790703e+00,9.720359e-03 -3.223513e-01 2.791019e+00,8.967589e-03 -3.218485e-01 2.791508e+00,7.869879e-03 -3.218195e-01 2.791927e+00,7.738672e-03 -3.214581e-01 2.791676e+00,7.927417e-03 -3.214432e-01 2.791445e+00,8.114204e-03 -3.212928e-01 2.791182e+00,8.923845e-03 -3.218408e-01 2.790815e+00,9.250934e-03 -3.219503e-01 2.790527e+00,1.015344e-02 -3.223374e-01 2.789892e+00,1.071510e-02 -3.228935e-01 2.789381e+00,1.223326e-02 -3.246193e-01 2.789014e+00,1.271930e-02 -3.248171e-01 2.788809e+00,1.313524e-02 -3.250465e-01 2.788397e+00,1.520491e-02 -3.264790e-01 2.786566e+00,1.593731e-02 -3.264323e-01 2.786179e+00,1.883741e-02 -3.265027e-01 2.785041e+00,1.969893e-02 -3.261202e-01 2.784264e+00,2.112099e-02 -3.255357e-01 2.783509e+00,2.462389e-02 -3.250922e-01 2.782216e+00,2.459389e-02 -3.249474e-01 2.782263e+00,2.650106e-02 -3.254712e-01 2.781212e+00,2.773154e-02 -3.251122e-01 2.780809e+00,2.793837e-02 -3.250416e-01 2.780552e+00,2.974069e-02 -3.251233e-01 2.779662e+00,3.048910e-02 -3.261929e-01 2.779285e+00,3.170748e-02 -3.258304e-01 2.778661e+00
3.283454e-02 -4.535246e-02 2.794847e+00,3.249687e-02 -4.486685e-02 2.795513e+00,3.254338e-02 -4.483722e-02 2.795813e+00,3.250977e-02 -4.528229e-02 2.796522e+00,3.205847e-02 -4.541471e-02 2.797054e+00,3.185550e-02 -4.551810e-02 2.797227e+00,3.142600e-02 -4.535696e-02 2.797760e+00,3.144082e-02 -4.541834e-02 2.798018e+00,3.082387e-02 -4.529025e-02 2.798417e+00,3.279791e-02 -4.747473e-02 2.799790e+00,3.393520e-02 -4.515035e-02 2.800133e+00,4.513217e-02 -2.532579e-02 2.787275e+00,4.455120e-02 -2.453377e-02 2.784539e+00,4.294170e-02 -2.442968e-02 2.782911e+00,2.810315e-02 -2.989618e-02 2.778484e+00,3.471580e-02 -2.341627e-02 2.778223e+00,3.828540e-02 -1.583321e-02 2.780078e+00,3.702909e-02 -1.615478e-02 2.780692e+00,3.549032e-02 -1.209067e-02 2.781300e+00,3.454103e-02 -1.132850e-02 2.781528e+00,3.568455e-03 -3.653741e-02 2.791231e+00,4.468510e-03 -3.653063e-02 2.791541e+00,4.533250e-03 -3.657170e-02 2.791638e+00,5.530103e-03 -3.699885e-02 2.791609e+00,6.312469e-03 -3.695338e-02 2.790867e+00,7.635206e-03 -3.747167e-02 2.790308e+00,9.527647e-03 -3.731694e-02 2.789929e+00,1.224175e-02 -3.874717e-02 2.789568e+00,1.263202e-02 -3.935430e-02 2.789055e+00,1.261437e-02 -3.947546e-02 2.788640e+00,1.328438e-02 -4.074398e-02 2.787743e+00,1.717937e-02 -4.275821e-02 2.787307e+00,1.813500e-02 -4.293986e-02 2.787080e+00,1.861399e-02 -4.334812e-02 2.786673e+00,2.039947e-02 -4.450106e-02 2.784512e+00,2.129521e-02 -4.439690e-02 2.783807e+00,2.405027e-02 -4.423762e-02 2.782168e+00,2.474676e-02 -4.342117e-02 2.781080e+00,2.551273e-02 -4.334519e-02 2.779883e+00,2.980929e-02 -4.296489e-02 2.777335e+00,2.464176e-02 -4.118812e-02 2.778483e+00,2.670309e-02 -4.249249e-02 2.775899e+00,2.859701e-02 -4.226333e-02 2.775521e+00,2.933667e-02 -4.246501e-02 2.775054e+00,3.098525e-02 -4.278773e-02 2.774531e+00,3.222965e-02 -4.396790e-02 2.774059e+00,3.425887e-02 -4.333969e-02 2.773558e+00
4.492322e-02 6.411094e-02 2.806736e+00,4.439728e-02 6.471238e-02 2.807566e+00,4.412853e-02 6.468722e-02 2.807986e+00,4.353854e-02 6.455477e-02 2.808313e+00,4.294796e-02 6.517334e-02 2.808971e+00,4.231582e-02 6.499145e-02 2.809450e+00,4.207365e-02 6.514549e-02 2.809475e+00,4.172524e-02 6.513093e-02 2.809425e+00,4.049671e-02 6.478939e-02 2.809974e+00,3.873609e-02 6.345457e-02 2.811008e+00,3.827003e-02 6.279539e-02 2.811873e+00,3.924236e-02 7.144374e-02 2.810537e+00,4.076631e-02 7.282259e-02 2.809389e+00,4.162860e-02 7.345576e-02 2.809442e+00,3.926348e-02 7.216357e-02 2.809919e+00,3.814879e-02 7.549457e-02 2.809272e+00,3.180206e-02 8.226857e-02 2.807816e+00,2.576315e-02 8.168045e-02 2.809302e+00,1.815903e-02 8.457258e-02 2.808592e+00,1.371236e-02 8.473399e-02 2.809211e+00,1.710450e-02 6.073292e-02 2.814833e+00,1.718505e-02 6.166748e-02 2.813862e+00,1.732006e-02 6.191503e-02 2.813698e+00,1.875170e-02 6.311686e-02 2.810874e+00,2.137665e-02 6.379249e-02 2.809266e+00,2.158607e-02 6.398153e-02 2.809074e+00,2.272044e-02 6.381305e-02 2.807986e+00,2.384786e-02 6.422036e-02 2.807189e+00,2.409233e-02 6.462300e-02 2.806847e+00,2.613785e-02 6.555859e-02 2.805638e+00,2.651601e-02 6.569085e-02 2.805115e+00,2.782927e-02 6.597359e-02 2.803670e+00,2.826373e-02 6.645487e-02 2.802414e+00,2.854762e-02 6.700556e-02 2.800961e+00,2.927792e-02 6.666835e-02 2.798244e+00,2.955199e-02 6.664447e-02 2.797980e+00,3.088065e-02 6.621873e-02 2.795442e+00,3.233923e-02 6.672340e-02 2.793723e+00,3.378023e-02 6.643984e-02 2.792495e+00,3.498766e-02 6.557141e-02 2.790646e+00,3.558993e-02 6.632853e-02 2.789612e+00,3.688628e-02 6.628494e-02 2.788071e+00,3.892013e-02 6.697081e-02 2.786848e+00,4.003399e-02 6.656525e-02 2.785191e+00,4.151873e-02 6.662192e-02 2.784672e+00,4.191536e-02 6.629469e-02 2.784325e+00,4.456932e-02 6.615075e-02 2.783202e+00
-1.205902e-01 -1.555277e-01 2.771320e+00,-1.211974e-01 -1.555353e-01 2.772103e+00,-1.211561e-01 -1.553775e-01 2.772248e+00,-1.213971e-01 -1.555231e-01 2.772641e+00,-1.218343e-01 -1.554744e-01 2.772863e+00,-1.223569e-01 -1.554602e-01 2.773571e+00,-1.223510e-01 -1.551671e-01 2.773645e+00,-1.228772e-01 -1.557831e-01 2.773989e+00,-1.228834e-01 -1.556996e-01 2.774113e+00,-1.230111e-01 -1.559135e-01 2.773920e+00,-1.230282e-01 -1.557130e-01 2.773732e+00,-1.251709e-01 -1.570384e-01 2.775661e+00,-1.252858e-01 -1.571060e-01 2.775641e+00,-1.288321e-01 -1.594280e-01 2.779042e+00,-1.342410e-01 -1.642594e-01 2.785306e+00,-1.342001e-01 -1.688092e-01 2.785512e+00,-1.325919e-01 -1.687245e-01 2.781772e+00,-1.319025e-01 -1.693197e-01 2.779813e+00,-1.293767e-01 -1.645240e-01 2.777232e+00,-1.288319e-01 -1.619910e-01 2.777454e+00,-1.337969e-01 -1.586829e-01 2.786088e+00,-1.338068e-01 -1.573310e-01 2.786077e+00,-1.351740e-01 -1.565810e-01 2.787209e+00,-1.345495e-01 -1.557450e-01 2.783419e+00,-1.347755e-01 -1.556335e-01 2.782954e+00,-1.320351e-01 -1.544216e-01 2.779016e+00,-1.321322e-01 -1.535468e-01 2.778308e+00,-1.317991e-01 -1.523675e-01 2.776366e+00,-1.315699e-01 -1.514815e-01 2.775396e+00,-1.307075e-01 -1.499744e-01 2.773390e+00,-1.306735e-01 -1.502085e-01 2.772857e+00,-1.301539e-01 -1.514877e-01 2.771429e+00,-1.300811e-01 -1.515676e-01 2.771379e+00,-1.293918e-01 -1.516412e-01 2.770278e+00,-1.281464e-01 -1.522127e-01 2.768368e+00,-1.258110e-01 -1.515209e-01 2.766455e+00,-1.251083e-01 -1.517904e-01 2.765497e+00,-1.244141e-01 -1.519628e-01 2.764818e+00,-1.242045e-01 -1.518364e-01 2.764412e+00,-1.222563e-01 -1.518432e-01 2.762223e+00,-1.221715e-01 -1.520069e-01 2.761595e+00,-1.216447e-01 -1.522268e-01 2.760567e+00,-1.209996e-01 -1.518805e-01 2.759698e+00,-1.199579e-01 -1.522193e-01 2.757887e+00,-1.186464e-01 -1.518459e-01 2.755892e+00,-1.185783e-01 -1.518179e-01 2.755692e+00,-1.177997e-01 -1.516986e-01 2.754895e+00
-1.550637e-01 -3.859796e-01 2.770210e+00,-1.559963e-01 -3.883080e-01 2.771967e+00,-1.562239e-01 -3.879577e-01 2.772576e+00,-1.564373e-01 -3.880492e-01 2.773015e+00,-1.577884e-01 -3.898549e-01 2.772780e+00,-1.583194e-01 -3.915888e-01 2.772833e+00,-1.602937e-01 -3.926140e-01 2.773318e+00,-1.618333e-01 -3.962941e-01 2.772118e+00,-1.620965e-01 -3.967952e-01 2.772010e+00,-1.621687e-01 -3.952571e-01 2.772574e+00,-1.614962e-01 -3.947647e-01 2.773209e+00,-1.607269e-01 -3.950158e-01 2.773313e+00,-1.598314e-01 -3.918706e-01 2.775419e+00,-1.593117e-01 -3.933639e-01 2.776063e+00,-1.572366e-01 -3.873566e-01 2.779785e+00,-1.568933e-01 -3.848783e-01 2.780962e+00,-1.574514e-01 -3.826566e-01 2.783298e+00,-1.593018e-01 -3.976880e-01 2.784100e+00,-1.595820e-01 -4.004567e-01 2.786090e+00,-1.598462e-01 -4.015484e-01 2.786832e+00,-1.625180e-01 -4.026485e-01 2.789581e+00,-1.630812e-01 -4.027956e-01 2.789930e+00,-1.642274e-01 -4.023407e-01 2.790357e+00,-1.663524e-01 -4.016585e-01 2.790873e+00,-1.677983e-01 -4.011037e-01 2.790352e+00,-1.683325e-01 -4.009410e-01 2.789923e+00,-1.702249e-01 -4.000156e-01 2.787661e+00,-1.707827e-01 -3.945818e-01 2.784725e+00,-1.703475e-01 -3.909577e-01 2.783097e+00,-1.704072e-01 -3.917962e-01 2.782212e+00,-1.705291e-01 -3.920586e-01 2.781605e+00,-1.705113e-01 -3.920912e-01 2.781059e+00,-1.704767e-01 -3.921742e-01 2.780714e+00,-1.703808e-01 -3.920085e-01 2.779529e+00,-1.696361e-01 -3.949742e-01 2.775728e+00,-1.693804e-01 -3.955782e-01 2.775406e+00,-1.680416e-01 -3.966812e-01 2.773935e+00,-1.674503e-01 -3.970654e-01 2.773581e+00,-1.659500e-01 -3.955724e-01 2.773070e+00,-1.636043e-01 -3.955925e-01 2.771279e+00,-1.626370e-01 -3.942163e-01 2.770889e+00,-1.610673e-01 -3.921068e-01 2.769986e+00,-1.606032e-01 -3.916245e-01 2.769648e+00,-1.600410e-01 -3.904135e-01 2.768883e+00,-1.590401e-01 -3.893465e-01 2.767402e+00,-1.586463e-01 -3.891575e-01 2.766942e+00,-1.575785e-01 -3.887118e-01 2.765524e+00
-1.555360e-01 -5.764506e-01 2.693792e+00,-1.562112e-01 -5.786426e-01 2.695176e+00,-1.561424e-01 -5.782362e-01 2.695616e+00,-1.561704e-01 -5.782348e-01 2.695786e+00,-1.568865e-01 -5.800862e-01 2.695704e+00,-1.575545e-01 -5.815939e-01 2.695127e+00,-1.587640e-01 -5.824372e-01 2.695114e+00,-1.600302e-01 -5.861223e-01 2.693975e+00,-1.610249e-01 -5.868352e-01 2.694466e+00,-1.665486e-01 -5.864126e-01 2.698493e+00,-1.664273e-01 -5.858984e-01 2.699101e+00,-1.660036e-01 -5.859589e-01 2.698662e+00,-1.654601e-01 -5.824931e-01 2.699807e+00,-1.652689e-01 -5.835799e-01 2.699310e+00,-1.636584e-01 -5.771833e-01 2.701890e+00,-1.634804e-01 -5.747482e-01 2.703180e+00,-1.642161e-01 -5.732504e-01 2.707609e+00,-1.642735e-01 -5.867895e-01 2.704161e+00,-1.655065e-01 -5.891871e-01 2.705252e+00,-1.667171e-01 -5.903533e-01 2.706304e+00,-1.700065e-01 -5.924341e-01 2.711869e+00,-1.709166e-01 -5.924473e-01 2.711881e+00,-1.756975e-01 -5.927451e-01 2.715054e+00,-1.770333e-01 -5.923290e-01 2.716215e+00,-1.790759e-01 -5.917911e-01 2.715848e+00,-1.795180e-01 -5.907696e-01 2.712872e+00,-1.799498e-01 -5.901820e-01 2.711335e+00,-1.789481e-01 -5.857739e-01 2.711169e+00,-1.762858e-01 -5.819498e-01 2.708616e+00,-1.762694e-01 -5.820917e-01 2.705669e+00,-1.753842e-01 -5.825379e-01 2.705510e+00,-1.754103e-01 -5.825889e-01 2.705022e+00,-1.753235e-01 -5.827891e-01 2.705019e+00,-1.753088e-01 -5.828767e-01 2.704592e+00,-1.748570e-01 -5.866323e-01 2.703271e+00,-1.736468e-01 -5.872832e-01 2.703020e+00,-1.723429e-01 -5.884765e-01 2.701861e+00,-1.718489e-01 -5.888876e-01 2.701605e+00,-1.716467e-01 -5.875908e-01 2.701818e+00,-1.705948e-01 -5.876004e-01 2.700141e+00,-1.692712e-01 -5.861015e-01 2.699298e+00,-1.688802e-01 -5.842206e-01 2.699251e+00,-1.683154e-01 -5.837335e-01 2.698877e+00,-1.678923e-01 -5.826379e-01 2.698488e+00,-1.671607e-01 -5.814376e-01 2.696600e+00,-1.663554e-01 -5.809854e-01 2.695238e+00,-1.655384e-01 -5.804615e-01 2.693601e+00
-1.467381e-01 -6.085904e-01 2.686547e+00,-1.476965e-01 -6.100372e-01 2.690307e+00,-1.476890e-01 -6.102068e-01 2.688026e+00,-1.478547e-01 -6.096733e-01 2.688341e+00,-1.483268e-01 -6.105067e-01 2.690326e+00,-1.499396e-01 -6.093579e-01 2.688966e+00,-1.523040e-01 -6.100752e-01 2.689745e+00,-1.524353e-01 -6.111416e-01 2.691334e+00,-1.522637e-01 -6.126634e-01 2.691905e+00,-1.557208e-01 -6.121428e-01 2.694557e+00,-1.528772e-01 -6.119366e-01 2.694039e+00,-1.509104e-01 -6.120276e-01 2.691792e+00,-1.484510e-01 -6.117100e-01 2.689215e+00,-1.476980e-01 -6.122079e-01 2.690338e+00,-1.461448e-01 -6.120003e-01 2.692187e+00,-1.475814e-01 -6.127043e-01 2.692981e+00,-1.492191e-01 -6.141898e-01 2.696311e+00,-1.497731e-01 -6.214528e-01 2.696151e+00,-1.547334e-01 -6.152362e-01 2.699222e+00,-1.565541e-01 -6.156238e-01 2.701798e+00,-1.588792e-01 -6.147010e-01 2.708580e+00,-1.615722e-01 -6.145949e-01 2.708700e+00,-1.630885e-01 -6.148708e-01 2.710100e+00,-1.659696e-01 -6.143284e-01 2.709547e+00,-1.663646e-01 -6.146058e-01 2.707900e+00,-1.695351e-01 -6.141327e-01 2.705339e+00,-1.701911e-01 -6.143283e-01 2.704342e+00,-1.653578e-01 -6.123062e-01 2.696925e+00,-1.635577e-01 -6.103299e-01 2.694255e+00,-1.632219e-01 -6.104449e-01 2.694880e+00,-1.632080e-01 -6.111240e-01 2.696163e+00,-1.636754e-01 -6.113284e-01 2.697770e+00,-1.629770e-01 -6.118330e-01 2.698180e+00,-1.629420e-01 -6.112383e-01 2.695572e+00,-1.606702e-01 -6.103768e-01 2.695143e+00,-1.604500e-01 -6.107504e-01 2.696149e+00,-1.589790e-01 -6.109083e-01 2.693268e+00,-1.569517e-01 -6.107658e-01 2.692629e+00,-1.565003e-01 -6.096592e-01 2.691981e+00,-1.568691e-01 -6.094819e-01 2.690214e+00,-1.563984e-01 -6.097637e-01 2.688323e+00,-1.561783e-01 -6.099920e-01 2.689019e+00,-1.562209e-01 -6.094661e-01 2.688282e+00,-1.560507e-01 -6.095294e-01 2.686938e+00,-1.556142e-01 -6.089872e-01 2.684406e+00,-1.551795e-01 -6.084920e-01 2.680878e+00,-1.548414e-01 -6.090280e-01 2.680589e+00
1.806147e-01 -1.566017e-01 2.783180e+00,1.803808e-01 -1.569593e-01 2.784470e+00,1.799759e-01 -1.570177e-01 2.784609e+00,1.797151e-01 -1.576062e-01 2.785015e+00,1.792899e-01 -1.573544e-01 2.785482e+00,1.788225e-01 -1.572197e-01 2.786006e+00,1.790163e-01 -1.569991e-01 2.787341e+00,1.790767e-01 -1.561375e-01 2.787685e+00,1.790782e-01 -1.564521e-01 2.787544e+00,1.749837e-01 -1.485922e-01 2.778906e+00,1.742720e-01 -1.452944e-01 2.774888e+00,1.721801e-01 -1.207554e-01 2.760202e+00,1.645388e-01 -1.313858e-01 2.753006e+00,1.600901e-01 -1.379123e-01 2.748820e+00,1.335189e-01 -1.468617e-01 2.727687e+00,1.356109e-01 -1.451029e-01 2.729482e+00,1.387424e-01 -1.458523e-01 2.731184e+00,1.489622e-01 -1.097620e-01 2.733008e+00,1.475354e-01 -7.320792e-02 2.731101e+00,1.349191e-01 -1.276438e-01 2.733304e+00,1.301222e-01 -1.584741e-01 2.736468e+00,1.401753e-01 -1.233610e-01 2.738756e+00,1.398190e-01 -1.231377e-01 2.738793e+00,1.391501e-01 -1.227660e-01 2.737738e+00,1.438214e-01 -1.239341e-01 2.740657e+00,1.495583e-01 -1.244877e-01 2.744421e+00,1.564506e-01 -1.296800e-01 2.749490e+00,1.612907e-01 -1.350904e-01 2.753426e+00,1.627925e-01 -1.353499e-01 2.755491e+00,1.691989e-01 -1.436008e-01 2.766737e+00,1.698171e-01 -1.449576e-01 2.768909e+00,1.713655e-01 -1.489446e-01 2.773379e+00,1.718248e-01 -1.497468e-01 2.773498e+00,1.719458e-01 -1.498960e-01 2.773546e+00,1.735337e-01 -1.522873e-01 2.772840e+00,1.742906e-01 -1.543527e-01 2.772314e+00,1.744305e-01 -1.565645e-01 2.769407e+00,1.743870e-01 -1.571327e-01 2.768341e+00,1.739278e-01 -1.554401e-01 2.765231e+00,1.749485e-01 -1.559968e-01 2.764102e+00,1.753587e-01 -1.562569e-01 2.762914e+00,1.764915e-01 -1.561520e-01 2.762139e+00,1.769824e-01 -1.561872e-01 2.761981e+00,1.771981e-01 -1.560139e-01 2.761678e+00,1.781186e-01 -1.558201e-01 2.761672e+00,1.786766e-01 -1.559455e-01 2.761764e+00,1.792384e-01 -1.557010e-01 2.761563e+00
2.176231e-01 -4.007312e-01 2.789612e+00,2.173074e-01 -4.016288e-01 2.789794e+00,2.169010e-01 -3.994822e-01 2.791330e+00,2.166972e-01 -4.001510e-01 2.791243e+00,2.168951e-01 -3.977179e-01 2.792611e+00,2.189609e-01 -3.746575e-01 2.800773e+00,2.423705e-01 -3.489305e-01 2.781383e+00,2.502107e-01 -3.433720e-01 2.741596e+00,2.555117e-01 -3.368556e-01 2.720121e+00,2.178409e-01 -2.741900e-01 2.610312e+00,2.014615e-01 -2.495892e-01 2.587964e+00,1.584963e-01 -1.848365e-01 2.553149e+00,1.502953e-01 -1.708433e-01 2.539531e+00,1.329205e-01 -1.450790e-01 2.532840e+00,1.143062e-01 -1.150484e-01 2.513074e+00,1.146049e-01 -1.178954e-01 2.514389e+00,1.279235e-01 -1.234677e-01 2.514756e+00,1.270331e-01 -1.279561e-01 2.517116e+00,1.707331e-01 -1.228613e-01 2.520798e+00,1.739122e-01 -1.099364e-01 2.520009e+00,2.638324e-01 -1.022060e-01 2.578717e+00,2.488294e-01 -7.018425e-02 2.550626e+00,2.493986e-01 -6.996115e-02 2.551469e+00,2.693187e-01 -5.881188e-02 2.569814e+00,2.819700e-01 -6.489433e-02 2.588421e+00,2.899991e-01 -7.041907e-02 2.592525e+00,2.981991e-01 -9.110370e-02 2.593905e+00,3.133108e-01 -1.635683e-01 2.606742e+00,3.149287e-01 -1.755553e-01 2.612078e+00,3.132980e-01 -2.564027e-01 2.663756e+00,3.106138e-01 -2.788088e-01 2.675226e+00,2.879746e-01 -3.142129e-01 2.750564e+00,2.698086e-01 -3.267502e-01 2.761559e+00,2.636510e-01 -3.300773e-01 2.765801e+00,2.479786e-01 -3.396959e-01 2.773320e+00,2.372635e-01 -3.528560e-01 2.779044e+00,2.237115e-01 -3.758506e-01 2.779812e+00,2.190548e-01 -3.926814e-01 2.778106e+00,2.181917e-01 -3.952166e-01 2.778282e+00,2.161365e-01 -4.045402e-01 2.780115e+00,2.160617e-01 -4.060139e-01 2.781962e+00,2.172781e-01 -4.098794e-01 2.786636e+00,2.176719e-01 -4.095392e-01 2.787959e+00,2.182033e-01 -4.096943e-01 2.788935e+00,2.190869e-01 -4.099172e-01 2.790461e+00,2.190820e-01 -4.097830e-01 2.790354e+00,2.191116e-01 -4.094587e-01 2.789990e+00
2.100368e-01 -5.889176e-01 2.707359e+00,2.097396e-01 -5.897017e-01 2.707249e+00,2.095651e-01 -5.872956e-01 2.708062e+00,2.090474e-01 -5.879351e-01 2.707934e+00,2.063817e-01 -5.834330e-01 2.704420e+00,2.022540e-01 -5.516488e-01 2.694929e+00,1.824049e-01 -4.692160e-01 2.620021e+00,1.533493e-01 -4.231525e-01 2.572342e+00,1.403704e-01 -3.542792e-01 2.543725e+00,1.139203e-01 -2.342988e-01 2.547222e+00,4.007132e-02 -1.426654e-01 2.512588e+00,6.636680e-03 -5.022221e-02 2.520948e+00,-2.230915e-03 -3.592523e-02 2.516249e+00,-1.701013e-02 -7.358229e-03 2.509310e+00,-4.617024e-02 1.032130e-02 2.508646e+00,-5.296484e-02 -1.977137e-03 2.502736e+00,-6.311210e-02 -5.475716e-02 2.486390e+00,-6.614265e-02 -6.324590e-02 2.502732e+00,-1.004297e-02 -4.169418e-02 2.462013e+00,9.364146e-02 -8.568289e-02 2.458059e+00,2.010828e-01 3.174802e-02 2.428912e+00,2.370629e-01 9.070574e-02 2.416750e+00,2.751851e-01 1.075879e-01 2.445744e+00,3.210154e-01 1.213361e-01 2.481352e+00,3.309087e-01 1.106855e-01 2.488658e+00,3.345470e-01 1.047222e-01 2.489618e+00,3.374852e-01 8.419061e-02 2.488765e+00,3.303078e-01 8.358388e-03 2.489102e+00,3.317683e-01 -1.034471e-02 2.484427e+00,3.237560e-01 -1.216465e-01 2.501802e+00,3.194395e-01 -1.663534e-01 2.496257e+00,2.985255e-01 -2.552416e-01 2.546930e+00,3.010990e-01 -3.262702e-01 2.546791e+00,3.041078e-01 -3.793322e-01 2.563996e+00,2.816963e-01 -4.604315e-01 2.604872e+00,2.720940e-01 -4.976309e-01 2.632588e+00,2.598821e-01 -5.491462e-01 2.672995e+00,2.504678e-01 -5.765818e-01 2.691625e+00,2.419967e-01 -5.853350e-01 2.705695e+00,2.302310e-01 -6.006372e-01 2.726223e+00,2.326089e-01 -6.030165e-01 2.733570e+00,2.157878e-01 -6.091649e-01 2.747725e+00,2.032260e-01 -6.060455e-01 2.735625e+00,2.331312e-01 -6.087620e-01 2.753127e+00,2.220692e-01 -6.082768e-01 2.745726e+00,2.293961e-01 -6.074903e-01 2.743449e+00,2.322643e-01 -6.061269e-01 2.738589e+00
