3.211890e-02 -6.129504e-01 2.779839e+00,3.187571e-02 -6.131658e-01 2.779093e+00,3.194501e-02 -6.131036e-01 2.778890e+00,3.218421e-02 -6.132311e-01 2.778559e+00,3.208716e-02 -6.132954e-01 2.778149e+00,3.175117e-02 -6.130738e-01 2.777946e+00,3.106332e-02 -6.126967e-01 2.777415e+00,2.939880e-02 -6.132310e-01 2.776681e+00,2.829513e-02 -6.134156e-01 2.776581e+00,2.756097e-02 -6.137537e-01 2.776210e+00,2.549857e-02 -6.132634e-01 2.776145e+00,2.468339e-02 -6.134861e-01 2.776257e+00,2.395338e-02 -6.131097e-01 2.777000e+00,2.340882e-02 -6.126303e-01 2.777171e+00,2.181661e-02 -6.118675e-01 2.778232e+00,2.174563e-02 -6.118235e-01 2.778295e+00,2.221328e-02 -6.096479e-01 2.779063e+00,2.620444e-02 -6.061610e-01 2.780747e+00,2.942141e-02 -5.991758e-01 2.782863e+00,3.543618e-02 -5.813869e-01 2.782716e+00,3.590332e-02 -5.801378e-01 2.782794e+00,3.467013e-02 -5.764743e-01 2.782041e+00,3.367087e-02 -5.725244e-01 2.781688e+00,3.279034e-02 -5.724931e-01 2.781788e+00,2.889488e-02 -5.825900e-01 2.779349e+00,2.220137e-02 -5.985901e-01 2.776875e+00,1.948373e-02 -6.043797e-01 2.776431e+00,1.959660e-02 -6.118252e-01 2.774933e+00,1.874089e-02 -6.122924e-01 2.773595e+00,1.862483e-02 -6.120281e-01 2.773194e+00,1.822445e-02 -6.116974e-01 2.772717e+00,1.766852e-02 -6.109797e-01 2.770919e+00,1.893635e-02 -6.107365e-01 2.769938e+00,2.028224e-02 -6.118081e-01 2.768699e+00,2.074229e-02 -6.118497e-01 2.768458e+00,2.096109e-02 -6.120521e-01 2.768248e+00,2.249823e-02 -6.123589e-01 2.767239e+00,2.302762e-02 -6.123779e-01 2.767095e+00,2.577625e-02 -6.121824e-01 2.766670e+00,2.619836e-02 -6.121428e-01 2.766630e+00,2.716736e-02 -6.122739e-01 2.766792e+00,2.948044e-02 -6.119663e-01 2.767560e+00,3.046734e-02 -6.121891e-01 2.767643e+00,3.319184e-02 -6.129696e-01 2.767939e+00
3.768649e-02 -3.251355e-01 2.790678e+00,3.756629e-02 -3.251390e-01 2.790579e+00,3.758784e-02 -3.250673e-01 2.790568e+00,3.755718e-02 -3.250653e-01 2.790508e+00,3.733195e-02 -3.250678e-01 2.790479e+00,3.696398e-02 -3.247943e-01 2.790360e+00,3.648603e-02 -3.245560e-01 2.790044e+00,3.582293e-02 -3.247625e-01 2.789730e+00,3.575890e-02 -3.247081e-01 2.789664e+00,3.535511e-02 -3.247389e-01 2.789424e+00,3.494344e-02 -3.245092e-01 2.789364e+00,3.409965e-02 -3.244475e-01 2.789543e+00,3.260389e-02 -3.234743e-01 2.790200e+00,3.082412e-02 -3.228667e-01 2.790250e+00,2.872479e-02 -3.215904e-01 2.790687e+00,2.825500e-02 -3.214760e-01 2.790725e+00,2.801782e-02 -3.206800e-01 2.790661e+00,2.847505e-02 -3.203459e-01 2.791088e+00,2.980385e-02 -3.178273e-01 2.792351e+00,3.338592e-02 -3.109573e-01 2.792178e+00,3.496399e-02 -3.015158e-01 2.791187e+00,3.380051e-02 -2.939103e-01 2.788881e+00,3.584994e-02 -2.874271e-01 2.786992e+00,3.562782e-02 -2.874763e-01 2.787029e+00,3.387081e-02 -2.981194e-01 2.784994e+00,2.871725e-02 -3.101014e-01 2.784449e+00,2.499092e-02 -3.141037e-01 2.785038e+00,2.373212e-02 -3.193194e-01 2.784583e+00,2.392645e-02 -3.205228e-01 2.784339e+00,2.402013e-02 -3.204607e-01 2.784211e+00,2.407487e-02 -3.204549e-01 2.783991e+00,2.464767e-02 -3.207552e-01 2.782477e+00,2.491178e-02 -3.210495e-01 2.781907e+00,2.756415e-02 -3.220604e-01 2.778680e+00,2.823686e-02 -3.222985e-01 2.778146e+00,2.923000e-02 -3.225015e-01 2.777001e+00,3.145047e-02 -3.231117e-01 2.774375e+00,3.217902e-02 -3.232386e-01 2.774007e+00,3.422905e-02 -3.235734e-01 2.773208e+00,3.507516e-02 -3.238108e-01 2.772717e+00,3.620461e-02 -3.241890e-01 2.772528e+00,3.717998e-02 -3.238618e-01 2.773276e+00,3.854281e-02 -3.242743e-01 2.773169e+00,4.069053e-02 -3.249854e-01 2.773491e+00
4.321780e-02 -4.299369e-02 2.788603e+00,4.294121e-02 -4.267068e-02 2.788934e+00,4.295178e-02 -4.235329e-02 2.789180e+00,4.256676e-02 -4.216642e-02 2.789233e+00,4.198835e-02 -4.186796e-02 2.789857e+00,4.160696e-02 -4.150513e-02 2.789846e+00,4.128581e-02 -4.126557e-02 2.789645e+00,4.122791e-02 -4.127625e-02 2.789564e+00,4.193478e-02 -4.077289e-02 2.789328e+00,4.182229e-02 -4.065912e-02 2.789235e+00,4.233300e-02 -4.054058e-02 2.789150e+00,4.173488e-02 -4.021981e-02 2.789458e+00,3.960212e-02 -3.834918e-02 2.790157e+00,3.642705e-02 -3.782759e-02 2.790054e+00,3.430158e-02 -3.593756e-02 2.789961e+00,3.333221e-02 -3.577226e-02 2.789931e+00,3.291987e-02 -3.549134e-02 2.789605e+00,3.240523e-02 -3.631987e-02 2.789900e+00,3.246537e-02 -3.633529e-02 2.790187e+00,3.367094e-02 -3.629704e-02 2.789568e+00,3.470700e-02 -2.179069e-02 2.786501e+00,3.310646e-02 -1.366200e-02 2.783065e+00,3.997849e-02 -4.725332e-03 2.778706e+00,3.977832e-02 -5.117283e-03 2.778827e+00,3.927782e-02 -1.848954e-02 2.777489e+00,3.505842e-02 -2.724694e-02 2.778581e+00,2.971010e-02 -2.882746e-02 2.780654e+00,2.756477e-02 -3.247861e-02 2.781024e+00,2.897456e-02 -3.433722e-02 2.781648e+00,2.932972e-02 -3.431961e-02 2.781672e+00,2.984527e-02 -3.453649e-02 2.781490e+00,3.145021e-02 -3.572644e-02 2.779968e+00,3.108480e-02 -3.656036e-02 2.779559e+00,3.548340e-02 -3.708076e-02 2.774378e+00,3.612775e-02 -3.752130e-02 2.773802e+00,3.811317e-02 -3.750693e-02 2.771474e+00,4.042531e-02 -3.849412e-02 2.767597e+00,4.124907e-02 -3.876121e-02 2.767147e+00,4.309723e-02 -3.968555e-02 2.766052e+00,4.433001e-02 -4.039266e-02 2.765005e+00,4.547747e-02 -4.101079e-02 2.764577e+00,4.413972e-02 -4.069199e-02 2.767057e+00,4.613612e-02 -4.133675e-02 2.766498e+00,4.781216e-02 -4.191363e-02 2.766709e+00
5.342700e-02 6.781780e-02 2.794719e+00,5.340504e-02 6.777211e-02 2.794652e+00,5.332819e-02 6.781451e-02 2.794825e+00,5.329492e-02 6.756486e-02 2.795480e+00,5.244052e-02 6.768477e-02 2.795984e+00,5.238632e-02 6.771685e-02 2.795966e+00,5.229116e-02 6.791776e-02 2.795948e+00,5.276514e-02 6.779057e-02 2.796144e+00,5.294793e-02 6.778887e-02 2.796103e+00,5.297296e-02 6.771825e-02 2.795955e+00,5.293487e-02 6.824550e-02 2.795969e+00,5.246814e-02 6.830242e-02 2.796216e+00,5.025553e-02 6.860129e-02 2.797797e+00,4.870469e-02 6.955294e-02 2.798286e+00,4.300614e-02 7.098545e-02 2.799422e+00,4.097527e-02 7.161490e-02 2.800020e+00,3.605206e-02 7.113057e-02 2.801192e+00,3.579799e-02 7.095572e-02 2.801365e+00,3.616359e-02 6.997944e-02 2.803468e+00,3.862508e-02 6.850797e-02 2.805629e+00,3.891687e-02 7.177089e-02 2.804052e+00,3.743462e-02 7.992379e-02 2.800275e+00,3.791256e-02 8.939905e-02 2.796829e+00,3.783143e-02 8.897628e-02 2.796875e+00,2.673621e-02 7.557206e-02 2.798786e+00,2.536202e-02 6.973745e-02 2.798416e+00,2.632018e-02 7.304069e-02 2.797973e+00,2.902192e-02 7.254077e-02 2.797849e+00,3.274270e-02 7.222561e-02 2.797611e+00,3.312680e-02 7.217002e-02 2.796285e+00,3.313185e-02 7.212360e-02 2.795637e+00,3.504888e-02 7.228217e-02 2.792990e+00,3.561118e-02 7.098233e-02 2.790206e+00,3.678172e-02 7.148834e-02 2.786975e+00,3.735337e-02 7.105776e-02 2.786038e+00,3.973187e-02 7.155772e-02 2.782961e+00,4.230441e-02 7.127981e-02 2.779234e+00,4.302889e-02 7.080970e-02 2.778927e+00,4.705976e-02 7.057853e-02 2.776428e+00,4.815364e-02 6.977823e-02 2.775463e+00,5.080703e-02 6.902105e-02 2.774657e+00,5.207603e-02 6.973054e-02 2.774452e+00,5.330600e-02 6.931944e-02 2.774223e+00,5.695571e-02 6.765828e-02 2.774827e+00
-1.104807e-01 -1.466727e-01 2.774918e+00,-1.106605e-01 -1.467808e-01 2.774399e+00,-1.108200e-01 -1.467540e-01 2.774404e+00,-1.111034e-01 -1.469657e-01 2.774238e+00,-1.116613e-01 -1.472602e-01 2.773558e+00,-1.108598e-01 -1.461388e-01 2.771638e+00,-1.105795e-01 -1.453422e-01 2.769298e+00,-1.093359e-01 -1.475215e-01 2.767388e+00,-1.081678e-01 -1.456897e-01 2.764609e+00,-1.085259e-01 -1.460412e-01 2.763332e+00,-1.085172e-01 -1.460327e-01 2.762198e+00,-1.081847e-01 -1.472725e-01 2.762868e+00,-1.129797e-01 -1.451964e-01 2.764142e+00,-1.156819e-01 -1.440138e-01 2.766412e+00,-1.177700e-01 -1.447123e-01 2.770927e+00,-1.156785e-01 -1.461076e-01 2.771617e+00,-1.143819e-01 -1.476666e-01 2.773941e+00,-1.132971e-01 -1.483910e-01 2.774610e+00,-1.119510e-01 -1.486182e-01 2.775354e+00,-1.038607e-01 -1.292507e-01 2.780548e+00,-1.043050e-01 -1.392534e-01 2.780232e+00,-1.012284e-01 -1.371247e-01 2.778311e+00,-9.748893e-02 -1.253066e-01 2.777032e+00,-9.706429e-02 -1.235450e-01 2.777340e+00,-9.759020e-02 -1.281731e-01 2.776086e+00,-9.892222e-02 -1.415281e-01 2.772166e+00,-1.074519e-01 -1.424730e-01 2.777095e+00,-1.058590e-01 -1.409314e-01 2.776594e+00,-1.070535e-01 -1.433697e-01 2.773796e+00,-1.082648e-01 -1.432080e-01 2.773900e+00,-1.100353e-01 -1.438119e-01 2.774390e+00,-1.090961e-01 -1.406847e-01 2.773407e+00,-1.104156e-01 -1.406686e-01 2.772564e+00,-1.108073e-01 -1.444044e-01 2.767944e+00,-1.106346e-01 -1.440962e-01 2.767631e+00,-1.095636e-01 -1.447214e-01 2.765781e+00,-1.093230e-01 -1.455910e-01 2.763620e+00,-1.089045e-01 -1.458336e-01 2.763033e+00,-1.068696e-01 -1.446238e-01 2.762800e+00,-1.068196e-01 -1.447707e-01 2.762458e+00,-1.057048e-01 -1.458798e-01 2.760264e+00,-1.033082e-01 -1.434770e-01 2.762675e+00,-1.035611e-01 -1.447608e-01 2.762025e+00,-1.034768e-01 -1.460080e-01 2.762378e+00
-1.560998e-01 -3.889019e-01 2.784261e+00,-1.564256e-01 -3.883037e-01 2.783388e+00,-1.566400e-01 -3.872196e-01 2.783324e+00,-1.567543e-01 -3.867850e-01 2.782830e+00,-1.567862e-01 -3.867664e-01 2.782759e+00,-1.568820e-01 -3.865839e-01 2.782432e+00,-1.571623e-01 -3.847983e-01 2.781536e+00,-1.571368e-01 -3.840100e-01 2.780822e+00,-1.572210e-01 -3.837157e-01 2.780459e+00,-1.570664e-01 -3.827053e-01 2.779590e+00,-1.570700e-01 -3.827253e-01 2.779088e+00,-1.579013e-01 -3.863926e-01 2.777394e+00,-1.582517e-01 -3.878582e-01 2.777764e+00,-1.580302e-01 -3.872624e-01 2.778921e+00,-1.578957e-01 -3.893782e-01 2.783492e+00,-1.573882e-01 -3.890874e-01 2.785276e+00,-1.544651e-01 -3.860283e-01 2.790369e+00,-1.524325e-01 -3.834961e-01 2.793387e+00,-1.513907e-01 -3.817343e-01 2.795018e+00,-1.476818e-01 -3.733436e-01 2.797620e+00,-1.446393e-01 -3.404610e-01 2.801019e+00,-1.460740e-01 -3.369338e-01 2.801356e+00,-1.460908e-01 -3.524373e-01 2.803021e+00,-1.465970e-01 -3.577448e-01 2.804807e+00,-1.457974e-01 -3.768565e-01 2.804090e+00,-1.472465e-01 -3.824972e-01 2.802167e+00,-1.488962e-01 -3.890986e-01 2.800824e+00,-1.494454e-01 -3.913390e-01 2.800334e+00,-1.503667e-01 -3.913881e-01 2.799286e+00,-1.508198e-01 -3.916249e-01 2.798715e+00,-1.515489e-01 -3.896922e-01 2.797864e+00,-1.522450e-01 -3.894884e-01 2.794542e+00,-1.528706e-01 -3.903127e-01 2.792466e+00,-1.531921e-01 -3.925118e-01 2.788876e+00,-1.531274e-01 -3.937690e-01 2.788204e+00,-1.529642e-01 -3.949834e-01 2.787284e+00,-1.523966e-01 -3.952329e-01 2.785241e+00,-1.522106e-01 -3.951211e-01 2.784831e+00,-1.500375e-01 -3.942538e-01 2.783187e+00,-1.486907e-01 -3.921733e-01 2.782238e+00,-1.479318e-01 -3.914525e-01 2.781755e+00,-1.462970e-01 -3.896452e-01 2.780599e+00,-1.458106e-01 -3.894033e-01 2.779394e+00,-1.451953e-01 -3.915186e-01 2.777025e+00
-1.648424e-01 -5.856092e-01 2.708243e+00,-1.646025e-01 -5.848580e-01 2.706822e+00,-1.644548e-01 -5.838728e-01 2.706995e+00,-1.645466e-01 -5.834517e-01 2.706533e+00,-1.645046e-01 -5.833231e-01 2.706121e+00,-1.645065e-01 -5.832650e-01 2.706155e+00,-1.641093e-01 -5.819812e-01 2.706691e+00,-1.642731e-01 -5.814992e-01 2.706945e+00,-1.667539e-01 -5.814880e-01 2.707824e+00,-1.656422e-01 -5.807999e-01 2.707838e+00,-1.650599e-01 -5.810406e-01 2.707976e+00,-1.652444e-01 -5.849697e-01 2.707117e+00,-1.645089e-01 -5.863750e-01 2.707170e+00,-1.627006e-01 -5.855948e-01 2.707546e+00,-1.613890e-01 -5.865479e-01 2.708350e+00,-1.613816e-01 -5.858762e-01 2.709000e+00,-1.607993e-01 -5.826347e-01 2.713712e+00,-1.604986e-01 -5.796826e-01 2.715651e+00,-1.601977e-01 -5.780706e-01 2.717805e+00,-1.601409e-01 -5.695955e-01 2.720669e+00,-1.641717e-01 -5.382543e-01 2.730357e+00,-1.585718e-01 -5.659972e-01 2.719722e+00,-1.578728e-01 -5.665329e-01 2.720300e+00,-1.572577e-01 -5.672284e-01 2.721150e+00,-1.582174e-01 -5.709830e-01 2.721141e+00,-1.591997e-01 -5.769967e-01 2.720214e+00,-1.605811e-01 -5.840384e-01 2.720119e+00,-1.616987e-01 -5.863965e-01 2.720088e+00,-1.643046e-01 -5.866190e-01 2.719868e+00,-1.644107e-01 -5.870270e-01 2.719718e+00,-1.641694e-01 -5.854950e-01 2.719814e+00,-1.643205e-01 -5.856441e-01 2.717427e+00,-1.641931e-01 -5.866101e-01 2.715644e+00,-1.646729e-01 -5.895314e-01 2.714313e+00,-1.649527e-01 -5.908586e-01 2.713941e+00,-1.650502e-01 -5.921560e-01 2.713348e+00,-1.647678e-01 -5.923491e-01 2.711188e+00,-1.644211e-01 -5.923263e-01 2.711024e+00,-1.636791e-01 -5.918357e-01 2.710880e+00,-1.631954e-01 -5.900648e-01 2.711122e+00,-1.629357e-01 -5.894306e-01 2.711043e+00,-1.613940e-01 -5.875874e-01 2.709765e+00,-1.606583e-01 -5.873250e-01 2.708423e+00,-1.577478e-01 -5.891652e-01 2.704643e+00
-1.518878e-01 -6.048571e-01 2.695187e+00,-1.502902e-01 -6.044370e-01 2.696154e+00,-1.501127e-01 -6.040605e-01 2.694783e+00,-1.503804e-01 -6.039082e-01 2.697677e+00,-1.514423e-01 -6.042231e-01 2.698653e+00,-1.511526e-01 -6.037781e-01 2.699630e+00,-1.504835e-01 -6.035921e-01 2.701409e+00,-1.504005e-01 -6.027713e-01 2.699921e+00,-1.502437e-01 -6.032162e-01 2.703522e+00,-1.500452e-01 -6.025679e-01 2.700818e+00,-1.501758e-01 -6.037607e-01 2.703098e+00,-1.496850e-01 -6.042929e-01 2.703764e+00,-1.501575e-01 -6.037056e-01 2.702961e+00,-1.493537e-01 -6.034840e-01 2.702640e+00,-1.484309e-01 -6.049238e-01 2.705962e+00,-1.473003e-01 -6.043315e-01 2.705883e+00,-1.436627e-01 -6.202291e-01 2.706837e+00,-1.439909e-01 -6.168299e-01 2.707796e+00,-1.442955e-01 -6.155631e-01 2.708244e+00,-1.467697e-01 -6.073416e-01 2.706240e+00,-1.471610e-01 -6.019981e-01 2.704013e+00,-1.399262e-01 -6.070006e-01 2.704925e+00,-1.386490e-01 -6.070812e-01 2.707853e+00,-1.388876e-01 -6.086025e-01 2.709018e+00,-1.438383e-01 -6.118673e-01 2.706487e+00,-1.452191e-01 -6.174994e-01 2.708472e+00,-1.454756e-01 -6.209664e-01 2.710220e+00,-1.475319e-01 -6.057650e-01 2.712215e+00,-1.505025e-01 -6.073405e-01 2.708596e+00,-1.500688e-01 -6.074573e-01 2.706155e+00,-1.507545e-01 -6.084133e-01 2.706039e+00,-1.508494e-01 -6.063398e-01 2.702869e+00,-1.497451e-01 -6.053746e-01 2.700868e+00,-1.518732e-01 -6.066902e-01 2.705478e+00,-1.514161e-01 -6.092844e-01 2.706382e+00,-1.506301e-01 -6.073917e-01 2.704107e+00,-1.513178e-01 -6.085781e-01 2.703253e+00,-1.472910e-01 -6.057240e-01 2.702452e+00,-1.465303e-01 -6.231664e-01 2.696977e+00,-1.467790e-01 -6.054963e-01 2.699739e+00,-1.459949e-01 -6.099483e-01 2.697973e+00,-1.447542e-01 -6.108267e-01 2.696667e+00,-1.438231e-01 -6.107002e-01 2.692237e+00,-1.406975e-01 -6.098022e-01 2.691619e+00
1.861420e-01 -1.551575e-01 2.778621e+00,1.859320e-01 -1.552726e-01 2.778793e+00,1.859940e-01 -1.556334e-01 2.779449e+00,1.856421e-01 -1.555584e-01 2.779518e+00,1.849301e-01 -1.554210e-01 2.779757e+00,1.848553e-01 -1.554180e-01 2.779893e+00,1.841753e-01 -1.549764e-01 2.781145e+00,1.836417e-01 -1.561905e-01 2.784544e+00,1.832876e-01 -1.602308e-01 2.788289e+00,1.854205e-01 -1.638459e-01 2.792589e+00,1.933050e-01 -1.590620e-01 2.792007e+00,1.925674e-01 -1.587941e-01 2.788164e+00,1.827091e-01 -1.487249e-01 2.768372e+00,1.771372e-01 -1.426333e-01 2.759959e+00,1.684869e-01 -1.366620e-01 2.746633e+00,1.678715e-01 -1.360374e-01 2.746147e+00,1.664993e-01 -1.357954e-01 2.744372e+00,1.651709e-01 -1.356127e-01 2.743458e+00,1.567326e-01 -1.272866e-01 2.736152e+00,1.542939e-01 -9.690679e-02 2.724373e+00,1.530006e-01 -9.658388e-02 2.723568e+00,1.488170e-01 -9.972922e-02 2.721212e+00,1.488682e-01 -9.966253e-02 2.720970e+00,1.462346e-01 -1.092448e-01 2.715820e+00,1.472159e-01 -1.104886e-01 2.716151e+00,1.477927e-01 -1.270767e-01 2.717091e+00,1.480488e-01 -1.321370e-01 2.717661e+00,1.460803e-01 -1.496095e-01 2.715134e+00,1.496183e-01 -1.414591e-01 2.719759e+00,1.538579e-01 -1.412734e-01 2.722671e+00,1.682714e-01 -1.438204e-01 2.732448e+00,1.775748e-01 -1.496156e-01 2.741403e+00,1.791148e-01 -1.508857e-01 2.742614e+00,1.814091e-01 -1.520755e-01 2.744385e+00,1.815693e-01 -1.524187e-01 2.744446e+00,1.832234e-01 -1.547422e-01 2.745064e+00,1.838663e-01 -1.549657e-01 2.745233e+00,1.848234e-01 -1.553710e-01 2.746188e+00,1.862308e-01 -1.556375e-01 2.747407e+00,1.866377e-01 -1.552485e-01 2.748158e+00,1.885848e-01 -1.556684e-01 2.750218e+00,1.904068e-01 -1.558577e-01 2.752370e+00,1.915681e-01 -1.559387e-01 2.754051e+00,1.928909e-01 -1.561945e-01 2.755927e+00
2.160484e-01 -3.902127e-01 2.820691e+00,2.155191e-01 -3.881232e-01 2.819947e+00,2.155133e-01 -3.881938e-01 2.820047e+00,2.147852e-01 -3.852371e-01 2.820527e+00,2.141121e-01 -3.815367e-01 2.827665e+00,2.137180e-01 -3.770656e-01 2.835031e+00,2.137517e-01 -3.747277e-01 2.842383e+00,2.124284e-01 -3.631203e-01 2.796776e+00,2.138671e-01 -3.651557e-01 2.794820e+00,2.196110e-01 -3.663572e-01 2.811194e+00,2.870022e-01 -3.392789e-01 2.728992e+00,3.375352e-01 -2.699134e-01 2.671856e+00,3.363978e-01 -1.721561e-01 2.613593e+00,3.275857e-01 -1.210982e-01 2.601168e+00,2.901488e-01 -5.563458e-02 2.581559e+00,2.680762e-01 -4.175125e-02 2.573117e+00,2.388589e-01 -1.315290e-02 2.546352e+00,2.140444e-01 1.878998e-02 2.543317e+00,2.011777e-01 3.126894e-02 2.550336e+00,1.686048e-01 6.734339e-02 2.534415e+00,1.655611e-01 5.468256e-02 2.536809e+00,1.629884e-01 3.836196e-02 2.536966e+00,1.631687e-01 2.936582e-02 2.533643e+00,1.703978e-01 1.191248e-02 2.531371e+00,1.860060e-01 -1.883308e-02 2.516950e+00,1.983620e-01 -4.731163e-02 2.495217e+00,2.163200e-01 -1.014334e-01 2.492188e+00,2.296578e-01 -1.383391e-01 2.456942e+00,2.979921e-01 -1.932460e-01 2.566743e+00,2.757412e-01 -2.336633e-01 2.562593e+00,2.844042e-01 -2.669104e-01 2.594718e+00,2.797235e-01 -3.214582e-01 2.661260e+00,2.777561e-01 -3.475474e-01 2.686462e+00,2.486432e-01 -3.675957e-01 2.742574e+00,2.374658e-01 -3.817938e-01 2.761894e+00,2.332162e-01 -3.983234e-01 2.772688e+00,2.285762e-01 -3.988380e-01 2.794277e+00,2.278980e-01 -3.985081e-01 2.807513e+00,2.288637e-01 -3.976330e-01 2.819195e+00,2.293048e-01 -3.982165e-01 2.822406e+00,2.296766e-01 -3.984017e-01 2.825920e+00,2.299476e-01 -3.981912e-01 2.827240e+00,2.287141e-01 -3.886609e-01 2.825790e+00,2.273645e-01 -3.896867e-01 2.824572e+00
1.911281e-01 -5.810917e-01 2.732270e+00,1.906454e-01 -5.785651e-01 2.730422e+00,1.905479e-01 -5.783162e-01 2.729780e+00,1.906706e-01 -5.744428e-01 2.727823e+00,1.906126e-01 -5.669367e-01 2.726480e+00,1.967954e-01 -5.597774e-01 2.727176e+00,2.277576e-01 -5.208464e-01 2.685017e+00,2.396256e-01 -3.491261e-01 2.706264e+00,2.769555e-01 -2.279624e-01 2.639673e+00,2.647547e-01 -1.952914e-01 2.688316e+00,2.640150e-01 -1.302267e-01 2.713542e+00,2.591497e-01 -5.681975e-02 2.750482e+00,2.491459e-01 -4.544460e-02 2.744397e+00,2.378754e-01 2.127404e-02 2.732922e+00,2.175112e-01 1.012072e-01 2.687989e+00,2.115183e-01 1.514825e-01 2.619197e+00,1.828317e-01 1.871145e-01 2.511167e+00,1.640659e-01 2.299633e-01 2.449657e+00,1.548582e-01 2.377696e-01 2.396915e+00,1.478894e-01 2.105626e-01 2.361439e+00,1.422559e-01 1.997936e-01 2.354774e+00,1.242394e-01 1.791621e-01 2.343106e+00,1.215634e-01 1.612824e-01 2.341456e+00,1.226876e-01 1.384408e-01 2.339402e+00,1.285995e-01 7.485519e-02 2.329179e+00,1.260094e-01 5.581191e-02 2.318191e+00,1.574127e-01 -4.456124e-02 2.266152e+00,1.703621e-01 -1.116703e-01 2.334578e+00,1.974096e-01 -2.239259e-01 2.376062e+00,1.837262e-01 -2.895634e-01 2.373570e+00,2.025969e-01 -3.600677e-01 2.416724e+00,2.229632e-01 -4.614070e-01 2.507515e+00,2.246769e-01 -4.981483e-01 2.542571e+00,2.331088e-01 -5.564451e-01 2.646924e+00,2.397687e-01 -5.741618e-01 2.673409e+00,2.478218e-01 -5.964113e-01 2.702443e+00,2.485966e-01 -6.040499e-01 2.763115e+00,2.452976e-01 -6.045666e-01 2.784199e+00,2.508941e-01 -6.035622e-01 2.806879e+00,2.507200e-01 -6.042024e-01 2.812591e+00,2.507960e-01 -6.044191e-01 2.816055e+00,2.527685e-01 -6.039912e-01 2.819499e+00,2.528695e-01 -5.943630e-01 2.816886e+00,2.518916e-01 -5.953375e-01 2.815828e+00
