3.067747e-02 -6.150603e-01 2.768684e+00,3.065443e-02 -6.150188e-01 2.768595e+00,3.047412e-02 -6.150514e-01 2.768386e+00,3.028831e-02 -6.150597e-01 2.768118e+00,3.004199e-02 -6.146564e-01 2.767672e+00,2.929685e-02 -6.141270e-01 2.766877e+00,2.799071e-02 -6.130034e-01 2.766029e+00,2.521067e-02 -6.124024e-01 2.764610e+00,2.401255e-02 -6.115863e-01 2.763476e+00,2.274707e-02 -6.121538e-01 2.762874e+00,2.242298e-02 -6.121469e-01 2.762603e+00,2.136150e-02 -6.119407e-01 2.761895e+00,2.095461e-02 -6.125087e-01 2.761796e+00,2.004699e-02 -6.144461e-01 2.761445e+00,1.939994e-02 -6.154119e-01 2.761239e+00,1.858415e-02 -6.158871e-01 2.761449e+00,1.712009e-02 -6.185193e-01 2.762233e+00,1.597411e-02 -6.213309e-01 2.762845e+00,1.587072e-02 -6.229093e-01 2.763241e+00,1.585130e-02 -6.232629e-01 2.763674e+00,1.427752e-02 -6.253664e-01 2.763955e+00,1.362831e-02 -6.261032e-01 2.764154e+00,1.337045e-02 -6.272020e-01 2.764084e+00,1.448178e-02 -6.279648e-01 2.763616e+00,1.430613e-02 -6.282620e-01 2.763555e+00,1.435914e-02 -6.285090e-01 2.763360e+00,1.360864e-02 -6.284430e-01 2.763476e+00,1.089991e-02 -6.300365e-01 2.763125e+00,1.058381e-02 -6.300775e-01 2.762701e+00,1.162899e-02 -6.276891e-01 2.762119e+00,1.251351e-02 -6.193235e-01 2.760616e+00,1.337319e-02 -6.186112e-01 2.760601e+00,1.489661e-02 -6.170866e-01 2.759371e+00,1.586298e-02 -6.160911e-01 2.759216e+00,1.572782e-02 -6.153187e-01 2.759257e+00,1.561107e-02 -6.145332e-01 2.759097e+00,1.568545e-02 -6.140714e-01 2.759136e+00,1.633682e-02 -6.133493e-01 2.759392e+00,1.784648e-02 -6.134191e-01 2.759729e+00,1.957434e-02 -6.129109e-01 2.760412e+00,2.119407e-02 -6.126477e-01 2.760991e+00,2.320347e-02 -6.134033e-01 2.761286e+00,2.746178e-02 -6.153126e-01 2.764107e+00,2.991999e-02 -6.162767e-01 2.765160e+00,3.024668e-02 -6.166269e-01 2.765243e+00,3.137797e-02 -6.163455e-01 2.765846e+00,3.172414e-02 -6.168493e-01 2.765933e+00,3.242183e-02 -6.164863e-01 2.766430e+00,3.266941e-02 -6.169338e-01 2.766542e+00,3.282874e-02 -6.169437e-01 2.766660e+00
3.283441e-02 -3.277936e-01 2.782115e+00,3.289362e-02 -3.277317e-01 2.782039e+00,3.285485e-02 -3.276964e-01 2.781949e+00,3.258860e-02 -3.277354e-01 2.781779e+00,3.251885e-02 -3.275200e-01 2.781586e+00,3.213584e-02 -3.273260e-01 2.781325e+00,3.148904e-02 -3.268743e-01 2.780792e+00,3.019582e-02 -3.264421e-01 2.779681e+00,2.984130e-02 -3.258911e-01 2.778969e+00,2.955868e-02 -3.261200e-01 2.778459e+00,2.943585e-02 -3.259066e-01 2.778174e+00,2.893895e-02 -3.257284e-01 2.777715e+00,2.887944e-02 -3.260004e-01 2.777713e+00,2.878909e-02 -3.264439e-01 2.777470e+00,2.871211e-02 -3.265948e-01 2.777591e+00,2.824428e-02 -3.262284e-01 2.777810e+00,2.466602e-02 -3.270721e-01 2.779078e+00,2.238581e-02 -3.280309e-01 2.779405e+00,2.194028e-02 -3.289199e-01 2.780578e+00,2.188439e-02 -3.296244e-01 2.781519e+00,2.101234e-02 -3.308163e-01 2.781751e+00,2.036677e-02 -3.310992e-01 2.781879e+00,2.008447e-02 -3.313101e-01 2.781808e+00,2.006322e-02 -3.316903e-01 2.781670e+00,2.015326e-02 -3.317840e-01 2.781641e+00,2.050753e-02 -3.321779e-01 2.781442e+00,2.030486e-02 -3.322059e-01 2.781297e+00,1.923928e-02 -3.331564e-01 2.780773e+00,1.930402e-02 -3.336900e-01 2.780032e+00,1.997888e-02 -3.330441e-01 2.779115e+00,2.129389e-02 -3.302583e-01 2.777281e+00,2.162060e-02 -3.296938e-01 2.776810e+00,2.264716e-02 -3.291809e-01 2.774168e+00,2.332234e-02 -3.284399e-01 2.773252e+00,2.322074e-02 -3.278102e-01 2.772554e+00,2.296182e-02 -3.274868e-01 2.771514e+00,2.284824e-02 -3.272405e-01 2.770893e+00,2.360072e-02 -3.270166e-01 2.770827e+00,2.498038e-02 -3.271911e-01 2.770856e+00,2.544993e-02 -3.271129e-01 2.770868e+00,2.668997e-02 -3.270773e-01 2.770849e+00,2.792754e-02 -3.277489e-01 2.770964e+00,2.950742e-02 -3.288010e-01 2.773187e+00,3.019509e-02 -3.289486e-01 2.773483e+00,3.058273e-02 -3.289390e-01 2.773950e+00,3.130839e-02 -3.290459e-01 2.774347e+00,3.161199e-02 -3.292211e-01 2.774961e+00,3.215588e-02 -3.291945e-01 2.775264e+00,3.235603e-02 -3.294815e-01 2.775331e+00,3.293853e-02 -3.294897e-01 2.775568e+00
3.414230e-02 -4.492820e-02 2.782819e+00,3.442972e-02 -4.482186e-02 2.782725e+00,3.448473e-02 -4.474930e-02 2.782676e+00,3.419496e-02 -4.483141e-02 2.782634e+00,3.423049e-02 -4.475693e-02 2.782592e+00,3.412578e-02 -4.474468e-02 2.782618e+00,3.397582e-02 -4.472201e-02 2.782407e+00,3.381447e-02 -4.471761e-02 2.781591e+00,3.405678e-02 -4.437656e-02 2.781173e+00,3.499762e-02 -4.444918e-02 2.780432e+00,3.518939e-02 -4.396876e-02 2.780140e+00,3.516925e-02 -4.391132e-02 2.780010e+00,3.541731e-02 -4.415995e-02 2.780150e+00,3.573539e-02 -4.411840e-02 2.779940e+00,3.652347e-02 -4.319477e-02 2.780783e+00,3.624002e-02 -4.091077e-02 2.781391e+00,2.964357e-02 -3.942883e-02 2.783628e+00,2.599462e-02 -3.899061e-02 2.783619e+00,2.581677e-02 -3.946694e-02 2.786063e+00,2.608953e-02 -4.064978e-02 2.787462e+00,2.599690e-02 -4.136859e-02 2.787467e+00,2.555319e-02 -4.130502e-02 2.787470e+00,2.520152e-02 -4.105097e-02 2.787285e+00,2.469342e-02 -4.124968e-02 2.787106e+00,2.549106e-02 -4.114604e-02 2.787032e+00,2.649696e-02 -4.173171e-02 2.786742e+00,2.652705e-02 -4.176553e-02 2.786219e+00,2.637848e-02 -4.220545e-02 2.785673e+00,2.711695e-02 -4.335472e-02 2.784309e+00,2.796953e-02 -4.358602e-02 2.782665e+00,2.978683e-02 -4.366039e-02 2.780370e+00,2.970343e-02 -4.341345e-02 2.779479e+00,3.048806e-02 -4.477055e-02 2.774478e+00,3.084608e-02 -4.445685e-02 2.772978e+00,3.071453e-02 -4.411133e-02 2.771349e+00,3.016945e-02 -4.466440e-02 2.769244e+00,2.963179e-02 -4.486456e-02 2.767507e+00,3.076433e-02 -4.521805e-02 2.767908e+00,3.201407e-02 -4.551337e-02 2.767918e+00,3.204674e-02 -4.556385e-02 2.767831e+00,3.286580e-02 -4.572946e-02 2.767500e+00,3.339802e-02 -4.633974e-02 2.767558e+00,3.315526e-02 -4.710015e-02 2.769805e+00,3.311987e-02 -4.702932e-02 2.769810e+00,3.326727e-02 -4.630143e-02 2.770953e+00,3.336427e-02 -4.662707e-02 2.771079e+00,3.330892e-02 -4.631468e-02 2.772591e+00,3.363413e-02 -4.635290e-02 2.772640e+00,3.365970e-02 -4.650225e-02 2.772597e+00,3.441243e-02 -4.652698e-02 2.772748e+00
4.269980e-02 6.128683e-02 2.792326e+00,4.215462e-02 6.135346e-02 2.791957e+00,4.276340e-02 6.060449e-02 2.792383e+00,4.303656e-02 6.046057e-02 2.792297e+00,4.263382e-02 6.107368e-02 2.792020e+00,4.297845e-02 6.030883e-02 2.792335e+00,4.297288e-02 6.122045e-02 2.791530e+00,4.372344e-02 6.125791e-02 2.791085e+00,4.410751e-02 6.189866e-02 2.790704e+00,4.429616e-02 6.255930e-02 2.789442e+00,4.393832e-02 6.324580e-02 2.788673e+00,4.374766e-02 6.349540e-02 2.788128e+00,4.340125e-02 6.332002e-02 2.788040e+00,4.315341e-02 6.336389e-02 2.787898e+00,4.211053e-02 6.355857e-02 2.788274e+00,4.021734e-02 6.505963e-02 2.789852e+00,3.846275e-02 6.553784e-02 2.792971e+00,3.827401e-02 6.516414e-02 2.794253e+00,3.978009e-02 6.195279e-02 2.799450e+00,4.113296e-02 6.050462e-02 2.801060e+00,3.906936e-02 6.104266e-02 2.802752e+00,3.845586e-02 6.056037e-02 2.803282e+00,3.732824e-02 6.155908e-02 2.802849e+00,3.691379e-02 6.385791e-02 2.802983e+00,3.755264e-02 6.585152e-02 2.802330e+00,3.735679e-02 6.627049e-02 2.802224e+00,3.728116e-02 6.618687e-02 2.802301e+00,3.758427e-02 6.618706e-02 2.802260e+00,3.751911e-02 6.596979e-02 2.801119e+00,3.730606e-02 6.604770e-02 2.800712e+00,3.630158e-02 6.631891e-02 2.798853e+00,3.444985e-02 6.682998e-02 2.797082e+00,3.308040e-02 6.656333e-02 2.792603e+00,3.237272e-02 6.615653e-02 2.791023e+00,3.207763e-02 6.763953e-02 2.788757e+00,3.201572e-02 6.679883e-02 2.786295e+00,3.173202e-02 6.687906e-02 2.785281e+00,3.239699e-02 6.597235e-02 2.783945e+00,3.220257e-02 6.571917e-02 2.783257e+00,3.225692e-02 6.571981e-02 2.783165e+00,3.299418e-02 6.493271e-02 2.782433e+00,3.414705e-02 6.475776e-02 2.781771e+00,3.550718e-02 6.447988e-02 2.781773e+00,3.659818e-02 6.438776e-02 2.781698e+00,3.728180e-02 6.331158e-02 2.781939e+00,3.827300e-02 6.155325e-02 2.782670e+00,3.834049e-02 6.137952e-02 2.782767e+00,3.895093e-02 6.055146e-02 2.783705e+00,3.930312e-02 5.989579e-02 2.783884e+00,3.958000e-02 5.934202e-02 2.784270e+00
-1.188469e-01 -1.554320e-01 2.759810e+00,-1.188857e-01 -1.553319e-01 2.759585e+00,-1.183152e-01 -1.549803e-01 2.758908e+00,-1.183504e-01 -1.549928e-01 2.758679e+00,-1.184376e-01 -1.549633e-01 2.758344e+00,-1.182686e-01 -1.550817e-01 2.757492e+00,-1.183658e-01 -1.550014e-01 2.757301e+00,-1.183876e-01 -1.551025e-01 2.757221e+00,-1.177932e-01 -1.546972e-01 2.756202e+00,-1.177517e-01 -1.546948e-01 2.756099e+00,-1.177663e-01 -1.546863e-01 2.756337e+00,-1.178174e-01 -1.546363e-01 2.756455e+00,-1.178157e-01 -1.546522e-01 2.756545e+00,-1.178438e-01 -1.546298e-01 2.756633e+00,-1.181559e-01 -1.545797e-01 2.757442e+00,-1.189947e-01 -1.558036e-01 2.759423e+00,-1.189772e-01 -1.560681e-01 2.761694e+00,-1.185671e-01 -1.556168e-01 2.762715e+00,-1.169882e-01 -1.566056e-01 2.765240e+00,-1.168904e-01 -1.568341e-01 2.766001e+00,-1.184658e-01 -1.601758e-01 2.771162e+00,-1.190850e-01 -1.591518e-01 2.771818e+00,-1.187823e-01 -1.588751e-01 2.771574e+00,-1.188017e-01 -1.577874e-01 2.771512e+00,-1.185842e-01 -1.570452e-01 2.771359e+00,-1.179610e-01 -1.566526e-01 2.770536e+00,-1.167057e-01 -1.544227e-01 2.769573e+00,-1.134898e-01 -1.533986e-01 2.766941e+00,-1.100079e-01 -1.530817e-01 2.763012e+00,-1.119036e-01 -1.534627e-01 2.762518e+00,-1.135970e-01 -1.515018e-01 2.759785e+00,-1.145348e-01 -1.514879e-01 2.759330e+00,-1.164253e-01 -1.520975e-01 2.756470e+00,-1.174032e-01 -1.523698e-01 2.755899e+00,-1.181086e-01 -1.527225e-01 2.755141e+00,-1.191910e-01 -1.534618e-01 2.752942e+00,-1.189205e-01 -1.533504e-01 2.750920e+00,-1.186636e-01 -1.518548e-01 2.748971e+00,-1.183209e-01 -1.518791e-01 2.748181e+00,-1.186049e-01 -1.523997e-01 2.749703e+00,-1.176469e-01 -1.519789e-01 2.748136e+00,-1.177951e-01 -1.527162e-01 2.747712e+00,-1.174273e-01 -1.532776e-01 2.747557e+00,-1.172752e-01 -1.541805e-01 2.747461e+00,-1.172531e-01 -1.542040e-01 2.747505e+00,-1.172009e-01 -1.548213e-01 2.748358e+00,-1.171510e-01 -1.551072e-01 2.748558e+00,-1.169996e-01 -1.558319e-01 2.749140e+00,-1.168678e-01 -1.565518e-01 2.749336e+00,-1.172170e-01 -1.571255e-01 2.750088e+00
-1.575216e-01 -3.922241e-01 2.764857e+00,-1.575952e-01 -3.930367e-01 2.764009e+00,-1.575094e-01 -3.945761e-01 2.763126e+00,-1.573345e-01 -3.933981e-01 2.762870e+00,-1.573721e-01 -3.927376e-01 2.762423e+00,-1.577087e-01 -3.933071e-01 2.761241e+00,-1.575657e-01 -3.921484e-01 2.761247e+00,-1.579905e-01 -3.930269e-01 2.760881e+00,-1.579712e-01 -3.926868e-01 2.760913e+00,-1.579821e-01 -3.916077e-01 2.760781e+00,-1.580783e-01 -3.920556e-01 2.760827e+00,-1.582027e-01 -3.936272e-01 2.761706e+00,-1.582784e-01 -3.952869e-01 2.761980e+00,-1.583074e-01 -3.961883e-01 2.762144e+00,-1.583778e-01 -3.966055e-01 2.762278e+00,-1.577471e-01 -3.932801e-01 2.763581e+00,-1.578104e-01 -3.941059e-01 2.763863e+00,-1.578558e-01 -3.941034e-01 2.764080e+00,-1.572995e-01 -3.962118e-01 2.764370e+00,-1.571005e-01 -3.972059e-01 2.764482e+00,-1.565381e-01 -3.987191e-01 2.766118e+00,-1.562990e-01 -3.997803e-01 2.769513e+00,-1.564453e-01 -4.007481e-01 2.771456e+00,-1.568412e-01 -4.012372e-01 2.773570e+00,-1.569415e-01 -4.012357e-01 2.773808e+00,-1.575544e-01 -4.022901e-01 2.774026e+00,-1.577590e-01 -4.023680e-01 2.773954e+00,-1.580868e-01 -4.026256e-01 2.773864e+00,-1.589020e-01 -4.032598e-01 2.772949e+00,-1.596726e-01 -4.037996e-01 2.771504e+00,-1.598859e-01 -4.024422e-01 2.769614e+00,-1.598328e-01 -4.022512e-01 2.768770e+00,-1.595453e-01 -4.013855e-01 2.767029e+00,-1.589319e-01 -3.982040e-01 2.766559e+00,-1.587358e-01 -3.960851e-01 2.765857e+00,-1.586940e-01 -3.964275e-01 2.764316e+00,-1.582164e-01 -3.961271e-01 2.762641e+00,-1.576676e-01 -3.965930e-01 2.761062e+00,-1.574733e-01 -3.966768e-01 2.760391e+00,-1.571784e-01 -3.968262e-01 2.760109e+00,-1.564710e-01 -3.945183e-01 2.758974e+00,-1.564134e-01 -3.949793e-01 2.758251e+00,-1.560604e-01 -3.954086e-01 2.757658e+00,-1.557581e-01 -3.956363e-01 2.757632e+00,-1.554371e-01 -3.957971e-01 2.757609e+00,-1.544817e-01 -3.952267e-01 2.757557e+00,-1.541118e-01 -3.946037e-01 2.757773e+00,-1.536882e-01 -3.931408e-01 2.758431e+00,-1.536808e-01 -3.932932e-01 2.758370e+00,-1.537084e-01 -3.927408e-01 2.758698e+00
-1.613229e-01 -5.871586e-01 2.689669e+00,-1.613892e-01 -5.881096e-01 2.689250e+00,-1.618284e-01 -5.897022e-01 2.688566e+00,-1.618885e-01 -5.885549e-01 2.688370e+00,-1.618943e-01 -5.880105e-01 2.688246e+00,-1.619901e-01 -5.887313e-01 2.687538e+00,-1.621131e-01 -5.876051e-01 2.687652e+00,-1.629204e-01 -5.883434e-01 2.686892e+00,-1.632441e-01 -5.879792e-01 2.686876e+00,-1.633803e-01 -5.870690e-01 2.687270e+00,-1.638026e-01 -5.874764e-01 2.687227e+00,-1.640996e-01 -5.886781e-01 2.686996e+00,-1.644619e-01 -5.901463e-01 2.686735e+00,-1.647615e-01 -5.910001e-01 2.686795e+00,-1.649052e-01 -5.913593e-01 2.686766e+00,-1.647281e-01 -5.879724e-01 2.687894e+00,-1.646468e-01 -5.885300e-01 2.687365e+00,-1.645225e-01 -5.883878e-01 2.687150e+00,-1.643377e-01 -5.900329e-01 2.686152e+00,-1.640097e-01 -5.908101e-01 2.685637e+00,-1.631964e-01 -5.914111e-01 2.684710e+00,-1.632365e-01 -5.909967e-01 2.684224e+00,-1.633580e-01 -5.915152e-01 2.685027e+00,-1.641506e-01 -5.923452e-01 2.688056e+00,-1.660337e-01 -5.931097e-01 2.690507e+00,-1.685746e-01 -5.958071e-01 2.695569e+00,-1.698001e-01 -5.961360e-01 2.696410e+00,-1.708267e-01 -5.965194e-01 2.696828e+00,-1.708290e-01 -5.974388e-01 2.696581e+00,-1.704311e-01 -5.988548e-01 2.696069e+00,-1.689694e-01 -6.004416e-01 2.691840e+00,-1.675104e-01 -5.960978e-01 2.690729e+00,-1.668724e-01 -5.948563e-01 2.687856e+00,-1.666318e-01 -5.921925e-01 2.688884e+00,-1.666433e-01 -5.905713e-01 2.689653e+00,-1.660721e-01 -5.917191e-01 2.690506e+00,-1.641485e-01 -5.923812e-01 2.691738e+00,-1.628351e-01 -5.966519e-01 2.689165e+00,-1.616692e-01 -5.927770e-01 2.688828e+00,-1.609404e-01 -5.931323e-01 2.689178e+00,-1.600078e-01 -5.908656e-01 2.688107e+00,-1.595467e-01 -5.913951e-01 2.687589e+00,-1.586886e-01 -5.920454e-01 2.687707e+00,-1.585435e-01 -5.922128e-01 2.687491e+00,-1.585396e-01 -5.922886e-01 2.687206e+00,-1.586436e-01 -5.916353e-01 2.686947e+00,-1.586341e-01 -5.909297e-01 2.686912e+00,-1.588883e-01 -5.893434e-01 2.687207e+00,-1.589074e-01 -5.894276e-01 2.686927e+00,-1.588387e-01 -5.888757e-01 2.687240e+00
-1.502582e-01 -6.173854e-01 2.678821e+00,-1.500039e-01 -6.171495e-01 2.678568e+00,-1.502330e-01 -6.155825e-01 2.679516e+00,-1.501870e-01 -6.114150e-01 2.679019e+00,-1.495944e-01 -6.151949e-01 2.679201e+00,-1.495733e-01 -6.154532e-01 2.678831e+00,-1.501927e-01 -6.098529e-01 2.678683e+00,-1.512965e-01 -6.148435e-01 2.677129e+00,-1.534997e-01 -6.157983e-01 2.678587e+00,-1.534555e-01 -6.136193e-01 2.678491e+00,-1.549580e-01 -6.114907e-01 2.680994e+00,-1.542500e-01 -6.164544e-01 2.682741e+00,-1.536344e-01 -6.168678e-01 2.683657e+00,-1.538484e-01 -6.155485e-01 2.683068e+00,-1.532483e-01 -6.153752e-01 2.679698e+00,-1.530804e-01 -6.161221e-01 2.679914e+00,-1.518071e-01 -6.141638e-01 2.676990e+00,-1.483537e-01 -6.144215e-01 2.677216e+00,-1.494681e-01 -6.098871e-01 2.678778e+00,-1.483027e-01 -6.105224e-01 2.679147e+00,-1.477983e-01 -6.098883e-01 2.675763e+00,-1.473918e-01 -6.094485e-01 2.679899e+00,-1.479110e-01 -6.097293e-01 2.681836e+00,-1.523513e-01 -6.111912e-01 2.688734e+00,-1.548609e-01 -6.130412e-01 2.691173e+00,-1.575324e-01 -6.184368e-01 2.698104e+00,-1.582967e-01 -6.201135e-01 2.695940e+00,-1.601160e-01 -6.197982e-01 2.695537e+00,-1.597627e-01 -6.335192e-01 2.691836e+00,-1.572008e-01 -6.328774e-01 2.686798e+00,-1.528258e-01 -6.301052e-01 2.680540e+00,-1.519977e-01 -6.309126e-01 2.679807e+00,-1.522184e-01 -6.168853e-01 2.677915e+00,-1.529576e-01 -6.169792e-01 2.680737e+00,-1.535964e-01 -6.179608e-01 2.682002e+00,-1.530992e-01 -6.265648e-01 2.682246e+00,-1.532031e-01 -6.290700e-01 2.681022e+00,-1.491225e-01 -6.336228e-01 2.681088e+00,-1.483238e-01 -6.245214e-01 2.680147e+00,-1.476129e-01 -6.235427e-01 2.681462e+00,-1.474344e-01 -6.147428e-01 2.677152e+00,-1.462692e-01 -6.193892e-01 2.676650e+00,-1.467526e-01 -6.234515e-01 2.679588e+00,-1.468344e-01 -6.202173e-01 2.679703e+00,-1.459402e-01 -6.197480e-01 2.679138e+00,-1.460784e-01 -6.204181e-01 2.678486e+00,-1.466424e-01 -6.205335e-01 2.679195e+00,-1.465399e-01 -6.190397e-01 2.680245e+00,-1.465163e-01 -6.183875e-01 2.678469e+00,-1.469967e-01 -6.195546e-01 2.681089e+00
1.800250e-01 -1.649687e-01 2.776288e+00,1.800030e-01 -1.647445e-01 2.776412e+00,1.800531e-01 -1.647211e-01 2.776479e+00,1.795067e-01 -1.638512e-01 2.776300e+00,1.793208e-01 -1.636648e-01 2.775895e+00,1.787765e-01 -1.626746e-01 2.775776e+00,1.787515e-01 -1.625285e-01 2.775679e+00,1.793142e-01 -1.616779e-01 2.776428e+00,1.798355e-01 -1.609310e-01 2.776938e+00,1.806676e-01 -1.600481e-01 2.777776e+00,1.804742e-01 -1.591876e-01 2.777550e+00,1.815639e-01 -1.619461e-01 2.771970e+00,1.799753e-01 -1.659395e-01 2.766640e+00,1.784700e-01 -1.719485e-01 2.759812e+00,1.776571e-01 -1.754078e-01 2.752234e+00,1.774799e-01 -1.749813e-01 2.750758e+00,1.776359e-01 -1.772575e-01 2.747526e+00,1.650861e-01 -1.869823e-01 2.739563e+00,1.624694e-01 -1.910099e-01 2.737695e+00,1.618919e-01 -1.908900e-01 2.737392e+00,1.581938e-01 -1.921841e-01 2.735390e+00,1.574205e-01 -1.922907e-01 2.734799e+00,1.572164e-01 -1.925474e-01 2.734290e+00,1.569132e-01 -1.925762e-01 2.733593e+00,1.570187e-01 -1.926690e-01 2.733183e+00,1.566091e-01 -1.943114e-01 2.731759e+00,1.528837e-01 -1.993793e-01 2.726856e+00,1.521544e-01 -2.024670e-01 2.724501e+00,1.516568e-01 -2.025896e-01 2.723316e+00,1.523095e-01 -1.824209e-01 2.724573e+00,1.554524e-01 -1.663413e-01 2.726571e+00,1.598832e-01 -1.636976e-01 2.730276e+00,1.682216e-01 -1.631513e-01 2.739145e+00,1.716020e-01 -1.610857e-01 2.743868e+00,1.727126e-01 -1.598810e-01 2.745852e+00,1.743958e-01 -1.597054e-01 2.750142e+00,1.751468e-01 -1.590556e-01 2.751772e+00,1.756094e-01 -1.590489e-01 2.754054e+00,1.756011e-01 -1.590388e-01 2.754064e+00,1.755713e-01 -1.590297e-01 2.754191e+00,1.760566e-01 -1.585524e-01 2.755380e+00,1.762984e-01 -1.585310e-01 2.755940e+00,1.773424e-01 -1.584779e-01 2.759101e+00,1.777281e-01 -1.586112e-01 2.760209e+00,1.779535e-01 -1.584822e-01 2.760993e+00,1.784622e-01 -1.592213e-01 2.762679e+00,1.786099e-01 -1.596232e-01 2.763401e+00,1.793609e-01 -1.611246e-01 2.764802e+00,1.797466e-01 -1.610883e-01 2.765476e+00,1.800623e-01 -1.609277e-01 2.766430e+00
2.137690e-01 -4.032616e-01 2.802339e+00,2.137810e-01 -4.032598e-01 2.802338e+00,2.138772e-01 -4.031987e-01 2.802440e+00,2.143558e-01 -4.035178e-01 2.803419e+00,2.149043e-01 -4.035813e-01 2.804980e+00,2.163139e-01 -3.956115e-01 2.814029e+00,2.179825e-01 -3.829736e-01 2.822643e+00,2.214327e-01 -3.677261e-01 2.827138e+00,2.233478e-01 -3.556516e-01 2.830356e+00,2.287721e-01 -3.562371e-01 2.802845e+00,2.534052e-01 -3.517136e-01 2.774137e+00,2.593077e-01 -3.527122e-01 2.766015e+00,2.618080e-01 -3.550155e-01 2.759606e+00,2.670754e-01 -3.514448e-01 2.693472e+00,2.645345e-01 -3.203726e-01 2.618004e+00,2.572160e-01 -2.946350e-01 2.587162e+00,1.928460e-01 -1.717507e-01 2.526494e+00,1.804405e-01 -1.489387e-01 2.499523e+00,2.223233e-01 -9.376805e-02 2.549496e+00,2.229499e-01 -9.908177e-02 2.546740e+00,1.693692e-01 -1.157996e-01 2.480288e+00,1.691412e-01 -1.155701e-01 2.475394e+00,1.704672e-01 -1.167287e-01 2.471931e+00,1.598890e-01 -1.157718e-01 2.449860e+00,1.620091e-01 -1.171130e-01 2.449140e+00,1.790826e-01 -1.338828e-01 2.463991e+00,1.924567e-01 -1.551230e-01 2.464418e+00,2.025821e-01 -1.702755e-01 2.464509e+00,2.227865e-01 -2.110391e-01 2.486953e+00,2.320699e-01 -2.469859e-01 2.507541e+00,2.348497e-01 -2.735197e-01 2.521583e+00,2.354277e-01 -3.254442e-01 2.563986e+00,2.510345e-01 -3.562389e-01 2.590228e+00,2.597925e-01 -3.460686e-01 2.750506e+00,2.468277e-01 -3.494091e-01 2.762729e+00,2.311237e-01 -3.655657e-01 2.783167e+00,2.319153e-01 -3.642125e-01 2.785319e+00,2.312716e-01 -3.700851e-01 2.792191e+00,2.297257e-01 -3.780970e-01 2.794719e+00,2.286371e-01 -3.835042e-01 2.796612e+00,2.271976e-01 -3.924393e-01 2.798487e+00,2.267650e-01 -3.922908e-01 2.799735e+00,2.258564e-01 -3.948267e-01 2.802673e+00,2.258373e-01 -3.977050e-01 2.803033e+00,2.253701e-01 -3.988124e-01 2.802908e+00,2.236796e-01 -4.026651e-01 2.801559e+00,2.229847e-01 -4.035517e-01 2.801052e+00,2.224070e-01 -4.040190e-01 2.800919e+00,2.223624e-01 -4.048675e-01 2.800567e+00,2.224092e-01 -4.058852e-01 2.800523e+00
2.105128e-01 -5.949159e-01 2.717964e+00,2.108994e-01 -5.948021e-01 2.717656e+00,2.111447e-01 -5.946162e-01 2.717411e+00,2.120499e-01 -5.938732e-01 2.715661e+00,2.208852e-01 -5.906863e-01 2.709845e+00,2.370839e-01 -5.633028e-01 2.686623e+00,2.534888e-01 -5.287843e-01 2.671780e+00,2.783668e-01 -4.476572e-01 2.636092e+00,2.861103e-01 -3.590806e-01 2.624000e+00,2.527814e-01 -2.983416e-01 2.671315e+00,2.517904e-01 -2.616948e-01 2.665336e+00,2.294470e-01 -1.555907e-01 2.625346e+00,2.176935e-01 -1.634324e-01 2.653052e+00,1.456150e-01 -1.482720e-01 2.642436e+00,1.735075e-01 -1.218994e-01 2.599629e+00,1.470107e-01 -1.114893e-01 2.557051e+00,1.305372e-01 -9.447516e-02 2.444289e+00,1.204599e-01 -8.854493e-02 2.400622e+00,1.117131e-01 -1.401327e-01 2.298306e+00,1.105275e-01 -1.460537e-01 2.300390e+00,1.090353e-01 -8.424509e-02 2.275149e+00,1.067920e-01 -8.022202e-02 2.271513e+00,1.058599e-01 -7.733506e-02 2.269538e+00,1.238552e-01 -8.873854e-02 2.330590e+00,1.239404e-01 -8.818139e-02 2.325207e+00,1.392691e-01 -9.869544e-02 2.343564e+00,1.442847e-01 -1.069221e-01 2.344914e+00,1.532462e-01 -1.194684e-01 2.356339e+00,1.741674e-01 -1.614667e-01 2.399325e+00,1.946980e-01 -2.026260e-01 2.437586e+00,2.169680e-01 -2.567828e-01 2.482009e+00,1.743558e-01 -2.218801e-01 2.384971e+00,2.295442e-01 -3.426682e-01 2.526221e+00,2.141744e-01 -3.727343e-01 2.482388e+00,2.266474e-01 -3.962005e-01 2.552928e+00,2.275454e-01 -4.879664e-01 2.607479e+00,2.264422e-01 -5.175239e-01 2.637833e+00,2.338677e-01 -5.435380e-01 2.671299e+00,2.404306e-01 -5.609250e-01 2.690911e+00,2.459397e-01 -5.708616e-01 2.703528e+00,2.503860e-01 -5.862451e-01 2.724083e+00,2.501759e-01 -5.886584e-01 2.733904e+00,2.352681e-01 -5.939301e-01 2.742706e+00,2.160972e-01 -5.930803e-01 2.729610e+00,2.130617e-01 -5.926097e-01 2.725138e+00,2.356335e-01 -6.021647e-01 2.744000e+00,2.221615e-01 -6.005303e-01 2.732302e+00,2.133129e-01 -5.974006e-01 2.721550e+00,1.785691e-01 -5.816573e-01 2.694439e+00,2.015551e-01 -5.944690e-01 2.710940e+00
