4.206814e-02 -6.139386e-01 2.764923e+00,4.192366e-02 -6.138720e-01 2.764945e+00,4.155094e-02 -6.139508e-01 2.765048e+00,4.132187e-02 -6.139020e-01 2.765206e+00,4.018363e-02 -6.142238e-01 2.764788e+00,3.230345e-02 -6.111524e-01 2.764102e+00,3.095609e-02 -6.102604e-01 2.764320e+00,3.008195e-02 -6.091662e-01 2.765435e+00,2.875351e-02 -6.098464e-01 2.766119e+00,2.882344e-02 -6.126791e-01 2.767456e+00,2.965642e-02 -6.148270e-01 2.767903e+00,2.975500e-02 -6.190032e-01 2.768777e+00,3.010176e-02 -6.233522e-01 2.768229e+00,3.024432e-02 -6.233836e-01 2.767959e+00,3.048612e-02 -6.245403e-01 2.767259e+00,3.059727e-02 -6.296906e-01 2.765783e+00,2.884959e-02 -6.307710e-01 2.765500e+00,2.826784e-02 -6.134066e-01 2.765431e+00,2.869410e-02 -6.139703e-01 2.765164e+00,2.838650e-02 -6.153200e-01 2.764606e+00,2.796095e-02 -6.148361e-01 2.764465e+00,2.682517e-02 -6.111335e-01 2.764366e+00,2.584586e-02 -6.094968e-01 2.764578e+00,2.564948e-02 -6.089969e-01 2.764360e+00,2.503023e-02 -6.085384e-01 2.764323e+00,2.504528e-02 -6.080644e-01 2.764113e+00,2.379524e-02 -6.064968e-01 2.763789e+00,2.371698e-02 -6.063221e-01 2.763724e+00,2.403023e-02 -6.062925e-01 2.763741e+00,2.406361e-02 -6.062038e-01 2.763691e+00,2.392266e-02 -6.062567e-01 2.763768e+00,2.401944e-02 -6.064272e-01 2.763733e+00,2.438369e-02 -6.068373e-01 2.763728e+00,2.409893e-02 -6.072847e-01 2.763507e+00,2.431872e-02 -6.077511e-01 2.763206e+00,2.506494e-02 -6.085672e-01 2.762838e+00,2.633725e-02 -6.097716e-01 2.762427e+00,2.908318e-02 -6.119434e-01 2.761442e+00,3.103954e-02 -6.124501e-01 2.760919e+00,3.404944e-02 -6.126443e-01 2.760574e+00,3.506476e-02 -6.121586e-01 2.760525e+00,3.622724e-02 -6.123837e-01 2.760502e+00,3.667125e-02 -6.125489e-01 2.760375e+00,3.723984e-02 -6.124867e-01 2.760238e+00,3.818666e-02 -6.123102e-01 2.759901e+00,3.879694e-02 -6.123405e-01 2.759801e+00,3.896517e-02 -6.124534e-01 2.759588e+00,4.109468e-02 -6.133333e-01 2.759753e+00
4.292836e-02 -3.269473e-01 2.775882e+00,4.309262e-02 -3.265862e-01 2.776183e+00,4.310538e-02 -3.265311e-01 2.776361e+00,4.308787e-02 -3.264662e-01 2.776614e+00,4.302173e-02 -3.264875e-01 2.776612e+00,4.171496e-02 -3.259152e-01 2.776779e+00,4.133179e-02 -3.257107e-01 2.776887e+00,4.039180e-02 -3.255014e-01 2.777589e+00,3.964519e-02 -3.256332e-01 2.777756e+00,4.379007e-02 -3.194792e-01 2.776702e+00,4.397133e-02 -3.194661e-01 2.776574e+00,4.415223e-02 -3.196219e-01 2.776157e+00,4.405779e-02 -3.202900e-01 2.774587e+00,4.476871e-02 -3.162425e-01 2.772548e+00,4.429279e-02 -3.158731e-01 2.771100e+00,4.410442e-02 -3.175296e-01 2.769969e+00,4.291140e-02 -3.152616e-01 2.769125e+00,4.038118e-02 -3.099583e-01 2.769844e+00,3.825356e-02 -3.120205e-01 2.770797e+00,3.572134e-02 -3.147975e-01 2.771677e+00,3.495763e-02 -3.160432e-01 2.772084e+00,3.416482e-02 -3.161488e-01 2.772382e+00,3.250758e-02 -3.169149e-01 2.773104e+00,3.142925e-02 -3.173904e-01 2.773133e+00,3.087708e-02 -3.174982e-01 2.773163e+00,3.082276e-02 -3.175209e-01 2.773139e+00,2.965840e-02 -3.178070e-01 2.773120e+00,2.940851e-02 -3.180597e-01 2.773089e+00,2.953512e-02 -3.185615e-01 2.773167e+00,2.953391e-02 -3.186173e-01 2.773184e+00,2.970089e-02 -3.175973e-01 2.773224e+00,3.028037e-02 -3.184022e-01 2.773191e+00,3.088569e-02 -3.189373e-01 2.773319e+00,3.129723e-02 -3.203180e-01 2.773214e+00,3.199152e-02 -3.212223e-01 2.773052e+00,3.247681e-02 -3.217683e-01 2.772897e+00,3.357096e-02 -3.226247e-01 2.772863e+00,3.514932e-02 -3.218869e-01 2.772173e+00,3.628715e-02 -3.213753e-01 2.771837e+00,3.841759e-02 -3.213471e-01 2.771526e+00,3.932847e-02 -3.216036e-01 2.771390e+00,4.020202e-02 -3.222239e-01 2.771133e+00,4.151369e-02 -3.231257e-01 2.771046e+00,4.270865e-02 -3.233285e-01 2.771029e+00,4.416053e-02 -3.239174e-01 2.770604e+00,4.530112e-02 -3.242350e-01 2.770795e+00,4.568474e-02 -3.245497e-01 2.770705e+00,4.611031e-02 -3.249157e-01 2.770811e+00
4.463533e-02 -4.469188e-02 2.773809e+00,4.555787e-02 -4.352318e-02 2.774969e+00,4.581082e-02 -4.330746e-02 2.775405e+00,4.591870e-02 -4.325331e-02 2.775810e+00,4.606098e-02 -4.323193e-02 2.775937e+00,4.672437e-02 -4.341263e-02 2.776491e+00,4.701581e-02 -4.363719e-02 2.776610e+00,4.685260e-02 -4.466311e-02 2.776974e+00,4.680998e-02 -4.466991e-02 2.776939e+00,6.557310e-02 -1.175527e-02 2.768210e+00,6.435854e-02 -1.367559e-02 2.767980e+00,6.378075e-02 -1.441701e-02 2.766700e+00,6.113403e-02 -1.606322e-02 2.764030e+00,6.082203e-02 -7.103437e-03 2.761381e+00,5.853390e-02 -6.683591e-03 2.759362e+00,5.801820e-02 -7.735578e-03 2.758675e+00,5.687085e-02 1.963544e-03 2.757129e+00,4.946819e-02 -1.949860e-03 2.760688e+00,3.884462e-02 -1.476952e-02 2.767029e+00,3.706621e-02 -1.890462e-02 2.768713e+00,3.728500e-02 -2.606410e-02 2.769958e+00,3.641718e-02 -2.865800e-02 2.770437e+00,3.532591e-02 -3.151824e-02 2.771218e+00,3.398333e-02 -3.285802e-02 2.770925e+00,3.376741e-02 -3.316099e-02 2.770850e+00,3.372568e-02 -3.349121e-02 2.770786e+00,3.283162e-02 -3.569581e-02 2.770583e+00,3.250249e-02 -3.669882e-02 2.770507e+00,3.311132e-02 -3.778698e-02 2.770630e+00,3.317133e-02 -3.798924e-02 2.770723e+00,3.530804e-02 -3.240430e-02 2.770181e+00,3.687973e-02 -3.479659e-02 2.770151e+00,3.767453e-02 -3.550852e-02 2.770424e+00,3.921679e-02 -3.936987e-02 2.770480e+00,4.023308e-02 -4.043273e-02 2.770660e+00,4.038415e-02 -4.061274e-02 2.770619e+00,4.111780e-02 -4.101053e-02 2.770798e+00,4.263833e-02 -3.566350e-02 2.769653e+00,4.312241e-02 -3.435430e-02 2.769456e+00,4.415264e-02 -3.438169e-02 2.769307e+00,4.500230e-02 -3.569594e-02 2.769094e+00,4.541260e-02 -3.682413e-02 2.768625e+00,4.740700e-02 -3.884599e-02 2.768814e+00,4.902725e-02 -3.936866e-02 2.769041e+00,5.098594e-02 -4.108200e-02 2.768560e+00,5.247480e-02 -4.164559e-02 2.769191e+00,5.301286e-02 -4.213792e-02 2.769294e+00,5.243102e-02 -4.226011e-02 2.769388e+00
5.448350e-02 6.643948e-02 2.782170e+00,5.452005e-02 6.735080e-02 2.782342e+00,5.466186e-02 6.742644e-02 2.783118e+00,5.464548e-02 6.766879e-02 2.783211e+00,5.483565e-02 6.773023e-02 2.783290e+00,5.467813e-02 6.772660e-02 2.783306e+00,5.465418e-02 6.798731e-02 2.783246e+00,5.357690e-02 6.766897e-02 2.783966e+00,5.238289e-02 6.763931e-02 2.784344e+00,4.983235e-02 8.024566e-02 2.780966e+00,5.129496e-02 7.937130e-02 2.782234e+00,5.327025e-02 7.976012e-02 2.782958e+00,5.559877e-02 7.952125e-02 2.782912e+00,5.461944e-02 8.876396e-02 2.780733e+00,5.468865e-02 9.039634e-02 2.782019e+00,5.309457e-02 8.973611e-02 2.782969e+00,4.442462e-02 9.871732e-02 2.780900e+00,4.116135e-02 9.517136e-02 2.784264e+00,4.213253e-02 8.199088e-02 2.788862e+00,4.127805e-02 7.785139e-02 2.790890e+00,4.036514e-02 7.073619e-02 2.792616e+00,3.941946e-02 6.807239e-02 2.793019e+00,3.877477e-02 6.829995e-02 2.791580e+00,3.955860e-02 6.766496e-02 2.790014e+00,3.977651e-02 6.827216e-02 2.789225e+00,3.988734e-02 6.828467e-02 2.788756e+00,4.092490e-02 6.823862e-02 2.786683e+00,4.167467e-02 6.825764e-02 2.785938e+00,4.255032e-02 6.857915e-02 2.784683e+00,4.270417e-02 6.863490e-02 2.784136e+00,4.370136e-02 6.899210e-02 2.783181e+00,4.429684e-02 6.886344e-02 2.782742e+00,4.424853e-02 6.886853e-02 2.782698e+00,4.595385e-02 6.816077e-02 2.781580e+00,4.823923e-02 6.833091e-02 2.780920e+00,4.832416e-02 6.828829e-02 2.780787e+00,4.860985e-02 6.829471e-02 2.780693e+00,4.981593e-02 6.808856e-02 2.780196e+00,5.131953e-02 6.744144e-02 2.779906e+00,5.323389e-02 6.707883e-02 2.779671e+00,5.422253e-02 6.760443e-02 2.778638e+00,5.456018e-02 6.768796e-02 2.778462e+00,5.593298e-02 6.702029e-02 2.778266e+00,5.594149e-02 6.695346e-02 2.778193e+00,5.657773e-02 6.693634e-02 2.778195e+00,5.695040e-02 6.701227e-02 2.778313e+00,5.724876e-02 6.665652e-02 2.778338e+00,5.735547e-02 6.675215e-02 2.778405e+00
-1.103854e-01 -1.505262e-01 2.753111e+00,-1.100629e-01 -1.504357e-01 2.753802e+00,-1.097556e-01 -1.509399e-01 2.754791e+00,-1.098346e-01 -1.509545e-01 2.756014e+00,-1.095462e-01 -1.509515e-01 2.756069e+00,-1.086733e-01 -1.507508e-01 2.756882e+00,-1.086906e-01 -1.508313e-01 2.757177e+00,-1.083856e-01 -1.513795e-01 2.757416e+00,-1.082338e-01 -1.512204e-01 2.757504e+00,-1.118956e-01 -1.525773e-01 2.760724e+00,-1.131489e-01 -1.540622e-01 2.761719e+00,-1.138889e-01 -1.553172e-01 2.762594e+00,-1.154972e-01 -1.606828e-01 2.767091e+00,-1.155540e-01 -1.637859e-01 2.767920e+00,-1.163387e-01 -1.678576e-01 2.770556e+00,-1.164883e-01 -1.736488e-01 2.769833e+00,-1.147967e-01 -1.729079e-01 2.768743e+00,-1.170384e-01 -1.626593e-01 2.770176e+00,-1.166159e-01 -1.619225e-01 2.770466e+00,-1.143499e-01 -1.585506e-01 2.770283e+00,-1.144285e-01 -1.585578e-01 2.770288e+00,-1.146538e-01 -1.581709e-01 2.770492e+00,-1.161051e-01 -1.566995e-01 2.770355e+00,-1.167564e-01 -1.564370e-01 2.769634e+00,-1.172779e-01 -1.563464e-01 2.769282e+00,-1.175332e-01 -1.562903e-01 2.768353e+00,-1.155044e-01 -1.533897e-01 2.764713e+00,-1.158136e-01 -1.534639e-01 2.764533e+00,-1.158245e-01 -1.526419e-01 2.763310e+00,-1.159608e-01 -1.528410e-01 2.763097e+00,-1.159155e-01 -1.530214e-01 2.762577e+00,-1.159565e-01 -1.517015e-01 2.762262e+00,-1.159481e-01 -1.518979e-01 2.761960e+00,-1.147541e-01 -1.510744e-01 2.760253e+00,-1.126226e-01 -1.494325e-01 2.758080e+00,-1.123744e-01 -1.498350e-01 2.757724e+00,-1.120910e-01 -1.506736e-01 2.757316e+00,-1.117055e-01 -1.513063e-01 2.757063e+00,-1.113288e-01 -1.512067e-01 2.757035e+00,-1.105600e-01 -1.517057e-01 2.756346e+00,-1.102525e-01 -1.515422e-01 2.756213e+00,-1.097918e-01 -1.515554e-01 2.755849e+00,-1.090415e-01 -1.520783e-01 2.755467e+00,-1.087361e-01 -1.521290e-01 2.755237e+00,-1.082380e-01 -1.522281e-01 2.754872e+00,-1.074913e-01 -1.520632e-01 2.754616e+00,-1.073351e-01 -1.522433e-01 2.754486e+00,-1.070680e-01 -1.525799e-01 2.754524e+00
-1.535572e-01 -3.907801e-01 2.756175e+00,-1.534863e-01 -3.913334e-01 2.756546e+00,-1.530722e-01 -3.924455e-01 2.757165e+00,-1.522180e-01 -3.940410e-01 2.757591e+00,-1.518224e-01 -3.931131e-01 2.758163e+00,-1.517080e-01 -3.924524e-01 2.760256e+00,-1.514322e-01 -3.914933e-01 2.761054e+00,-1.510558e-01 -3.908717e-01 2.762211e+00,-1.500514e-01 -3.919241e-01 2.762397e+00,-1.457592e-01 -3.906944e-01 2.763525e+00,-1.453382e-01 -3.902629e-01 2.763978e+00,-1.445226e-01 -3.903659e-01 2.765205e+00,-1.434002e-01 -3.933688e-01 2.766984e+00,-1.419239e-01 -3.886577e-01 2.769678e+00,-1.414981e-01 -3.826586e-01 2.772310e+00,-1.416126e-01 -3.891979e-01 2.773291e+00,-1.415414e-01 -3.892696e-01 2.773582e+00,-1.420492e-01 -3.960866e-01 2.776064e+00,-1.421854e-01 -3.970411e-01 2.776814e+00,-1.427499e-01 -3.979594e-01 2.778057e+00,-1.431524e-01 -3.980888e-01 2.778341e+00,-1.432965e-01 -3.982684e-01 2.778381e+00,-1.436594e-01 -3.989837e-01 2.777730e+00,-1.439244e-01 -3.997042e-01 2.777238e+00,-1.439977e-01 -3.998694e-01 2.777222e+00,-1.446843e-01 -4.000862e-01 2.776663e+00,-1.477568e-01 -3.988996e-01 2.775345e+00,-1.487206e-01 -3.981293e-01 2.774982e+00,-1.504481e-01 -3.972750e-01 2.772868e+00,-1.507004e-01 -3.970259e-01 2.772493e+00,-1.521696e-01 -3.932576e-01 2.771842e+00,-1.526372e-01 -3.931477e-01 2.771281e+00,-1.528326e-01 -3.930339e-01 2.771125e+00,-1.533828e-01 -3.925169e-01 2.770328e+00,-1.535975e-01 -3.932337e-01 2.768861e+00,-1.534644e-01 -3.933024e-01 2.768570e+00,-1.532888e-01 -3.934075e-01 2.768297e+00,-1.523204e-01 -3.951712e-01 2.766449e+00,-1.521517e-01 -3.954994e-01 2.766142e+00,-1.504034e-01 -3.967623e-01 2.764679e+00,-1.498643e-01 -3.969350e-01 2.763968e+00,-1.493707e-01 -3.971349e-01 2.763399e+00,-1.488524e-01 -3.970645e-01 2.762668e+00,-1.482125e-01 -3.967353e-01 2.762509e+00,-1.471126e-01 -3.969580e-01 2.761548e+00,-1.467494e-01 -3.972116e-01 2.761335e+00,-1.455535e-01 -3.953018e-01 2.761342e+00,-1.441616e-01 -3.926390e-01 2.761047e+00
-1.579207e-01 -5.821680e-01 2.682754e+00,-1.580876e-01 -5.826597e-01 2.682961e+00,-1.581412e-01 -5.835945e-01 2.683093e+00,-1.583248e-01 -5.849099e-01 2.682793e+00,-1.583662e-01 -5.839645e-01 2.683333e+00,-1.584145e-01 -5.832068e-01 2.685147e+00,-1.593212e-01 -5.824332e-01 2.686635e+00,-1.597199e-01 -5.819824e-01 2.688412e+00,-1.591818e-01 -5.831919e-01 2.689163e+00,-1.578303e-01 -5.819804e-01 2.690856e+00,-1.572690e-01 -5.814568e-01 2.690989e+00,-1.547056e-01 -5.813762e-01 2.691328e+00,-1.528269e-01 -5.831191e-01 2.689308e+00,-1.517487e-01 -5.781187e-01 2.691188e+00,-1.501048e-01 -5.724754e-01 2.694584e+00,-1.503353e-01 -5.782264e-01 2.693446e+00,-1.502625e-01 -5.785585e-01 2.694458e+00,-1.514664e-01 -5.839927e-01 2.693372e+00,-1.515434e-01 -5.845573e-01 2.693109e+00,-1.519756e-01 -5.849878e-01 2.693097e+00,-1.520350e-01 -5.849147e-01 2.692828e+00,-1.514439e-01 -5.849365e-01 2.692386e+00,-1.511597e-01 -5.858623e-01 2.692197e+00,-1.509435e-01 -5.866333e-01 2.691790e+00,-1.496799e-01 -5.867630e-01 2.691563e+00,-1.494577e-01 -5.870872e-01 2.691206e+00,-1.499624e-01 -5.866230e-01 2.691579e+00,-1.498843e-01 -5.859886e-01 2.691528e+00,-1.565520e-01 -5.845898e-01 2.688287e+00,-1.567968e-01 -5.844099e-01 2.688085e+00,-1.558041e-01 -5.813448e-01 2.689034e+00,-1.554916e-01 -5.814429e-01 2.688978e+00,-1.553461e-01 -5.814545e-01 2.689138e+00,-1.566531e-01 -5.813129e-01 2.689379e+00,-1.574539e-01 -5.825306e-01 2.689325e+00,-1.584443e-01 -5.824714e-01 2.688763e+00,-1.587459e-01 -5.826436e-01 2.688717e+00,-1.584783e-01 -5.846138e-01 2.687528e+00,-1.581981e-01 -5.848687e-01 2.687008e+00,-1.564469e-01 -5.858869e-01 2.684881e+00,-1.561769e-01 -5.862174e-01 2.684634e+00,-1.534325e-01 -5.862784e-01 2.683494e+00,-1.520936e-01 -5.861711e-01 2.682611e+00,-1.526340e-01 -5.857375e-01 2.682237e+00,-1.526928e-01 -5.860023e-01 2.681486e+00,-1.527390e-01 -5.862193e-01 2.681213e+00,-1.526952e-01 -5.845213e-01 2.681900e+00,-1.505521e-01 -5.822073e-01 2.682467e+00
-1.480878e-01 -6.028985e-01 2.677464e+00,-1.486980e-01 -6.024671e-01 2.679673e+00,-1.478764e-01 -6.032692e-01 2.681866e+00,-1.486787e-01 -6.034483e-01 2.682831e+00,-1.481198e-01 -6.028054e-01 2.679627e+00,-1.484645e-01 -6.033733e-01 2.685321e+00,-1.480631e-01 -6.044855e-01 2.686425e+00,-1.471120e-01 -6.113209e-01 2.687582e+00,-1.445088e-01 -6.115876e-01 2.688637e+00,-1.399410e-01 -6.104822e-01 2.683458e+00,-1.384770e-01 -6.099240e-01 2.681453e+00,-1.369123e-01 -6.110412e-01 2.679105e+00,-1.348674e-01 -6.045475e-01 2.679021e+00,-1.358399e-01 -6.065241e-01 2.680598e+00,-1.363310e-01 -6.062860e-01 2.684267e+00,-1.363873e-01 -6.057575e-01 2.687477e+00,-1.367612e-01 -6.084620e-01 2.688591e+00,-1.372774e-01 -6.127011e-01 2.686749e+00,-1.364407e-01 -6.100838e-01 2.685038e+00,-1.355546e-01 -6.099898e-01 2.686133e+00,-1.371759e-01 -6.034315e-01 2.683539e+00,-1.369089e-01 -6.048934e-01 2.683673e+00,-1.378798e-01 -6.068885e-01 2.683300e+00,-1.383546e-01 -6.055646e-01 2.684355e+00,-1.371771e-01 -6.082106e-01 2.682247e+00,-1.343826e-01 -6.242663e-01 2.677191e+00,-1.391722e-01 -6.040496e-01 2.683249e+00,-1.378901e-01 -6.056930e-01 2.681933e+00,-1.411999e-01 -6.080315e-01 2.682138e+00,-1.412127e-01 -6.080562e-01 2.679685e+00,-1.394327e-01 -6.084989e-01 2.680453e+00,-1.400312e-01 -6.082922e-01 2.679092e+00,-1.405861e-01 -6.087157e-01 2.681217e+00,-1.421743e-01 -6.093569e-01 2.684044e+00,-1.442813e-01 -6.084153e-01 2.684287e+00,-1.464272e-01 -6.025703e-01 2.681248e+00,-1.463290e-01 -6.030810e-01 2.681209e+00,-1.457891e-01 -6.039487e-01 2.680286e+00,-1.450005e-01 -6.030204e-01 2.678432e+00,-1.435474e-01 -5.969108e-01 2.679065e+00,-1.419822e-01 -6.032682e-01 2.676723e+00,-1.409593e-01 -6.026276e-01 2.675765e+00,-1.391836e-01 -6.201128e-01 2.672877e+00,-1.397693e-01 -6.191229e-01 2.673590e+00,-1.403292e-01 -6.028104e-01 2.677065e+00,-1.407705e-01 -6.027232e-01 2.674235e+00,-1.401249e-01 -5.988765e-01 2.676460e+00,-1.390745e-01 -6.158328e-01 2.673297e+00
1.878600e-01 -1.597162e-01 2.764484e+00,1.882618e-01 -1.597403e-01 2.764664e+00,1.885256e-01 -1.598112e-01 2.764773e+00,1.887690e-01 -1.597002e-01 2.765105e+00,1.893491e-01 -1.595555e-01 2.765492e+00,1.916197e-01 -1.575130e-01 2.767539e+00,1.924551e-01 -1.555880e-01 2.768557e+00,1.931690e-01 -1.549292e-01 2.767840e+00,1.925490e-01 -1.487687e-01 2.761525e+00,1.855755e-01 -1.394865e-01 2.758057e+00,1.842417e-01 -1.220580e-01 2.745362e+00,1.792315e-01 -1.327681e-01 2.738863e+00,1.707344e-01 -1.500868e-01 2.726499e+00,1.678993e-01 -1.458743e-01 2.724813e+00,1.672335e-01 -1.449788e-01 2.724105e+00,1.626069e-01 -1.659533e-01 2.721619e+00,1.606688e-01 -1.626373e-01 2.719870e+00,1.651286e-01 -4.366024e-02 2.719649e+00,1.646270e-01 -1.122485e-01 2.721567e+00,1.606138e-01 -1.666003e-01 2.723078e+00,1.623252e-01 -1.623198e-01 2.723200e+00,1.636847e-01 -1.495209e-01 2.722860e+00,1.641355e-01 -1.460065e-01 2.721988e+00,1.653735e-01 -1.352264e-01 2.719791e+00,1.659050e-01 -1.329917e-01 2.720168e+00,1.674088e-01 -1.317764e-01 2.721276e+00,1.747339e-01 -1.321370e-01 2.728908e+00,1.768691e-01 -1.340121e-01 2.731801e+00,1.819213e-01 -1.376601e-01 2.737395e+00,1.834249e-01 -1.390102e-01 2.739761e+00,1.874289e-01 -1.444111e-01 2.748677e+00,1.892258e-01 -1.459598e-01 2.752101e+00,1.899287e-01 -1.491690e-01 2.756056e+00,1.914658e-01 -1.545567e-01 2.761160e+00,1.918597e-01 -1.552901e-01 2.762115e+00,1.918511e-01 -1.553274e-01 2.762127e+00,1.918617e-01 -1.563182e-01 2.761905e+00,1.925512e-01 -1.608642e-01 2.761004e+00,1.925514e-01 -1.614873e-01 2.760443e+00,1.926065e-01 -1.613866e-01 2.759897e+00,1.921811e-01 -1.588388e-01 2.758664e+00,1.922957e-01 -1.587487e-01 2.758541e+00,1.930206e-01 -1.581150e-01 2.758085e+00,1.933400e-01 -1.579925e-01 2.758128e+00,1.937730e-01 -1.578542e-01 2.758189e+00,1.939770e-01 -1.580898e-01 2.758392e+00,1.941249e-01 -1.580433e-01 2.758404e+00,1.945220e-01 -1.580298e-01 2.758575e+00
2.220632e-01 -4.062292e-01 2.783695e+00,2.222544e-01 -4.060543e-01 2.783947e+00,2.237433e-01 -4.051821e-01 2.785398e+00,2.264260e-01 -4.052932e-01 2.786652e+00,2.346563e-01 -3.821266e-01 2.790810e+00,2.530797e-01 -3.477405e-01 2.781892e+00,2.670943e-01 -3.436752e-01 2.748546e+00,2.797311e-01 -3.119752e-01 2.657844e+00,2.398568e-01 -2.853440e-01 2.603969e+00,1.852571e-01 -2.116367e-01 2.553459e+00,1.757182e-01 -1.939458e-01 2.540787e+00,1.640294e-01 -1.678854e-01 2.524646e+00,1.519327e-01 -1.383938e-01 2.509764e+00,1.432537e-01 -1.255532e-01 2.509327e+00,1.483636e-01 -1.231476e-01 2.508175e+00,1.500306e-01 -1.161936e-01 2.510056e+00,1.518173e-01 -1.132760e-01 2.508025e+00,1.803938e-01 -1.203393e-01 2.510759e+00,2.235769e-01 -1.179477e-01 2.504246e+00,2.520641e-01 -1.174404e-01 2.533430e+00,2.569847e-01 -1.122125e-01 2.535527e+00,2.638747e-01 -8.791117e-02 2.536068e+00,2.732379e-01 -8.017706e-02 2.541162e+00,2.865706e-01 -7.395633e-02 2.553414e+00,2.943906e-01 -7.509276e-02 2.558541e+00,3.049303e-01 -7.816081e-02 2.566361e+00,3.160493e-01 -8.716025e-02 2.574826e+00,3.189723e-01 -9.118299e-02 2.577868e+00,3.341524e-01 -1.560520e-01 2.589251e+00,3.395674e-01 -1.788519e-01 2.601247e+00,3.391908e-01 -2.422960e-01 2.641176e+00,3.309718e-01 -2.718907e-01 2.665116e+00,3.175604e-01 -3.030310e-01 2.702627e+00,2.851876e-01 -3.322920e-01 2.767392e+00,2.735036e-01 -3.395001e-01 2.778567e+00,2.657579e-01 -3.501296e-01 2.780742e+00,2.565796e-01 -3.612352e-01 2.782894e+00,2.379122e-01 -3.974399e-01 2.775016e+00,2.353664e-01 -4.007154e-01 2.774995e+00,2.321737e-01 -4.040399e-01 2.776146e+00,2.313003e-01 -4.063566e-01 2.777220e+00,2.307963e-01 -4.033884e-01 2.780660e+00,2.327804e-01 -4.048067e-01 2.783558e+00,2.332018e-01 -4.045008e-01 2.784210e+00,2.338613e-01 -4.045647e-01 2.784866e+00,2.339788e-01 -4.046122e-01 2.785171e+00,2.340776e-01 -4.049986e-01 2.785525e+00,2.341671e-01 -4.068415e-01 2.784464e+00
2.414064e-01 -6.014857e-01 2.728162e+00,2.416338e-01 -6.011877e-01 2.727888e+00,2.415696e-01 -5.996921e-01 2.726058e+00,2.340862e-01 -5.972916e-01 2.715750e+00,2.247707e-01 -5.682780e-01 2.703445e+00,2.005660e-01 -4.763111e-01 2.624685e+00,1.675673e-01 -4.383551e-01 2.589390e+00,1.144228e-01 -2.728363e-01 2.534772e+00,6.384619e-02 -2.139607e-01 2.518580e+00,2.810516e-02 -8.882809e-02 2.488788e+00,1.624894e-02 -7.412051e-02 2.486863e+00,6.841218e-03 -4.197177e-02 2.481150e+00,-1.548290e-02 -2.382952e-02 2.477890e+00,-2.697974e-02 -1.584133e-02 2.474972e+00,-2.354669e-02 -1.872200e-02 2.464035e+00,-2.211362e-02 -1.169608e-02 2.467430e+00,-2.518713e-02 -2.576010e-02 2.446708e+00,1.017518e-01 -1.016468e-01 2.438809e+00,1.326513e-01 -9.420306e-02 2.425925e+00,2.030007e-01 -4.386122e-02 2.444315e+00,2.231874e-01 4.488199e-02 2.400504e+00,2.664347e-01 8.519877e-02 2.419155e+00,3.320566e-01 1.068507e-01 2.477708e+00,3.453947e-01 1.129211e-01 2.489628e+00,3.509715e-01 1.124448e-01 2.494629e+00,3.533113e-01 1.101368e-01 2.497175e+00,3.561852e-01 1.009746e-01 2.499074e+00,3.648931e-01 8.708356e-02 2.481713e+00,3.552637e-01 3.066076e-02 2.500806e+00,3.542892e-01 2.826751e-03 2.500348e+00,3.582979e-01 -8.431750e-02 2.504226e+00,3.592130e-01 -1.379195e-01 2.504822e+00,3.539209e-01 -2.027254e-01 2.519966e+00,3.286112e-01 -3.688292e-01 2.563398e+00,3.069802e-01 -4.619234e-01 2.611393e+00,2.916482e-01 -4.928576e-01 2.630170e+00,2.800292e-01 -5.251587e-01 2.657358e+00,2.660671e-01 -5.850705e-01 2.696959e+00,2.593376e-01 -5.923760e-01 2.707579e+00,2.524997e-01 -5.998607e-01 2.723638e+00,2.527358e-01 -6.024088e-01 2.726481e+00,2.521781e-01 -5.991158e-01 2.728246e+00,2.500546e-01 -6.012763e-01 2.732743e+00,2.505836e-01 -6.011152e-01 2.734169e+00,2.504034e-01 -6.013848e-01 2.735495e+00,2.502618e-01 -6.014013e-01 2.735524e+00,2.501638e-01 -6.016883e-01 2.735292e+00,2.481515e-01 -6.037053e-01 2.734295e+00
