4.578315e-02 -6.156881e-01 2.767653e+00,4.577988e-02 -6.156610e-01 2.767586e+00,4.577440e-02 -6.156403e-01 2.767526e+00,4.491413e-02 -6.154618e-01 2.766828e+00,4.440251e-02 -6.154418e-01 2.766168e+00,4.267062e-02 -6.146669e-01 2.764684e+00,4.106497e-02 -6.139751e-01 2.763315e+00,3.704949e-02 -6.133092e-01 2.762052e+00,3.242508e-02 -6.127573e-01 2.760609e+00,3.122431e-02 -6.127951e-01 2.759843e+00,3.044154e-02 -6.129075e-01 2.759623e+00,3.046998e-02 -6.127419e-01 2.759400e+00,3.042525e-02 -6.121239e-01 2.759331e+00,3.007850e-02 -6.107283e-01 2.758510e+00,2.995303e-02 -6.073306e-01 2.758285e+00,2.999351e-02 -6.066335e-01 2.758170e+00,2.905730e-02 -6.040985e-01 2.758131e+00,2.842201e-02 -6.033631e-01 2.759163e+00,2.895734e-02 -6.002230e-01 2.760892e+00,3.684820e-02 -5.849411e-01 2.766327e+00,3.787170e-02 -5.835295e-01 2.766905e+00,3.859341e-02 -5.821890e-01 2.767452e+00,3.852762e-02 -5.745209e-01 2.769377e+00,3.660788e-02 -5.798621e-01 2.770031e+00,3.248088e-02 -6.001624e-01 2.771022e+00,2.573157e-02 -6.073226e-01 2.772103e+00,2.528311e-02 -6.103829e-01 2.771536e+00,2.381527e-02 -6.147689e-01 2.771843e+00,2.281565e-02 -6.121922e-01 2.771896e+00,2.297362e-02 -6.117657e-01 2.772053e+00,2.099405e-02 -6.105343e-01 2.772571e+00,2.103017e-02 -6.104539e-01 2.772729e+00,2.107704e-02 -6.104487e-01 2.772750e+00,2.226074e-02 -6.114202e-01 2.773191e+00,2.240310e-02 -6.116124e-01 2.773262e+00,2.239869e-02 -6.114472e-01 2.773235e+00,2.237828e-02 -6.114481e-01 2.773210e+00,2.233200e-02 -6.116884e-01 2.773068e+00,2.211256e-02 -6.116933e-01 2.773003e+00,2.264749e-02 -6.117956e-01 2.773146e+00,2.290301e-02 -6.119120e-01 2.773282e+00,2.337592e-02 -6.119971e-01 2.773445e+00,2.408305e-02 -6.118983e-01 2.773793e+00,2.487258e-02 -6.117060e-01 2.774367e+00,2.506362e-02 -6.116205e-01 2.774373e+00
4.972476e-02 -3.268698e-01 2.779899e+00,4.827284e-02 -3.268458e-01 2.780050e+00,4.827062e-02 -3.268415e-01 2.780053e+00,4.813942e-02 -3.268959e-01 2.780077e+00,4.772737e-02 -3.270341e-01 2.779789e+00,4.664187e-02 -3.263448e-01 2.778987e+00,4.588980e-02 -3.256444e-01 2.778455e+00,4.492145e-02 -3.255212e-01 2.777925e+00,4.372555e-02 -3.254167e-01 2.777195e+00,4.329924e-02 -3.252910e-01 2.776910e+00,4.204406e-02 -3.250557e-01 2.776868e+00,4.194726e-02 -3.249946e-01 2.776742e+00,4.042550e-02 -3.241348e-01 2.776741e+00,3.945468e-02 -3.232246e-01 2.776101e+00,3.771236e-02 -3.200340e-01 2.776320e+00,3.612832e-02 -3.193666e-01 2.776261e+00,3.423143e-02 -3.168756e-01 2.776120e+00,3.279794e-02 -3.154313e-01 2.776730e+00,3.288997e-02 -3.142936e-01 2.777643e+00,3.502620e-02 -3.093924e-01 2.779758e+00,3.534596e-02 -3.087184e-01 2.779972e+00,3.545683e-02 -3.083051e-01 2.780096e+00,4.039766e-02 -2.924736e-01 2.780532e+00,4.120230e-02 -2.942105e-01 2.779809e+00,4.051829e-02 -3.004772e-01 2.780310e+00,3.142624e-02 -3.101974e-01 2.781843e+00,3.148612e-02 -3.110262e-01 2.781716e+00,3.097045e-02 -3.179695e-01 2.782076e+00,3.118359e-02 -3.181578e-01 2.782150e+00,3.162894e-02 -3.183926e-01 2.782352e+00,3.160992e-02 -3.185797e-01 2.782206e+00,3.238378e-02 -3.190690e-01 2.782050e+00,3.249731e-02 -3.192758e-01 2.781697e+00,3.288386e-02 -3.207071e-01 2.780748e+00,3.304579e-02 -3.212512e-01 2.780249e+00,3.351860e-02 -3.200252e-01 2.779660e+00,3.366695e-02 -3.189234e-01 2.779359e+00,3.304546e-02 -3.205962e-01 2.778382e+00,3.301514e-02 -3.208040e-01 2.778256e+00,3.316218e-02 -3.214708e-01 2.778057e+00,3.331931e-02 -3.219016e-01 2.778048e+00,3.341898e-02 -3.219957e-01 2.778097e+00,3.350140e-02 -3.222404e-01 2.778201e+00,3.365153e-02 -3.225240e-01 2.778804e+00,3.351313e-02 -3.229510e-01 2.779145e+00
5.420837e-02 -4.300937e-02 2.780424e+00,4.792271e-02 -4.309961e-02 2.781304e+00,4.803327e-02 -4.307392e-02 2.781334e+00,4.879251e-02 -4.335284e-02 2.781810e+00,4.865595e-02 -4.354570e-02 2.781676e+00,4.845373e-02 -4.302396e-02 2.781090e+00,4.839614e-02 -4.227390e-02 2.780955e+00,4.861432e-02 -4.231213e-02 2.780721e+00,4.956768e-02 -4.242092e-02 2.780195e+00,4.989517e-02 -4.223223e-02 2.780177e+00,4.937059e-02 -4.172135e-02 2.780463e+00,4.937278e-02 -4.172662e-02 2.780457e+00,4.626753e-02 -4.087834e-02 2.780831e+00,4.557377e-02 -4.050712e-02 2.780572e+00,4.317699e-02 -3.750228e-02 2.781441e+00,3.843703e-02 -3.710610e-02 2.781596e+00,3.691461e-02 -3.470201e-02 2.781365e+00,3.516451e-02 -3.216933e-02 2.781351e+00,3.524709e-02 -3.202984e-02 2.781783e+00,3.503090e-02 -3.257630e-02 2.782138e+00,3.488886e-02 -3.273555e-02 2.782060e+00,3.442328e-02 -3.327503e-02 2.781809e+00,4.654568e-02 -8.149610e-03 2.777592e+00,4.853322e-02 -1.069105e-02 2.775652e+00,4.846603e-02 -1.160060e-02 2.775982e+00,3.751989e-02 -1.988554e-02 2.778227e+00,3.762015e-02 -1.982812e-02 2.778266e+00,3.833725e-02 -2.758422e-02 2.778943e+00,4.017904e-02 -3.039686e-02 2.779611e+00,4.134225e-02 -3.185091e-02 2.780063e+00,4.266500e-02 -3.327417e-02 2.778625e+00,4.518656e-02 -3.496724e-02 2.777490e+00,4.505828e-02 -3.529466e-02 2.776385e+00,4.394639e-02 -3.691886e-02 2.773507e+00,4.391480e-02 -3.756770e-02 2.772332e+00,4.543685e-02 -3.163981e-02 2.771453e+00,4.583140e-02 -2.838875e-02 2.771142e+00,4.330453e-02 -3.445751e-02 2.768950e+00,4.360361e-02 -3.515759e-02 2.768867e+00,4.310787e-02 -3.697415e-02 2.768440e+00,4.314242e-02 -3.780275e-02 2.768419e+00,4.310524e-02 -3.787588e-02 2.768507e+00,4.263496e-02 -3.878187e-02 2.768826e+00,4.207122e-02 -3.964320e-02 2.770151e+00,4.097665e-02 -4.109348e-02 2.771526e+00
6.140603e-02 6.452727e-02 2.786698e+00,6.143280e-02 6.461713e-02 2.786800e+00,6.112473e-02 6.481536e-02 2.786964e+00,6.078136e-02 6.463917e-02 2.787498e+00,6.074908e-02 6.460305e-02 2.787424e+00,6.034796e-02 6.538851e-02 2.787353e+00,6.051502e-02 6.539467e-02 2.787253e+00,6.057847e-02 6.535316e-02 2.787231e+00,6.108656e-02 6.540985e-02 2.787252e+00,6.148905e-02 6.545311e-02 2.787477e+00,6.177871e-02 6.544609e-02 2.787841e+00,6.176603e-02 6.559771e-02 2.787949e+00,6.143027e-02 6.594557e-02 2.788225e+00,5.985052e-02 6.596834e-02 2.789052e+00,5.452739e-02 6.814347e-02 2.790601e+00,5.207015e-02 6.873628e-02 2.791994e+00,4.494010e-02 7.055792e-02 2.794326e+00,3.883350e-02 7.282456e-02 2.795778e+00,3.690759e-02 7.162333e-02 2.797033e+00,3.523256e-02 6.919146e-02 2.800044e+00,3.758626e-02 6.807953e-02 2.801281e+00,3.876967e-02 7.421935e-02 2.799218e+00,4.194482e-02 8.566175e-02 2.795122e+00,3.847265e-02 8.359371e-02 2.796024e+00,2.962629e-02 8.071373e-02 2.794877e+00,3.112952e-02 7.465889e-02 2.797165e+00,3.496148e-02 7.412448e-02 2.796518e+00,4.215581e-02 7.086757e-02 2.796994e+00,4.312849e-02 7.147016e-02 2.797091e+00,4.322466e-02 7.144333e-02 2.797065e+00,4.291383e-02 7.177862e-02 2.796330e+00,4.274398e-02 7.185169e-02 2.795657e+00,4.278750e-02 7.147733e-02 2.794623e+00,4.310504e-02 7.111102e-02 2.790872e+00,4.316638e-02 7.111662e-02 2.788866e+00,4.423721e-02 7.180644e-02 2.786074e+00,4.471706e-02 7.138826e-02 2.785358e+00,4.571407e-02 7.135772e-02 2.783748e+00,4.606793e-02 7.110594e-02 2.783327e+00,4.658912e-02 7.088407e-02 2.783180e+00,4.706840e-02 7.069419e-02 2.783143e+00,4.720983e-02 7.081234e-02 2.782749e+00,4.743398e-02 7.059606e-02 2.782776e+00,4.825306e-02 6.980406e-02 2.783234e+00,4.879550e-02 6.957825e-02 2.783633e+00
-1.029785e-01 -1.548360e-01 2.770639e+00,-1.030041e-01 -1.548152e-01 2.770638e+00,-1.030554e-01 -1.548055e-01 2.770635e+00,-1.037782e-01 -1.550046e-01 2.770624e+00,-1.042067e-01 -1.550656e-01 2.770429e+00,-1.048893e-01 -1.548948e-01 2.769692e+00,-1.047275e-01 -1.533465e-01 2.766990e+00,-1.046396e-01 -1.530953e-01 2.766185e+00,-1.027560e-01 -1.493695e-01 2.761715e+00,-1.028935e-01 -1.483271e-01 2.759953e+00,-1.028801e-01 -1.478698e-01 2.758545e+00,-1.028698e-01 -1.474028e-01 2.757340e+00,-1.025736e-01 -1.431583e-01 2.759704e+00,-1.049176e-01 -1.429763e-01 2.758558e+00,-1.066654e-01 -1.421870e-01 2.761371e+00,-1.079487e-01 -1.429904e-01 2.761612e+00,-1.119378e-01 -1.434838e-01 2.764828e+00,-1.129823e-01 -1.445898e-01 2.769101e+00,-1.104228e-01 -1.423422e-01 2.771238e+00,-1.071215e-01 -1.399532e-01 2.774175e+00,-1.058309e-01 -1.391781e-01 2.774998e+00,-1.049236e-01 -1.390584e-01 2.775524e+00,-8.926597e-02 -1.129251e-01 2.774784e+00,-9.050048e-02 -1.188165e-01 2.775484e+00,-9.081789e-02 -1.279510e-01 2.774755e+00,-9.450767e-02 -1.314740e-01 2.777925e+00,-9.510248e-02 -1.334018e-01 2.778068e+00,-7.607111e-02 -1.693764e-01 2.762050e+00,-1.004426e-01 -1.513926e-01 2.780171e+00,-1.016426e-01 -1.489031e-01 2.780213e+00,-1.031916e-01 -1.463939e-01 2.778684e+00,-1.028211e-01 -1.448046e-01 2.775462e+00,-1.038836e-01 -1.436965e-01 2.774940e+00,-1.047750e-01 -1.436725e-01 2.772493e+00,-1.053096e-01 -1.439573e-01 2.770517e+00,-1.052787e-01 -1.444896e-01 2.767753e+00,-1.051813e-01 -1.442601e-01 2.766153e+00,-1.062987e-01 -1.454015e-01 2.765063e+00,-1.066694e-01 -1.459863e-01 2.764497e+00,-1.073095e-01 -1.464963e-01 2.763457e+00,-1.077385e-01 -1.471745e-01 2.763108e+00,-1.077282e-01 -1.474538e-01 2.762295e+00,-1.085152e-01 -1.474863e-01 2.762376e+00,-1.085557e-01 -1.474739e-01 2.762388e+00,-1.089626e-01 -1.474971e-01 2.762427e+00
-1.424022e-01 -3.926308e-01 2.776961e+00,-1.427259e-01 -3.937121e-01 2.776682e+00,-1.429106e-01 -3.946644e-01 2.776463e+00,-1.430883e-01 -3.951983e-01 2.776265e+00,-1.439408e-01 -3.970008e-01 2.774692e+00,-1.460938e-01 -3.980032e-01 2.772737e+00,-1.469473e-01 -3.982021e-01 2.771892e+00,-1.477356e-01 -3.980736e-01 2.771235e+00,-1.505062e-01 -3.955559e-01 2.768659e+00,-1.518052e-01 -3.908070e-01 2.766979e+00,-1.525395e-01 -3.881181e-01 2.766808e+00,-1.531993e-01 -3.864750e-01 2.765725e+00,-1.536152e-01 -3.857333e-01 2.765680e+00,-1.542454e-01 -3.854410e-01 2.765198e+00,-1.548161e-01 -3.873338e-01 2.765453e+00,-1.551475e-01 -3.866775e-01 2.766323e+00,-1.549286e-01 -3.865815e-01 2.767441e+00,-1.503907e-01 -3.971096e-01 2.770251e+00,-1.479485e-01 -3.949327e-01 2.772120e+00,-1.452743e-01 -3.923822e-01 2.775156e+00,-1.408662e-01 -3.834280e-01 2.780740e+00,-1.380013e-01 -3.654907e-01 2.784483e+00,-1.377616e-01 -3.732366e-01 2.787862e+00,-1.377041e-01 -3.758305e-01 2.790180e+00,-1.391449e-01 -3.809631e-01 2.791668e+00,-1.399742e-01 -3.883990e-01 2.793543e+00,-1.409178e-01 -3.908621e-01 2.794258e+00,-1.422900e-01 -3.935268e-01 2.794836e+00,-1.435085e-01 -3.862161e-01 2.801557e+00,-1.437273e-01 -3.860851e-01 2.801799e+00,-1.456505e-01 -3.898247e-01 2.801613e+00,-1.457824e-01 -3.921566e-01 2.800945e+00,-1.464302e-01 -3.934923e-01 2.799716e+00,-1.467499e-01 -3.958203e-01 2.797436e+00,-1.473176e-01 -3.966869e-01 2.796255e+00,-1.493109e-01 -3.981683e-01 2.794496e+00,-1.504593e-01 -3.944975e-01 2.792861e+00,-1.521440e-01 -3.901875e-01 2.791581e+00,-1.529919e-01 -3.884449e-01 2.791030e+00,-1.548043e-01 -3.923005e-01 2.787231e+00,-1.547284e-01 -3.918031e-01 2.786719e+00,-1.551192e-01 -3.917771e-01 2.785979e+00,-1.561496e-01 -3.923820e-01 2.784040e+00,-1.561494e-01 -3.926522e-01 2.783485e+00,-1.563071e-01 -3.925551e-01 2.781891e+00
-1.492195e-01 -5.881906e-01 2.697379e+00,-1.490750e-01 -5.892590e-01 2.697027e+00,-1.484009e-01 -5.900705e-01 2.696338e+00,-1.491761e-01 -5.904461e-01 2.695754e+00,-1.502174e-01 -5.923528e-01 2.694514e+00,-1.518981e-01 -5.933769e-01 2.692588e+00,-1.548302e-01 -5.933942e-01 2.691454e+00,-1.562529e-01 -5.934476e-01 2.691391e+00,-1.582206e-01 -5.919299e-01 2.691597e+00,-1.590906e-01 -5.879182e-01 2.692045e+00,-1.597763e-01 -5.851853e-01 2.691699e+00,-1.602652e-01 -5.833603e-01 2.690017e+00,-1.600426e-01 -5.825284e-01 2.689616e+00,-1.593283e-01 -5.815665e-01 2.687007e+00,-1.571414e-01 -5.824379e-01 2.684197e+00,-1.550227e-01 -5.812482e-01 2.683536e+00,-1.557700e-01 -5.810522e-01 2.684395e+00,-1.572311e-01 -5.906365e-01 2.685166e+00,-1.576926e-01 -5.887836e-01 2.688215e+00,-1.539993e-01 -5.870278e-01 2.693235e+00,-1.539510e-01 -5.777410e-01 2.698504e+00,-1.517680e-01 -5.608356e-01 2.705065e+00,-1.497231e-01 -5.670422e-01 2.703943e+00,-1.498313e-01 -5.687015e-01 2.703875e+00,-1.500172e-01 -5.733520e-01 2.703996e+00,-1.515388e-01 -5.812011e-01 2.707101e+00,-1.543579e-01 -5.841601e-01 2.709453e+00,-1.575799e-01 -5.873876e-01 2.711936e+00,-1.600977e-01 -5.810952e-01 2.721700e+00,-1.619622e-01 -5.824245e-01 2.726693e+00,-1.680478e-01 -5.874992e-01 2.732289e+00,-1.687219e-01 -5.899526e-01 2.732286e+00,-1.690854e-01 -5.915774e-01 2.731967e+00,-1.703510e-01 -5.938901e-01 2.730062e+00,-1.705404e-01 -5.948122e-01 2.728929e+00,-1.704839e-01 -5.966918e-01 2.727781e+00,-1.701502e-01 -5.937822e-01 2.728313e+00,-1.700016e-01 -5.899022e-01 2.727927e+00,-1.699597e-01 -5.880827e-01 2.726757e+00,-1.697157e-01 -5.917788e-01 2.721793e+00,-1.674127e-01 -5.901920e-01 2.716863e+00,-1.673065e-01 -5.898225e-01 2.714864e+00,-1.674320e-01 -5.904849e-01 2.712939e+00,-1.672528e-01 -5.907109e-01 2.712206e+00,-1.674514e-01 -5.908581e-01 2.711432e+00
-1.370420e-01 -6.112010e-01 2.690202e+00,-1.375177e-01 -6.115252e-01 2.688351e+00,-1.365671e-01 -6.122885e-01 2.687275e+00,-1.365775e-01 -6.119009e-01 2.684421e+00,-1.381166e-01 -6.125632e-01 2.683235e+00,-1.409769e-01 -6.055112e-01 2.685293e+00,-1.423634e-01 -6.032376e-01 2.683764e+00,-1.444225e-01 -6.033274e-01 2.685741e+00,-1.474177e-01 -6.027590e-01 2.688138e+00,-1.485138e-01 -6.033018e-01 2.683715e+00,-1.472693e-01 -5.977102e-01 2.684348e+00,-1.474736e-01 -5.971561e-01 2.683120e+00,-1.461520e-01 -5.962182e-01 2.682517e+00,-1.444914e-01 -5.954159e-01 2.675988e+00,-1.438375e-01 -5.972729e-01 2.674046e+00,-1.423450e-01 -6.133385e-01 2.671949e+00,-1.435737e-01 -6.168444e-01 2.677370e+00,-1.407335e-01 -6.253416e-01 2.683169e+00,-1.419014e-01 -6.084937e-01 2.688293e+00,-1.387734e-01 -6.097981e-01 2.690388e+00,-1.379612e-01 -6.087084e-01 2.689796e+00,-1.375526e-01 -6.048687e-01 2.689686e+00,-1.365050e-01 -6.062578e-01 2.691801e+00,-1.364971e-01 -6.065980e-01 2.691689e+00,-1.374359e-01 -6.041149e-01 2.695899e+00,-1.399097e-01 -6.072947e-01 2.703779e+00,-1.420019e-01 -6.107460e-01 2.704367e+00,-1.422219e-01 -6.090466e-01 2.710289e+00,-1.461336e-01 -6.177123e-01 2.717149e+00,-1.493816e-01 -6.088858e-01 2.722893e+00,-1.547122e-01 -6.047136e-01 2.727229e+00,-1.547674e-01 -6.049233e-01 2.728119e+00,-1.548367e-01 -6.091274e-01 2.724066e+00,-1.547154e-01 -6.087481e-01 2.718660e+00,-1.550220e-01 -6.073952e-01 2.719223e+00,-1.552887e-01 -6.085635e-01 2.718623e+00,-1.587428e-01 -6.082373e-01 2.716342e+00,-1.587237e-01 -6.087921e-01 2.715920e+00,-1.591563e-01 -6.081360e-01 2.712889e+00,-1.556767e-01 -6.069613e-01 2.709528e+00,-1.545593e-01 -6.251171e-01 2.704567e+00,-1.530450e-01 -6.234021e-01 2.699677e+00,-1.535665e-01 -6.239804e-01 2.699543e+00,-1.535870e-01 -6.243183e-01 2.699236e+00,-1.560523e-01 -6.109473e-01 2.700482e+00
1.973639e-01 -1.581385e-01 2.768107e+00,1.973887e-01 -1.582595e-01 2.768252e+00,1.973256e-01 -1.582814e-01 2.768262e+00,1.966417e-01 -1.582982e-01 2.768443e+00,1.960836e-01 -1.585510e-01 2.768452e+00,1.951642e-01 -1.584724e-01 2.769557e+00,1.947814e-01 -1.585405e-01 2.771126e+00,1.944288e-01 -1.588091e-01 2.772841e+00,1.938430e-01 -1.585200e-01 2.776530e+00,1.930444e-01 -1.594913e-01 2.778033e+00,1.957441e-01 -1.657829e-01 2.784160e+00,1.998734e-01 -1.648207e-01 2.784151e+00,2.013372e-01 -1.631296e-01 2.782819e+00,1.953921e-01 -1.561859e-01 2.770664e+00,1.862074e-01 -1.457660e-01 2.754911e+00,1.819756e-01 -1.421111e-01 2.748471e+00,1.707105e-01 -1.313319e-01 2.734901e+00,1.679415e-01 -1.326361e-01 2.729160e+00,1.682346e-01 -1.343458e-01 2.730205e+00,1.607971e-01 -1.198476e-01 2.718473e+00,1.610589e-01 -1.195720e-01 2.717555e+00,1.612852e-01 -1.201182e-01 2.718342e+00,1.607075e-01 -1.201627e-01 2.716470e+00,1.576573e-01 -1.260345e-01 2.711429e+00,1.585163e-01 -1.309529e-01 2.714414e+00,1.593839e-01 -1.475817e-01 2.720537e+00,1.595215e-01 -1.546250e-01 2.721882e+00,1.471131e-01 -8.704914e-02 2.713943e+00,1.575860e-01 -1.140527e-01 2.719921e+00,1.747457e-01 -1.337848e-01 2.728400e+00,1.789208e-01 -1.396526e-01 2.731277e+00,1.820976e-01 -1.442165e-01 2.734067e+00,1.833414e-01 -1.477663e-01 2.736141e+00,1.854755e-01 -1.517377e-01 2.740594e+00,1.862416e-01 -1.524683e-01 2.741727e+00,1.868242e-01 -1.539226e-01 2.743894e+00,1.871223e-01 -1.543900e-01 2.745005e+00,1.878365e-01 -1.548343e-01 2.749463e+00,1.876864e-01 -1.545252e-01 2.750120e+00,1.878130e-01 -1.540749e-01 2.753237e+00,1.874612e-01 -1.541304e-01 2.753925e+00,1.872538e-01 -1.541674e-01 2.754871e+00,1.869507e-01 -1.543975e-01 2.757924e+00,1.866047e-01 -1.546894e-01 2.758912e+00,1.860193e-01 -1.549825e-01 2.759939e+00
2.317789e-01 -4.010431e-01 2.802821e+00,2.315842e-01 -4.008543e-01 2.802791e+00,2.312913e-01 -4.010151e-01 2.802584e+00,2.305814e-01 -4.002156e-01 2.803579e+00,2.299721e-01 -3.986729e-01 2.806204e+00,2.285987e-01 -3.809316e-01 2.832017e+00,2.279018e-01 -3.791337e-01 2.833725e+00,2.265568e-01 -3.718556e-01 2.836842e+00,2.254848e-01 -3.531164e-01 2.831048e+00,2.276934e-01 -3.551579e-01 2.823575e+00,2.778880e-01 -3.569548e-01 2.757401e+00,3.152271e-01 -3.298761e-01 2.714516e+00,3.355520e-01 -3.050331e-01 2.694231e+00,3.584082e-01 -2.349463e-01 2.651441e+00,3.511508e-01 -1.557261e-01 2.611743e+00,3.445364e-01 -8.416338e-02 2.614809e+00,3.067750e-01 -5.416612e-02 2.580518e+00,2.525102e-01 -9.540625e-03 2.541386e+00,2.392296e-01 5.126182e-03 2.533525e+00,2.027434e-01 4.600196e-02 2.520784e+00,1.963778e-01 4.680992e-02 2.518157e+00,1.896522e-01 3.794110e-02 2.520677e+00,1.734306e-01 2.957229e-02 2.490344e+00,1.979699e-01 -9.011175e-03 2.527187e+00,2.016815e-01 -3.325700e-02 2.519237e+00,1.927635e-01 -8.932941e-02 2.482417e+00,1.971194e-01 -1.174295e-01 2.483862e+00,1.770858e-01 -1.521147e-01 2.475518e+00,2.182452e-01 -1.077617e-01 2.484333e+00,2.485732e-01 -2.463251e-01 2.553531e+00,2.697649e-01 -3.116287e-01 2.639699e+00,2.590555e-01 -3.278226e-01 2.655497e+00,2.565678e-01 -3.394963e-01 2.682608e+00,2.489157e-01 -3.533692e-01 2.727550e+00,2.479232e-01 -3.698855e-01 2.749824e+00,2.433471e-01 -3.864380e-01 2.778465e+00,2.416676e-01 -3.910680e-01 2.789104e+00,2.362558e-01 -3.938268e-01 2.805244e+00,2.320868e-01 -3.894024e-01 2.812499e+00,2.277223e-01 -3.874747e-01 2.818169e+00,2.258285e-01 -3.921379e-01 2.820744e+00,2.202055e-01 -3.869729e-01 2.821998e+00,2.179891e-01 -3.926632e-01 2.820793e+00,2.176926e-01 -3.929713e-01 2.820519e+00,2.154908e-01 -3.892448e-01 2.819235e+00
2.412789e-01 -6.028361e-01 2.745520e+00,2.412314e-01 -6.026078e-01 2.745346e+00,2.411791e-01 -6.023996e-01 2.743609e+00,2.418475e-01 -6.011224e-01 2.742930e+00,2.419789e-01 -5.980516e-01 2.739845e+00,2.471770e-01 -5.594897e-01 2.717305e+00,2.466096e-01 -5.257350e-01 2.677418e+00,2.792807e-01 -4.370581e-01 2.636444e+00,2.946566e-01 -3.072265e-01 2.629735e+00,2.910267e-01 -2.409329e-01 2.650220e+00,3.028354e-01 -1.662407e-01 2.662822e+00,2.837997e-01 -1.148244e-01 2.699667e+00,2.598722e-01 -6.521415e-02 2.771971e+00,2.601223e-01 -4.978404e-02 2.772757e+00,2.606188e-01 -3.348526e-02 2.756908e+00,2.373779e-01 2.648286e-02 2.745216e+00,2.276683e-01 9.690499e-02 2.690332e+00,2.056736e-01 1.905938e-01 2.490957e+00,1.901967e-01 2.312171e-01 2.422298e+00,1.741853e-01 1.944565e-01 2.353882e+00,1.670008e-01 1.839007e-01 2.341671e+00,1.529072e-01 1.713155e-01 2.326829e+00,1.400941e-01 1.541191e-01 2.315887e+00,1.321456e-01 1.019615e-01 2.309753e+00,1.339862e-01 5.440502e-02 2.314060e+00,1.349144e-01 -2.096457e-02 2.283664e+00,1.426357e-01 -7.547459e-02 2.276729e+00,1.625333e-01 -1.403184e-01 2.339296e+00,1.788558e-01 -2.543660e-01 2.330720e+00,1.844996e-01 -3.261672e-01 2.361731e+00,2.108728e-01 -4.187628e-01 2.460783e+00,2.102537e-01 -4.822658e-01 2.514360e+00,2.175377e-01 -5.128540e-01 2.564003e+00,2.267068e-01 -5.488497e-01 2.650219e+00,2.292385e-01 -5.642954e-01 2.668633e+00,2.414351e-01 -5.898797e-01 2.727444e+00,2.466135e-01 -5.951372e-01 2.742035e+00,2.488754e-01 -5.996537e-01 2.773954e+00,2.468073e-01 -5.954080e-01 2.784735e+00,2.473021e-01 -5.934574e-01 2.796572e+00,1.980472e-01 -5.888655e-01 2.749966e+00,2.123900e-01 -5.915686e-01 2.778183e+00,2.144311e-01 -5.974755e-01 2.777879e+00,2.142861e-01 -5.976012e-01 2.776435e+00,2.154699e-01 -5.940183e-01 2.775877e+00
