9.407017e-03 -4.764121e-01 2.809962e+00,9.323340e-03 -4.765419e-01 2.809837e+00,9.363326e-03 -4.765361e-01 2.809675e+00,9.119102e-03 -4.766028e-01 2.809346e+00,8.742696e-03 -4.766001e-01 2.809380e+00,8.322874e-03 -4.765352e-01 2.809205e+00,7.956204e-03 -4.763913e-01 2.809095e+00,7.808891e-03 -4.763123e-01 2.808949e+00,6.526462e-03 -4.756199e-01 2.808769e+00,5.939044e-03 -4.752898e-01 2.808909e+00,4.239907e-03 -4.744320e-01 2.809722e+00,3.000857e-03 -4.735357e-01 2.810597e+00,2.305427e-03 -4.727440e-01 2.810811e+00,1.768407e-03 -4.705778e-01 2.811554e+00,1.440939e-03 -4.688011e-01 2.812408e+00,3.178084e-03 -4.626136e-01 2.813886e+00,4.038889e-03 -4.585270e-01 2.814932e+00,4.213226e-03 -4.571011e-01 2.815142e+00,4.146951e-03 -4.566521e-01 2.815143e+00,4.200632e-03 -4.562788e-01 2.814934e+00,4.028764e-03 -4.567404e-01 2.814510e+00,4.456892e-03 -4.574800e-01 2.814221e+00,3.590087e-03 -4.584583e-01 2.813001e+00,3.306016e-03 -4.601305e-01 2.811832e+00,2.638117e-03 -4.613348e-01 2.811586e+00,2.251602e-03 -4.628963e-01 2.810729e+00,1.485963e-03 -4.664048e-01 2.809703e+00,1.299591e-03 -4.671815e-01 2.809181e+00,1.020269e-03 -4.685096e-01 2.808212e+00,1.218171e-03 -4.690331e-01 2.807959e+00,1.383100e-03 -4.700277e-01 2.807828e+00,1.467310e-03 -4.701973e-01 2.807823e+00,1.760248e-03 -4.707292e-01 2.808032e+00,2.190415e-03 -4.716988e-01 2.808578e+00,2.468694e-03 -4.721144e-01 2.808595e+00,3.323500e-03 -4.730420e-01 2.808839e+00,3.972598e-03 -4.735697e-01 2.808990e+00,4.210403e-03 -4.740652e-01 2.809037e+00,4.372793e-03 -4.741898e-01 2.809089e+00,4.385099e-03 -4.743564e-01 2.809077e+00,4.405411e-03 -4.750088e-01 2.808900e+00,4.356063e-03 -4.755472e-01 2.808661e+00,4.352902e-03 -4.757595e-01 2.808542e+00
3.821279e-03 -1.599233e-01 2.811263e+00,3.788965e-03 -1.599958e-01 2.811171e+00,3.817337e-03 -1.599712e-01 2.810958e+00,3.683489e-03 -1.601498e-01 2.810558e+00,3.505503e-03 -1.601606e-01 2.810481e+00,3.214201e-03 -1.601646e-01 2.810238e+00,3.081709e-03 -1.601394e-01 2.810193e+00,2.940495e-03 -1.600904e-01 2.810042e+00,2.470700e-03 -1.597387e-01 2.810109e+00,2.179678e-03 -1.594531e-01 2.810321e+00,1.304659e-03 -1.585146e-01 2.811743e+00,6.627009e-04 -1.574686e-01 2.813354e+00,1.186942e-04 -1.563671e-01 2.814000e+00,-4.124077e-04 -1.539464e-01 2.815230e+00,-5.872754e-04 -1.520854e-01 2.815811e+00,3.796453e-04 -1.469021e-01 2.816492e+00,2.884657e-04 -1.461600e-01 2.816400e+00,4.467335e-04 -1.443342e-01 2.816395e+00,4.636361e-04 -1.435516e-01 2.816449e+00,5.463302e-04 -1.431176e-01 2.816525e+00,3.752086e-04 -1.432568e-01 2.816568e+00,3.117343e-04 -1.435479e-01 2.816712e+00,-2.182297e-04 -1.440575e-01 2.816513e+00,-6.610663e-04 -1.454133e-01 2.816073e+00,-1.222178e-03 -1.464335e-01 2.815976e+00,-1.886988e-03 -1.478431e-01 2.814810e+00,-2.250778e-03 -1.498848e-01 2.813509e+00,-2.458490e-03 -1.508343e-01 2.812482e+00,-2.331412e-03 -1.519656e-01 2.811016e+00,-2.100149e-03 -1.522705e-01 2.810493e+00,-1.688923e-03 -1.532009e-01 2.809781e+00,-1.482610e-03 -1.533651e-01 2.809583e+00,-1.118502e-03 -1.538672e-01 2.809325e+00,-8.490311e-04 -1.543083e-01 2.809310e+00,-6.438268e-04 -1.545022e-01 2.809107e+00,-4.051056e-05 -1.551277e-01 2.809068e+00,1.796451e-04 -1.553293e-01 2.809096e+00,5.363599e-04 -1.559546e-01 2.809018e+00,6.973151e-04 -1.562411e-01 2.809045e+00,7.540475e-04 -1.564268e-01 2.809034e+00,7.734973e-04 -1.569161e-01 2.808951e+00,8.734099e-04 -1.574885e-01 2.808822e+00,8.888619e-04 -1.576986e-01 2.808761e+00
-1.226914e-03 1.494419e-01 2.798624e+00,-1.241695e-03 1.494251e-01 2.798562e+00,-1.257863e-03 1.495041e-01 2.798292e+00,-1.326490e-03 1.492455e-01 2.797804e+00,-1.438696e-03 1.492445e-01 2.797617e+00,-1.662872e-03 1.492182e-01 2.797295e+00,-1.687577e-03 1.492097e-01 2.797286e+00,-1.822237e-03 1.492426e-01 2.797139e+00,-1.902170e-03 1.495038e-01 2.797431e+00,-1.964587e-03 1.497878e-01 2.797744e+00,-1.911418e-03 1.510051e-01 2.800230e+00,-1.828719e-03 1.523209e-01 2.802917e+00,-2.125915e-03 1.536987e-01 2.803985e+00,-2.733851e-03 1.562169e-01 2.805625e+00,-2.723259e-03 1.580766e-01 2.805824e+00,-2.291525e-03 1.623699e-01 2.805730e+00,-3.033210e-03 1.618693e-01 2.804778e+00,-2.982868e-03 1.633035e-01 2.804435e+00,-2.894643e-03 1.640742e-01 2.804468e+00,-2.812505e-03 1.643572e-01 2.804651e+00,-3.248393e-03 1.641892e-01 2.805162e+00,-3.947821e-03 1.638345e-01 2.805970e+00,-4.386119e-03 1.634491e-01 2.806272e+00,-4.941094e-03 1.622496e-01 2.806354e+00,-5.326488e-03 1.614812e-01 2.806396e+00,-6.203340e-03 1.602321e-01 2.804896e+00,-6.242229e-03 1.591996e-01 2.803366e+00,-6.390625e-03 1.582287e-01 2.801727e+00,-5.794477e-03 1.574112e-01 2.799717e+00,-5.444595e-03 1.573838e-01 2.798759e+00,-4.645053e-03 1.565551e-01 2.797307e+00,-4.228204e-03 1.564462e-01 2.796818e+00,-3.676380e-03 1.558757e-01 2.795934e+00,-3.508975e-03 1.557483e-01 2.795692e+00,-3.326664e-03 1.557583e-01 2.795230e+00,-2.998314e-03 1.554648e-01 2.795086e+00,-2.992168e-03 1.554556e-01 2.795084e+00,-2.572915e-03 1.548121e-01 2.794964e+00,-2.480330e-03 1.543913e-01 2.794964e+00,-2.414404e-03 1.542517e-01 2.794964e+00,-2.441118e-03 1.539947e-01 2.794964e+00,-2.240730e-03 1.534453e-01 2.794964e+00,-2.227755e-03 1.532727e-01 2.794964e+00
1.513570e-02 3.095808e-01 2.775898e+00,1.517811e-02 3.095592e-01 2.775785e+00,1.523516e-02 3.095574e-01 2.775678e+00,1.524180e-02 3.094607e-01 2.775573e+00,1.521470e-02 3.094352e-01 2.775543e+00,1.510790e-02 3.095048e-01 2.775544e+00,1.506068e-02 3.095845e-01 2.775647e+00,1.495183e-02 3.099184e-01 2.775909e+00,1.515857e-02 3.113360e-01 2.778369e+00,1.537947e-02 3.125863e-01 2.780261e+00,1.580172e-02 3.155455e-01 2.786166e+00,1.606135e-02 3.185840e-01 2.792550e+00,1.628841e-02 3.194374e-01 2.794466e+00,1.595332e-02 3.218319e-01 2.798308e+00,1.548273e-02 3.238398e-01 2.801001e+00,1.413995e-02 3.273126e-01 2.805037e+00,1.285574e-02 3.303423e-01 2.807444e+00,1.218234e-02 3.309214e-01 2.808229e+00,1.129587e-02 3.312511e-01 2.808882e+00,1.014165e-02 3.310187e-01 2.809555e+00,9.258541e-03 3.302482e-01 2.809068e+00,8.949420e-03 3.295118e-01 2.808903e+00,8.586698e-03 3.280271e-01 2.808165e+00,5.905388e-03 3.252421e-01 2.805096e+00,5.120559e-03 3.249694e-01 2.804122e+00,4.431207e-03 3.240461e-01 2.801116e+00,4.699477e-03 3.226319e-01 2.798802e+00,5.948697e-03 3.210528e-01 2.795230e+00,7.674939e-03 3.195870e-01 2.791825e+00,8.785429e-03 3.190579e-01 2.790375e+00,1.084954e-02 3.178597e-01 2.788070e+00,1.216559e-02 3.170583e-01 2.786981e+00,1.320126e-02 3.164779e-01 2.786221e+00,1.505175e-02 3.156690e-01 2.784867e+00,1.541202e-02 3.154344e-01 2.784505e+00,1.636511e-02 3.146236e-01 2.783681e+00,1.647745e-02 3.145816e-01 2.783615e+00,1.681283e-02 3.141247e-01 2.783169e+00,1.688500e-02 3.139126e-01 2.782958e+00,1.696112e-02 3.136656e-01 2.782646e+00,1.705226e-02 3.132700e-01 2.781924e+00,1.708880e-02 3.125180e-01 2.780700e+00,1.710017e-02 3.124140e-01 2.780478e+00
-1.558219e-01 3.411635e-02 2.783289e+00,-1.558304e-01 3.409511e-02 2.783200e+00,-1.558855e-01 3.416683e-02 2.783198e+00,-1.564510e-01 3.398310e-02 2.782686e+00,-1.570270e-01 3.360821e-02 2.782252e+00,-1.575515e-01 3.337563e-02 2.781751e+00,-1.575474e-01 3.315303e-02 2.780906e+00,-1.578758e-01 3.277349e-02 2.780166e+00,-1.578226e-01 3.284448e-02 2.779308e+00,-1.577567e-01 3.291880e-02 2.778983e+00,-1.578178e-01 3.309572e-02 2.779118e+00,-1.570009e-01 3.381480e-02 2.780352e+00,-1.566294e-01 3.455922e-02 2.781472e+00,-1.569118e-01 3.530036e-02 2.785213e+00,-1.579830e-01 3.506853e-02 2.786428e+00,-1.583048e-01 3.577637e-02 2.790140e+00,-1.598251e-01 3.548962e-02 2.791754e+00,-1.606833e-01 3.520249e-02 2.792536e+00,-1.610803e-01 3.531175e-02 2.793019e+00,-1.610739e-01 3.670589e-02 2.797583e+00,-1.613969e-01 3.672363e-02 2.797643e+00,-1.613517e-01 3.687011e-02 2.797709e+00,-1.610437e-01 3.720604e-02 2.797418e+00,-1.606508e-01 3.795362e-02 2.796718e+00,-1.609562e-01 3.795628e-02 2.796004e+00,-1.618782e-01 3.836051e-02 2.791362e+00,-1.623209e-01 3.800594e-02 2.789232e+00,-1.625431e-01 3.774523e-02 2.786367e+00,-1.618215e-01 3.760444e-02 2.782084e+00,-1.608238e-01 3.714233e-02 2.779614e+00,-1.591527e-01 3.666357e-02 2.776717e+00,-1.586013e-01 3.678156e-02 2.776012e+00,-1.578090e-01 3.671283e-02 2.775362e+00,-1.573734e-01 3.636878e-02 2.774847e+00,-1.572209e-01 3.623924e-02 2.774566e+00,-1.568156e-01 3.612923e-02 2.774290e+00,-1.567532e-01 3.600962e-02 2.774347e+00,-1.562305e-01 3.574750e-02 2.774503e+00,-1.559976e-01 3.565745e-02 2.775007e+00,-1.560540e-01 3.515442e-02 2.775892e+00,-1.561098e-01 3.434915e-02 2.776539e+00,-1.561792e-01 3.369853e-02 2.777256e+00,-1.563820e-01 3.291542e-02 2.777807e+00
-2.173896e-01 -2.142567e-01 2.785192e+00,-2.173079e-01 -2.142544e-01 2.785016e+00,-2.172622e-01 -2.143831e-01 2.784980e+00,-2.170887e-01 -2.145845e-01 2.784522e+00,-2.170714e-01 -2.147341e-01 2.784385e+00,-2.169699e-01 -2.153990e-01 2.784221e+00,-2.168586e-01 -2.156481e-01 2.784228e+00,-2.169338e-01 -2.160524e-01 2.783819e+00,-2.170429e-01 -2.163071e-01 2.783158e+00,-2.171076e-01 -2.161349e-01 2.782687e+00,-2.171760e-01 -2.154919e-01 2.781852e+00,-2.177825e-01 -2.143342e-01 2.781955e+00,-2.182077e-01 -2.129865e-01 2.782360e+00,-2.188340e-01 -2.107880e-01 2.785194e+00,-2.189110e-01 -2.094926e-01 2.787817e+00,-2.194932e-01 -2.060100e-01 2.794403e+00,-2.195866e-01 -2.027322e-01 2.799464e+00,-2.197200e-01 -2.025381e-01 2.800865e+00,-2.192612e-01 -2.022149e-01 2.803268e+00,-2.194050e-01 -2.021988e-01 2.804441e+00,-2.200142e-01 -2.031007e-01 2.804459e+00,-2.203086e-01 -2.038660e-01 2.804122e+00,-2.206270e-01 -2.043640e-01 2.803229e+00,-2.226887e-01 -2.067538e-01 2.798386e+00,-2.238348e-01 -2.078613e-01 2.795131e+00,-2.244426e-01 -2.082387e-01 2.790018e+00,-2.249652e-01 -2.096556e-01 2.787034e+00,-2.248581e-01 -2.105739e-01 2.784661e+00,-2.245348e-01 -2.131130e-01 2.780521e+00,-2.244238e-01 -2.135928e-01 2.779186e+00,-2.237652e-01 -2.139847e-01 2.777026e+00,-2.233700e-01 -2.140968e-01 2.776523e+00,-2.231197e-01 -2.142173e-01 2.776144e+00,-2.225042e-01 -2.143813e-01 2.775656e+00,-2.222077e-01 -2.145159e-01 2.775373e+00,-2.216442e-01 -2.148631e-01 2.775245e+00,-2.214419e-01 -2.151145e-01 2.775348e+00,-2.209695e-01 -2.147727e-01 2.775891e+00,-2.205940e-01 -2.146600e-01 2.776803e+00,-2.201234e-01 -2.145485e-01 2.778018e+00,-2.187612e-01 -2.153047e-01 2.780635e+00,-2.181171e-01 -2.154226e-01 2.781894e+00,-2.177362e-01 -2.156556e-01 2.782403e+00
-2.238144e-01 -4.244286e-01 2.717507e+00,-2.238437e-01 -4.244421e-01 2.717406e+00,-2.235900e-01 -4.246296e-01 2.717567e+00,-2.235738e-01 -4.249327e-01 2.717520e+00,-2.232690e-01 -4.252751e-01 2.718091e+00,-2.225774e-01 -4.262448e-01 2.719059e+00,-2.225524e-01 -4.266300e-01 2.719625e+00,-2.224295e-01 -4.272276e-01 2.719980e+00,-2.223506e-01 -4.283405e-01 2.720846e+00,-2.222335e-01 -4.298076e-01 2.720884e+00,-2.224911e-01 -4.297003e-01 2.720705e+00,-2.244304e-01 -4.262015e-01 2.721157e+00,-2.249680e-01 -4.247445e-01 2.721082e+00,-2.268381e-01 -4.220583e-01 2.722027e+00,-2.275541e-01 -4.206277e-01 2.724190e+00,-2.286187e-01 -4.167820e-01 2.729349e+00,-2.291613e-01 -4.135463e-01 2.734616e+00,-2.295765e-01 -4.137005e-01 2.737485e+00,-2.295711e-01 -4.133466e-01 2.739855e+00,-2.322387e-01 -4.132512e-01 2.741317e+00,-2.406124e-01 -4.138008e-01 2.742586e+00,-2.413147e-01 -4.141275e-01 2.740612e+00,-2.417192e-01 -4.142894e-01 2.738408e+00,-2.421470e-01 -4.172834e-01 2.735391e+00,-2.426252e-01 -4.184630e-01 2.732189e+00,-2.423412e-01 -4.185778e-01 2.725673e+00,-2.419614e-01 -4.203360e-01 2.723780e+00,-2.408944e-01 -4.207525e-01 2.719083e+00,-2.400190e-01 -4.232755e-01 2.714745e+00,-2.397704e-01 -4.240000e-01 2.714341e+00,-2.392725e-01 -4.246173e-01 2.713142e+00,-2.390764e-01 -4.247575e-01 2.712818e+00,-2.388249e-01 -4.249012e-01 2.712533e+00,-2.375354e-01 -4.251555e-01 2.712204e+00,-2.363589e-01 -4.253775e-01 2.712011e+00,-2.344080e-01 -4.259990e-01 2.712635e+00,-2.335344e-01 -4.265716e-01 2.713924e+00,-2.320951e-01 -4.265608e-01 2.715650e+00,-2.298120e-01 -4.266516e-01 2.717020e+00,-2.260740e-01 -4.271587e-01 2.720461e+00,-2.245793e-01 -4.277682e-01 2.722394e+00,-2.224378e-01 -4.283324e-01 2.725563e+00,-2.213755e-01 -4.286317e-01 2.726322e+00
-2.151122e-01 -4.905906e-01 2.693226e+00,-2.155593e-01 -4.910031e-01 2.693398e+00,-2.156405e-01 -4.917002e-01 2.694269e+00,-2.148411e-01 -4.936325e-01 2.695818e+00,-2.155753e-01 -4.951257e-01 2.696950e+00,-2.152855e-01 -4.955280e-01 2.700732e+00,-2.156094e-01 -4.975890e-01 2.700158e+00,-2.163701e-01 -4.990146e-01 2.702127e+00,-2.178757e-01 -4.998769e-01 2.704870e+00,-2.182288e-01 -5.011084e-01 2.703251e+00,-2.195778e-01 -4.992750e-01 2.699401e+00,-2.202532e-01 -4.980275e-01 2.696902e+00,-2.218502e-01 -4.933255e-01 2.693058e+00,-2.244309e-01 -4.873085e-01 2.697238e+00,-2.239797e-01 -4.872575e-01 2.699552e+00,-2.287728e-01 -4.872050e-01 2.702640e+00,-2.302081e-01 -4.849623e-01 2.711828e+00,-2.308281e-01 -4.869889e-01 2.711556e+00,-2.317711e-01 -4.876361e-01 2.713493e+00,-2.336917e-01 -4.862716e-01 2.714700e+00,-2.377764e-01 -4.903274e-01 2.711833e+00,-2.398885e-01 -4.883817e-01 2.710690e+00,-2.397425e-01 -4.892261e-01 2.706887e+00,-2.391717e-01 -4.875813e-01 2.698942e+00,-2.380943e-01 -4.892311e-01 2.695622e+00,-2.359738e-01 -4.909145e-01 2.690572e+00,-2.347854e-01 -4.908581e-01 2.690501e+00,-2.327877e-01 -4.899586e-01 2.687005e+00,-2.304578e-01 -4.925039e-01 2.683564e+00,-2.302139e-01 -4.916872e-01 2.686028e+00,-2.291743e-01 -4.927741e-01 2.685345e+00,-2.289901e-01 -4.931575e-01 2.685378e+00,-2.289545e-01 -4.930064e-01 2.685762e+00,-2.270389e-01 -4.926406e-01 2.687846e+00,-2.275865e-01 -4.866659e-01 2.689869e+00,-2.268149e-01 -4.888556e-01 2.695183e+00,-2.274165e-01 -4.895711e-01 2.698239e+00,-2.243888e-01 -4.891934e-01 2.698582e+00,-2.225488e-01 -4.901216e-01 2.699929e+00,-2.195404e-01 -4.926111e-01 2.705349e+00,-2.119494e-01 -4.934373e-01 2.711229e+00,-2.068780e-01 -4.932677e-01 2.715595e+00,-2.051728e-01 -4.920361e-01 2.717260e+00
1.644208e-01 2.470511e-02 2.799621e+00,1.644171e-01 2.460317e-02 2.799582e+00,1.644184e-01 2.458433e-02 2.799613e+00,1.643973e-01 2.461927e-02 2.799679e+00,1.642870e-01 2.469765e-02 2.799893e+00,1.639171e-01 2.613604e-02 2.801113e+00,1.642303e-01 2.691110e-02 2.802420e+00,1.645771e-01 2.744298e-02 2.803847e+00,1.650489e-01 2.950797e-02 2.806390e+00,1.635827e-01 3.329140e-02 2.806452e+00,1.633777e-01 3.502885e-02 2.802270e+00,1.606136e-01 3.930558e-02 2.794560e+00,1.588238e-01 4.173772e-02 2.791897e+00,1.553708e-01 4.366897e-02 2.788138e+00,1.543278e-01 4.465429e-02 2.786497e+00,1.404362e-01 5.777328e-02 2.768363e+00,1.367002e-01 6.125592e-02 2.763526e+00,1.351310e-01 6.269383e-02 2.761721e+00,1.343888e-01 6.292388e-02 2.761472e+00,1.342345e-01 6.303042e-02 2.761490e+00,1.343450e-01 6.281820e-02 2.761576e+00,1.343532e-01 6.259363e-02 2.761953e+00,1.357022e-01 6.191017e-02 2.763524e+00,1.426235e-01 5.963439e-02 2.770917e+00,1.461538e-01 5.500932e-02 2.776626e+00,1.473441e-01 4.979254e-02 2.780069e+00,1.457114e-01 4.577921e-02 2.781909e+00,1.448726e-01 4.599876e-02 2.782698e+00,1.576585e-01 3.551430e-02 2.799264e+00,1.589215e-01 3.360122e-02 2.802384e+00,1.616631e-01 3.125307e-02 2.807032e+00,1.617448e-01 3.113977e-02 2.807303e+00,1.619723e-01 3.076882e-02 2.807944e+00,1.620950e-01 3.012902e-02 2.808377e+00,1.619422e-01 2.933259e-02 2.807505e+00,1.616186e-01 2.846292e-02 2.807129e+00,1.614263e-01 2.811522e-02 2.806892e+00,1.611611e-01 2.760298e-02 2.805933e+00,1.611877e-01 2.736526e-02 2.805658e+00,1.613674e-01 2.698444e-02 2.805359e+00,1.615475e-01 2.651160e-02 2.804706e+00,1.616944e-01 2.590175e-02 2.803635e+00,1.618172e-01 2.580257e-02 2.803581e+00
2.110048e-01 -2.372477e-01 2.803473e+00,2.110654e-01 -2.372328e-01 2.803486e+00,2.132727e-01 -2.355240e-01 2.804033e+00,2.200572e-01 -2.287943e-01 2.805650e+00,2.259688e-01 -2.225409e-01 2.808179e+00,2.411987e-01 -2.005198e-01 2.819036e+00,2.469985e-01 -1.822652e-01 2.822960e+00,2.574744e-01 -1.676576e-01 2.820880e+00,2.889843e-01 -1.585950e-01 2.735454e+00,2.881079e-01 -1.386987e-01 2.735096e+00,3.041726e-01 -7.248801e-02 2.656867e+00,2.860814e-01 3.031364e-02 2.599320e+00,2.859141e-01 2.862464e-02 2.598034e+00,2.595642e-01 9.096406e-02 2.567531e+00,2.502395e-01 1.092221e-01 2.560769e+00,2.194870e-01 1.475081e-01 2.555240e+00,2.062403e-01 1.595510e-01 2.554535e+00,1.868555e-01 2.011559e-01 2.534437e+00,1.874584e-01 2.004412e-01 2.534995e+00,2.008426e-01 1.813682e-01 2.543683e+00,2.294114e-01 1.465343e-01 2.557591e+00,2.444105e-01 1.290399e-01 2.561694e+00,2.599734e-01 1.032558e-01 2.571950e+00,2.968851e-01 3.194651e-02 2.601622e+00,3.087417e-01 -3.410991e-02 2.643231e+00,3.221776e-01 -9.776045e-02 2.694576e+00,3.220811e-01 -1.381627e-01 2.730201e+00,2.796976e-01 -1.347986e-01 2.752475e+00,2.941408e-01 -1.774878e-01 2.771150e+00,2.500188e-01 -1.586397e-01 2.835737e+00,2.435010e-01 -1.683319e-01 2.840517e+00,2.392991e-01 -1.763743e-01 2.840715e+00,2.339946e-01 -1.885822e-01 2.838838e+00,2.267465e-01 -2.071060e-01 2.831004e+00,2.219438e-01 -2.174412e-01 2.826275e+00,2.159461e-01 -2.249155e-01 2.820026e+00,2.139345e-01 -2.264835e-01 2.817875e+00,2.114415e-01 -2.288437e-01 2.814260e+00,2.108490e-01 -2.297478e-01 2.813869e+00,2.104373e-01 -2.297919e-01 2.813407e+00,2.097666e-01 -2.316200e-01 2.812051e+00,2.083602e-01 -2.320109e-01 2.810643e+00,2.082605e-01 -2.320861e-01 2.810447e+00
2.215650e-01 -4.531766e-01 2.755673e+00,2.220528e-01 -4.526754e-01 2.754453e+00,2.234038e-01 -4.517832e-01 2.752060e+00,2.335710e-01 -4.395940e-01 2.742151e+00,2.379099e-01 -4.304573e-01 2.733624e+00,2.575040e-01 -3.646112e-01 2.665580e+00,2.553698e-01 -3.095595e-01 2.635326e+00,2.497211e-01 -2.371953e-01 2.603610e+00,2.502467e-01 -9.359853e-02 2.519732e+00,2.636095e-01 1.492227e-02 2.570079e+00,2.445200e-01 1.075260e-01 2.535781e+00,2.248208e-01 2.306139e-01 2.490777e+00,2.212719e-01 2.446072e-01 2.482615e+00,2.011706e-01 3.187718e-01 2.440022e+00,1.919549e-01 3.393236e-01 2.422807e+00,1.830136e-01 3.565231e-01 2.400559e+00,1.761124e-01 3.653237e-01 2.386373e+00,1.752426e-01 3.676743e-01 2.383034e+00,1.750776e-01 3.668667e-01 2.383541e+00,1.765126e-01 3.620147e-01 2.387139e+00,1.849688e-01 3.276706e-01 2.426497e+00,1.872021e-01 3.177849e-01 2.438327e+00,1.898362e-01 2.889964e-01 2.468962e+00,1.974835e-01 2.137275e-01 2.518815e+00,2.144878e-01 1.507766e-01 2.544988e+00,2.176607e-01 6.383903e-02 2.577874e+00,2.256298e-01 6.536588e-03 2.585415e+00,2.349221e-01 -7.673406e-02 2.640660e+00,2.424722e-01 -1.739538e-01 2.646819e+00,2.221294e-01 -2.144417e-01 2.615965e+00,2.313860e-01 -3.041615e-01 2.659415e+00,2.345894e-01 -3.349512e-01 2.680141e+00,2.272334e-01 -3.704704e-01 2.693793e+00,2.271326e-01 -4.030949e-01 2.720110e+00,2.243156e-01 -4.234163e-01 2.728525e+00,2.235315e-01 -4.351441e-01 2.739477e+00,2.215315e-01 -4.402031e-01 2.743462e+00,2.200991e-01 -4.453788e-01 2.748535e+00,2.198492e-01 -4.464974e-01 2.750020e+00,2.195055e-01 -4.480531e-01 2.750432e+00,2.179534e-01 -4.522862e-01 2.750947e+00,2.159756e-01 -4.535832e-01 2.751623e+00,2.153286e-01 -4.540940e-01 2.751710e+00
