4.789761e-02 -5.646615e-01 2.781799e+00,4.788202e-02 -5.646293e-01 2.781880e+00,4.730721e-02 -5.647422e-01 2.782143e+00,4.701651e-02 -5.647409e-01 2.782197e+00,4.525020e-02 -5.648751e-01 2.782045e+00,4.389551e-02 -5.645927e-01 2.781723e+00,4.061672e-02 -5.643347e-01 2.780739e+00,3.905283e-02 -5.638095e-01 2.780746e+00,3.850008e-02 -5.637485e-01 2.780445e+00,3.529333e-02 -5.633567e-01 2.779521e+00,3.336767e-02 -5.630887e-01 2.778907e+00,2.800687e-02 -5.618189e-01 2.777049e+00,2.615154e-02 -5.608656e-01 2.776345e+00,2.363383e-02 -5.600018e-01 2.774696e+00,1.891287e-02 -5.589567e-01 2.772828e+00,1.642893e-02 -5.593133e-01 2.772335e+00,1.070421e-02 -5.596548e-01 2.773543e+00,1.370027e-02 -5.592782e-01 2.770733e+00,1.361742e-02 -5.592648e-01 2.770588e+00,9.808770e-03 -5.611250e-01 2.773576e+00,7.676663e-03 -5.613967e-01 2.775836e+00,6.763685e-03 -5.646614e-01 2.779359e+00,1.443694e-02 -5.715062e-01 2.775792e+00,1.450091e-02 -5.728321e-01 2.775985e+00,1.315023e-02 -5.771700e-01 2.777153e+00,1.319389e-02 -5.782849e-01 2.777034e+00,1.506238e-02 -5.800720e-01 2.776966e+00,1.855098e-02 -5.790322e-01 2.777428e+00,1.603656e-02 -5.740563e-01 2.780291e+00,2.070759e-02 -5.596440e-01 2.786289e+00,4.896787e-03 -5.595697e-01 2.787550e+00,4.274663e-03 -5.599474e-01 2.786291e+00,5.663226e-03 -5.606607e-01 2.783040e+00,6.441812e-03 -5.609367e-01 2.782765e+00,9.071648e-03 -5.610192e-01 2.781203e+00,1.194506e-02 -5.607845e-01 2.780419e+00,1.326703e-02 -5.607968e-01 2.779771e+00,1.429349e-02 -5.610609e-01 2.779293e+00,1.867374e-02 -5.607646e-01 2.778978e+00,2.036086e-02 -5.607173e-01 2.778859e+00,2.475863e-02 -5.608042e-01 2.779168e+00,2.568864e-02 -5.608024e-01 2.779309e+00,2.676915e-02 -5.608273e-01 2.779501e+00,2.697183e-02 -5.608249e-01 2.779545e+00,2.753340e-02 -5.608526e-01 2.779501e+00,2.807665e-02 -5.611012e-01 2.779866e+00,2.835411e-02 -5.611365e-01 2.779877e+00,2.942597e-02 -5.614282e-01 2.779979e+00,2.976415e-02 -5.614039e-01 2.779990e+00
4.663447e-02 -2.745627e-01 2.806980e+00,4.654019e-02 -2.745111e-01 2.807112e+00,4.601218e-02 -2.746454e-01 2.807424e+00,4.564932e-02 -2.746300e-01 2.807459e+00,4.442179e-02 -2.746646e-01 2.807717e+00,4.384032e-02 -2.745202e-01 2.807580e+00,4.231287e-02 -2.741027e-01 2.807019e+00,4.132458e-02 -2.736929e-01 2.806988e+00,4.079937e-02 -2.735700e-01 2.806713e+00,3.862286e-02 -2.727396e-01 2.806014e+00,3.718652e-02 -2.721187e-01 2.805598e+00,3.391202e-02 -2.708078e-01 2.804207e+00,3.236059e-02 -2.699591e-01 2.803653e+00,3.066953e-02 -2.693292e-01 2.803001e+00,2.600280e-02 -2.679971e-01 2.801425e+00,2.413114e-02 -2.676276e-01 2.800913e+00,1.799874e-02 -2.671673e-01 2.799613e+00,1.791867e-02 -2.660899e-01 2.797347e+00,1.561388e-02 -2.657693e-01 2.795230e+00,1.507355e-02 -2.677329e-01 2.794463e+00,9.066120e-03 -2.674693e-01 2.792276e+00,7.434373e-03 -2.711161e-01 2.792640e+00,8.282947e-03 -2.813948e-01 2.789537e+00,7.770527e-03 -2.820723e-01 2.789052e+00,5.500018e-03 -2.848942e-01 2.788948e+00,5.496133e-03 -2.849006e-01 2.788944e+00,7.302389e-03 -2.828939e-01 2.789451e+00,1.219807e-02 -2.770578e-01 2.792909e+00,1.132229e-02 -2.757659e-01 2.793735e+00,1.224421e-02 -2.716498e-01 2.796104e+00,7.452808e-03 -2.687358e-01 2.799202e+00,7.007795e-03 -2.685407e-01 2.799246e+00,6.854391e-03 -2.684445e-01 2.799154e+00,6.949171e-03 -2.684366e-01 2.799151e+00,7.381472e-03 -2.683125e-01 2.799020e+00,8.915405e-03 -2.680928e-01 2.798747e+00,1.065975e-02 -2.679306e-01 2.798178e+00,1.169764e-02 -2.680247e-01 2.797851e+00,1.434505e-02 -2.680074e-01 2.797811e+00,1.578951e-02 -2.680560e-01 2.797804e+00,1.928636e-02 -2.684383e-01 2.798382e+00,2.072550e-02 -2.684709e-01 2.798602e+00,2.215325e-02 -2.692544e-01 2.798770e+00,2.251844e-02 -2.694265e-01 2.798945e+00,2.332560e-02 -2.696399e-01 2.799095e+00,2.438548e-02 -2.700270e-01 2.799953e+00,2.471969e-02 -2.701872e-01 2.800005e+00,2.562618e-02 -2.704737e-01 2.800426e+00,2.596921e-02 -2.705095e-01 2.800524e+00
4.492022e-02 1.045808e-02 2.819801e+00,4.474663e-02 1.051512e-02 2.819942e+00,4.433122e-02 1.035900e-02 2.820211e+00,4.392677e-02 1.037726e-02 2.820186e+00,4.311199e-02 1.038457e-02 2.820710e+00,4.300511e-02 1.042589e-02 2.820672e+00,4.266995e-02 1.079918e-02 2.820390e+00,4.231019e-02 1.106231e-02 2.820347e+00,4.197843e-02 1.122784e-02 2.820130e+00,4.083098e-02 1.239614e-02 2.819604e+00,3.992546e-02 1.333018e-02 2.819342e+00,3.830409e-02 1.456658e-02 2.818439e+00,3.734093e-02 1.529714e-02 2.818059e+00,3.644694e-02 1.576459e-02 2.818048e+00,3.216359e-02 1.737638e-02 2.817001e+00,3.079749e-02 1.842352e-02 2.816450e+00,2.399168e-02 2.001922e-02 2.812155e+00,2.081002e-02 2.262205e-02 2.809027e+00,1.454562e-02 2.320049e-02 2.804039e+00,1.790070e-02 1.856443e-02 2.799734e+00,4.283172e-03 2.119782e-02 2.788545e+00,4.907878e-03 1.735832e-02 2.788374e+00,-1.016413e-03 -1.130975e-03 2.787666e+00,-1.707928e-03 -6.464950e-04 2.786806e+00,-3.406000e-03 -1.007874e-03 2.786461e+00,-3.308110e-03 8.617868e-04 2.786750e+00,3.446616e-04 1.269180e-02 2.789969e+00,6.036552e-03 2.274075e-02 2.796417e+00,5.842910e-03 2.245524e-02 2.796394e+00,5.703300e-03 2.206470e-02 2.796657e+00,5.886930e-03 2.255095e-02 2.799295e+00,5.685495e-03 2.261468e-02 2.800288e+00,5.468005e-03 2.241680e-02 2.801601e+00,5.531960e-03 2.232300e-02 2.801776e+00,5.556347e-03 2.226265e-02 2.802184e+00,6.378693e-03 2.183098e-02 2.802701e+00,8.524141e-03 2.151672e-02 2.802610e+00,9.479590e-03 2.131897e-02 2.802575e+00,1.115211e-02 2.076158e-02 2.803008e+00,1.211482e-02 2.045821e-02 2.803194e+00,1.469362e-02 1.942731e-02 2.804142e+00,1.644795e-02 1.920510e-02 2.804542e+00,1.828354e-02 1.705785e-02 2.804776e+00,1.877592e-02 1.658957e-02 2.805210e+00,1.974683e-02 1.615029e-02 2.805664e+00,2.121652e-02 1.567648e-02 2.807168e+00,2.154594e-02 1.538174e-02 2.807267e+00,2.223434e-02 1.511508e-02 2.808055e+00,2.253679e-02 1.502798e-02 2.808234e+00
4.850878e-02 1.506969e-01 2.815831e+00,4.809881e-02 1.508788e-01 2.816103e+00,4.712728e-02 1.510819e-01 2.816478e+00,4.682680e-02 1.510590e-01 2.816561e+00,4.525174e-02 1.508882e-01 2.816668e+00,4.469857e-02 1.507844e-01 2.816762e+00,4.368460e-02 1.508490e-01 2.817375e+00,4.319301e-02 1.509173e-01 2.817393e+00,4.251641e-02 1.507172e-01 2.817413e+00,4.017472e-02 1.517595e-01 2.817588e+00,3.872856e-02 1.525100e-01 2.817755e+00,3.315739e-02 1.539340e-01 2.818490e+00,2.920906e-02 1.545401e-01 2.819047e+00,2.399139e-02 1.556964e-01 2.819509e+00,1.442007e-02 1.569920e-01 2.819706e+00,8.139269e-03 1.570138e-01 2.821011e+00,-1.387531e-03 1.574944e-01 2.819897e+00,-2.857023e-03 1.574428e-01 2.819496e+00,-1.275760e-02 1.569125e-01 2.816895e+00,-6.190569e-02 1.133692e-01 2.816767e+00,-4.023103e-02 1.544294e-01 2.812179e+00,-3.945167e-02 1.532257e-01 2.813328e+00,-2.252871e-02 1.701559e-01 2.816900e+00,-2.138247e-02 1.708638e-01 2.815966e+00,-2.214664e-02 1.706650e-01 2.816090e+00,-2.222191e-02 1.675344e-01 2.816408e+00,-2.192772e-02 1.636997e-01 2.817883e+00,-2.117052e-02 1.624503e-01 2.818485e+00,-2.115072e-02 1.624661e-01 2.818567e+00,-2.114714e-02 1.624265e-01 2.818596e+00,-2.080704e-02 1.621362e-01 2.818824e+00,-2.053772e-02 1.619602e-01 2.818877e+00,-1.885997e-02 1.617204e-01 2.818643e+00,-1.730698e-02 1.615897e-01 2.817907e+00,-1.498609e-02 1.616028e-01 2.816474e+00,-8.827576e-03 1.612248e-01 2.813164e+00,-2.473426e-03 1.615204e-01 2.810514e+00,-5.625996e-05 1.611729e-01 2.809913e+00,5.507690e-03 1.602630e-01 2.807716e+00,8.218074e-03 1.599686e-01 2.807051e+00,1.365683e-02 1.595246e-01 2.806390e+00,1.492199e-02 1.595906e-01 2.806302e+00,1.773563e-02 1.590653e-01 2.807169e+00,1.907712e-02 1.590426e-01 2.807427e+00,2.034929e-02 1.587461e-01 2.807009e+00,2.193421e-02 1.582514e-01 2.807319e+00,2.280082e-02 1.579676e-01 2.807512e+00,2.420576e-02 1.575863e-01 2.807134e+00,2.566234e-02 1.575132e-01 2.807242e+00
-1.089007e-01 -9.796220e-02 2.801150e+00,-1.090357e-01 -9.799112e-02 2.801417e+00,-1.095282e-01 -9.832457e-02 2.801798e+00,-1.096381e-01 -9.843892e-02 2.801847e+00,-1.102566e-01 -9.879500e-02 2.802159e+00,-1.104984e-01 -9.885903e-02 2.802193e+00,-1.108699e-01 -9.906231e-02 2.801573e+00,-1.110709e-01 -9.888633e-02 2.801335e+00,-1.113530e-01 -9.838441e-02 2.800359e+00,-1.119485e-01 -9.738317e-02 2.799546e+00,-1.121240e-01 -9.722394e-02 2.799055e+00,-1.137144e-01 -9.611698e-02 2.799786e+00,-1.153580e-01 -9.531561e-02 2.801817e+00,-1.165229e-01 -9.498761e-02 2.803057e+00,-1.187823e-01 -9.419478e-02 2.809695e+00,-1.190197e-01 -9.403717e-02 2.811193e+00,-1.175543e-01 -9.502035e-02 2.809391e+00,-1.159390e-01 -9.581121e-02 2.807679e+00,-1.156237e-01 -9.591713e-02 2.807667e+00,-1.150970e-01 -9.811004e-02 2.815543e+00,-1.303764e-01 -9.299362e-02 2.800584e+00,-1.118968e-01 -9.729306e-02 2.817332e+00,-1.229829e-01 -1.380211e-01 2.825343e+00,-1.181607e-01 -1.195864e-01 2.825795e+00,-1.162280e-01 -1.153573e-01 2.825352e+00,-1.167673e-01 -1.150589e-01 2.825215e+00,-1.172989e-01 -1.145647e-01 2.822594e+00,-1.162383e-01 -1.129052e-01 2.822429e+00,-1.169916e-01 -1.030136e-01 2.825869e+00,-1.226921e-01 -9.845135e-02 2.830855e+00,-1.244616e-01 -9.798480e-02 2.830125e+00,-1.301856e-01 -9.878818e-02 2.830073e+00,-1.348308e-01 -9.751511e-02 2.826178e+00,-1.358810e-01 -9.690901e-02 2.822213e+00,-1.370229e-01 -9.628736e-02 2.819204e+00,-1.373500e-01 -9.543665e-02 2.814680e+00,-1.367119e-01 -9.470280e-02 2.809688e+00,-1.363914e-01 -9.468199e-02 2.807265e+00,-1.354921e-01 -9.468503e-02 2.802846e+00,-1.347834e-01 -9.483886e-02 2.801409e+00,-1.327085e-01 -9.520671e-02 2.799367e+00,-1.321453e-01 -9.550456e-02 2.798769e+00,-1.305886e-01 -9.611196e-02 2.797094e+00,-1.297712e-01 -9.658603e-02 2.796461e+00,-1.289820e-01 -9.685632e-02 2.795609e+00,-1.285906e-01 -9.686426e-02 2.795609e+00,-1.285252e-01 -9.683809e-02 2.795658e+00,-1.279571e-01 -9.647592e-02 2.795923e+00,-1.276755e-01 -9.623964e-02 2.795829e+00
-1.499979e-01 -3.286111e-01 2.798631e+00,-1.501324e-01 -3.287865e-01 2.799076e+00,-1.508086e-01 -3.289217e-01 2.799230e+00,-1.509614e-01 -3.289829e-01 2.799352e+00,-1.514477e-01 -3.296608e-01 2.799850e+00,-1.516292e-01 -3.300413e-01 2.800185e+00,-1.522390e-01 -3.303557e-01 2.800344e+00,-1.526296e-01 -3.299359e-01 2.800657e+00,-1.533000e-01 -3.296592e-01 2.800478e+00,-1.540192e-01 -3.287694e-01 2.800840e+00,-1.543127e-01 -3.282075e-01 2.801104e+00,-1.552120e-01 -3.267329e-01 2.803624e+00,-1.556821e-01 -3.269395e-01 2.806180e+00,-1.558013e-01 -3.269894e-01 2.809330e+00,-1.537900e-01 -3.303972e-01 2.820843e+00,-1.516555e-01 -3.310065e-01 2.827253e+00,-1.425031e-01 -3.258249e-01 2.847837e+00,-1.315567e-01 -3.080717e-01 2.861781e+00,-1.310666e-01 -3.175635e-01 2.863459e+00,-1.263732e-01 -3.255097e-01 2.869811e+00,-1.218194e-01 -3.179791e-01 2.878365e+00,-1.188174e-01 -3.147644e-01 2.885808e+00,-1.268206e-01 -3.423632e-01 2.892760e+00,-1.235733e-01 -3.295529e-01 2.893879e+00,-1.215721e-01 -3.249933e-01 2.893706e+00,-1.221152e-01 -3.246685e-01 2.893625e+00,-1.222662e-01 -3.163562e-01 2.893202e+00,-1.729687e-01 -3.336676e-01 2.962633e+00,-1.370351e-01 -3.375548e-01 2.879282e+00,-1.395697e-01 -3.329670e-01 2.878655e+00,-1.474249e-01 -3.329714e-01 2.871642e+00,-1.514867e-01 -3.302323e-01 2.865344e+00,-1.593598e-01 -3.295349e-01 2.849645e+00,-1.635789e-01 -3.275239e-01 2.842546e+00,-1.662019e-01 -3.265111e-01 2.835595e+00,-1.686421e-01 -3.270756e-01 2.823962e+00,-1.685051e-01 -3.266906e-01 2.815704e+00,-1.668625e-01 -3.263769e-01 2.811186e+00,-1.618212e-01 -3.243979e-01 2.803670e+00,-1.593124e-01 -3.228686e-01 2.801395e+00,-1.576408e-01 -3.230308e-01 2.798578e+00,-1.574081e-01 -3.226602e-01 2.798233e+00,-1.571463e-01 -3.226545e-01 2.797569e+00,-1.571479e-01 -3.228749e-01 2.797163e+00,-1.569331e-01 -3.232018e-01 2.796990e+00,-1.567669e-01 -3.233514e-01 2.797146e+00,-1.567422e-01 -3.233731e-01 2.797148e+00,-1.566409e-01 -3.234867e-01 2.796971e+00,-1.566206e-01 -3.235210e-01 2.796978e+00
-1.474523e-01 -5.221807e-01 2.722792e+00,-1.475112e-01 -5.222346e-01 2.722872e+00,-1.476769e-01 -5.224241e-01 2.723215e+00,-1.476949e-01 -5.224356e-01 2.723206e+00,-1.478363e-01 -5.229090e-01 2.723144e+00,-1.480238e-01 -5.231875e-01 2.723196e+00,-1.483314e-01 -5.236100e-01 2.723691e+00,-1.484998e-01 -5.231926e-01 2.724019e+00,-1.491156e-01 -5.231186e-01 2.724442e+00,-1.500686e-01 -5.220922e-01 2.724374e+00,-1.510499e-01 -5.215130e-01 2.724548e+00,-1.550662e-01 -5.199283e-01 2.726675e+00,-1.570196e-01 -5.199337e-01 2.728673e+00,-1.579315e-01 -5.192529e-01 2.729761e+00,-1.619292e-01 -5.213644e-01 2.738249e+00,-1.590309e-01 -5.191708e-01 2.737498e+00,-1.618582e-01 -5.136890e-01 2.759433e+00,-1.592027e-01 -4.961156e-01 2.776248e+00,-1.580162e-01 -5.051950e-01 2.776730e+00,-1.496463e-01 -5.158299e-01 2.788864e+00,-1.440096e-01 -5.088663e-01 2.798535e+00,-1.409983e-01 -5.055922e-01 2.805774e+00,-1.489086e-01 -5.330445e-01 2.812602e+00,-1.456776e-01 -5.202891e-01 2.813735e+00,-1.436823e-01 -5.157478e-01 2.813563e+00,-1.442228e-01 -5.154243e-01 2.813482e+00,-1.443724e-01 -5.071447e-01 2.813060e+00,-1.456195e-01 -4.893555e-01 2.819348e+00,-1.513495e-01 -5.304456e-01 2.803258e+00,-1.604091e-01 -5.237856e-01 2.798393e+00,-1.698273e-01 -5.220163e-01 2.787139e+00,-1.698495e-01 -5.214015e-01 2.785316e+00,-1.711204e-01 -5.198378e-01 2.765824e+00,-1.701421e-01 -5.166256e-01 2.754972e+00,-1.698112e-01 -5.162630e-01 2.749416e+00,-1.684625e-01 -5.171060e-01 2.738374e+00,-1.656324e-01 -5.160223e-01 2.728381e+00,-1.641064e-01 -5.141323e-01 2.720051e+00,-1.607042e-01 -5.131115e-01 2.714771e+00,-1.586099e-01 -5.107791e-01 2.710558e+00,-1.548849e-01 -5.116388e-01 2.709435e+00,-1.541647e-01 -5.114431e-01 2.709524e+00,-1.541886e-01 -5.115335e-01 2.709086e+00,-1.542733e-01 -5.119616e-01 2.709188e+00,-1.551558e-01 -5.123901e-01 2.709244e+00,-1.553335e-01 -5.134605e-01 2.711711e+00,-1.552065e-01 -5.136592e-01 2.712169e+00,-1.549463e-01 -5.138815e-01 2.712276e+00,-1.547945e-01 -5.138831e-01 2.712201e+00
-1.359950e-01 -5.517620e-01 2.716421e+00,-1.371947e-01 -5.483548e-01 2.717878e+00,-1.365535e-01 -5.512593e-01 2.715066e+00,-1.364672e-01 -5.520782e-01 2.716372e+00,-1.390008e-01 -5.515654e-01 2.718019e+00,-1.413340e-01 -5.519722e-01 2.719969e+00,-1.425003e-01 -5.513209e-01 2.720621e+00,-1.424156e-01 -5.497050e-01 2.720310e+00,-1.424152e-01 -5.506072e-01 2.719394e+00,-1.443406e-01 -5.502781e-01 2.717426e+00,-1.451135e-01 -5.499316e-01 2.716339e+00,-1.480615e-01 -5.489314e-01 2.717603e+00,-1.485178e-01 -5.501162e-01 2.723289e+00,-1.483612e-01 -5.465242e-01 2.722726e+00,-1.486177e-01 -5.520514e-01 2.728521e+00,-1.425935e-01 -5.328640e-01 2.729322e+00,-1.421730e-01 -5.307755e-01 2.743656e+00,-1.418740e-01 -5.312006e-01 2.751030e+00,-1.385719e-01 -5.394922e-01 2.756265e+00,-1.403640e-01 -5.485172e-01 2.782900e+00,-1.355584e-01 -5.579371e-01 2.786346e+00,-1.309677e-01 -5.592567e-01 2.800323e+00,-1.291234e-01 -5.806435e-01 2.802857e+00,-1.272202e-01 -5.671014e-01 2.802903e+00,-1.304826e-01 -5.708347e-01 2.810982e+00,-1.329614e-01 -5.705494e-01 2.816954e+00,-1.384107e-01 -5.603123e-01 2.813203e+00,-1.411247e-01 -5.533379e-01 2.797068e+00,-1.452335e-01 -5.781009e-01 2.791696e+00,-1.513057e-01 -5.693556e-01 2.783351e+00,-1.645935e-01 -5.585407e-01 2.771917e+00,-1.690946e-01 -5.492160e-01 2.763668e+00,-1.716893e-01 -5.451592e-01 2.746339e+00,-1.694392e-01 -5.448086e-01 2.733460e+00,-1.678705e-01 -5.447330e-01 2.728908e+00,-1.595578e-01 -5.486304e-01 2.714536e+00,-1.564972e-01 -5.433647e-01 2.705568e+00,-1.512702e-01 -5.411026e-01 2.701336e+00,-1.462766e-01 -5.369292e-01 2.696008e+00,-1.447502e-01 -5.346106e-01 2.698222e+00,-1.442536e-01 -5.359900e-01 2.699315e+00,-1.444831e-01 -5.334236e-01 2.701297e+00,-1.453960e-01 -5.341761e-01 2.702064e+00,-1.460542e-01 -5.346768e-01 2.701990e+00,-1.459383e-01 -5.359519e-01 2.703473e+00,-1.451262e-01 -5.332388e-01 2.707444e+00,-1.376763e-01 -5.330584e-01 2.705657e+00,-1.430970e-01 -5.454981e-01 2.702884e+00,-1.427414e-01 -5.445894e-01 2.700326e+00
1.911779e-01 -9.978303e-02 2.794136e+00,1.908266e-01 -9.994076e-02 2.794381e+00,1.903841e-01 -9.994093e-02 2.794431e+00,1.899308e-01 -9.987140e-02 2.794463e+00,1.888828e-01 -9.971714e-02 2.794715e+00,1.883452e-01 -9.967119e-02 2.795186e+00,1.870553e-01 -9.992059e-02 2.796035e+00,1.864195e-01 -1.000151e-01 2.796643e+00,1.858710e-01 -1.000024e-01 2.796651e+00,1.831161e-01 -9.978859e-02 2.795911e+00,1.820504e-01 -9.873997e-02 2.794970e+00,1.777512e-01 -9.417451e-02 2.786471e+00,1.733704e-01 -8.899550e-02 2.779939e+00,1.657507e-01 -8.229343e-02 2.768856e+00,1.530729e-01 -7.422519e-02 2.752837e+00,1.412760e-01 -7.320759e-02 2.737769e+00,1.375313e-01 -7.405046e-02 2.736759e+00,1.223753e-01 -7.934021e-02 2.727607e+00,1.194835e-01 -8.079330e-02 2.725055e+00,1.107844e-01 -8.002152e-02 2.716695e+00,1.018527e-01 -7.472622e-02 2.707505e+00,8.984849e-02 -7.789806e-02 2.699743e+00,8.402935e-02 -8.519545e-02 2.696007e+00,8.746552e-02 -8.642156e-02 2.698356e+00,9.070300e-02 -8.705365e-02 2.699616e+00,9.124263e-02 -8.719455e-02 2.699888e+00,9.354493e-02 -8.551474e-02 2.700991e+00,1.053814e-01 -6.661509e-02 2.707977e+00,1.046538e-01 -6.179858e-02 2.708575e+00,1.049196e-01 -6.080150e-02 2.709237e+00,1.123510e-01 -6.565662e-02 2.715617e+00,1.127975e-01 -6.543629e-02 2.716087e+00,1.282251e-01 -7.555008e-02 2.728466e+00,1.333690e-01 -7.874868e-02 2.732975e+00,1.375350e-01 -8.108158e-02 2.737733e+00,1.446866e-01 -8.240101e-02 2.746568e+00,1.517684e-01 -8.463831e-02 2.754322e+00,1.548411e-01 -8.612052e-02 2.757797e+00,1.596843e-01 -8.908043e-02 2.762875e+00,1.612118e-01 -8.971222e-02 2.765450e+00,1.646433e-01 -9.007096e-02 2.770821e+00,1.654612e-01 -9.029610e-02 2.772397e+00,1.687576e-01 -9.179769e-02 2.776388e+00,1.694013e-01 -9.202760e-02 2.777445e+00,1.704020e-01 -9.273838e-02 2.778438e+00,1.714733e-01 -9.396984e-02 2.780782e+00,1.717234e-01 -9.431624e-02 2.781260e+00,1.724835e-01 -9.484381e-02 2.782172e+00,1.729497e-01 -9.508964e-02 2.782777e+00
2.312949e-01 -3.438046e-01 2.809739e+00,2.307915e-01 -3.437651e-01 2.810073e+00,2.286594e-01 -3.426706e-01 2.810855e+00,2.279167e-01 -3.423897e-01 2.811104e+00,2.265127e-01 -3.413903e-01 2.813949e+00,2.260740e-01 -3.405025e-01 2.817219e+00,2.252297e-01 -3.306300e-01 2.822350e+00,2.235667e-01 -3.127775e-01 2.827247e+00,2.237648e-01 -3.066785e-01 2.824097e+00,2.312161e-01 -3.114524e-01 2.791750e+00,2.494687e-01 -2.994144e-01 2.750520e+00,2.861816e-01 -2.415608e-01 2.677313e+00,3.033693e-01 -1.986475e-01 2.649081e+00,2.979127e-01 -1.769864e-01 2.627651e+00,2.722984e-01 -6.521945e-02 2.570341e+00,2.419901e-01 -2.506485e-02 2.549773e+00,1.669165e-01 3.107257e-02 2.512285e+00,1.425571e-01 3.396731e-02 2.508198e+00,8.812544e-02 8.384855e-02 2.487299e+00,3.771349e-02 9.555851e-02 2.497390e+00,2.496212e-02 9.309629e-02 2.505977e+00,-1.311472e-02 7.206482e-02 2.499337e+00,-1.894138e-02 5.424046e-02 2.495330e+00,-2.601369e-02 3.728359e-02 2.484864e+00,-2.224352e-02 5.925511e-03 2.470634e+00,-1.437190e-02 -9.832093e-03 2.466387e+00,5.281242e-02 -6.354816e-02 2.484999e+00,1.328195e-01 -1.257778e-01 2.497937e+00,1.150866e-01 -1.316690e-01 2.488841e+00,1.464483e-01 -1.339155e-01 2.506472e+00,1.953857e-01 -1.893257e-01 2.558240e+00,2.089496e-01 -2.210266e-01 2.560210e+00,2.505154e-01 -2.316902e-01 2.658253e+00,2.457593e-01 -2.459324e-01 2.676045e+00,2.451373e-01 -2.541381e-01 2.695224e+00,2.464444e-01 -2.745950e-01 2.734024e+00,2.455155e-01 -2.880046e-01 2.764472e+00,2.423688e-01 -3.029030e-01 2.779427e+00,2.245700e-01 -3.218482e-01 2.801753e+00,2.199915e-01 -3.253662e-01 2.806843e+00,2.147997e-01 -3.275051e-01 2.812744e+00,2.148419e-01 -3.281875e-01 2.813630e+00,2.158817e-01 -3.289096e-01 2.815263e+00,2.163407e-01 -3.294011e-01 2.815691e+00,2.165368e-01 -3.296050e-01 2.815770e+00,2.165113e-01 -3.304447e-01 2.816088e+00,2.163988e-01 -3.317195e-01 2.816509e+00,2.165124e-01 -3.323433e-01 2.816406e+00,2.165443e-01 -3.323305e-01 2.816514e+00
2.396073e-01 -5.398962e-01 2.742992e+00,2.395517e-01 -5.397050e-01 2.742858e+00,2.393878e-01 -5.381767e-01 2.742495e+00,2.399583e-01 -5.377200e-01 2.742430e+00,2.496467e-01 -5.321492e-01 2.734468e+00,2.614471e-01 -5.213683e-01 2.718809e+00,2.998155e-01 -4.437018e-01 2.658985e+00,3.157104e-01 -3.955834e-01 2.654288e+00,3.359832e-01 -3.124647e-01 2.642693e+00,3.531756e-01 -2.095000e-01 2.651290e+00,3.506230e-01 -1.526167e-01 2.637326e+00,3.437713e-01 -4.383375e-02 2.659794e+00,3.304727e-01 4.012583e-03 2.663306e+00,2.990972e-01 2.475497e-02 2.658489e+00,2.580564e-01 1.105814e-01 2.664072e+00,1.922593e-01 1.440056e-01 2.643799e+00,1.577766e-01 2.208323e-01 2.578125e+00,1.094811e-01 2.366092e-01 2.504413e+00,4.519571e-02 2.840258e-01 2.461152e+00,-7.498188e-02 2.379458e-01 2.381676e+00,-1.301132e-01 2.225758e-01 2.343578e+00,-1.469574e-01 1.507066e-01 2.352715e+00,-1.628473e-01 1.193451e-01 2.353592e+00,-1.731638e-01 1.081239e-01 2.349791e+00,-1.793864e-01 7.118058e-02 2.344880e+00,-1.759383e-01 3.084626e-02 2.335550e+00,-1.110248e-01 -1.126495e-02 2.361455e+00,-6.564585e-02 -7.618174e-02 2.351062e+00,-4.102042e-02 -1.286183e-01 2.344348e+00,6.715069e-04 -1.667361e-01 2.354685e+00,1.132927e-01 -2.693285e-01 2.377723e+00,1.413198e-01 -3.230757e-01 2.385338e+00,2.271083e-01 -3.736695e-01 2.494743e+00,2.492854e-01 -4.013147e-01 2.532413e+00,2.617428e-01 -4.254484e-01 2.574127e+00,2.790671e-01 -4.602582e-01 2.644500e+00,2.744288e-01 -4.820904e-01 2.697149e+00,2.661310e-01 -4.987752e-01 2.716189e+00,2.419959e-01 -5.189834e-01 2.741016e+00,2.285544e-01 -5.230851e-01 2.746020e+00,2.240028e-01 -5.247735e-01 2.750304e+00,2.257017e-01 -5.260489e-01 2.753921e+00,2.273030e-01 -5.263852e-01 2.754148e+00,2.260956e-01 -5.266713e-01 2.753402e+00,2.260844e-01 -5.266896e-01 2.752728e+00,2.253319e-01 -5.272515e-01 2.751873e+00,2.256267e-01 -5.282667e-01 2.751429e+00,2.261131e-01 -5.286104e-01 2.750391e+00,2.260468e-01 -5.285118e-01 2.750173e+00
