5.309713e-02 -4.419710e-01 2.844186e+00,5.312111e-02 -4.420165e-01 2.844182e+00,5.308000e-02 -4.421211e-01 2.843907e+00,5.303267e-02 -4.420799e-01 2.843770e+00,5.255530e-02 -4.420894e-01 2.843163e+00,5.177132e-02 -4.420888e-01 2.842757e+00,5.160526e-02 -4.420106e-01 2.842699e+00,5.150801e-02 -4.420451e-01 2.842693e+00,5.132763e-02 -4.418393e-01 2.842629e+00,5.098242e-02 -4.413526e-01 2.843026e+00,4.984098e-02 -4.395361e-01 2.843860e+00,4.966641e-02 -4.398012e-01 2.843922e+00,5.023939e-02 -4.523954e-01 2.843401e+00,5.023845e-02 -4.553705e-01 2.843494e+00,5.030011e-02 -4.573311e-01 2.843501e+00,5.001650e-02 -4.583261e-01 2.843144e+00,4.992492e-02 -4.574719e-01 2.843095e+00,4.948062e-02 -4.535711e-01 2.843331e+00,4.911613e-02 -4.522331e-01 2.844216e+00,4.902428e-02 -4.519450e-01 2.844347e+00,4.910744e-02 -4.509841e-01 2.844369e+00,4.916185e-02 -4.538411e-01 2.844442e+00,4.938310e-02 -4.609774e-01 2.843811e+00,4.954451e-02 -4.613062e-01 2.843651e+00,4.935507e-02 -4.603904e-01 2.843462e+00,4.946018e-02 -4.544585e-01 2.843319e+00,4.936845e-02 -4.522629e-01 2.843182e+00,4.921269e-02 -4.484674e-01 2.843205e+00,4.914685e-02 -4.474318e-01 2.843460e+00,4.953136e-02 -4.450665e-01 2.843658e+00,4.917473e-02 -4.406212e-01 2.844029e+00,4.925387e-02 -4.383180e-01 2.844283e+00,4.933665e-02 -4.376609e-01 2.844508e+00,4.938456e-02 -4.376683e-01 2.844458e+00,4.968782e-02 -4.380484e-01 2.844127e+00,4.988628e-02 -4.381953e-01 2.843778e+00,5.015165e-02 -4.386895e-01 2.842764e+00,5.032236e-02 -4.392480e-01 2.842477e+00,5.039507e-02 -4.397523e-01 2.842188e+00,5.057709e-02 -4.399283e-01 2.842104e+00,5.069908e-02 -4.400980e-01 2.842041e+00,5.095207e-02 -4.403933e-01 2.842160e+00,5.098360e-02 -4.406120e-01 2.842149e+00,5.123488e-02 -4.409035e-01 2.842197e+00,5.126870e-02 -4.409616e-01 2.842221e+00,5.141571e-02 -4.410556e-01 2.842083e+00,5.145774e-02 -4.411870e-01 2.841949e+00,5.151030e-02 -4.412839e-01 2.841844e+00,5.154587e-02 -4.415435e-01 2.841716e+00,5.162150e-02 -4.416223e-01 2.841534e+00,5.155521e-02 -4.416723e-01 2.841236e+00
5.302573e-02 -9.304513e-02 2.868108e+00,5.297162e-02 -9.308906e-02 2.868088e+00,5.288435e-02 -9.314755e-02 2.868034e+00,5.287680e-02 -9.315234e-02 2.868036e+00,5.271932e-02 -9.323987e-02 2.867895e+00,5.244150e-02 -9.337777e-02 2.867863e+00,5.232552e-02 -9.330558e-02 2.867947e+00,5.225366e-02 -9.339224e-02 2.868044e+00,5.215483e-02 -9.335925e-02 2.868204e+00,5.207478e-02 -9.318703e-02 2.868597e+00,5.197246e-02 -9.270578e-02 2.869516e+00,5.217012e-02 -9.306951e-02 2.869981e+00,5.227233e-02 -9.686357e-02 2.870566e+00,5.269840e-02 -9.839508e-02 2.870799e+00,5.284624e-02 -9.894961e-02 2.870695e+00,5.255136e-02 -9.743825e-02 2.869496e+00,5.152869e-02 -9.553935e-02 2.868970e+00,4.908907e-02 -9.372613e-02 2.869756e+00,4.836149e-02 -9.306713e-02 2.870935e+00,4.824938e-02 -9.297648e-02 2.871199e+00,4.836402e-02 -9.189586e-02 2.871104e+00,4.854908e-02 -9.192257e-02 2.870456e+00,4.956452e-02 -9.416129e-02 2.868683e+00,4.982555e-02 -9.425774e-02 2.868213e+00,5.050151e-02 -9.293857e-02 2.867959e+00,5.027275e-02 -9.267309e-02 2.869280e+00,5.021434e-02 -9.276972e-02 2.869685e+00,5.036550e-02 -9.283331e-02 2.870302e+00,5.041789e-02 -9.292067e-02 2.870462e+00,5.074403e-02 -9.261232e-02 2.870670e+00,5.087838e-02 -9.195422e-02 2.870992e+00,5.104647e-02 -9.147046e-02 2.871199e+00,5.120093e-02 -9.108970e-02 2.871476e+00,5.122157e-02 -9.109131e-02 2.871431e+00,5.146639e-02 -9.135898e-02 2.871061e+00,5.150162e-02 -9.144901e-02 2.870811e+00,5.161171e-02 -9.185178e-02 2.869690e+00,5.155715e-02 -9.228177e-02 2.869241e+00,5.131760e-02 -9.273271e-02 2.868534e+00,5.138471e-02 -9.293642e-02 2.868241e+00,5.139731e-02 -9.310967e-02 2.867873e+00,5.142397e-02 -9.336291e-02 2.867416e+00,5.135238e-02 -9.363865e-02 2.866897e+00,5.157108e-02 -9.374183e-02 2.866460e+00,5.167820e-02 -9.372704e-02 2.866315e+00,5.188944e-02 -9.373119e-02 2.865849e+00,5.213807e-02 -9.372021e-02 2.865247e+00,5.227567e-02 -9.370864e-02 2.865073e+00,5.246275e-02 -9.369384e-02 2.864673e+00,5.260598e-02 -9.377123e-02 2.864380e+00,5.264965e-02 -9.384645e-02 2.864068e+00
5.245833e-02 2.468114e-01 2.877239e+00,5.220732e-02 2.467671e-01 2.877118e+00,5.204614e-02 2.467235e-01 2.877150e+00,5.205143e-02 2.466639e-01 2.877273e+00,5.203081e-02 2.465664e-01 2.877286e+00,5.201247e-02 2.463178e-01 2.877452e+00,5.195925e-02 2.464484e-01 2.877799e+00,5.198599e-02 2.462565e-01 2.878113e+00,5.197977e-02 2.461542e-01 2.878859e+00,5.216530e-02 2.461341e-01 2.879308e+00,5.317243e-02 2.458190e-01 2.880627e+00,5.439724e-02 2.451122e-01 2.881933e+00,5.437218e-02 2.449762e-01 2.882248e+00,5.479223e-02 2.449556e-01 2.882454e+00,5.504744e-02 2.453959e-01 2.882250e+00,5.492382e-02 2.535343e-01 2.878533e+00,5.208861e-02 2.573587e-01 2.877621e+00,4.608907e-02 2.574753e-01 2.880600e+00,4.535519e-02 2.574203e-01 2.882238e+00,4.538601e-02 2.572497e-01 2.882776e+00,4.634577e-02 2.589915e-01 2.882124e+00,4.760440e-02 2.623871e-01 2.878479e+00,4.943690e-02 2.621686e-01 2.875857e+00,4.986760e-02 2.625891e-01 2.875158e+00,5.224379e-02 2.650856e-01 2.875260e+00,5.050816e-02 2.590374e-01 2.882612e+00,5.037141e-02 2.559907e-01 2.884363e+00,5.146508e-02 2.523936e-01 2.885767e+00,5.178658e-02 2.509632e-01 2.885700e+00,5.224367e-02 2.506640e-01 2.885666e+00,5.251640e-02 2.498752e-01 2.885616e+00,5.273500e-02 2.495866e-01 2.885595e+00,5.284436e-02 2.494436e-01 2.885574e+00,5.283729e-02 2.491902e-01 2.885175e+00,5.321261e-02 2.482226e-01 2.884041e+00,5.305861e-02 2.479538e-01 2.883557e+00,5.295704e-02 2.471957e-01 2.881724e+00,5.255494e-02 2.466302e-01 2.880797e+00,5.171800e-02 2.460536e-01 2.879203e+00,5.163151e-02 2.457000e-01 2.878511e+00,5.144785e-02 2.454727e-01 2.877544e+00,5.113829e-02 2.450818e-01 2.875789e+00,5.092291e-02 2.447750e-01 2.874464e+00,5.130477e-02 2.449234e-01 2.873559e+00,5.160788e-02 2.451074e-01 2.873169e+00,5.185785e-02 2.452243e-01 2.872540e+00,5.246810e-02 2.454761e-01 2.871572e+00,5.272286e-02 2.456050e-01 2.871427e+00,5.318981e-02 2.460128e-01 2.870768e+00,5.336179e-02 2.459133e-01 2.870537e+00,5.349729e-02 2.457790e-01 2.870333e+00
5.233299e-02 4.071442e-01 2.873125e+00,5.226151e-02 4.071460e-01 2.873245e+00,5.217583e-02 4.071808e-01 2.873326e+00,5.206838e-02 4.072399e-01 2.873446e+00,5.201662e-02 4.072468e-01 2.873480e+00,5.181713e-02 4.066612e-01 2.874336e+00,5.183253e-02 4.066976e-01 2.874832e+00,5.178823e-02 4.067227e-01 2.874968e+00,5.197117e-02 4.063070e-01 2.876019e+00,5.204869e-02 4.062188e-01 2.876581e+00,5.197600e-02 4.060475e-01 2.878218e+00,5.210870e-02 4.055571e-01 2.879874e+00,5.259649e-02 4.057790e-01 2.880644e+00,5.267177e-02 4.057462e-01 2.880908e+00,5.268266e-02 4.059440e-01 2.881962e+00,5.390356e-02 4.077234e-01 2.883517e+00,5.439683e-02 4.083849e-01 2.884360e+00,5.450526e-02 4.084634e-01 2.885078e+00,5.474599e-02 4.084815e-01 2.885819e+00,5.456553e-02 4.086237e-01 2.886399e+00,5.501791e-02 4.084200e-01 2.886782e+00,5.510449e-02 4.086663e-01 2.886961e+00,5.542001e-02 4.082126e-01 2.887100e+00,5.551368e-02 4.081734e-01 2.887055e+00,5.567069e-02 4.085263e-01 2.886883e+00,5.561092e-02 4.083586e-01 2.887087e+00,5.533988e-02 4.080964e-01 2.887266e+00,5.497336e-02 4.074869e-01 2.887593e+00,5.486408e-02 4.074005e-01 2.887568e+00,5.485354e-02 4.077212e-01 2.887250e+00,5.480552e-02 4.078487e-01 2.886323e+00,5.474498e-02 4.079198e-01 2.886270e+00,5.463146e-02 4.078847e-01 2.886148e+00,5.451462e-02 4.079972e-01 2.886024e+00,5.401423e-02 4.078557e-01 2.885582e+00,5.371535e-02 4.081615e-01 2.884463e+00,5.273667e-02 4.078464e-01 2.881853e+00,5.256739e-02 4.080130e-01 2.880078e+00,5.240952e-02 4.078538e-01 2.876352e+00,5.237883e-02 4.073985e-01 2.875340e+00,5.228338e-02 4.074513e-01 2.874132e+00,5.210415e-02 4.072841e-01 2.871567e+00,5.229864e-02 4.070494e-01 2.869968e+00,5.238863e-02 4.069422e-01 2.867129e+00,5.259060e-02 4.067371e-01 2.866670e+00,5.278404e-02 4.068825e-01 2.865932e+00,5.344775e-02 4.065749e-01 2.864611e+00,5.429452e-02 4.063073e-01 2.863461e+00,5.478746e-02 4.062102e-01 2.863135e+00,5.493073e-02 4.061846e-01 2.863112e+00,5.530172e-02 4.058233e-01 2.863381e+00
-1.423958e-01 1.100119e-01 2.867487e+00,-1.424968e-01 1.099074e-01 2.867472e+00,-1.426512e-01 1.097008e-01 2.867451e+00,-1.427727e-01 1.097693e-01 2.867747e+00,-1.429207e-01 1.095602e-01 2.867852e+00,-1.430336e-01 1.099308e-01 2.868645e+00,-1.427774e-01 1.103663e-01 2.869179e+00,-1.424323e-01 1.108427e-01 2.869395e+00,-1.415234e-01 1.120010e-01 2.869276e+00,-1.398257e-01 1.134757e-01 2.869254e+00,-1.320465e-01 1.233333e-01 2.868718e+00,-1.328620e-01 1.241464e-01 2.868488e+00,-1.353282e-01 1.235711e-01 2.867814e+00,-1.364134e-01 1.229469e-01 2.867232e+00,-1.364028e-01 1.201173e-01 2.865175e+00,-1.377245e-01 1.194489e-01 2.864360e+00,-1.378854e-01 1.194703e-01 2.864230e+00,-1.376816e-01 1.193051e-01 2.863631e+00,-1.377012e-01 1.193784e-01 2.863657e+00,-1.376971e-01 1.193698e-01 2.863620e+00,-1.377084e-01 1.196301e-01 2.863622e+00,-1.377197e-01 1.198946e-01 2.863670e+00,-1.378652e-01 1.200446e-01 2.863591e+00,-1.380119e-01 1.200849e-01 2.863575e+00,-1.382714e-01 1.197394e-01 2.863358e+00,-1.380849e-01 1.196832e-01 2.863292e+00,-1.375367e-01 1.197791e-01 2.863191e+00,-1.373463e-01 1.195827e-01 2.863130e+00,-1.372283e-01 1.196138e-01 2.863138e+00,-1.370813e-01 1.194805e-01 2.863149e+00,-1.348949e-01 1.208284e-01 2.862819e+00,-1.344230e-01 1.211659e-01 2.863093e+00,-1.351678e-01 1.197547e-01 2.864030e+00,-1.351826e-01 1.194957e-01 2.864120e+00,-1.357250e-01 1.184053e-01 2.864936e+00,-1.361631e-01 1.187143e-01 2.865181e+00,-1.376572e-01 1.175221e-01 2.865732e+00,-1.388129e-01 1.166961e-01 2.865980e+00,-1.405857e-01 1.144708e-01 2.866034e+00,-1.413044e-01 1.129037e-01 2.865522e+00,-1.414619e-01 1.127377e-01 2.865357e+00,-1.420107e-01 1.113910e-01 2.864393e+00,-1.422170e-01 1.105894e-01 2.863984e+00,-1.425495e-01 1.093665e-01 2.863405e+00,-1.426164e-01 1.091942e-01 2.863266e+00,-1.427180e-01 1.090589e-01 2.862932e+00,-1.424638e-01 1.088095e-01 2.862351e+00,-1.423188e-01 1.088739e-01 2.861848e+00,-1.422464e-01 1.091859e-01 2.861522e+00,-1.421658e-01 1.092962e-01 2.861393e+00,-1.420093e-01 1.094726e-01 2.861246e+00
-1.731260e-01 -1.588913e-01 2.855666e+00,-1.731863e-01 -1.591492e-01 2.855427e+00,-1.732081e-01 -1.589158e-01 2.855367e+00,-1.732245e-01 -1.588705e-01 2.855349e+00,-1.733568e-01 -1.572749e-01 2.855597e+00,-1.794700e-01 -1.291571e-01 2.862270e+00,-1.831580e-01 -1.218335e-01 2.859160e+00,-1.890117e-01 -1.159534e-01 2.855293e+00,-2.057532e-01 -1.103187e-01 2.841389e+00,-2.327756e-01 -9.273693e-02 2.800801e+00,-2.011208e-01 -7.747284e-02 2.757377e+00,-2.096192e-01 -7.706784e-02 2.764344e+00,-1.878100e-01 -7.001168e-02 2.733378e+00,-1.854496e-01 -7.070312e-02 2.731412e+00,-1.835591e-01 -7.336533e-02 2.728338e+00,-1.828207e-01 -7.679095e-02 2.731243e+00,-1.793267e-01 -7.766899e-02 2.731243e+00,-1.753501e-01 -8.115746e-02 2.735090e+00,-1.746125e-01 -8.304420e-02 2.738435e+00,-1.748057e-01 -8.322916e-02 2.738798e+00,-1.765998e-01 -8.184210e-02 2.737343e+00,-1.811675e-01 -8.106854e-02 2.738209e+00,-1.885254e-01 -7.962375e-02 2.738934e+00,-1.900030e-01 -7.976768e-02 2.739910e+00,-1.922979e-01 -8.002458e-02 2.740564e+00,-1.916274e-01 -8.069789e-02 2.741417e+00,-1.898330e-01 -8.144478e-02 2.742289e+00,-1.901547e-01 -8.361476e-02 2.746418e+00,-1.932310e-01 -8.449426e-02 2.750137e+00,-1.944410e-01 -8.483608e-02 2.751420e+00,-1.999903e-01 -8.349822e-02 2.756335e+00,-2.006026e-01 -8.345419e-02 2.758103e+00,-2.027362e-01 -1.112397e-01 2.732118e+00,-2.039592e-01 -9.705145e-02 2.799617e+00,-2.223418e-01 -9.275975e-02 2.806536e+00,-2.025338e-01 -1.015306e-01 2.818368e+00,-1.954470e-01 -1.062579e-01 2.830379e+00,-1.916948e-01 -1.085602e-01 2.834848e+00,-1.762423e-01 -1.373623e-01 2.838768e+00,-1.746397e-01 -1.405721e-01 2.839397e+00,-1.725031e-01 -1.442985e-01 2.840482e+00,-1.693274e-01 -1.516570e-01 2.841724e+00,-1.689964e-01 -1.531187e-01 2.841955e+00,-1.698493e-01 -1.558835e-01 2.843998e+00,-1.709144e-01 -1.572571e-01 2.846035e+00,-1.714738e-01 -1.580846e-01 2.847230e+00,-1.721297e-01 -1.581567e-01 2.848212e+00,-1.725897e-01 -1.559642e-01 2.849230e+00,-1.726141e-01 -1.564029e-01 2.848893e+00,-1.722026e-01 -1.565710e-01 2.848705e+00,-1.716232e-01 -1.564744e-01 2.848259e+00
-1.790214e-01 -3.751752e-01 2.766694e+00,-1.790868e-01 -3.755102e-01 2.766690e+00,-1.782641e-01 -3.749601e-01 2.765662e+00,-1.756072e-01 -3.736690e-01 2.762078e+00,-1.732405e-01 -3.676697e-01 2.751373e+00,-1.636005e-01 -3.230708e-01 2.727779e+00,-1.630733e-01 -2.926438e-01 2.694609e+00,-1.511733e-01 -2.633683e-01 2.670998e+00,-1.447144e-01 -1.768694e-01 2.618155e+00,-1.221282e-01 -1.383261e-01 2.583089e+00,-7.431984e-02 -4.027523e-02 2.545947e+00,-8.775830e-02 1.768117e-03 2.573270e+00,-8.760872e-02 4.328222e-02 2.597172e+00,-8.848114e-02 4.811601e-02 2.606280e+00,-4.286887e-02 1.073415e-01 2.566382e+00,-3.816737e-02 1.061164e-01 2.643969e+00,1.115322e-02 1.093277e-01 2.632251e+00,2.648588e-03 7.740128e-02 2.669039e+00,3.289388e-03 7.508184e-02 2.668684e+00,-4.413416e-03 6.955629e-02 2.667284e+00,-2.715472e-02 8.178383e-02 2.659505e+00,-3.408525e-02 8.353741e-02 2.657535e+00,-4.297483e-02 8.028889e-02 2.645144e+00,-4.385005e-02 7.893499e-02 2.644839e+00,-4.181938e-02 7.495228e-02 2.646138e+00,1.093607e-02 5.647603e-02 2.665472e+00,1.075841e-02 5.614692e-02 2.664708e+00,1.050111e-02 5.476413e-02 2.648589e+00,-2.503939e-02 5.296140e-02 2.658809e+00,-1.725796e-02 2.251327e-02 2.636769e+00,1.909547e-02 -2.017271e-02 2.636155e+00,1.222550e-03 -3.955574e-02 2.596648e+00,-4.170324e-02 -1.327838e-01 2.556405e+00,-8.211752e-02 -1.560540e-01 2.601396e+00,-1.160494e-01 -2.199982e-01 2.634634e+00,-1.250302e-01 -2.395111e-01 2.639301e+00,-1.471535e-01 -2.825145e-01 2.678572e+00,-1.488120e-01 -3.036371e-01 2.690281e+00,-1.547190e-01 -3.381547e-01 2.716872e+00,-1.585336e-01 -3.470237e-01 2.727617e+00,-1.625530e-01 -3.559040e-01 2.739407e+00,-1.691778e-01 -3.690851e-01 2.755676e+00,-1.710718e-01 -3.716381e-01 2.759313e+00,-1.772852e-01 -3.759678e-01 2.766983e+00,-1.782724e-01 -3.770021e-01 2.767879e+00,-1.790001e-01 -3.777942e-01 2.768992e+00,-1.797832e-01 -3.776649e-01 2.769318e+00,-1.796773e-01 -3.753661e-01 2.769882e+00,-1.761096e-01 -3.751902e-01 2.767234e+00,-1.761306e-01 -3.749767e-01 2.765871e+00,-1.758862e-01 -3.746713e-01 2.764796e+00
-1.655379e-01 -4.366820e-01 2.749290e+00,-1.632332e-01 -4.365510e-01 2.747670e+00,-1.611553e-01 -4.363512e-01 2.739672e+00,-1.573208e-01 -4.347899e-01 2.730745e+00,-1.541192e-01 -4.279747e-01 2.713278e+00,-1.345838e-01 -3.844405e-01 2.688848e+00,-1.368677e-01 -3.483922e-01 2.649379e+00,-1.333178e-01 -3.022950e-01 2.613299e+00,-1.115298e-01 -2.083179e-01 2.535142e+00,-9.840082e-02 -1.473633e-01 2.523434e+00,-7.761812e-02 -3.189159e-02 2.529454e+00,-6.597640e-02 2.430218e-02 2.541291e+00,-4.880203e-02 9.766097e-02 2.551193e+00,-4.409197e-02 1.138627e-01 2.564090e+00,-1.149980e-02 1.571871e-01 2.564306e+00,1.240471e-02 1.556536e-01 2.597165e+00,5.805097e-02 1.580865e-01 2.614672e+00,5.248708e-02 1.182902e-01 2.643121e+00,5.615497e-02 1.184689e-01 2.643162e+00,4.896265e-02 1.149571e-01 2.639471e+00,1.776146e-02 1.302095e-01 2.615162e+00,7.733700e-03 1.332640e-01 2.603840e+00,-5.732033e-03 1.327904e-01 2.589651e+00,-2.362668e-03 1.296982e-01 2.595004e+00,9.393545e-03 1.236990e-01 2.608169e+00,5.481385e-02 8.907785e-02 2.635182e+00,5.737682e-02 9.069432e-02 2.629536e+00,5.457374e-02 8.542337e-02 2.607203e+00,1.256551e-02 7.188354e-02 2.612429e+00,2.402820e-02 5.288175e-02 2.583553e+00,5.241907e-02 1.266241e-02 2.560701e+00,5.900483e-02 -1.726345e-02 2.558292e+00,4.098782e-02 -1.306095e-01 2.532333e+00,-6.665686e-02 -1.737391e-01 2.547240e+00,-9.109839e-02 -2.620735e-01 2.582625e+00,-1.062601e-01 -2.936051e-01 2.598161e+00,-1.202217e-01 -3.541083e-01 2.646281e+00,-1.208432e-01 -3.761780e-01 2.677277e+00,-1.279706e-01 -4.122907e-01 2.715713e+00,-1.486115e-01 -4.178232e-01 2.720375e+00,-1.534111e-01 -4.223209e-01 2.735344e+00,-1.585821e-01 -4.237899e-01 2.753273e+00,-1.605307e-01 -4.304820e-01 2.755623e+00,-1.643980e-01 -4.420220e-01 2.758417e+00,-1.655178e-01 -4.409528e-01 2.756887e+00,-1.655853e-01 -4.421138e-01 2.754239e+00,-1.656904e-01 -4.418279e-01 2.752692e+00,-1.640937e-01 -4.367895e-01 2.749785e+00,-1.624469e-01 -4.287115e-01 2.748833e+00,-1.606939e-01 -4.277833e-01 2.745552e+00,-1.604123e-01 -4.266233e-01 2.740853e+00
2.381192e-01 1.133311e-01 2.840097e+00,2.379659e-01 1.134688e-01 2.840204e+00,2.379578e-01 1.134918e-01 2.840239e+00,2.378450e-01 1.135583e-01 2.840497e+00,2.378345e-01 1.135703e-01 2.840481e+00,2.377943e-01 1.136054e-01 2.840720e+00,2.375776e-01 1.137212e-01 2.840788e+00,2.372834e-01 1.138219e-01 2.840860e+00,2.370788e-01 1.138251e-01 2.841474e+00,2.372786e-01 1.141287e-01 2.842280e+00,2.376438e-01 1.143410e-01 2.842654e+00,2.387359e-01 1.147623e-01 2.840830e+00,2.412405e-01 1.146832e-01 2.836099e+00,2.416737e-01 1.145098e-01 2.834394e+00,2.399154e-01 1.149856e-01 2.831003e+00,2.385858e-01 1.154702e-01 2.828465e+00,2.389231e-01 1.149762e-01 2.828746e+00,2.384939e-01 1.143685e-01 2.828700e+00,2.384706e-01 1.139957e-01 2.828905e+00,2.385688e-01 1.136925e-01 2.829179e+00,2.399272e-01 1.129366e-01 2.830138e+00,2.397224e-01 1.130718e-01 2.829876e+00,2.386451e-01 1.136554e-01 2.828683e+00,2.384414e-01 1.138078e-01 2.828470e+00,2.396747e-01 1.131745e-01 2.829251e+00,2.397660e-01 1.130810e-01 2.829450e+00,2.399167e-01 1.128799e-01 2.829645e+00,2.404176e-01 1.124408e-01 2.831827e+00,2.405832e-01 1.124484e-01 2.831889e+00,2.414074e-01 1.122470e-01 2.834760e+00,2.416166e-01 1.122207e-01 2.835656e+00,2.415486e-01 1.117981e-01 2.836989e+00,2.421466e-01 1.117468e-01 2.839545e+00,2.420769e-01 1.118380e-01 2.839896e+00,2.413787e-01 1.123206e-01 2.840759e+00,2.409653e-01 1.125932e-01 2.840657e+00,2.400441e-01 1.130545e-01 2.840264e+00,2.393574e-01 1.133553e-01 2.839951e+00,2.390466e-01 1.134446e-01 2.839679e+00,2.386664e-01 1.135774e-01 2.839267e+00,2.385263e-01 1.135813e-01 2.839001e+00,2.381992e-01 1.135183e-01 2.837796e+00,2.381217e-01 1.131115e-01 2.837017e+00,2.378869e-01 1.130109e-01 2.836012e+00,2.378532e-01 1.129206e-01 2.835664e+00,2.378540e-01 1.128653e-01 2.835378e+00,2.378675e-01 1.128080e-01 2.835090e+00,2.378808e-01 1.126499e-01 2.834543e+00,2.379478e-01 1.125201e-01 2.834253e+00,2.380273e-01 1.124774e-01 2.834121e+00,2.381159e-01 1.124337e-01 2.833998e+00
2.793266e-01 -1.552275e-01 2.843147e+00,2.792500e-01 -1.549591e-01 2.843285e+00,2.791442e-01 -1.547037e-01 2.843240e+00,2.793241e-01 -1.541813e-01 2.843418e+00,2.796922e-01 -1.533469e-01 2.843354e+00,2.805781e-01 -1.444061e-01 2.847675e+00,2.816347e-01 -1.369030e-01 2.848880e+00,2.829415e-01 -1.247412e-01 2.847893e+00,2.888390e-01 -1.109926e-01 2.839824e+00,2.947842e-01 -1.100021e-01 2.826503e+00,2.932913e-01 -1.035289e-01 2.768275e+00,2.931041e-01 -1.039938e-01 2.768651e+00,2.965977e-01 -1.053432e-01 2.770607e+00,2.948978e-01 -1.056624e-01 2.767058e+00,2.953142e-01 -1.054339e-01 2.767407e+00,2.923453e-01 -1.044264e-01 2.760402e+00,2.924738e-01 -1.046267e-01 2.759181e+00,2.907512e-01 -1.048507e-01 2.756185e+00,2.909666e-01 -1.051109e-01 2.756184e+00,2.888431e-01 -1.057480e-01 2.755643e+00,2.873721e-01 -1.068089e-01 2.755265e+00,2.897246e-01 -1.066836e-01 2.757382e+00,2.929372e-01 -1.055910e-01 2.758429e+00,2.941146e-01 -1.051078e-01 2.758325e+00,2.961358e-01 -1.052986e-01 2.758152e+00,2.925489e-01 -1.051235e-01 2.753505e+00,2.904570e-01 -1.056896e-01 2.753011e+00,2.870089e-01 -1.063699e-01 2.752759e+00,2.881879e-01 -1.063937e-01 2.753760e+00,2.890092e-01 -1.061915e-01 2.755191e+00,2.928773e-01 -1.062886e-01 2.759510e+00,2.901500e-01 -1.061695e-01 2.756583e+00,2.629069e-01 -1.107629e-01 2.733795e+00,2.904960e-01 -1.129206e-01 2.792933e+00,2.879692e-01 -1.142207e-01 2.810234e+00,2.873765e-01 -1.142182e-01 2.818892e+00,2.848556e-01 -1.138978e-01 2.829328e+00,2.839228e-01 -1.134765e-01 2.833983e+00,2.821623e-01 -1.255733e-01 2.838920e+00,2.822513e-01 -1.280171e-01 2.838947e+00,2.831370e-01 -1.340523e-01 2.838299e+00,2.828225e-01 -1.440110e-01 2.836060e+00,2.830090e-01 -1.471221e-01 2.835334e+00,2.832550e-01 -1.499431e-01 2.835871e+00,2.832205e-01 -1.512003e-01 2.836764e+00,2.833109e-01 -1.517377e-01 2.837010e+00,2.830065e-01 -1.526051e-01 2.837850e+00,2.828266e-01 -1.529931e-01 2.837960e+00,2.820940e-01 -1.543073e-01 2.837758e+00,2.816843e-01 -1.547532e-01 2.837684e+00,2.813010e-01 -1.549284e-01 2.837163e+00
2.848163e-01 -3.739216e-01 2.761399e+00,2.846713e-01 -3.736027e-01 2.761380e+00,2.835974e-01 -3.727720e-01 2.759449e+00,2.818437e-01 -3.702476e-01 2.753617e+00,2.758115e-01 -3.644369e-01 2.740772e+00,2.565319e-01 -3.379505e-01 2.713933e+00,2.522032e-01 -3.059936e-01 2.683912e+00,2.395152e-01 -2.711425e-01 2.663996e+00,2.122575e-01 -1.635407e-01 2.602837e+00,2.004427e-01 -1.235629e-01 2.605156e+00,1.663647e-01 6.852020e-03 2.598045e+00,1.662910e-01 5.929838e-02 2.648817e+00,1.624909e-01 1.073349e-01 2.662663e+00,1.448111e-01 1.123071e-01 2.674817e+00,1.452327e-01 1.132229e-01 2.675153e+00,1.534408e-01 9.248366e-02 2.691465e+00,1.652066e-01 8.400302e-02 2.705052e+00,1.610812e-01 8.244490e-02 2.703411e+00,1.482449e-01 7.166900e-02 2.699851e+00,1.412850e-01 6.654409e-02 2.697412e+00,1.415963e-01 6.545474e-02 2.691592e+00,1.559840e-01 7.594255e-02 2.697073e+00,1.549854e-01 7.114086e-02 2.688797e+00,1.504414e-01 6.624085e-02 2.686361e+00,1.345557e-01 4.876980e-02 2.684614e+00,1.187486e-01 3.285902e-02 2.675161e+00,1.062204e-01 1.441967e-02 2.668312e+00,1.093442e-01 1.433497e-02 2.654196e+00,1.103139e-01 1.358561e-02 2.654617e+00,1.110440e-01 1.284558e-02 2.654957e+00,7.974668e-02 -1.559501e-03 2.604690e+00,6.773953e-02 -2.105258e-02 2.581208e+00,8.404685e-02 -9.685609e-02 2.576164e+00,1.669303e-01 -1.556227e-01 2.591287e+00,2.024417e-01 -2.207694e-01 2.613079e+00,2.167049e-01 -2.505763e-01 2.635534e+00,2.526538e-01 -2.864581e-01 2.668696e+00,2.601937e-01 -2.957903e-01 2.683788e+00,2.729939e-01 -3.200608e-01 2.704663e+00,2.811627e-01 -3.288684e-01 2.715184e+00,2.862083e-01 -3.382141e-01 2.720850e+00,2.922967e-01 -3.569992e-01 2.738587e+00,2.937671e-01 -3.613361e-01 2.741222e+00,2.964270e-01 -3.665630e-01 2.748872e+00,2.972910e-01 -3.682158e-01 2.751134e+00,2.974150e-01 -3.689089e-01 2.751862e+00,2.974095e-01 -3.697622e-01 2.752736e+00,2.967473e-01 -3.704288e-01 2.753591e+00,2.952720e-01 -3.717937e-01 2.753406e+00,2.940128e-01 -3.721116e-01 2.752784e+00,2.933348e-01 -3.723963e-01 2.752541e+00
