3.289583e-02 -6.154603e-01 2.775204e+00,3.298889e-02 -6.157185e-01 2.775409e+00,3.290708e-02 -6.155958e-01 2.775766e+00,3.261659e-02 -6.156559e-01 2.775940e+00,3.225051e-02 -6.156030e-01 2.775963e+00,3.149715e-02 -6.153229e-01 2.776059e+00,2.441781e-02 -6.127748e-01 2.775622e+00,2.141201e-02 -6.118739e-01 2.774856e+00,2.108958e-02 -6.117334e-01 2.774716e+00,2.046881e-02 -6.115155e-01 2.774430e+00,2.034585e-02 -6.115432e-01 2.774280e+00,2.027571e-02 -6.115647e-01 2.774337e+00,1.981040e-02 -6.106255e-01 2.774234e+00,1.843774e-02 -6.089696e-01 2.774632e+00,1.915561e-02 -5.873625e-01 2.774893e+00,1.990767e-02 -5.837683e-01 2.774811e+00,2.329135e-02 -5.787891e-01 2.774393e+00,2.374198e-02 -5.782157e-01 2.774140e+00,2.441498e-02 -5.776923e-01 2.773824e+00,2.401249e-02 -5.770899e-01 2.773075e+00,2.283430e-02 -5.771769e-01 2.772843e+00,2.048785e-02 -5.776639e-01 2.772408e+00,2.023206e-02 -5.804614e-01 2.771841e+00,1.392918e-02 -5.929955e-01 2.771340e+00,1.206771e-02 -5.975802e-01 2.772131e+00,1.190092e-02 -5.988367e-01 2.772188e+00,1.076727e-02 -6.082540e-01 2.771285e+00,9.421863e-03 -6.180285e-01 2.770893e+00,1.002824e-02 -6.164462e-01 2.770712e+00,1.043983e-02 -6.150081e-01 2.770698e+00,1.215253e-02 -6.123791e-01 2.770757e+00,1.222670e-02 -6.124083e-01 2.770795e+00,1.364114e-02 -6.122293e-01 2.770622e+00,1.396756e-02 -6.123782e-01 2.770622e+00,1.551409e-02 -6.120365e-01 2.771329e+00,1.696981e-02 -6.110125e-01 2.771944e+00,1.822158e-02 -6.113375e-01 2.772329e+00,2.309041e-02 -6.125486e-01 2.773347e+00,2.478776e-02 -6.126101e-01 2.773939e+00,2.750335e-02 -6.126626e-01 2.774279e+00,2.839376e-02 -6.121857e-01 2.774711e+00,2.908350e-02 -6.115904e-01 2.775437e+00,2.984433e-02 -6.116370e-01 2.776047e+00,3.031545e-02 -6.118472e-01 2.776193e+00,3.083972e-02 -6.119781e-01 2.776744e+00,3.150755e-02 -6.122175e-01 2.776961e+00,3.305224e-02 -6.128964e-01 2.778071e+00,3.388338e-02 -6.134664e-01 2.778419e+00,3.450332e-02 -6.136413e-01 2.778526e+00
3.729101e-02 -3.261884e-01 2.784635e+00,3.705961e-02 -3.263516e-01 2.784729e+00,3.684039e-02 -3.261139e-01 2.785067e+00,3.638955e-02 -3.260372e-01 2.785547e+00,3.617892e-02 -3.260587e-01 2.785787e+00,3.547063e-02 -3.257238e-01 2.785923e+00,3.279595e-02 -3.247170e-01 2.785961e+00,3.087468e-02 -3.237054e-01 2.785596e+00,3.014551e-02 -3.236057e-01 2.785538e+00,2.990677e-02 -3.235013e-01 2.785473e+00,2.881524e-02 -3.227603e-01 2.785395e+00,2.721028e-02 -3.225809e-01 2.785735e+00,2.666544e-02 -3.217987e-01 2.785743e+00,2.620806e-02 -3.195824e-01 2.785923e+00,2.757302e-02 -3.019396e-01 2.783442e+00,2.773663e-02 -2.996213e-01 2.782888e+00,2.797473e-02 -2.993875e-01 2.782624e+00,2.746877e-02 -2.964264e-01 2.781921e+00,2.756149e-02 -2.957408e-01 2.781252e+00,2.732754e-02 -2.945935e-01 2.779876e+00,2.661300e-02 -2.937123e-01 2.779162e+00,2.616888e-02 -2.937228e-01 2.778552e+00,2.595840e-02 -2.951977e-01 2.777664e+00,2.254231e-02 -3.051468e-01 2.777236e+00,2.032852e-02 -3.078368e-01 2.777598e+00,1.944112e-02 -3.086224e-01 2.777952e+00,1.776247e-02 -3.140785e-01 2.778603e+00,1.622194e-02 -3.218819e-01 2.778377e+00,1.666772e-02 -3.217138e-01 2.778491e+00,1.706317e-02 -3.214684e-01 2.778629e+00,1.863355e-02 -3.210194e-01 2.778597e+00,1.893907e-02 -3.211462e-01 2.778589e+00,2.180397e-02 -3.212860e-01 2.778008e+00,2.287261e-02 -3.217992e-01 2.778001e+00,2.472930e-02 -3.221575e-01 2.778303e+00,2.617225e-02 -3.218382e-01 2.778750e+00,2.851753e-02 -3.222355e-01 2.778979e+00,3.313041e-02 -3.230012e-01 2.779805e+00,3.393535e-02 -3.230883e-01 2.780211e+00,3.520577e-02 -3.234508e-01 2.780465e+00,3.625991e-02 -3.232724e-01 2.780875e+00,3.697839e-02 -3.233413e-01 2.781480e+00,3.759827e-02 -3.233994e-01 2.781992e+00,3.766822e-02 -3.234060e-01 2.782078e+00,3.810478e-02 -3.237102e-01 2.782879e+00,3.816487e-02 -3.236744e-01 2.782943e+00,3.888390e-02 -3.240565e-01 2.783853e+00,3.939249e-02 -3.245415e-01 2.784212e+00,3.959017e-02 -3.246651e-01 2.784636e+00
4.141429e-02 -4.150166e-02 2.781902e+00,4.059112e-02 -4.147168e-02 2.781785e+00,4.025087e-02 -4.114012e-02 2.782032e+00,3.968436e-02 -4.090963e-02 2.782808e+00,3.960038e-02 -4.107212e-02 2.783392e+00,3.900933e-02 -4.073652e-02 2.783484e+00,3.857065e-02 -4.059082e-02 2.783588e+00,3.805941e-02 -3.982837e-02 2.783538e+00,3.724499e-02 -3.988761e-02 2.783620e+00,3.724937e-02 -3.987609e-02 2.783629e+00,3.489850e-02 -3.782400e-02 2.783808e+00,3.096079e-02 -3.739894e-02 2.784462e+00,3.089001e-02 -3.710124e-02 2.784517e+00,3.207577e-02 -3.394193e-02 2.784432e+00,3.506003e-02 -1.869863e-02 2.780052e+00,3.496002e-02 -1.787172e-02 2.779183e+00,3.324742e-02 -2.193193e-02 2.778027e+00,3.009116e-02 -1.580357e-02 2.776691e+00,2.979592e-02 -1.551488e-02 2.775593e+00,3.000404e-02 -1.453655e-02 2.773762e+00,2.984953e-02 -1.250881e-02 2.772142e+00,3.049906e-02 -1.270969e-02 2.771161e+00,3.048389e-02 -1.377569e-02 2.770016e+00,2.937436e-02 -2.227447e-02 2.770242e+00,2.732869e-02 -2.353337e-02 2.770303e+00,2.545905e-02 -2.384965e-02 2.771134e+00,2.391490e-02 -2.627785e-02 2.772678e+00,2.283717e-02 -3.192951e-02 2.772875e+00,2.371150e-02 -3.252793e-02 2.773409e+00,2.435202e-02 -3.286971e-02 2.773786e+00,2.636523e-02 -3.408497e-02 2.773672e+00,2.681394e-02 -3.438170e-02 2.773547e+00,3.068421e-02 -3.512109e-02 2.772465e+00,3.252994e-02 -3.613503e-02 2.772465e+00,3.444833e-02 -3.694150e-02 2.772330e+00,3.582482e-02 -3.724003e-02 2.772682e+00,3.925524e-02 -3.772878e-02 2.772624e+00,4.318320e-02 -3.813683e-02 2.773331e+00,4.340316e-02 -3.822546e-02 2.773583e+00,4.374558e-02 -3.878740e-02 2.773806e+00,4.472665e-02 -3.894245e-02 2.774175e+00,4.553939e-02 -3.976398e-02 2.774848e+00,4.583414e-02 -3.983210e-02 2.775217e+00,4.566218e-02 -3.971294e-02 2.775369e+00,4.581746e-02 -4.016585e-02 2.776522e+00,4.547013e-02 -3.981072e-02 2.776604e+00,4.553524e-02 -3.999526e-02 2.777262e+00,4.559607e-02 -4.039650e-02 2.777530e+00,4.506659e-02 -4.058314e-02 2.778653e+00
4.723229e-02 6.725067e-02 2.788494e+00,4.740035e-02 6.708037e-02 2.788403e+00,4.698059e-02 6.755313e-02 2.789025e+00,4.692054e-02 6.759489e-02 2.789570e+00,4.695771e-02 6.759948e-02 2.789630e+00,4.696774e-02 6.750564e-02 2.790039e+00,4.596467e-02 6.754269e-02 2.790030e+00,4.469104e-02 6.821496e-02 2.789958e+00,4.384118e-02 6.832936e-02 2.790246e+00,4.236874e-02 6.885030e-02 2.790235e+00,3.652530e-02 6.961309e-02 2.791730e+00,3.343780e-02 6.936155e-02 2.793978e+00,3.011897e-02 6.986414e-02 2.794990e+00,3.054490e-02 7.135306e-02 2.795346e+00,3.064720e-02 7.495852e-02 2.794934e+00,3.061279e-02 7.575307e-02 2.794421e+00,3.132870e-02 7.684454e-02 2.793910e+00,3.189988e-02 7.867730e-02 2.792949e+00,3.133229e-02 7.847451e-02 2.792951e+00,3.138940e-02 7.965019e-02 2.791955e+00,2.974215e-02 8.201282e-02 2.791157e+00,2.598565e-02 8.393830e-02 2.789214e+00,2.406858e-02 8.201911e-02 2.789438e+00,2.158518e-02 7.831454e-02 2.789054e+00,2.023974e-02 7.655390e-02 2.789929e+00,1.953603e-02 7.648630e-02 2.790197e+00,1.967526e-02 7.605597e-02 2.790287e+00,2.283106e-02 7.315469e-02 2.790612e+00,2.301380e-02 7.283520e-02 2.790577e+00,2.322693e-02 7.288372e-02 2.790405e+00,2.409453e-02 7.247645e-02 2.789636e+00,2.538496e-02 7.171133e-02 2.788162e+00,2.844681e-02 7.217503e-02 2.786177e+00,3.111224e-02 7.207144e-02 2.785755e+00,3.413404e-02 7.131986e-02 2.784835e+00,3.618830e-02 7.172029e-02 2.785126e+00,3.825187e-02 7.069869e-02 2.785370e+00,4.120729e-02 7.050320e-02 2.784231e+00,4.232668e-02 7.091600e-02 2.784547e+00,4.296796e-02 7.125959e-02 2.784182e+00,4.320679e-02 7.152649e-02 2.784276e+00,4.397667e-02 7.101649e-02 2.785231e+00,4.544842e-02 7.091996e-02 2.786055e+00,4.596703e-02 7.059260e-02 2.786187e+00,4.658385e-02 7.005982e-02 2.787461e+00,4.762517e-02 6.988712e-02 2.787862e+00,4.798095e-02 6.988221e-02 2.788318e+00,4.858972e-02 6.956375e-02 2.788555e+00,4.879933e-02 6.956653e-02 2.789017e+00
-1.120597e-01 -1.517246e-01 2.769719e+00,-1.123156e-01 -1.519212e-01 2.769924e+00,-1.118799e-01 -1.499214e-01 2.769714e+00,-1.124484e-01 -1.503632e-01 2.769979e+00,-1.125497e-01 -1.502904e-01 2.770023e+00,-1.130660e-01 -1.487431e-01 2.770529e+00,-1.155965e-01 -1.479152e-01 2.771390e+00,-1.157813e-01 -1.472467e-01 2.768838e+00,-1.163040e-01 -1.476344e-01 2.768841e+00,-1.167845e-01 -1.482778e-01 2.768304e+00,-1.172337e-01 -1.482058e-01 2.767854e+00,-1.177780e-01 -1.484043e-01 2.768195e+00,-1.195384e-01 -1.487897e-01 2.770245e+00,-1.142818e-01 -1.414853e-01 2.769882e+00,-1.019400e-01 -1.126277e-01 2.771639e+00,-1.017353e-01 -1.124090e-01 2.771452e+00,-1.032939e-01 -1.146678e-01 2.772008e+00,-1.082293e-01 -1.260339e-01 2.774777e+00,-1.078770e-01 -1.253271e-01 2.775323e+00,-1.078198e-01 -1.253228e-01 2.775299e+00,-1.077984e-01 -1.252777e-01 2.775308e+00,-1.076937e-01 -1.251571e-01 2.775275e+00,-1.077077e-01 -1.256839e-01 2.775105e+00,-1.085524e-01 -1.353489e-01 2.772319e+00,-1.096213e-01 -1.359747e-01 2.773451e+00,-1.097656e-01 -1.358772e-01 2.773463e+00,-1.176489e-01 -1.409299e-01 2.776641e+00,-1.179843e-01 -1.435465e-01 2.773980e+00,-1.183951e-01 -1.438544e-01 2.773858e+00,-1.188564e-01 -1.440818e-01 2.774165e+00,-1.191922e-01 -1.449783e-01 2.773724e+00,-1.183070e-01 -1.452757e-01 2.772549e+00,-1.162437e-01 -1.431244e-01 2.771065e+00,-1.155012e-01 -1.440347e-01 2.770386e+00,-1.137402e-01 -1.455307e-01 2.768993e+00,-1.109839e-01 -1.436263e-01 2.767378e+00,-1.107394e-01 -1.442227e-01 2.767094e+00,-1.085944e-01 -1.457008e-01 2.765554e+00,-1.083227e-01 -1.457680e-01 2.765660e+00,-1.081656e-01 -1.466583e-01 2.765809e+00,-1.067838e-01 -1.467295e-01 2.765336e+00,-1.071369e-01 -1.433924e-01 2.767071e+00,-1.062653e-01 -1.446202e-01 2.766795e+00,-1.059550e-01 -1.449598e-01 2.766808e+00,-1.065947e-01 -1.420014e-01 2.768238e+00,-1.062708e-01 -1.424831e-01 2.767537e+00,-1.061500e-01 -1.430715e-01 2.767685e+00,-1.054565e-01 -1.430221e-01 2.767354e+00,-1.058605e-01 -1.440445e-01 2.767415e+00
-1.557281e-01 -3.864125e-01 2.784177e+00,-1.557070e-01 -3.863059e-01 2.784245e+00,-1.556550e-01 -3.862001e-01 2.784429e+00,-1.558745e-01 -3.862288e-01 2.784758e+00,-1.560068e-01 -3.858482e-01 2.784975e+00,-1.560255e-01 -3.857937e-01 2.785073e+00,-1.564258e-01 -3.854576e-01 2.785074e+00,-1.566108e-01 -3.853532e-01 2.784982e+00,-1.566409e-01 -3.853913e-01 2.785076e+00,-1.571716e-01 -3.877416e-01 2.784191e+00,-1.576190e-01 -3.900111e-01 2.783917e+00,-1.582531e-01 -3.942637e-01 2.782501e+00,-1.584809e-01 -3.938475e-01 2.783122e+00,-1.581608e-01 -3.922021e-01 2.784303e+00,-1.557607e-01 -3.768555e-01 2.791404e+00,-1.554225e-01 -3.750352e-01 2.792090e+00,-1.550684e-01 -3.775563e-01 2.793475e+00,-1.546262e-01 -3.781306e-01 2.794692e+00,-1.556912e-01 -3.827787e-01 2.799874e+00,-1.556100e-01 -3.818947e-01 2.801561e+00,-1.543640e-01 -3.801328e-01 2.803774e+00,-1.541116e-01 -3.802252e-01 2.806473e+00,-1.541459e-01 -3.797386e-01 2.806937e+00,-1.553297e-01 -3.857664e-01 2.807463e+00,-1.556562e-01 -3.835614e-01 2.807278e+00,-1.559711e-01 -3.824630e-01 2.807173e+00,-1.570289e-01 -3.826197e-01 2.805111e+00,-1.578712e-01 -3.888548e-01 2.799094e+00,-1.582518e-01 -3.904323e-01 2.797303e+00,-1.580608e-01 -3.895236e-01 2.796959e+00,-1.569708e-01 -3.850877e-01 2.794763e+00,-1.567603e-01 -3.863271e-01 2.794462e+00,-1.560769e-01 -3.884046e-01 2.793452e+00,-1.559987e-01 -3.892212e-01 2.792807e+00,-1.545359e-01 -3.872131e-01 2.791837e+00,-1.534359e-01 -3.913850e-01 2.789748e+00,-1.530454e-01 -3.927989e-01 2.788435e+00,-1.508913e-01 -3.900933e-01 2.786829e+00,-1.500596e-01 -3.898353e-01 2.786596e+00,-1.479077e-01 -3.894697e-01 2.784260e+00,-1.479322e-01 -3.893410e-01 2.784038e+00,-1.481523e-01 -3.908238e-01 2.783139e+00,-1.479997e-01 -3.914939e-01 2.782514e+00,-1.480294e-01 -3.912474e-01 2.782719e+00,-1.485701e-01 -3.911362e-01 2.782253e+00,-1.486164e-01 -3.909763e-01 2.782304e+00,-1.486798e-01 -3.909434e-01 2.782336e+00,-1.496786e-01 -3.923584e-01 2.781816e+00,-1.509148e-01 -3.923564e-01 2.781276e+00
-1.625819e-01 -5.910996e-01 2.708694e+00,-1.626754e-01 -5.909472e-01 2.708628e+00,-1.627261e-01 -5.907947e-01 2.708675e+00,-1.636856e-01 -5.907876e-01 2.708982e+00,-1.639185e-01 -5.903803e-01 2.709123e+00,-1.641241e-01 -5.903127e-01 2.709203e+00,-1.648038e-01 -5.900299e-01 2.709407e+00,-1.664293e-01 -5.901457e-01 2.710236e+00,-1.665018e-01 -5.901616e-01 2.710266e+00,-1.672631e-01 -5.925648e-01 2.709622e+00,-1.610773e-01 -6.118230e-01 2.703244e+00,-1.633504e-01 -5.993266e-01 2.708151e+00,-1.629976e-01 -5.982540e-01 2.706623e+00,-1.632768e-01 -5.961598e-01 2.706442e+00,-1.639878e-01 -5.781049e-01 2.705897e+00,-1.607798e-01 -5.766727e-01 2.707373e+00,-1.687207e-01 -5.822340e-01 2.719042e+00,-1.660969e-01 -5.815974e-01 2.716044e+00,-1.638477e-01 -5.872231e-01 2.723784e+00,-1.637850e-01 -5.873435e-01 2.724181e+00,-1.759785e-01 -5.841402e-01 2.729491e+00,-1.753868e-01 -5.853364e-01 2.735760e+00,-1.744024e-01 -5.850639e-01 2.736595e+00,-1.749757e-01 -5.898566e-01 2.732910e+00,-1.715648e-01 -5.882977e-01 2.733715e+00,-1.727696e-01 -5.867618e-01 2.732411e+00,-1.696807e-01 -5.861126e-01 2.726865e+00,-1.708058e-01 -5.931041e-01 2.723329e+00,-1.712064e-01 -5.946507e-01 2.721464e+00,-1.718856e-01 -5.925376e-01 2.717594e+00,-1.714957e-01 -5.886462e-01 2.717141e+00,-1.665156e-01 -5.905928e-01 2.718132e+00,-1.676956e-01 -5.928125e-01 2.717920e+00,-1.674295e-01 -5.937428e-01 2.717613e+00,-1.671839e-01 -5.920740e-01 2.717955e+00,-1.670760e-01 -5.964358e-01 2.716765e+00,-1.665815e-01 -5.977933e-01 2.715259e+00,-1.639518e-01 -5.952262e-01 2.713968e+00,-1.633343e-01 -5.948161e-01 2.713272e+00,-1.619540e-01 -5.942288e-01 2.710374e+00,-1.615385e-01 -5.940307e-01 2.709825e+00,-1.615966e-01 -5.956969e-01 2.709508e+00,-1.616460e-01 -5.964990e-01 2.709375e+00,-1.616406e-01 -5.961776e-01 2.709320e+00,-1.620472e-01 -5.962802e-01 2.709617e+00,-1.621021e-01 -5.960929e-01 2.709613e+00,-1.622399e-01 -5.960984e-01 2.709824e+00,-1.621712e-01 -5.976059e-01 2.709342e+00,-1.621438e-01 -5.977890e-01 2.709177e+00
-1.490701e-01 -6.138936e-01 2.701228e+00,-1.488121e-01 -6.141934e-01 2.701670e+00,-1.490951e-01 -6.139144e-01 2.702476e+00,-1.500293e-01 -6.119984e-01 2.701134e+00,-1.491466e-01 -6.142069e-01 2.702611e+00,-1.500458e-01 -6.128856e-01 2.702119e+00,-1.500856e-01 -6.087961e-01 2.702181e+00,-1.500016e-01 -6.101706e-01 2.701555e+00,-1.500911e-01 -6.107295e-01 2.704004e+00,-1.507462e-01 -6.114406e-01 2.702903e+00,-1.463944e-01 -6.411374e-01 2.693811e+00,-1.457243e-01 -6.340896e-01 2.696322e+00,-1.471929e-01 -6.105607e-01 2.697850e+00,-1.456825e-01 -6.285037e-01 2.690977e+00,-1.435031e-01 -6.336861e-01 2.690220e+00,-1.445515e-01 -6.092938e-01 2.695209e+00,-1.438773e-01 -6.339201e-01 2.699405e+00,-1.473919e-01 -6.091503e-01 2.707013e+00,-1.472331e-01 -6.225898e-01 2.708571e+00,-1.466817e-01 -6.229169e-01 2.708968e+00,-1.502971e-01 -6.352766e-01 2.712105e+00,-1.528980e-01 -6.354600e-01 2.715066e+00,-1.584002e-01 -5.974114e-01 2.726802e+00,-1.597734e-01 -6.013817e-01 2.724496e+00,-1.538320e-01 -6.395005e-01 2.713132e+00,-1.552927e-01 -6.344739e-01 2.712151e+00,-1.551364e-01 -6.171430e-01 2.711942e+00,-1.542366e-01 -6.157780e-01 2.709210e+00,-1.532408e-01 -6.165660e-01 2.708409e+00,-1.516936e-01 -6.401099e-01 2.701641e+00,-1.520224e-01 -6.370891e-01 2.704968e+00,-1.527951e-01 -6.160948e-01 2.710153e+00,-1.534545e-01 -6.121188e-01 2.712771e+00,-1.531527e-01 -6.130419e-01 2.711214e+00,-1.529795e-01 -6.116260e-01 2.709624e+00,-1.498824e-01 -6.302419e-01 2.709038e+00,-1.489637e-01 -6.096538e-01 2.707600e+00,-1.462530e-01 -6.095733e-01 2.704801e+00,-1.466327e-01 -6.094147e-01 2.705581e+00,-1.459392e-01 -6.096647e-01 2.705140e+00,-1.463578e-01 -6.091994e-01 2.704994e+00,-1.481490e-01 -6.098298e-01 2.707575e+00,-1.487819e-01 -6.089917e-01 2.706059e+00,-1.488341e-01 -6.089711e-01 2.704451e+00,-1.488656e-01 -6.100726e-01 2.706035e+00,-1.485488e-01 -6.097137e-01 2.704168e+00,-1.491898e-01 -6.100748e-01 2.707673e+00,-1.493159e-01 -6.092377e-01 2.704988e+00,-1.488593e-01 -6.085233e-01 2.703993e+00
1.860023e-01 -1.576117e-01 2.770240e+00,1.856512e-01 -1.577692e-01 2.770594e+00,1.851412e-01 -1.574053e-01 2.771109e+00,1.849130e-01 -1.575512e-01 2.772239e+00,1.847369e-01 -1.576800e-01 2.772666e+00,1.846163e-01 -1.577180e-01 2.773372e+00,1.831920e-01 -1.566764e-01 2.774528e+00,1.819348e-01 -1.557687e-01 2.774753e+00,1.815745e-01 -1.556240e-01 2.775154e+00,1.808085e-01 -1.553140e-01 2.774831e+00,1.800747e-01 -1.533628e-01 2.770238e+00,1.722953e-01 -1.479378e-01 2.762887e+00,1.748217e-01 -1.465490e-01 2.757551e+00,1.754053e-01 -1.454409e-01 2.754373e+00,1.822128e-01 -1.270680e-01 2.717436e+00,1.689486e-01 -1.252052e-01 2.723851e+00,1.543229e-01 -1.171705e-01 2.724182e+00,1.513055e-01 -1.143294e-01 2.723485e+00,1.483244e-01 -1.131546e-01 2.722412e+00,1.468437e-01 -1.130422e-01 2.721575e+00,1.399347e-01 -1.179684e-01 2.714459e+00,1.409756e-01 -1.193476e-01 2.715341e+00,1.430040e-01 -1.210452e-01 2.716150e+00,1.450974e-01 -1.298162e-01 2.714934e+00,1.466450e-01 -1.294390e-01 2.716596e+00,1.474450e-01 -1.300032e-01 2.718132e+00,1.436242e-01 -1.649038e-01 2.716632e+00,1.391879e-01 -1.667823e-01 2.716838e+00,1.602217e-01 -1.391982e-01 2.733171e+00,1.638318e-01 -1.411071e-01 2.735063e+00,1.714403e-01 -1.453700e-01 2.740708e+00,1.747440e-01 -1.473240e-01 2.744897e+00,1.793640e-01 -1.503768e-01 2.751278e+00,1.812031e-01 -1.516431e-01 2.753783e+00,1.835038e-01 -1.525229e-01 2.757254e+00,1.853618e-01 -1.532995e-01 2.759009e+00,1.870868e-01 -1.538807e-01 2.760760e+00,1.889351e-01 -1.557124e-01 2.762738e+00,1.892659e-01 -1.554731e-01 2.763188e+00,1.900501e-01 -1.557386e-01 2.764068e+00,1.903355e-01 -1.557822e-01 2.764578e+00,1.911452e-01 -1.561036e-01 2.766092e+00,1.916405e-01 -1.558757e-01 2.767038e+00,1.919602e-01 -1.557208e-01 2.767750e+00,1.925346e-01 -1.559894e-01 2.768525e+00,1.925114e-01 -1.560399e-01 2.768634e+00,1.924400e-01 -1.557180e-01 2.769051e+00,1.922074e-01 -1.558407e-01 2.768899e+00,1.921314e-01 -1.560096e-01 2.769016e+00
2.230123e-01 -4.068848e-01 2.800602e+00,2.228105e-01 -4.081519e-01 2.801291e+00,2.226525e-01 -4.086060e-01 2.801642e+00,2.220976e-01 -4.078220e-01 2.803940e+00,2.217409e-01 -4.078324e-01 2.808022e+00,2.211861e-01 -3.965264e-01 2.817854e+00,2.189822e-01 -3.803017e-01 2.825575e+00,2.183983e-01 -3.604321e-01 2.815366e+00,2.153248e-01 -3.620330e-01 2.811163e+00,2.347048e-01 -3.630988e-01 2.780148e+00,2.787563e-01 -3.243097e-01 2.666641e+00,2.859612e-01 -2.748137e-01 2.614423e+00,2.692769e-01 -1.305906e-01 2.548618e+00,2.488550e-01 -8.775673e-02 2.544087e+00,2.095716e-01 6.055222e-04 2.511890e+00,2.058135e-01 5.421320e-03 2.513987e+00,1.793443e-01 3.944580e-02 2.524417e+00,1.647434e-01 6.902614e-02 2.496137e+00,1.558610e-01 7.105657e-02 2.497215e+00,1.601960e-01 3.259586e-02 2.531468e+00,1.602222e-01 3.222902e-02 2.531060e+00,1.712138e-01 2.058207e-02 2.514676e+00,1.793269e-01 1.172916e-02 2.508163e+00,2.069718e-01 -2.150693e-02 2.486176e+00,2.336921e-01 -6.946432e-02 2.511850e+00,2.390830e-01 -8.030653e-02 2.510882e+00,2.554358e-01 -1.294278e-01 2.489207e+00,2.736819e-01 -1.976809e-01 2.513654e+00,2.837201e-01 -2.477294e-01 2.546802e+00,2.880410e-01 -2.638889e-01 2.592230e+00,2.923609e-01 -3.172689e-01 2.675081e+00,2.753416e-01 -3.381686e-01 2.730907e+00,2.572887e-01 -3.509375e-01 2.750292e+00,2.524356e-01 -3.551890e-01 2.758672e+00,2.402288e-01 -3.568187e-01 2.781601e+00,2.352771e-01 -3.639583e-01 2.791312e+00,2.323097e-01 -3.733537e-01 2.793746e+00,2.284727e-01 -3.911216e-01 2.796149e+00,2.276906e-01 -3.930016e-01 2.796264e+00,2.267971e-01 -3.950584e-01 2.796390e+00,2.264727e-01 -3.966499e-01 2.797639e+00,2.261453e-01 -3.993838e-01 2.799392e+00,2.261495e-01 -4.010256e-01 2.800454e+00,2.260370e-01 -4.012039e-01 2.800833e+00,2.260851e-01 -4.014190e-01 2.801686e+00,2.259948e-01 -4.016511e-01 2.801749e+00,2.256831e-01 -4.021342e-01 2.801837e+00,2.251879e-01 -4.031066e-01 2.801304e+00,2.249288e-01 -4.034101e-01 2.801198e+00
2.448758e-01 -6.152336e-01 2.743379e+00,2.417208e-01 -6.163695e-01 2.742170e+00,2.403326e-01 -6.165357e-01 2.740811e+00,2.150660e-01 -6.104190e-01 2.722289e+00,2.181774e-01 -6.077287e-01 2.718840e+00,2.324592e-01 -5.806415e-01 2.697068e+00,2.455829e-01 -5.106713e-01 2.646268e+00,2.541255e-01 -3.437767e-01 2.676666e+00,2.732988e-01 -2.617267e-01 2.605941e+00,2.575349e-01 -1.839183e-01 2.621636e+00,2.408106e-01 -1.141880e-01 2.604103e+00,2.290186e-01 -6.472606e-02 2.598143e+00,1.687598e-01 6.214304e-02 2.541230e+00,1.497984e-01 1.038765e-01 2.507836e+00,1.231152e-01 1.900408e-01 2.440877e+00,1.220497e-01 1.901201e-01 2.426937e+00,1.089101e-01 2.087465e-01 2.380855e+00,1.016709e-01 2.254135e-01 2.350322e+00,1.043421e-01 2.115432e-01 2.330936e+00,1.162735e-01 1.589044e-01 2.351443e+00,1.151820e-01 1.581314e-01 2.351022e+00,1.099375e-01 1.513419e-01 2.343416e+00,1.072829e-01 1.364141e-01 2.336472e+00,1.466243e-01 4.819953e-02 2.385576e+00,1.255576e-01 5.259300e-02 2.358716e+00,1.240460e-01 1.187620e-02 2.341836e+00,1.886538e-01 -8.957971e-02 2.411767e+00,2.271461e-01 -1.761831e-01 2.449024e+00,2.314319e-01 -2.250553e-01 2.466373e+00,2.520778e-01 -2.570462e-01 2.508499e+00,2.357239e-01 -3.247647e-01 2.456855e+00,2.363565e-01 -3.734408e-01 2.453477e+00,2.497978e-01 -4.508587e-01 2.549531e+00,2.552396e-01 -4.566858e-01 2.558667e+00,2.528557e-01 -5.156934e-01 2.626765e+00,2.389163e-01 -5.436253e-01 2.662728e+00,2.422828e-01 -5.548393e-01 2.668454e+00,2.368766e-01 -5.829651e-01 2.689197e+00,2.344521e-01 -5.919908e-01 2.705034e+00,2.430487e-01 -6.025693e-01 2.733229e+00,2.454142e-01 -6.053764e-01 2.740726e+00,2.463736e-01 -6.096595e-01 2.751068e+00,2.464450e-01 -6.127697e-01 2.761957e+00,2.466549e-01 -6.129348e-01 2.762492e+00,2.460361e-01 -6.133872e-01 2.764951e+00,2.457257e-01 -6.136493e-01 2.765188e+00,2.196862e-01 -6.121149e-01 2.747052e+00,1.826676e-01 -5.986739e-01 2.712251e+00,1.816274e-01 -5.960726e-01 2.705215e+00
