2.896754e-02 -6.124333e-01 2.772979e+00,2.888454e-02 -6.127937e-01 2.772992e+00,2.887766e-02 -6.127805e-01 2.773000e+00,2.918079e-02 -6.130627e-01 2.772965e+00,2.905821e-02 -6.126778e-01 2.772949e+00,2.795370e-02 -6.125087e-01 2.772472e+00,2.397962e-02 -6.119655e-01 2.771132e+00,2.250682e-02 -6.108058e-01 2.770362e+00,2.180055e-02 -6.104952e-01 2.770264e+00,2.113333e-02 -6.096008e-01 2.770199e+00,2.125951e-02 -6.090427e-01 2.770194e+00,2.213337e-02 -6.081858e-01 2.770167e+00,2.192626e-02 -6.063187e-01 2.770865e+00,2.318037e-02 -6.047950e-01 2.772048e+00,2.382931e-02 -6.043147e-01 2.772461e+00,2.647861e-02 -6.038660e-01 2.773914e+00,2.656741e-02 -6.038762e-01 2.774499e+00,2.694228e-02 -6.040093e-01 2.775183e+00,2.837216e-02 -6.044416e-01 2.775721e+00,3.098056e-02 -6.040158e-01 2.776209e+00,3.235791e-02 -6.043262e-01 2.777033e+00,3.269675e-02 -6.035170e-01 2.777499e+00,3.134289e-02 -6.018643e-01 2.778749e+00,3.117192e-02 -6.015942e-01 2.778851e+00,3.114052e-02 -6.016237e-01 2.778814e+00,3.103129e-02 -6.014047e-01 2.778219e+00,3.107809e-02 -6.018928e-01 2.777957e+00,3.092837e-02 -6.022137e-01 2.777588e+00,3.023628e-02 -6.028476e-01 2.777545e+00,3.022592e-02 -6.042526e-01 2.777440e+00,2.996969e-02 -6.054547e-01 2.777367e+00,2.996723e-02 -6.057749e-01 2.777236e+00,3.010764e-02 -6.076446e-01 2.776833e+00,3.016080e-02 -6.080562e-01 2.776751e+00,3.033437e-02 -6.084495e-01 2.776746e+00,3.102906e-02 -6.094898e-01 2.776549e+00,3.134256e-02 -6.100382e-01 2.776181e+00,3.319189e-02 -6.113419e-01 2.775761e+00,3.362953e-02 -6.114557e-01 2.775574e+00,3.391086e-02 -6.116687e-01 2.775528e+00,3.415795e-02 -6.118495e-01 2.775521e+00,3.428805e-02 -6.119617e-01 2.775531e+00,3.429893e-02 -6.121255e-01 2.775527e+00,3.431083e-02 -6.122074e-01 2.775494e+00,3.421858e-02 -6.133915e-01 2.775566e+00,3.429747e-02 -6.133842e-01 2.775481e+00,3.422071e-02 -6.131609e-01 2.775473e+00,3.428663e-02 -6.132758e-01 2.775040e+00
3.214519e-02 -3.250104e-01 2.784121e+00,3.204176e-02 -3.253661e-01 2.784374e+00,3.212504e-02 -3.253801e-01 2.784411e+00,3.229216e-02 -3.256330e-01 2.784372e+00,3.214795e-02 -3.253584e-01 2.784348e+00,3.145537e-02 -3.253790e-01 2.784129e+00,3.022619e-02 -3.250127e-01 2.783413e+00,2.989006e-02 -3.244395e-01 2.783024e+00,2.958103e-02 -3.240826e-01 2.782863e+00,2.848523e-02 -3.234846e-01 2.783110e+00,2.768364e-02 -3.226564e-01 2.783403e+00,2.778211e-02 -3.217873e-01 2.783686e+00,2.677535e-02 -3.200750e-01 2.784403e+00,2.686024e-02 -3.193447e-01 2.784836e+00,2.679627e-02 -3.189575e-01 2.784953e+00,2.695276e-02 -3.187666e-01 2.785066e+00,2.679599e-02 -3.189314e-01 2.785224e+00,2.636469e-02 -3.192654e-01 2.785365e+00,2.674903e-02 -3.194948e-01 2.785398e+00,2.692918e-02 -3.195345e-01 2.785466e+00,2.695642e-02 -3.198055e-01 2.785656e+00,2.702167e-02 -3.196686e-01 2.785787e+00,2.671204e-02 -3.189634e-01 2.786775e+00,2.681151e-02 -3.187866e-01 2.787098e+00,2.717037e-02 -3.182296e-01 2.787369e+00,2.740270e-02 -3.177357e-01 2.787906e+00,2.772705e-02 -3.181289e-01 2.788050e+00,2.782546e-02 -3.182003e-01 2.788194e+00,2.807172e-02 -3.182015e-01 2.788433e+00,2.835504e-02 -3.184494e-01 2.788567e+00,2.899659e-02 -3.189995e-01 2.788925e+00,2.921001e-02 -3.191850e-01 2.788809e+00,3.023443e-02 -3.203519e-01 2.788329e+00,3.064100e-02 -3.206755e-01 2.788142e+00,3.184229e-02 -3.211227e-01 2.788103e+00,3.403831e-02 -3.220175e-01 2.787436e+00,3.548507e-02 -3.225741e-01 2.786686e+00,3.723941e-02 -3.232664e-01 2.785721e+00,3.769010e-02 -3.232788e-01 2.785388e+00,3.841805e-02 -3.234744e-01 2.785001e+00,3.971471e-02 -3.237769e-01 2.784393e+00,3.989442e-02 -3.239452e-01 2.784250e+00,4.010945e-02 -3.241145e-01 2.783974e+00,4.120070e-02 -3.241214e-01 2.783297e+00,4.159869e-02 -3.243850e-01 2.783108e+00,4.215901e-02 -3.245670e-01 2.782688e+00,4.234150e-02 -3.245473e-01 2.782524e+00,4.264006e-02 -3.247721e-01 2.782187e+00
3.470311e-02 -4.213934e-02 2.782754e+00,3.467038e-02 -4.219022e-02 2.783438e+00,3.512017e-02 -4.237789e-02 2.783521e+00,3.520067e-02 -4.268043e-02 2.783426e+00,3.496439e-02 -4.254971e-02 2.783239e+00,3.454994e-02 -4.271014e-02 2.783153e+00,3.449908e-02 -4.245440e-02 2.782647e+00,3.507955e-02 -4.205455e-02 2.782370e+00,3.520138e-02 -4.170667e-02 2.782191e+00,3.394651e-02 -4.157439e-02 2.782870e+00,3.262721e-02 -4.048541e-02 2.783835e+00,3.213672e-02 -3.933817e-02 2.784571e+00,3.051546e-02 -3.780741e-02 2.785356e+00,3.015885e-02 -3.748386e-02 2.785443e+00,2.929939e-02 -3.693585e-02 2.785278e+00,2.827495e-02 -3.679566e-02 2.784709e+00,2.724840e-02 -3.781421e-02 2.784301e+00,2.420930e-02 -3.945310e-02 2.783257e+00,2.433710e-02 -3.962917e-02 2.783030e+00,2.381595e-02 -3.992951e-02 2.782954e+00,2.232558e-02 -4.067424e-02 2.782559e+00,2.229572e-02 -4.069412e-02 2.782553e+00,2.254347e-02 -4.027988e-02 2.783326e+00,2.302027e-02 -4.025109e-02 2.783927e+00,2.456633e-02 -3.787188e-02 2.784966e+00,2.520115e-02 -3.768552e-02 2.786967e+00,2.579351e-02 -3.824679e-02 2.787395e+00,2.605624e-02 -3.835350e-02 2.787955e+00,2.815683e-02 -3.747383e-02 2.788864e+00,2.853295e-02 -3.729152e-02 2.788983e+00,2.976244e-02 -3.739496e-02 2.789428e+00,3.011771e-02 -3.747727e-02 2.789118e+00,3.183348e-02 -3.813169e-02 2.788041e+00,3.258691e-02 -3.832356e-02 2.787532e+00,3.524039e-02 -3.858314e-02 2.787235e+00,3.887362e-02 -3.900377e-02 2.785446e+00,4.151566e-02 -3.943483e-02 2.784221e+00,4.259680e-02 -3.966330e-02 2.782580e+00,4.284389e-02 -3.960360e-02 2.782170e+00,4.380351e-02 -3.977405e-02 2.781278e+00,4.657252e-02 -4.015328e-02 2.779548e+00,4.665710e-02 -4.040183e-02 2.779278e+00,4.689782e-02 -4.043768e-02 2.778603e+00,5.008930e-02 -4.020334e-02 2.776742e+00,5.080844e-02 -3.989644e-02 2.776366e+00,5.162441e-02 -4.040453e-02 2.775794e+00,5.215281e-02 -4.074194e-02 2.775395e+00,5.240090e-02 -4.104665e-02 2.775385e+00
4.186841e-02 6.744801e-02 2.794171e+00,4.166924e-02 6.736836e-02 2.794424e+00,4.216670e-02 6.682333e-02 2.794776e+00,4.242727e-02 6.664146e-02 2.794894e+00,4.286912e-02 6.691464e-02 2.795046e+00,4.308093e-02 6.702382e-02 2.794830e+00,4.343150e-02 6.702939e-02 2.794967e+00,4.375146e-02 6.690643e-02 2.794569e+00,4.373473e-02 6.690966e-02 2.794533e+00,4.297212e-02 6.742688e-02 2.794764e+00,3.790506e-02 6.750438e-02 2.796985e+00,3.534798e-02 6.826007e-02 2.798750e+00,3.181467e-02 6.819943e-02 2.800825e+00,3.043768e-02 6.914152e-02 2.801834e+00,2.800053e-02 6.957133e-02 2.802107e+00,2.529456e-02 6.956758e-02 2.803570e+00,2.478786e-02 7.020571e-02 2.803631e+00,2.318142e-02 7.069790e-02 2.803885e+00,2.305838e-02 6.890082e-02 2.804899e+00,2.271356e-02 6.940550e-02 2.805134e+00,2.120880e-02 6.949727e-02 2.805382e+00,2.150415e-02 6.963769e-02 2.805515e+00,2.125750e-02 7.060654e-02 2.806439e+00,2.130337e-02 7.035711e-02 2.807072e+00,2.163198e-02 7.048010e-02 2.807614e+00,2.234501e-02 7.025932e-02 2.808709e+00,2.257749e-02 7.001077e-02 2.809306e+00,2.263182e-02 7.022382e-02 2.810176e+00,2.310755e-02 7.027097e-02 2.810580e+00,2.385647e-02 7.040378e-02 2.811333e+00,2.461607e-02 7.012052e-02 2.811840e+00,2.579222e-02 7.057034e-02 2.811691e+00,3.051170e-02 7.018831e-02 2.809063e+00,3.225479e-02 6.950393e-02 2.808262e+00,3.446227e-02 6.979419e-02 2.807353e+00,3.670745e-02 6.977076e-02 2.805000e+00,3.879246e-02 6.984829e-02 2.802172e+00,4.075537e-02 6.869506e-02 2.800026e+00,4.315354e-02 6.908190e-02 2.798415e+00,4.542286e-02 6.945582e-02 2.796494e+00,4.693279e-02 6.949013e-02 2.795045e+00,5.005245e-02 6.887697e-02 2.793265e+00,5.138811e-02 6.894518e-02 2.791959e+00,5.300121e-02 6.961267e-02 2.790218e+00,5.576245e-02 6.884264e-02 2.789942e+00,5.614772e-02 6.846442e-02 2.789660e+00,5.628965e-02 6.850308e-02 2.789580e+00,5.750479e-02 6.776200e-02 2.789212e+00
-1.169568e-01 -1.491179e-01 2.760990e+00,-1.172133e-01 -1.494240e-01 2.761445e+00,-1.168019e-01 -1.493239e-01 2.761418e+00,-1.168250e-01 -1.494602e-01 2.761404e+00,-1.164100e-01 -1.486547e-01 2.761217e+00,-1.157789e-01 -1.463603e-01 2.760778e+00,-1.150312e-01 -1.454485e-01 2.760179e+00,-1.152470e-01 -1.452594e-01 2.760220e+00,-1.156139e-01 -1.461767e-01 2.760076e+00,-1.166440e-01 -1.474932e-01 2.759914e+00,-1.167708e-01 -1.481231e-01 2.760083e+00,-1.172896e-01 -1.484317e-01 2.760746e+00,-1.185235e-01 -1.492014e-01 2.763363e+00,-1.192891e-01 -1.487490e-01 2.766116e+00,-1.197635e-01 -1.481430e-01 2.767779e+00,-1.166084e-01 -1.448556e-01 2.770408e+00,-1.164961e-01 -1.449432e-01 2.770251e+00,-1.163226e-01 -1.450863e-01 2.770296e+00,-1.159820e-01 -1.450114e-01 2.770433e+00,-1.156000e-01 -1.449341e-01 2.770565e+00,-1.150852e-01 -1.459737e-01 2.771046e+00,-1.147476e-01 -1.461377e-01 2.771314e+00,-1.137789e-01 -1.458025e-01 2.771713e+00,-1.135081e-01 -1.461794e-01 2.771927e+00,-1.131745e-01 -1.456620e-01 2.772269e+00,-1.125862e-01 -1.447666e-01 2.782813e+00,-1.119978e-01 -1.457048e-01 2.780609e+00,-1.143459e-01 -1.487194e-01 2.787391e+00,-1.144305e-01 -1.488037e-01 2.787906e+00,-1.140010e-01 -1.487255e-01 2.787244e+00,-1.139990e-01 -1.488361e-01 2.787155e+00,-1.140502e-01 -1.485646e-01 2.786942e+00,-1.129669e-01 -1.500349e-01 2.783279e+00,-1.098168e-01 -1.489315e-01 2.778356e+00,-1.092507e-01 -1.492880e-01 2.777571e+00,-1.087491e-01 -1.495730e-01 2.775881e+00,-1.080762e-01 -1.498097e-01 2.774176e+00,-1.072116e-01 -1.494776e-01 2.768337e+00,-1.071343e-01 -1.492048e-01 2.766266e+00,-1.063867e-01 -1.489461e-01 2.764973e+00,-1.042234e-01 -1.480667e-01 2.764124e+00,-1.040138e-01 -1.480674e-01 2.763885e+00,-1.037311e-01 -1.478699e-01 2.763787e+00,-1.037048e-01 -1.476413e-01 2.762479e+00,-1.023626e-01 -1.467087e-01 2.761159e+00,-1.024981e-01 -1.467155e-01 2.760658e+00,-1.026223e-01 -1.466217e-01 2.760239e+00,-1.020128e-01 -1.468187e-01 2.760364e+00
-1.571592e-01 -3.840827e-01 2.772053e+00,-1.569705e-01 -3.835737e-01 2.772249e+00,-1.568723e-01 -3.834938e-01 2.772209e+00,-1.568574e-01 -3.834619e-01 2.772248e+00,-1.568174e-01 -3.824167e-01 2.772445e+00,-1.568314e-01 -3.824495e-01 2.772416e+00,-1.570779e-01 -3.820582e-01 2.772190e+00,-1.571571e-01 -3.818544e-01 2.772195e+00,-1.573102e-01 -3.849044e-01 2.771523e+00,-1.572947e-01 -3.848313e-01 2.771521e+00,-1.573859e-01 -3.846838e-01 2.771517e+00,-1.574381e-01 -3.841593e-01 2.771512e+00,-1.566571e-01 -3.830932e-01 2.772816e+00,-1.557121e-01 -3.862587e-01 2.774000e+00,-1.535845e-01 -3.870676e-01 2.775720e+00,-1.472930e-01 -3.841259e-01 2.782914e+00,-1.458787e-01 -3.831435e-01 2.786165e+00,-1.448199e-01 -3.852160e-01 2.789919e+00,-1.438899e-01 -3.854684e-01 2.793324e+00,-1.437831e-01 -3.859830e-01 2.798011e+00,-1.428176e-01 -3.846316e-01 2.802837e+00,-1.428733e-01 -3.847229e-01 2.803507e+00,-1.421585e-01 -3.839684e-01 2.806353e+00,-1.416869e-01 -3.837515e-01 2.807229e+00,-1.416306e-01 -3.839970e-01 2.807830e+00,-1.416799e-01 -3.847586e-01 2.808581e+00,-1.417093e-01 -3.848836e-01 2.808695e+00,-1.420327e-01 -3.850810e-01 2.808674e+00,-1.423113e-01 -3.843581e-01 2.808665e+00,-1.424254e-01 -3.884982e-01 2.806224e+00,-1.431205e-01 -3.924322e-01 2.802234e+00,-1.431040e-01 -3.942263e-01 2.799285e+00,-1.430188e-01 -3.938222e-01 2.796913e+00,-1.431367e-01 -3.961591e-01 2.793543e+00,-1.431729e-01 -3.965050e-01 2.791366e+00,-1.428858e-01 -3.944404e-01 2.788650e+00,-1.427004e-01 -3.966260e-01 2.783592e+00,-1.419120e-01 -3.933808e-01 2.781668e+00,-1.413116e-01 -3.922625e-01 2.779969e+00,-1.411184e-01 -3.913484e-01 2.778661e+00,-1.409203e-01 -3.898544e-01 2.778428e+00,-1.409058e-01 -3.881306e-01 2.777846e+00,-1.409986e-01 -3.872750e-01 2.777129e+00,-1.411547e-01 -3.862661e-01 2.776353e+00,-1.418794e-01 -3.871184e-01 2.775369e+00,-1.420779e-01 -3.865843e-01 2.775153e+00,-1.421752e-01 -3.863805e-01 2.775026e+00,-1.428886e-01 -3.877906e-01 2.773730e+00
-1.648894e-01 -5.882745e-01 2.695016e+00,-1.648188e-01 -5.877557e-01 2.695190e+00,-1.648513e-01 -5.876992e-01 2.695239e+00,-1.648242e-01 -5.876471e-01 2.695213e+00,-1.646201e-01 -5.868037e-01 2.696006e+00,-1.646201e-01 -5.868576e-01 2.696041e+00,-1.644563e-01 -5.866100e-01 2.696212e+00,-1.647016e-01 -5.864122e-01 2.696254e+00,-1.650838e-01 -5.894151e-01 2.695502e+00,-1.618948e-01 -6.048201e-01 2.692029e+00,-1.651810e-01 -5.888895e-01 2.694538e+00,-1.625010e-01 -5.879667e-01 2.693017e+00,-1.612097e-01 -5.859370e-01 2.691416e+00,-1.584640e-01 -5.884084e-01 2.690556e+00,-1.579208e-01 -5.885851e-01 2.690626e+00,-1.561635e-01 -5.844805e-01 2.695111e+00,-1.570742e-01 -5.840484e-01 2.700037e+00,-1.532860e-01 -5.872507e-01 2.706527e+00,-1.552990e-01 -5.880084e-01 2.711800e+00,-1.556788e-01 -5.874491e-01 2.713552e+00,-1.567408e-01 -5.883726e-01 2.725363e+00,-1.561652e-01 -5.875914e-01 2.723278e+00,-1.543969e-01 -5.894106e-01 2.727187e+00,-1.626355e-01 -5.876673e-01 2.732224e+00,-1.627029e-01 -5.876979e-01 2.732185e+00,-1.573681e-01 -5.878019e-01 2.729394e+00,-1.570397e-01 -5.874854e-01 2.728122e+00,-1.537517e-01 -5.873200e-01 2.726339e+00,-1.534601e-01 -5.864775e-01 2.725887e+00,-1.537247e-01 -5.907624e-01 2.723928e+00,-1.546645e-01 -5.948781e-01 2.720545e+00,-1.549904e-01 -5.972221e-01 2.719230e+00,-1.549324e-01 -5.970621e-01 2.717582e+00,-1.549088e-01 -5.996800e-01 2.715060e+00,-1.554600e-01 -5.999989e-01 2.712901e+00,-1.479495e-01 -5.975783e-01 2.708128e+00,-1.492966e-01 -6.004513e-01 2.705292e+00,-1.494943e-01 -5.974532e-01 2.704197e+00,-1.494595e-01 -5.964660e-01 2.702962e+00,-1.496275e-01 -5.953206e-01 2.700976e+00,-1.488739e-01 -5.939561e-01 2.701050e+00,-1.498202e-01 -5.921711e-01 2.700388e+00,-1.498386e-01 -5.913063e-01 2.699623e+00,-1.506140e-01 -5.905386e-01 2.699674e+00,-1.513910e-01 -5.915738e-01 2.699284e+00,-1.515679e-01 -5.911115e-01 2.699285e+00,-1.515913e-01 -5.909129e-01 2.699161e+00,-1.523364e-01 -5.924081e-01 2.698160e+00
-1.482524e-01 -6.088254e-01 2.690194e+00,-1.485075e-01 -6.075349e-01 2.689098e+00,-1.482775e-01 -6.065234e-01 2.690701e+00,-1.485704e-01 -6.081858e-01 2.689952e+00,-1.473198e-01 -6.062548e-01 2.691411e+00,-1.471650e-01 -6.074759e-01 2.688966e+00,-1.481901e-01 -6.080847e-01 2.689715e+00,-1.497672e-01 -6.079343e-01 2.691137e+00,-1.483340e-01 -6.070762e-01 2.691133e+00,-1.415191e-01 -6.350679e-01 2.683490e+00,-1.442078e-01 -6.252466e-01 2.681250e+00,-1.409516e-01 -6.237006e-01 2.678105e+00,-1.410476e-01 -6.059434e-01 2.682337e+00,-1.381656e-01 -6.083798e-01 2.683546e+00,-1.362417e-01 -6.109428e-01 2.686154e+00,-1.324626e-01 -6.098804e-01 2.691939e+00,-1.331162e-01 -6.112864e-01 2.697602e+00,-1.318782e-01 -6.266891e-01 2.698922e+00,-1.349444e-01 -6.119091e-01 2.706578e+00,-1.365067e-01 -6.132638e-01 2.709238e+00,-1.336810e-01 -6.431050e-01 2.706981e+00,-1.371371e-01 -6.178693e-01 2.713026e+00,-1.367185e-01 -6.283915e-01 2.714702e+00,-1.365113e-01 -6.388163e-01 2.710079e+00,-1.361523e-01 -6.392923e-01 2.710929e+00,-1.388098e-01 -6.151208e-01 2.714977e+00,-1.373912e-01 -6.247688e-01 2.711611e+00,-1.370814e-01 -6.238924e-01 2.707899e+00,-1.368572e-01 -6.224601e-01 2.707908e+00,-1.362435e-01 -6.262555e-01 2.706605e+00,-1.376095e-01 -6.114465e-01 2.707547e+00,-1.367530e-01 -6.131948e-01 2.707328e+00,-1.374178e-01 -6.137327e-01 2.706756e+00,-1.374720e-01 -6.119304e-01 2.703883e+00,-1.374656e-01 -6.122296e-01 2.704046e+00,-1.324436e-01 -6.331816e-01 2.693063e+00,-1.323185e-01 -6.326476e-01 2.690810e+00,-1.328518e-01 -6.318222e-01 2.689699e+00,-1.343361e-01 -6.103440e-01 2.694382e+00,-1.346595e-01 -6.099012e-01 2.695551e+00,-1.347245e-01 -6.087988e-01 2.694818e+00,-1.362822e-01 -6.093634e-01 2.693712e+00,-1.372141e-01 -6.100258e-01 2.693808e+00,-1.369961e-01 -6.098152e-01 2.694267e+00,-1.373068e-01 -6.100548e-01 2.695960e+00,-1.375423e-01 -6.092520e-01 2.693361e+00,-1.373382e-01 -6.095663e-01 2.693703e+00,-1.371191e-01 -6.090052e-01 2.691622e+00
1.784066e-01 -1.550897e-01 2.777041e+00,1.784490e-01 -1.551013e-01 2.777153e+00,1.786010e-01 -1.552272e-01 2.777253e+00,1.787390e-01 -1.553862e-01 2.777533e+00,1.789605e-01 -1.554333e-01 2.778104e+00,1.790626e-01 -1.555375e-01 2.778270e+00,1.792838e-01 -1.556984e-01 2.778786e+00,1.794555e-01 -1.557458e-01 2.779555e+00,1.795962e-01 -1.556737e-01 2.779776e+00,1.813036e-01 -1.526912e-01 2.780510e+00,1.807071e-01 -1.496582e-01 2.776060e+00,1.785680e-01 -1.411662e-01 2.769002e+00,1.683648e-01 -1.276879e-01 2.755312e+00,1.657120e-01 -1.258901e-01 2.750740e+00,1.661120e-01 -1.277044e-01 2.750481e+00,1.542369e-01 -1.206974e-01 2.732159e+00,1.518758e-01 -1.192961e-01 2.728544e+00,1.497048e-01 -1.177560e-01 2.726656e+00,1.444248e-01 -1.190163e-01 2.721004e+00,1.423777e-01 -1.188383e-01 2.718910e+00,1.397351e-01 -1.173114e-01 2.716577e+00,1.399544e-01 -1.172208e-01 2.716779e+00,1.393204e-01 -1.176950e-01 2.715750e+00,1.403482e-01 -1.186465e-01 2.716160e+00,1.420727e-01 -1.189473e-01 2.718207e+00,1.482017e-01 -1.184501e-01 2.723100e+00,1.553708e-01 -1.206512e-01 2.730717e+00,1.610405e-01 -1.259712e-01 2.739044e+00,1.621987e-01 -1.367382e-01 2.745132e+00,1.604375e-01 -1.347859e-01 2.744066e+00,1.710441e-01 -1.361170e-01 2.751781e+00,1.751871e-01 -1.382321e-01 2.754874e+00,1.818181e-01 -1.429830e-01 2.760764e+00,1.840434e-01 -1.445384e-01 2.762885e+00,1.857237e-01 -1.453497e-01 2.765339e+00,1.881944e-01 -1.473073e-01 2.767625e+00,1.895846e-01 -1.485665e-01 2.768685e+00,1.908813e-01 -1.499200e-01 2.769561e+00,1.911225e-01 -1.498388e-01 2.769650e+00,1.916530e-01 -1.505108e-01 2.769516e+00,1.921344e-01 -1.513249e-01 2.769143e+00,1.924789e-01 -1.514466e-01 2.768937e+00,1.932294e-01 -1.520453e-01 2.768526e+00,1.940569e-01 -1.525909e-01 2.767664e+00,1.956902e-01 -1.549233e-01 2.767421e+00,1.958663e-01 -1.549990e-01 2.767387e+00,1.960347e-01 -1.550679e-01 2.767354e+00,1.962442e-01 -1.555107e-01 2.766559e+00
2.169502e-01 -4.094657e-01 2.791638e+00,2.169276e-01 -4.094250e-01 2.791714e+00,2.172180e-01 -4.099441e-01 2.792078e+00,2.178156e-01 -4.093179e-01 2.794446e+00,2.165078e-01 -3.829027e-01 2.823306e+00,2.160027e-01 -3.805244e-01 2.826233e+00,2.126478e-01 -3.668781e-01 2.823391e+00,2.114409e-01 -3.586447e-01 2.828397e+00,2.755646e-01 -3.471332e-01 2.736565e+00,2.976258e-01 -3.218081e-01 2.697422e+00,3.134085e-01 -2.457494e-01 2.619712e+00,3.140753e-01 -1.454061e-01 2.585264e+00,2.899120e-01 -7.827111e-02 2.558447e+00,2.718579e-01 -1.130937e-02 2.556800e+00,2.599773e-01 7.075892e-03 2.558101e+00,2.261065e-01 5.595973e-02 2.552927e+00,2.138575e-01 7.936983e-02 2.541121e+00,2.011905e-01 7.741933e-02 2.546296e+00,1.965587e-01 7.589274e-02 2.545330e+00,1.930822e-01 7.359373e-02 2.542121e+00,1.896523e-01 6.846587e-02 2.538021e+00,1.891646e-01 6.569874e-02 2.536903e+00,1.919310e-01 5.926699e-02 2.530525e+00,2.014139e-01 4.698579e-02 2.529973e+00,2.132010e-01 3.326601e-02 2.523685e+00,2.436194e-01 -1.700980e-02 2.541656e+00,2.554373e-01 -3.356119e-02 2.530990e+00,2.742987e-01 -9.802638e-02 2.540939e+00,2.835104e-01 -1.474452e-01 2.533287e+00,2.866845e-01 -1.920712e-01 2.558640e+00,3.015100e-01 -2.683662e-01 2.560485e+00,3.070550e-01 -2.831528e-01 2.567300e+00,3.050064e-01 -3.201107e-01 2.739538e+00,2.897391e-01 -3.319687e-01 2.761923e+00,2.774251e-01 -3.391339e-01 2.772821e+00,2.605678e-01 -3.482190e-01 2.781754e+00,2.562750e-01 -3.531594e-01 2.787147e+00,2.450840e-01 -3.744508e-01 2.793178e+00,2.414637e-01 -3.832652e-01 2.791327e+00,2.365113e-01 -3.949317e-01 2.791074e+00,2.352474e-01 -3.970245e-01 2.791033e+00,2.349118e-01 -3.979286e-01 2.791286e+00,2.341991e-01 -3.978582e-01 2.793117e+00,2.343665e-01 -3.973832e-01 2.794427e+00,2.345271e-01 -3.989731e-01 2.795862e+00,2.345695e-01 -3.992601e-01 2.795929e+00,2.341828e-01 -4.002131e-01 2.796044e+00,2.333427e-01 -4.017079e-01 2.795463e+00
2.171763e-01 -6.090147e-01 2.701486e+00,2.175639e-01 -6.090137e-01 2.701669e+00,2.174860e-01 -6.093088e-01 2.701467e+00,2.168313e-01 -6.075080e-01 2.700936e+00,2.169564e-01 -5.665653e-01 2.700988e+00,2.145013e-01 -5.513334e-01 2.685076e+00,2.645005e-01 -3.822289e-01 2.604694e+00,2.746450e-01 -2.202331e-01 2.623592e+00,2.715163e-01 -2.304074e-01 2.655534e+00,2.569457e-01 -1.339857e-01 2.585235e+00,2.548356e-01 -3.882643e-02 2.575461e+00,2.318193e-01 5.462244e-02 2.552068e+00,2.257752e-01 1.258907e-01 2.511214e+00,2.128647e-01 1.866174e-01 2.480310e+00,2.081657e-01 2.229467e-01 2.459558e+00,1.993643e-01 2.474383e-01 2.424757e+00,1.938391e-01 2.540050e-01 2.404816e+00,1.875217e-01 2.314079e-01 2.384966e+00,1.838001e-01 2.270627e-01 2.381126e+00,1.794902e-01 2.183009e-01 2.371940e+00,1.713287e-01 2.066556e-01 2.362648e+00,1.697882e-01 2.047182e-01 2.362328e+00,1.682807e-01 1.964774e-01 2.354964e+00,1.741996e-01 1.774993e-01 2.349612e+00,1.771299e-01 1.641783e-01 2.345190e+00,1.933538e-01 9.298667e-02 2.352158e+00,1.969339e-01 6.473528e-02 2.337236e+00,2.291445e-01 -5.070956e-02 2.441378e+00,2.429456e-01 -1.009894e-01 2.451231e+00,2.527257e-01 -1.543264e-01 2.480204e+00,2.775484e-01 -2.537241e-01 2.515732e+00,2.865793e-01 -2.798673e-01 2.529131e+00,2.423751e-01 -3.731690e-01 2.476955e+00,2.483235e-01 -4.258694e-01 2.562111e+00,2.561555e-01 -4.516889e-01 2.580099e+00,2.557777e-01 -5.212681e-01 2.643396e+00,2.525843e-01 -5.315198e-01 2.656312e+00,2.447719e-01 -5.648202e-01 2.682579e+00,2.483193e-01 -5.791711e-01 2.692523e+00,2.466836e-01 -5.958230e-01 2.704921e+00,2.493135e-01 -6.002572e-01 2.712253e+00,2.505642e-01 -6.027097e-01 2.717772e+00,2.513443e-01 -6.043897e-01 2.726153e+00,2.539822e-01 -6.061380e-01 2.737539e+00,2.562917e-01 -6.085519e-01 2.744111e+00,2.561888e-01 -6.089987e-01 2.744943e+00,2.559065e-01 -6.102821e-01 2.746941e+00,2.555438e-01 -6.116171e-01 2.745794e+00
