4.067085e-02 -6.146823e-01 2.770350e+00,4.103843e-02 -6.146553e-01 2.770296e+00,4.129522e-02 -6.144798e-01 2.770036e+00,4.131903e-02 -6.145101e-01 2.769922e+00,4.120426e-02 -6.144379e-01 2.769853e+00,4.084499e-02 -6.140483e-01 2.769434e+00,3.911619e-02 -6.138239e-01 2.768984e+00,3.770243e-02 -6.137164e-01 2.768596e+00,3.456573e-02 -6.133754e-01 2.768730e+00,3.411362e-02 -6.134229e-01 2.768732e+00,3.356412e-02 -6.134194e-01 2.768910e+00,3.256241e-02 -6.134589e-01 2.769220e+00,3.196984e-02 -6.127279e-01 2.769245e+00,3.138855e-02 -6.117499e-01 2.769645e+00,2.839774e-02 -6.008328e-01 2.772101e+00,2.979440e-02 -5.911835e-01 2.772848e+00,2.672671e-02 -5.795196e-01 2.773746e+00,2.710380e-02 -5.771134e-01 2.774162e+00,2.676009e-02 -5.777870e-01 2.774330e+00,2.777049e-02 -5.812556e-01 2.775107e+00,2.846051e-02 -5.822863e-01 2.774696e+00,2.703706e-02 -5.885016e-01 2.774098e+00,2.666186e-02 -5.942386e-01 2.773754e+00,2.565005e-02 -5.961653e-01 2.773431e+00,2.544588e-02 -5.993361e-01 2.773411e+00,2.454391e-02 -6.049176e-01 2.772902e+00,2.366974e-02 -6.116161e-01 2.771913e+00,2.272521e-02 -6.135427e-01 2.771487e+00,2.217058e-02 -6.128668e-01 2.771413e+00,2.200418e-02 -6.127483e-01 2.771212e+00,2.194987e-02 -6.127298e-01 2.771198e+00,2.306125e-02 -6.130605e-01 2.770535e+00,2.343157e-02 -6.132864e-01 2.770371e+00,2.611898e-02 -6.134570e-01 2.769749e+00,2.737539e-02 -6.132405e-01 2.769411e+00,2.963056e-02 -6.133816e-01 2.769320e+00,3.191388e-02 -6.137361e-01 2.769439e+00,3.294957e-02 -6.138798e-01 2.769945e+00,3.303416e-02 -6.139188e-01 2.769943e+00,3.297051e-02 -6.140808e-01 2.769825e+00,3.295262e-02 -6.140752e-01 2.769800e+00,3.291498e-02 -6.141137e-01 2.769772e+00,3.284281e-02 -6.140976e-01 2.769736e+00,3.259149e-02 -6.135265e-01 2.769369e+00
4.509077e-02 -3.255576e-01 2.780422e+00,4.524164e-02 -3.253549e-01 2.780667e+00,4.533973e-02 -3.253272e-01 2.781058e+00,4.526673e-02 -3.254639e-01 2.781206e+00,4.512876e-02 -3.255033e-01 2.781379e+00,4.498673e-02 -3.254598e-01 2.781483e+00,4.366949e-02 -3.250516e-01 2.781792e+00,4.326926e-02 -3.251007e-01 2.781709e+00,4.181103e-02 -3.248164e-01 2.782004e+00,4.121089e-02 -3.247768e-01 2.782100e+00,4.001468e-02 -3.242961e-01 2.782126e+00,3.897415e-02 -3.237384e-01 2.782636e+00,3.817847e-02 -3.232595e-01 2.783138e+00,3.744240e-02 -3.225004e-01 2.783185e+00,3.553871e-02 -3.146614e-01 2.784846e+00,3.615503e-02 -3.059188e-01 2.785068e+00,3.443834e-02 -2.987576e-01 2.784121e+00,3.379114e-02 -2.975974e-01 2.783327e+00,3.345259e-02 -2.951059e-01 2.782897e+00,3.366085e-02 -2.943238e-01 2.782641e+00,3.380086e-02 -2.951792e-01 2.782190e+00,3.249524e-02 -2.972632e-01 2.781639e+00,3.155496e-02 -3.061040e-01 2.780714e+00,3.081678e-02 -3.084733e-01 2.780813e+00,2.999307e-02 -3.117023e-01 2.781179e+00,2.821440e-02 -3.145066e-01 2.781626e+00,2.647731e-02 -3.184650e-01 2.781923e+00,2.659609e-02 -3.194705e-01 2.781987e+00,2.681056e-02 -3.194461e-01 2.782043e+00,2.691724e-02 -3.195506e-01 2.781913e+00,2.706555e-02 -3.197159e-01 2.781851e+00,2.857036e-02 -3.210003e-01 2.780854e+00,2.928759e-02 -3.217406e-01 2.780278e+00,3.192490e-02 -3.229065e-01 2.779315e+00,3.363074e-02 -3.231069e-01 2.778781e+00,3.478681e-02 -3.233931e-01 2.778373e+00,3.745726e-02 -3.247112e-01 2.777583e+00,3.844558e-02 -3.249925e-01 2.777665e+00,3.854384e-02 -3.250153e-01 2.777555e+00,3.868929e-02 -3.252640e-01 2.777190e+00,3.864095e-02 -3.252927e-01 2.777149e+00,3.887614e-02 -3.254601e-01 2.777074e+00,3.910001e-02 -3.255927e-01 2.777004e+00,3.912608e-02 -3.254304e-01 2.776782e+00
4.845862e-02 -4.128503e-02 2.779239e+00,4.847043e-02 -4.068179e-02 2.779896e+00,4.853719e-02 -4.099743e-02 2.781412e+00,4.827058e-02 -4.144159e-02 2.782001e+00,4.813636e-02 -4.166412e-02 2.782404e+00,4.821538e-02 -4.170470e-02 2.782689e+00,4.702034e-02 -4.085994e-02 2.783330e+00,4.703294e-02 -4.094736e-02 2.783281e+00,4.691317e-02 -4.086446e-02 2.783350e+00,4.652138e-02 -4.077447e-02 2.783424e+00,4.479795e-02 -3.958132e-02 2.782979e+00,4.414450e-02 -3.838243e-02 2.783719e+00,4.317455e-02 -3.825239e-02 2.784791e+00,4.239775e-02 -3.771514e-02 2.784431e+00,4.159017e-02 -3.261768e-02 2.785338e+00,4.180890e-02 -2.521921e-02 2.784899e+00,4.157948e-02 -2.012200e-02 2.782200e+00,3.819756e-02 -2.415805e-02 2.777206e+00,3.918134e-02 -7.712283e-03 2.775621e+00,3.895589e-02 -4.989037e-03 2.774812e+00,3.844572e-02 -8.451030e-03 2.774453e+00,3.687405e-02 -9.562633e-03 2.774445e+00,3.574257e-02 -2.308699e-02 2.773875e+00,3.540713e-02 -2.600122e-02 2.774726e+00,3.400206e-02 -2.923353e-02 2.775690e+00,3.141735e-02 -3.133978e-02 2.777104e+00,2.917257e-02 -3.292242e-02 2.778353e+00,3.024185e-02 -3.331018e-02 2.779363e+00,3.208819e-02 -3.341116e-02 2.779847e+00,3.259305e-02 -3.366969e-02 2.779683e+00,3.317382e-02 -3.402247e-02 2.779524e+00,3.464262e-02 -3.552673e-02 2.778359e+00,3.551133e-02 -3.656045e-02 2.777268e+00,3.784632e-02 -3.825095e-02 2.775995e+00,3.995258e-02 -3.875817e-02 2.775246e+00,4.040784e-02 -3.900492e-02 2.774656e+00,4.340431e-02 -4.131229e-02 2.772709e+00,4.450147e-02 -4.171191e-02 2.772537e+00,4.456637e-02 -4.163603e-02 2.772206e+00,4.489654e-02 -4.180865e-02 2.771492e+00,4.473558e-02 -4.187921e-02 2.771432e+00,4.560660e-02 -4.226702e-02 2.771279e+00,4.662288e-02 -4.276366e-02 2.771163e+00,4.669156e-02 -4.273272e-02 2.771011e+00
5.405631e-02 6.822360e-02 2.787709e+00,5.368165e-02 6.840047e-02 2.788599e+00,5.331685e-02 6.837443e-02 2.790167e+00,5.343298e-02 6.811665e-02 2.790421e+00,5.339058e-02 6.806473e-02 2.790498e+00,5.330613e-02 6.733453e-02 2.791414e+00,5.284705e-02 6.741773e-02 2.792327e+00,5.241849e-02 6.748683e-02 2.792219e+00,4.942643e-02 6.811599e-02 2.792451e+00,4.874096e-02 6.819765e-02 2.792907e+00,4.744401e-02 6.814574e-02 2.793799e+00,4.250007e-02 6.948283e-02 2.795751e+00,4.095540e-02 6.942111e-02 2.796327e+00,3.923048e-02 6.974366e-02 2.797230e+00,3.778655e-02 7.076965e-02 2.797468e+00,3.606028e-02 7.337657e-02 2.798333e+00,3.310657e-02 7.854009e-02 2.796534e+00,2.686618e-02 7.661238e-02 2.797882e+00,2.541302e-02 8.579925e-02 2.794788e+00,1.779560e-02 8.717742e-02 2.794117e+00,1.700943e-02 8.398568e-02 2.794895e+00,1.074856e-02 8.146887e-02 2.794477e+00,1.140719e-02 6.930199e-02 2.797235e+00,8.493785e-03 6.543570e-02 2.797561e+00,9.826354e-03 6.291503e-02 2.798490e+00,1.557190e-02 6.678729e-02 2.797959e+00,2.339371e-02 6.971621e-02 2.796396e+00,2.760828e-02 6.993081e-02 2.797302e+00,2.844509e-02 7.020455e-02 2.797304e+00,2.943652e-02 7.011206e-02 2.796987e+00,3.042515e-02 6.999747e-02 2.796718e+00,3.230694e-02 6.977800e-02 2.795362e+00,3.372015e-02 6.904975e-02 2.794586e+00,3.604118e-02 6.926472e-02 2.792788e+00,3.741188e-02 6.931522e-02 2.791552e+00,3.910334e-02 6.943852e-02 2.790517e+00,4.133060e-02 6.934066e-02 2.788614e+00,4.212832e-02 6.977756e-02 2.787396e+00,4.351068e-02 6.933489e-02 2.786864e+00,4.465867e-02 6.897575e-02 2.786263e+00,4.545092e-02 6.885235e-02 2.785729e+00,4.625506e-02 6.926658e-02 2.784489e+00,4.685900e-02 6.981970e-02 2.783745e+00,4.719203e-02 6.960201e-02 2.783622e+00
-1.066225e-01 -1.496128e-01 2.767256e+00,-1.075890e-01 -1.508235e-01 2.768319e+00,-1.081103e-01 -1.511530e-01 2.769338e+00,-1.085783e-01 -1.518870e-01 2.769819e+00,-1.085712e-01 -1.518729e-01 2.769842e+00,-1.086916e-01 -1.521658e-01 2.769941e+00,-1.086083e-01 -1.520796e-01 2.770138e+00,-1.086621e-01 -1.519411e-01 2.770176e+00,-1.087734e-01 -1.519003e-01 2.770473e+00,-1.088746e-01 -1.517089e-01 2.770643e+00,-1.104261e-01 -1.522682e-01 2.772386e+00,-1.114150e-01 -1.522259e-01 2.774183e+00,-1.132574e-01 -1.516376e-01 2.776807e+00,-1.132429e-01 -1.504895e-01 2.778293e+00,-1.071309e-01 -1.395807e-01 2.779651e+00,-1.052200e-01 -1.353358e-01 2.779945e+00,-1.012270e-01 -1.229466e-01 2.777550e+00,-1.018947e-01 -1.227666e-01 2.780891e+00,-1.018448e-01 -1.237014e-01 2.782261e+00,-1.019246e-01 -1.247808e-01 2.780800e+00,-1.020874e-01 -1.258783e-01 2.780236e+00,-1.019114e-01 -1.297814e-01 2.778343e+00,-1.018525e-01 -1.334629e-01 2.776716e+00,-1.028779e-01 -1.347328e-01 2.777347e+00,-1.035321e-01 -1.353291e-01 2.777729e+00,-1.039823e-01 -1.348771e-01 2.777994e+00,-1.046377e-01 -1.351632e-01 2.778388e+00,-1.078287e-01 -1.394173e-01 2.780821e+00,-1.112175e-01 -1.425398e-01 2.783287e+00,-1.119213e-01 -1.441528e-01 2.782775e+00,-1.122817e-01 -1.445035e-01 2.782752e+00,-1.113134e-01 -1.468226e-01 2.778377e+00,-1.111048e-01 -1.472103e-01 2.777649e+00,-1.107175e-01 -1.474570e-01 2.775466e+00,-1.099220e-01 -1.483211e-01 2.773029e+00,-1.100363e-01 -1.479527e-01 2.772208e+00,-1.070558e-01 -1.479051e-01 2.765619e+00,-1.065196e-01 -1.486137e-01 2.764134e+00,-1.060817e-01 -1.487397e-01 2.763077e+00,-1.058586e-01 -1.487050e-01 2.761239e+00,-1.058066e-01 -1.488264e-01 2.760499e+00,-1.059453e-01 -1.494249e-01 2.759587e+00,-1.059782e-01 -1.494154e-01 2.759574e+00,-1.060733e-01 -1.495321e-01 2.759414e+00
-1.486269e-01 -3.938597e-01 2.774794e+00,-1.484974e-01 -3.935615e-01 2.774836e+00,-1.475402e-01 -3.923981e-01 2.774939e+00,-1.472234e-01 -3.928666e-01 2.774977e+00,-1.470499e-01 -3.935519e-01 2.774780e+00,-1.474388e-01 -3.933152e-01 2.774876e+00,-1.473206e-01 -3.922815e-01 2.775640e+00,-1.475355e-01 -3.930871e-01 2.775595e+00,-1.480136e-01 -3.944927e-01 2.776364e+00,-1.475346e-01 -3.930073e-01 2.777737e+00,-1.476525e-01 -3.947059e-01 2.778809e+00,-1.475664e-01 -3.966256e-01 2.781081e+00,-1.473441e-01 -3.974698e-01 2.781653e+00,-1.472584e-01 -3.973713e-01 2.782731e+00,-1.461665e-01 -3.901658e-01 2.789726e+00,-1.464754e-01 -3.776114e-01 2.795485e+00,-1.474961e-01 -3.667330e-01 2.799891e+00,-1.464651e-01 -3.628133e-01 2.801374e+00,-1.462744e-01 -3.626592e-01 2.801966e+00,-1.455617e-01 -3.625268e-01 2.805156e+00,-1.447460e-01 -3.644396e-01 2.806319e+00,-1.432365e-01 -3.691695e-01 2.810926e+00,-1.431230e-01 -3.763575e-01 2.812643e+00,-1.431582e-01 -3.760726e-01 2.813337e+00,-1.436672e-01 -3.793532e-01 2.813605e+00,-1.444255e-01 -3.905217e-01 2.810772e+00,-1.445505e-01 -3.919946e-01 2.810378e+00,-1.449505e-01 -3.935247e-01 2.808012e+00,-1.448137e-01 -3.941646e-01 2.805844e+00,-1.449650e-01 -3.942374e-01 2.804198e+00,-1.450045e-01 -3.926401e-01 2.802639e+00,-1.448195e-01 -3.940611e-01 2.799000e+00,-1.447521e-01 -3.943928e-01 2.797658e+00,-1.445682e-01 -3.954282e-01 2.792937e+00,-1.437463e-01 -3.928888e-01 2.790241e+00,-1.432168e-01 -3.918033e-01 2.788890e+00,-1.426109e-01 -3.897539e-01 2.784787e+00,-1.438598e-01 -3.914322e-01 2.780065e+00,-1.444815e-01 -3.910512e-01 2.778425e+00,-1.454210e-01 -3.910686e-01 2.776016e+00,-1.463930e-01 -3.932397e-01 2.773166e+00,-1.485392e-01 -3.945725e-01 2.770870e+00,-1.489185e-01 -3.944236e-01 2.770520e+00,-1.494545e-01 -3.944448e-01 2.770179e+00
-1.554043e-01 -5.973075e-01 2.695618e+00,-1.552729e-01 -5.969330e-01 2.695427e+00,-1.551421e-01 -5.955160e-01 2.694856e+00,-1.536333e-01 -5.957146e-01 2.693979e+00,-1.539381e-01 -5.963660e-01 2.693740e+00,-1.521913e-01 -5.960968e-01 2.693546e+00,-1.532601e-01 -5.951150e-01 2.694548e+00,-1.544281e-01 -5.957015e-01 2.693973e+00,-1.547902e-01 -5.969541e-01 2.694308e+00,-1.547441e-01 -5.952017e-01 2.694951e+00,-1.546161e-01 -5.964031e-01 2.694627e+00,-1.550449e-01 -5.978885e-01 2.695784e+00,-1.547673e-01 -5.986521e-01 2.696141e+00,-1.546262e-01 -5.986502e-01 2.697474e+00,-1.548662e-01 -5.902459e-01 2.701362e+00,-1.542432e-01 -5.778631e-01 2.707332e+00,-1.531856e-01 -5.681924e-01 2.714635e+00,-1.524754e-01 -5.656579e-01 2.719983e+00,-1.530624e-01 -5.660949e-01 2.722383e+00,-1.528384e-01 -5.654657e-01 2.724164e+00,-1.527038e-01 -5.673501e-01 2.725346e+00,-1.532063e-01 -5.711170e-01 2.727530e+00,-1.529901e-01 -5.792821e-01 2.732110e+00,-1.551902e-01 -5.794524e-01 2.734513e+00,-1.554802e-01 -5.826092e-01 2.734409e+00,-1.573867e-01 -5.930221e-01 2.729697e+00,-1.575586e-01 -5.944479e-01 2.729192e+00,-1.600031e-01 -5.940577e-01 2.721909e+00,-1.602823e-01 -5.953001e-01 2.721471e+00,-1.602831e-01 -5.958641e-01 2.721156e+00,-1.601238e-01 -5.949976e-01 2.721621e+00,-1.600913e-01 -5.966315e-01 2.718653e+00,-1.604937e-01 -5.970512e-01 2.717682e+00,-1.597200e-01 -5.987392e-01 2.714788e+00,-1.595439e-01 -5.967517e-01 2.713919e+00,-1.597430e-01 -5.956045e-01 2.712545e+00,-1.594674e-01 -5.931942e-01 2.707452e+00,-1.594659e-01 -5.954995e-01 2.704366e+00,-1.594979e-01 -5.954698e-01 2.703620e+00,-1.600352e-01 -5.956376e-01 2.701602e+00,-1.605753e-01 -5.980606e-01 2.699501e+00,-1.614399e-01 -5.995173e-01 2.697344e+00,-1.614937e-01 -5.993483e-01 2.696857e+00,-1.613352e-01 -5.994018e-01 2.696481e+00
-1.400460e-01 -6.063808e-01 2.689054e+00,-1.399932e-01 -6.078303e-01 2.690619e+00,-1.381838e-01 -6.082125e-01 2.688618e+00,-1.383105e-01 -6.083573e-01 2.686966e+00,-1.380393e-01 -6.086978e-01 2.688344e+00,-1.380317e-01 -6.064371e-01 2.690769e+00,-1.382907e-01 -6.080617e-01 2.691743e+00,-1.382378e-01 -6.084972e-01 2.689898e+00,-1.381849e-01 -6.078720e-01 2.694731e+00,-1.378345e-01 -6.076786e-01 2.692878e+00,-1.365817e-01 -6.073684e-01 2.695096e+00,-1.367089e-01 -6.091895e-01 2.697689e+00,-1.361157e-01 -6.088217e-01 2.695939e+00,-1.362818e-01 -6.094053e-01 2.696535e+00,-1.360058e-01 -6.088027e-01 2.698301e+00,-1.361522e-01 -6.096958e-01 2.699784e+00,-1.375652e-01 -6.085934e-01 2.702563e+00,-1.385706e-01 -6.067933e-01 2.709234e+00,-1.388041e-01 -6.094759e-01 2.710783e+00,-1.386597e-01 -6.083705e-01 2.710257e+00,-1.383240e-01 -6.062903e-01 2.712164e+00,-1.399354e-01 -6.057795e-01 2.716401e+00,-1.393635e-01 -6.077538e-01 2.719357e+00,-1.425475e-01 -6.099942e-01 2.722197e+00,-1.441242e-01 -6.116661e-01 2.721738e+00,-1.406502e-01 -6.300756e-01 2.716074e+00,-1.438457e-01 -6.141083e-01 2.717866e+00,-1.433050e-01 -6.126881e-01 2.714650e+00,-1.434653e-01 -6.167085e-01 2.710806e+00,-1.449057e-01 -6.162266e-01 2.709153e+00,-1.444377e-01 -6.170613e-01 2.710642e+00,-1.447601e-01 -6.154999e-01 2.708345e+00,-1.457221e-01 -6.153561e-01 2.707220e+00,-1.428911e-01 -6.298261e-01 2.700556e+00,-1.424549e-01 -6.294752e-01 2.698038e+00,-1.421374e-01 -6.293389e-01 2.697390e+00,-1.440020e-01 -6.143656e-01 2.693665e+00,-1.456965e-01 -6.124559e-01 2.693404e+00,-1.451700e-01 -6.136003e-01 2.692277e+00,-1.461178e-01 -6.099125e-01 2.692265e+00,-1.470680e-01 -6.087404e-01 2.690128e+00,-1.478832e-01 -6.088631e-01 2.690732e+00,-1.475149e-01 -6.080399e-01 2.688916e+00,-1.474940e-01 -6.097465e-01 2.690424e+00
1.940051e-01 -1.579239e-01 2.766438e+00,1.937895e-01 -1.578093e-01 2.766863e+00,1.933732e-01 -1.574569e-01 2.767552e+00,1.930888e-01 -1.572991e-01 2.767849e+00,1.926017e-01 -1.570037e-01 2.768478e+00,1.921912e-01 -1.567796e-01 2.769068e+00,1.913258e-01 -1.561065e-01 2.769368e+00,1.911198e-01 -1.560232e-01 2.769463e+00,1.896563e-01 -1.552161e-01 2.768765e+00,1.895288e-01 -1.543282e-01 2.764401e+00,1.868105e-01 -1.540640e-01 2.762528e+00,1.825339e-01 -1.548345e-01 2.754529e+00,1.814800e-01 -1.538554e-01 2.751329e+00,1.810432e-01 -1.522722e-01 2.747736e+00,1.559436e-01 -1.260605e-01 2.724573e+00,1.539437e-01 -1.224922e-01 2.721958e+00,1.540442e-01 -1.235810e-01 2.720768e+00,1.524231e-01 -1.237411e-01 2.719761e+00,1.520986e-01 -1.235532e-01 2.719510e+00,1.509405e-01 -1.237113e-01 2.718971e+00,1.504470e-01 -1.239239e-01 2.718520e+00,1.479963e-01 -1.254273e-01 2.716343e+00,1.482494e-01 -1.261259e-01 2.716827e+00,1.482607e-01 -1.265687e-01 2.717046e+00,1.487531e-01 -1.275806e-01 2.717677e+00,1.520264e-01 -1.361682e-01 2.719720e+00,1.520815e-01 -1.456599e-01 2.719839e+00,1.537521e-01 -1.418868e-01 2.722338e+00,1.756575e-01 -1.423853e-01 2.737922e+00,1.791848e-01 -1.430897e-01 2.741531e+00,1.817399e-01 -1.458096e-01 2.744509e+00,1.827902e-01 -1.479415e-01 2.747525e+00,1.840398e-01 -1.487427e-01 2.749718e+00,1.861807e-01 -1.504524e-01 2.753217e+00,1.867583e-01 -1.506506e-01 2.753695e+00,1.879817e-01 -1.516677e-01 2.754726e+00,1.897750e-01 -1.530801e-01 2.756686e+00,1.904504e-01 -1.532663e-01 2.758191e+00,1.905846e-01 -1.534204e-01 2.758404e+00,1.907952e-01 -1.534335e-01 2.758953e+00,1.907783e-01 -1.534717e-01 2.759271e+00,1.907293e-01 -1.535895e-01 2.759883e+00,1.907192e-01 -1.537175e-01 2.760098e+00,1.907044e-01 -1.537001e-01 2.760260e+00
2.275940e-01 -3.936695e-01 2.799161e+00,2.276414e-01 -3.937643e-01 2.799236e+00,2.277636e-01 -3.938959e-01 2.799540e+00,2.280449e-01 -3.943598e-01 2.799883e+00,2.291286e-01 -3.955596e-01 2.801233e+00,2.312988e-01 -3.968604e-01 2.805197e+00,2.310542e-01 -3.843894e-01 2.811594e+00,2.302804e-01 -3.804339e-01 2.810117e+00,2.163384e-01 -3.649981e-01 2.800249e+00,2.105393e-01 -3.679317e-01 2.771209e+00,2.532836e-01 -3.571714e-01 2.715409e+00,2.774335e-01 -2.979792e-01 2.607929e+00,2.726163e-01 -2.287090e-01 2.555149e+00,2.624809e-01 -1.820224e-01 2.534770e+00,2.302076e-01 -8.124392e-02 2.511330e+00,2.011702e-01 -2.046034e-02 2.502131e+00,1.818069e-01 8.945727e-03 2.510252e+00,1.581007e-01 3.927897e-02 2.516171e+00,1.334727e-01 6.899161e-02 2.483697e+00,1.491745e-01 2.194414e-02 2.542563e+00,1.489180e-01 2.242260e-02 2.536928e+00,1.512112e-01 1.814665e-02 2.522800e+00,1.683916e-01 -2.069682e-03 2.506825e+00,1.841801e-01 -2.248529e-02 2.499137e+00,1.859391e-01 -3.103870e-02 2.479264e+00,2.286557e-01 -9.637358e-02 2.487947e+00,2.546004e-01 -1.438777e-01 2.505921e+00,2.745995e-01 -2.256169e-01 2.527305e+00,3.209682e-01 -2.848041e-01 2.649570e+00,3.092912e-01 -3.111165e-01 2.687468e+00,2.975894e-01 -3.249244e-01 2.695314e+00,2.583917e-01 -3.477946e-01 2.760288e+00,2.535306e-01 -3.503217e-01 2.765590e+00,2.456243e-01 -3.701775e-01 2.780539e+00,2.415376e-01 -3.767833e-01 2.788047e+00,2.406213e-01 -3.943383e-01 2.793260e+00,2.382668e-01 -4.023318e-01 2.800088e+00,2.330103e-01 -4.022058e-01 2.806686e+00,2.317146e-01 -4.044522e-01 2.808610e+00,2.308647e-01 -4.047902e-01 2.809514e+00,2.304779e-01 -4.045116e-01 2.809599e+00,2.294807e-01 -4.042570e-01 2.809373e+00,2.287833e-01 -4.047619e-01 2.808648e+00,2.280513e-01 -4.049786e-01 2.807703e+00
2.444938e-01 -6.033874e-01 2.746038e+00,2.445466e-01 -6.034572e-01 2.745991e+00,2.446902e-01 -6.034714e-01 2.745722e+00,2.445081e-01 -6.037803e-01 2.745127e+00,2.443425e-01 -6.044495e-01 2.743558e+00,2.454341e-01 -5.951704e-01 2.713339e+00,2.361875e-01 -5.495607e-01 2.663590e+00,2.407205e-01 -4.860017e-01 2.612678e+00,2.434877e-01 -3.443878e-01 2.577240e+00,2.531889e-01 -2.486088e-01 2.585613e+00,2.528228e-01 -2.301535e-01 2.630968e+00,2.308454e-01 -8.537591e-02 2.589902e+00,1.927989e-01 -2.867970e-02 2.575495e+00,1.733549e-01 1.204634e-02 2.564742e+00,1.755557e-01 2.760262e-02 2.484868e+00,1.086926e-01 1.679468e-01 2.436781e+00,8.692797e-02 1.925846e-01 2.379522e+00,8.075044e-02 1.880093e-01 2.364646e+00,8.741676e-02 1.573348e-01 2.377772e+00,7.568533e-02 1.582615e-01 2.352571e+00,7.442109e-02 1.525951e-01 2.353114e+00,7.855073e-02 1.283122e-01 2.341311e+00,1.113366e-01 6.437305e-02 2.392844e+00,7.909531e-02 9.240099e-02 2.338320e+00,7.545745e-02 8.113992e-02 2.320194e+00,1.606397e-01 -5.586107e-02 2.407518e+00,1.794044e-01 -1.043388e-01 2.419125e+00,2.191166e-01 -2.073757e-01 2.460328e+00,2.049878e-01 -2.948871e-01 2.457036e+00,2.254766e-01 -3.356967e-01 2.479800e+00,2.193187e-01 -3.934351e-01 2.496047e+00,2.266474e-01 -5.032518e-01 2.604347e+00,2.312346e-01 -5.191342e-01 2.623508e+00,2.351089e-01 -5.629427e-01 2.675303e+00,2.408596e-01 -5.786476e-01 2.703770e+00,2.438361e-01 -6.010348e-01 2.724454e+00,2.412385e-01 -6.154360e-01 2.764640e+00,2.112891e-01 -6.092968e-01 2.743321e+00,1.869119e-01 -5.999885e-01 2.716929e+00,1.862629e-01 -5.980186e-01 2.715009e+00,2.068957e-01 -6.083133e-01 2.735147e+00,1.929098e-01 -6.024693e-01 2.724042e+00,1.693841e-01 -5.794699e-01 2.687415e+00,2.441413e-01 -6.148090e-01 2.755001e+00
