5.330963e-02 -5.650037e-01 2.769895e+00,5.341584e-02 -5.655603e-01 2.769857e+00,5.366360e-02 -5.656895e-01 2.770112e+00,5.336340e-02 -5.655244e-01 2.769920e+00,5.161750e-02 -5.655198e-01 2.769317e+00,4.941364e-02 -5.657833e-01 2.768969e+00,4.763882e-02 -5.649908e-01 2.768401e+00,4.687255e-02 -5.645463e-01 2.768080e+00,4.569595e-02 -5.642533e-01 2.767294e+00,4.459501e-02 -5.648742e-01 2.767260e+00,4.397706e-02 -5.650426e-01 2.767419e+00,4.381838e-02 -5.650760e-01 2.767467e+00,4.325886e-02 -5.669508e-01 2.767826e+00,4.217311e-02 -5.690416e-01 2.768241e+00,4.179267e-02 -5.695927e-01 2.768511e+00,4.174889e-02 -5.697984e-01 2.768787e+00,4.158031e-02 -5.701132e-01 2.769039e+00,4.112638e-02 -5.710644e-01 2.769424e+00,4.071864e-02 -5.711190e-01 2.769606e+00,3.968076e-02 -5.727426e-01 2.770139e+00,3.966710e-02 -5.728967e-01 2.770206e+00,3.857396e-02 -5.730556e-01 2.770505e+00,3.811935e-02 -5.733096e-01 2.770471e+00,3.799245e-02 -5.735731e-01 2.770537e+00,3.761376e-02 -5.749912e-01 2.770345e+00,3.749041e-02 -5.767636e-01 2.770108e+00,3.840212e-02 -5.687243e-01 2.770366e+00,3.837704e-02 -5.666268e-01 2.770350e+00,3.831056e-02 -5.665405e-01 2.770389e+00,3.729636e-02 -5.649937e-01 2.770539e+00,3.595239e-02 -5.640552e-01 2.770346e+00,3.497979e-02 -5.638785e-01 2.770449e+00,3.492188e-02 -5.638888e-01 2.770637e+00,3.511135e-02 -5.639561e-01 2.770729e+00,3.672033e-02 -5.643731e-01 2.771797e+00,3.931390e-02 -5.653775e-01 2.774105e+00,4.047929e-02 -5.656650e-01 2.775065e+00,4.138443e-02 -5.656535e-01 2.775961e+00,4.222214e-02 -5.657271e-01 2.776746e+00,4.267898e-02 -5.656306e-01 2.777192e+00,4.412707e-02 -5.657000e-01 2.778309e+00,4.529222e-02 -5.655131e-01 2.778933e+00
5.380039e-02 -2.734950e-01 2.789423e+00,5.380300e-02 -2.736997e-01 2.789227e+00,5.380598e-02 -2.736489e-01 2.789109e+00,5.371992e-02 -2.734885e-01 2.788733e+00,5.312973e-02 -2.732728e-01 2.787846e+00,5.248303e-02 -2.731484e-01 2.787253e+00,5.205962e-02 -2.728079e-01 2.786894e+00,5.179154e-02 -2.725575e-01 2.786624e+00,5.109762e-02 -2.721199e-01 2.786075e+00,5.053401e-02 -2.723581e-01 2.786241e+00,5.008870e-02 -2.726225e-01 2.786876e+00,4.989246e-02 -2.727112e-01 2.787267e+00,4.897032e-02 -2.741802e-01 2.787895e+00,4.566335e-02 -2.769131e-01 2.787363e+00,4.362460e-02 -2.789668e-01 2.786762e+00,4.318732e-02 -2.790777e-01 2.786604e+00,4.204256e-02 -2.801935e-01 2.786744e+00,4.124903e-02 -2.805398e-01 2.786418e+00,3.949638e-02 -2.819617e-01 2.786503e+00,3.750506e-02 -2.844143e-01 2.786017e+00,3.720671e-02 -2.856274e-01 2.785754e+00,3.606250e-02 -2.871775e-01 2.785279e+00,3.570961e-02 -2.883264e-01 2.784808e+00,3.585970e-02 -2.869830e-01 2.784059e+00,3.591588e-02 -2.851573e-01 2.783783e+00,3.598211e-02 -2.851853e-01 2.784175e+00,3.999651e-02 -2.773781e-01 2.792302e+00,4.049013e-02 -2.757306e-01 2.793417e+00,4.057278e-02 -2.752413e-01 2.794031e+00,4.059717e-02 -2.741641e-01 2.794448e+00,4.035259e-02 -2.735806e-01 2.794349e+00,4.032245e-02 -2.732544e-01 2.794097e+00,4.039111e-02 -2.731812e-01 2.794118e+00,4.076310e-02 -2.729858e-01 2.793678e+00,4.139839e-02 -2.729962e-01 2.793493e+00,4.257142e-02 -2.732468e-01 2.793621e+00,4.319903e-02 -2.732063e-01 2.793991e+00,4.387464e-02 -2.731155e-01 2.794399e+00,4.452187e-02 -2.730871e-01 2.794914e+00,4.481996e-02 -2.729237e-01 2.795120e+00,4.594240e-02 -2.730322e-01 2.796344e+00,4.684534e-02 -2.728890e-01 2.797083e+00
5.402196e-02 1.270477e-02 2.794839e+00,5.395016e-02 1.269223e-02 2.794537e+00,5.372414e-02 1.291995e-02 2.793978e+00,5.388410e-02 1.311600e-02 2.793444e+00,5.409315e-02 1.361987e-02 2.792244e+00,5.429229e-02 1.405021e-02 2.791470e+00,5.447648e-02 1.421938e-02 2.791280e+00,5.458320e-02 1.434115e-02 2.791134e+00,5.452609e-02 1.476642e-02 2.790955e+00,5.442391e-02 1.472191e-02 2.791357e+00,5.445241e-02 1.422638e-02 2.793191e+00,5.445136e-02 1.406553e-02 2.794351e+00,5.339540e-02 1.304171e-02 2.795206e+00,4.690997e-02 9.598901e-03 2.792913e+00,4.300826e-02 5.691029e-03 2.790687e+00,4.199346e-02 5.842259e-03 2.789826e+00,3.993216e-02 3.793458e-03 2.789935e+00,3.906755e-02 4.144737e-03 2.789062e+00,3.590621e-02 3.420776e-04 2.789138e+00,3.302469e-02 -2.746920e-03 2.787636e+00,3.272190e-02 -5.261624e-03 2.786905e+00,3.201155e-02 -8.208811e-03 2.785773e+00,3.232917e-02 -1.036105e-02 2.784851e+00,3.419531e-02 -1.165813e-03 2.781185e+00,3.493472e-02 6.601313e-03 2.782409e+00,3.523905e-02 6.992102e-03 2.785225e+00,4.323311e-02 1.142520e-02 2.804374e+00,4.381459e-02 1.202854e-02 2.805878e+00,4.400693e-02 1.260892e-02 2.806895e+00,4.439120e-02 1.310137e-02 2.807232e+00,4.461110e-02 1.343039e-02 2.806988e+00,4.559090e-02 1.397819e-02 2.805678e+00,4.595580e-02 1.412648e-02 2.805388e+00,4.670254e-02 1.450335e-02 2.803289e+00,4.712940e-02 1.452714e-02 2.801830e+00,4.760250e-02 1.434862e-02 2.800826e+00,4.768408e-02 1.442067e-02 2.800824e+00,4.787898e-02 1.447923e-02 2.800821e+00,4.801596e-02 1.451019e-02 2.800917e+00,4.808710e-02 1.465650e-02 2.800909e+00,4.851605e-02 1.449892e-02 2.801872e+00,4.897830e-02 1.453368e-02 2.802563e+00
5.569520e-02 1.552824e-01 2.799773e+00,5.573105e-02 1.552351e-01 2.799277e+00,5.575964e-02 1.552146e-01 2.798674e+00,5.563597e-02 1.552568e-01 2.798190e+00,5.579699e-02 1.552410e-01 2.797745e+00,5.618317e-02 1.551470e-01 2.797402e+00,5.657760e-02 1.551087e-01 2.797154e+00,5.679830e-02 1.551526e-01 2.796979e+00,5.694281e-02 1.553191e-01 2.796519e+00,5.662416e-02 1.555060e-01 2.796773e+00,5.624956e-02 1.551975e-01 2.798067e+00,5.568771e-02 1.553357e-01 2.799041e+00,5.264430e-02 1.583734e-01 2.802258e+00,5.134407e-02 1.663208e-01 2.803940e+00,5.174677e-02 1.669389e-01 2.804794e+00,5.180674e-02 1.674981e-01 2.804975e+00,5.140951e-02 1.701144e-01 2.804427e+00,5.034921e-02 1.723980e-01 2.805237e+00,5.021463e-02 1.684429e-01 2.805968e+00,4.998339e-02 1.654061e-01 2.806126e+00,4.969644e-02 1.631959e-01 2.807170e+00,4.919549e-02 1.605533e-01 2.808079e+00,4.890322e-02 1.586722e-01 2.808592e+00,4.977243e-02 1.686756e-01 2.808283e+00,4.992992e-02 1.649811e-01 2.811019e+00,4.901106e-02 1.617174e-01 2.813020e+00,4.756185e-02 1.593778e-01 2.816914e+00,4.638815e-02 1.588359e-01 2.817458e+00,4.542305e-02 1.583214e-01 2.818035e+00,4.376013e-02 1.578332e-01 2.818219e+00,4.325266e-02 1.577849e-01 2.818022e+00,4.245657e-02 1.575256e-01 2.817291e+00,4.197006e-02 1.572172e-01 2.816461e+00,4.170912e-02 1.568463e-01 2.814246e+00,4.200104e-02 1.566997e-01 2.813017e+00,4.331350e-02 1.564208e-01 2.810611e+00,4.400844e-02 1.560743e-01 2.809881e+00,4.516191e-02 1.558431e-01 2.809175e+00,4.662950e-02 1.552809e-01 2.808142e+00,4.689865e-02 1.551753e-01 2.807925e+00,4.743950e-02 1.547192e-01 2.807786e+00,4.761818e-02 1.545378e-01 2.807855e+00
-1.014335e-01 -9.824167e-02 2.776512e+00,-1.013026e-01 -9.822352e-02 2.776041e+00,-1.013411e-01 -9.813700e-02 2.775913e+00,-1.013158e-01 -9.807222e-02 2.775559e+00,-1.012865e-01 -9.796766e-02 2.774832e+00,-1.010033e-01 -9.738909e-02 2.773375e+00,-1.007506e-01 -9.739500e-02 2.772720e+00,-1.005970e-01 -9.740705e-02 2.772509e+00,-1.002111e-01 -9.726901e-02 2.771873e+00,-1.000436e-01 -9.724263e-02 2.772065e+00,-1.003420e-01 -9.716590e-02 2.773226e+00,-1.004279e-01 -9.723527e-02 2.773623e+00,-9.996901e-02 -9.780478e-02 2.775031e+00,-9.990361e-02 -9.836233e-02 2.776545e+00,-1.026587e-01 -9.646638e-02 2.785732e+00,-1.038193e-01 -9.587205e-02 2.787826e+00,-1.035981e-01 -9.549093e-02 2.788515e+00,-1.046470e-01 -9.495328e-02 2.790655e+00,-1.052244e-01 -9.405937e-02 2.792331e+00,-1.055580e-01 -9.361930e-02 2.792792e+00,-1.054894e-01 -9.413811e-02 2.792836e+00,-1.058993e-01 -9.368584e-02 2.793436e+00,-1.063557e-01 -9.373544e-02 2.794182e+00,-1.067547e-01 -9.382156e-02 2.794273e+00,-1.072283e-01 -9.382343e-02 2.794593e+00,-1.072364e-01 -9.398678e-02 2.794626e+00,-1.050216e-01 -9.628135e-02 2.794133e+00,-1.061950e-01 -9.706955e-02 2.795495e+00,-1.084322e-01 -9.717363e-02 2.797910e+00,-1.102776e-01 -9.754900e-02 2.799717e+00,-1.105037e-01 -9.765027e-02 2.800000e+00,-1.102529e-01 -9.798113e-02 2.799693e+00,-1.100715e-01 -9.786294e-02 2.799498e+00,-1.080678e-01 -9.823514e-02 2.796720e+00,-1.076749e-01 -9.804223e-02 2.796347e+00,-1.063790e-01 -9.778786e-02 2.793860e+00,-1.059689e-01 -9.827593e-02 2.792864e+00,-1.057506e-01 -9.845658e-02 2.792208e+00,-1.053185e-01 -9.881420e-02 2.790513e+00,-1.050937e-01 -9.877796e-02 2.789953e+00,-1.049123e-01 -9.884647e-02 2.789759e+00,-1.047829e-01 -9.885813e-02 2.789884e+00
-1.373053e-01 -3.288627e-01 2.776553e+00,-1.373277e-01 -3.287072e-01 2.776126e+00,-1.372982e-01 -3.286591e-01 2.776120e+00,-1.372645e-01 -3.286391e-01 2.776025e+00,-1.373100e-01 -3.285117e-01 2.775835e+00,-1.374633e-01 -3.278313e-01 2.775749e+00,-1.375442e-01 -3.277955e-01 2.775759e+00,-1.376156e-01 -3.275388e-01 2.775775e+00,-1.376884e-01 -3.273622e-01 2.775926e+00,-1.379057e-01 -3.273775e-01 2.776629e+00,-1.380465e-01 -3.273281e-01 2.776877e+00,-1.383190e-01 -3.270182e-01 2.777181e+00,-1.391583e-01 -3.249056e-01 2.777729e+00,-1.392199e-01 -3.245993e-01 2.777913e+00,-1.389453e-01 -3.249624e-01 2.777916e+00,-1.384610e-01 -3.253363e-01 2.778406e+00,-1.377267e-01 -3.259081e-01 2.779260e+00,-1.367065e-01 -3.273757e-01 2.780847e+00,-1.365855e-01 -3.279237e-01 2.781908e+00,-1.368078e-01 -3.288067e-01 2.783019e+00,-1.372740e-01 -3.294810e-01 2.784114e+00,-1.381446e-01 -3.287856e-01 2.785191e+00,-1.382470e-01 -3.287700e-01 2.785217e+00,-1.384251e-01 -3.288420e-01 2.785249e+00,-1.383542e-01 -3.294939e-01 2.785095e+00,-1.386039e-01 -3.294545e-01 2.785142e+00,-1.389022e-01 -3.291136e-01 2.786353e+00,-1.388641e-01 -3.289793e-01 2.787401e+00,-1.386857e-01 -3.289708e-01 2.788729e+00,-1.385954e-01 -3.294626e-01 2.793189e+00,-1.381047e-01 -3.289790e-01 2.795345e+00,-1.381572e-01 -3.293785e-01 2.798179e+00,-1.381544e-01 -3.289283e-01 2.799269e+00,-1.380873e-01 -3.289307e-01 2.799694e+00,-1.379567e-01 -3.286081e-01 2.800057e+00,-1.380533e-01 -3.278183e-01 2.800133e+00,-1.381559e-01 -3.278533e-01 2.799695e+00,-1.383113e-01 -3.279898e-01 2.798918e+00,-1.385487e-01 -3.279004e-01 2.796056e+00,-1.386730e-01 -3.278425e-01 2.795226e+00,-1.386660e-01 -3.278405e-01 2.793262e+00,-1.385715e-01 -3.282781e-01 2.791641e+00
-1.398373e-01 -5.191479e-01 2.703253e+00,-1.397547e-01 -5.192255e-01 2.703539e+00,-1.399751e-01 -5.194247e-01 2.704320e+00,-1.399560e-01 -5.192761e-01 2.703821e+00,-1.392743e-01 -5.193965e-01 2.704377e+00,-1.397263e-01 -5.190092e-01 2.705235e+00,-1.404545e-01 -5.191607e-01 2.705887e+00,-1.414941e-01 -5.189179e-01 2.706011e+00,-1.422471e-01 -5.188338e-01 2.706519e+00,-1.424150e-01 -5.190164e-01 2.707774e+00,-1.423247e-01 -5.189143e-01 2.707826e+00,-1.423374e-01 -5.185652e-01 2.707974e+00,-1.412934e-01 -5.161847e-01 2.707500e+00,-1.408090e-01 -5.157631e-01 2.707283e+00,-1.394922e-01 -5.156469e-01 2.705739e+00,-1.388560e-01 -5.156567e-01 2.705101e+00,-1.385671e-01 -5.158522e-01 2.704827e+00,-1.382955e-01 -5.169839e-01 2.705466e+00,-1.385046e-01 -5.177427e-01 2.707173e+00,-1.389452e-01 -5.186054e-01 2.708243e+00,-1.395385e-01 -5.194395e-01 2.709833e+00,-1.400611e-01 -5.187121e-01 2.710792e+00,-1.405732e-01 -5.188701e-01 2.711359e+00,-1.405953e-01 -5.189613e-01 2.711445e+00,-1.418283e-01 -5.195468e-01 2.711167e+00,-1.416092e-01 -5.191731e-01 2.710179e+00,-1.408348e-01 -5.180308e-01 2.708997e+00,-1.408738e-01 -5.175389e-01 2.709032e+00,-1.411433e-01 -5.170518e-01 2.709048e+00,-1.437822e-01 -5.176729e-01 2.714045e+00,-1.448999e-01 -5.175579e-01 2.717384e+00,-1.492901e-01 -5.194758e-01 2.725353e+00,-1.493332e-01 -5.192477e-01 2.727123e+00,-1.499638e-01 -5.199758e-01 2.730013e+00,-1.503065e-01 -5.199031e-01 2.731303e+00,-1.503378e-01 -5.192365e-01 2.731766e+00,-1.502297e-01 -5.192832e-01 2.731320e+00,-1.500508e-01 -5.196095e-01 2.731113e+00,-1.491599e-01 -5.196711e-01 2.728530e+00,-1.488123e-01 -5.191044e-01 2.725900e+00,-1.470901e-01 -5.184841e-01 2.721653e+00,-1.440821e-01 -5.186074e-01 2.718697e+00
-1.242083e-01 -5.528194e-01 2.696719e+00,-1.252535e-01 -5.544201e-01 2.696843e+00,-1.215255e-01 -5.391869e-01 2.699286e+00,-1.289741e-01 -5.346718e-01 2.699775e+00,-1.268864e-01 -5.529758e-01 2.696645e+00,-1.276722e-01 -5.507227e-01 2.700148e+00,-1.293483e-01 -5.510816e-01 2.702630e+00,-1.294473e-01 -5.512966e-01 2.699673e+00,-1.295871e-01 -5.492958e-01 2.699736e+00,-1.283585e-01 -5.428224e-01 2.703677e+00,-1.299683e-01 -5.410976e-01 2.704435e+00,-1.291362e-01 -5.407681e-01 2.703209e+00,-1.286616e-01 -5.376405e-01 2.698421e+00,-1.251834e-01 -5.468294e-01 2.695542e+00,-1.229076e-01 -5.450554e-01 2.693559e+00,-1.198721e-01 -5.614884e-01 2.692155e+00,-1.192122e-01 -5.620066e-01 2.692193e+00,-1.163917e-01 -5.648609e-01 2.698483e+00,-1.184312e-01 -5.660409e-01 2.701334e+00,-1.197792e-01 -5.681372e-01 2.702865e+00,-1.199170e-01 -5.669603e-01 2.701898e+00,-1.213551e-01 -5.662347e-01 2.702529e+00,-1.317746e-01 -5.487559e-01 2.706208e+00,-1.219976e-01 -5.649068e-01 2.700375e+00,-1.332870e-01 -5.471961e-01 2.698229e+00,-1.311271e-01 -5.490239e-01 2.695631e+00,-1.274225e-01 -5.505013e-01 2.695019e+00,-1.270809e-01 -5.499731e-01 2.697304e+00,-1.289482e-01 -5.500641e-01 2.697447e+00,-1.321856e-01 -5.515642e-01 2.708923e+00,-1.331129e-01 -5.522184e-01 2.712525e+00,-1.397434e-01 -5.507889e-01 2.723097e+00,-1.417113e-01 -5.556217e-01 2.726723e+00,-1.403756e-01 -5.557753e-01 2.727662e+00,-1.401830e-01 -5.547084e-01 2.727724e+00,-1.394964e-01 -5.528681e-01 2.723069e+00,-1.399693e-01 -5.496646e-01 2.721328e+00,-1.396888e-01 -5.499570e-01 2.720525e+00,-1.387063e-01 -5.484918e-01 2.713943e+00,-1.386682e-01 -5.502476e-01 2.710736e+00,-1.332754e-01 -5.481835e-01 2.707040e+00,-1.284403e-01 -5.504907e-01 2.707957e+00
2.001160e-01 -9.897274e-02 2.768270e+00,1.998602e-01 -9.917025e-02 2.767401e+00,1.994804e-01 -9.915581e-02 2.766985e+00,1.992839e-01 -9.892713e-02 2.766891e+00,1.990584e-01 -9.895374e-02 2.767241e+00,1.988359e-01 -9.798477e-02 2.769066e+00,1.986136e-01 -9.646023e-02 2.770362e+00,1.988567e-01 -9.579681e-02 2.771546e+00,1.970643e-01 -9.337463e-02 2.770787e+00,1.904311e-01 -9.365474e-02 2.765222e+00,1.866860e-01 -9.603032e-02 2.761441e+00,1.817753e-01 -9.719256e-02 2.757421e+00,1.732033e-01 -1.010660e-01 2.746391e+00,1.626574e-01 -1.078971e-01 2.741023e+00,1.613038e-01 -1.076152e-01 2.739682e+00,1.607388e-01 -1.070458e-01 2.739186e+00,1.589546e-01 -1.073137e-01 2.737919e+00,1.559973e-01 -1.084452e-01 2.735306e+00,1.555655e-01 -1.090501e-01 2.734743e+00,1.549509e-01 -1.100372e-01 2.733690e+00,1.548162e-01 -1.102547e-01 2.733649e+00,1.548366e-01 -1.103310e-01 2.733532e+00,1.548409e-01 -1.103687e-01 2.733547e+00,1.547932e-01 -1.103948e-01 2.733492e+00,1.541836e-01 -1.107141e-01 2.733172e+00,1.533124e-01 -1.154163e-01 2.731934e+00,1.589677e-01 -4.858549e-02 2.753364e+00,1.598736e-01 -4.894114e-02 2.753609e+00,1.722409e-01 -7.398042e-02 2.749618e+00,1.742342e-01 -7.681772e-02 2.749821e+00,1.743615e-01 -7.606602e-02 2.750333e+00,1.832528e-01 -8.654953e-02 2.752602e+00,1.851467e-01 -8.824559e-02 2.753386e+00,1.872398e-01 -9.068034e-02 2.754580e+00,1.883548e-01 -9.203546e-02 2.756161e+00,1.905503e-01 -9.449910e-02 2.760005e+00,1.919610e-01 -9.561933e-02 2.762358e+00,1.936428e-01 -9.670757e-02 2.765378e+00,1.956696e-01 -9.691305e-02 2.769124e+00,1.960103e-01 -9.729066e-02 2.770608e+00,1.964454e-01 -9.768734e-02 2.773492e+00,1.963040e-01 -9.792212e-02 2.774785e+00
2.338625e-01 -3.426854e-01 2.792994e+00,2.338346e-01 -3.426880e-01 2.792944e+00,2.338457e-01 -3.422626e-01 2.793449e+00,2.339433e-01 -3.414606e-01 2.794859e+00,2.422729e-01 -3.233742e-01 2.817505e+00,2.483747e-01 -2.938271e-01 2.833395e+00,2.492119e-01 -2.753310e-01 2.829607e+00,2.513792e-01 -2.765830e-01 2.824868e+00,2.618813e-01 -2.825823e-01 2.730326e+00,2.643554e-01 -2.644274e-01 2.671729e+00,2.526037e-01 -2.460816e-01 2.628269e+00,2.492356e-01 -2.556995e-01 2.636819e+00,1.798008e-01 -8.204261e-02 2.510529e+00,1.742120e-01 -6.375749e-02 2.503075e+00,1.552299e-01 -2.001952e-02 2.542364e+00,1.496958e-01 -1.324810e-02 2.539083e+00,1.458658e-01 -9.050281e-03 2.530648e+00,1.263456e-01 -1.623173e-03 2.507560e+00,1.470934e-01 -7.084425e-03 2.544976e+00,1.469507e-01 -1.094990e-02 2.542288e+00,1.467951e-01 -1.355093e-02 2.540957e+00,1.493658e-01 -2.141373e-02 2.536821e+00,1.513969e-01 -2.943774e-02 2.533184e+00,1.705745e-01 -2.774413e-02 2.503846e+00,1.741913e-01 -6.125277e-02 2.483642e+00,1.849935e-01 -8.261458e-02 2.459080e+00,2.276305e-01 -1.573701e-01 2.497863e+00,2.272653e-01 -1.934350e-01 2.516993e+00,2.789436e-01 -2.158319e-01 2.638130e+00,2.745736e-01 -2.450409e-01 2.686198e+00,2.729861e-01 -2.579453e-01 2.715474e+00,2.596070e-01 -3.047870e-01 2.746647e+00,2.538648e-01 -3.182914e-01 2.760138e+00,2.392032e-01 -3.335117e-01 2.778790e+00,2.356837e-01 -3.413230e-01 2.786824e+00,2.307516e-01 -3.391677e-01 2.797371e+00,2.313411e-01 -3.394888e-01 2.798733e+00,2.326513e-01 -3.403386e-01 2.801253e+00,2.337140e-01 -3.404490e-01 2.803151e+00,2.337664e-01 -3.405517e-01 2.803267e+00,2.333074e-01 -3.410827e-01 2.804327e+00,2.332376e-01 -3.418187e-01 2.805475e+00
2.397381e-01 -5.358654e-01 2.730028e+00,2.398737e-01 -5.358760e-01 2.730030e+00,2.406974e-01 -5.354806e-01 2.730757e+00,2.410996e-01 -5.340400e-01 2.729851e+00,2.557439e-01 -4.879365e-01 2.693272e+00,2.634018e-01 -3.709936e-01 2.638404e+00,2.600189e-01 -2.961985e-01 2.619850e+00,2.541187e-01 -2.492703e-01 2.615398e+00,2.491409e-01 -1.944224e-01 2.655014e+00,2.387169e-01 -1.531484e-01 2.626578e+00,1.995576e-01 -5.209888e-02 2.590887e+00,1.952423e-01 -7.049026e-02 2.563591e+00,9.336393e-02 8.275958e-02 2.420515e+00,7.889438e-02 6.646175e-02 2.370927e+00,9.402977e-02 2.765071e-02 2.346253e+00,8.050453e-02 3.684039e-02 2.326126e+00,7.835600e-02 3.852782e-02 2.336680e+00,4.854957e-02 5.079316e-02 2.318986e+00,5.708403e-02 4.003716e-02 2.344625e+00,5.653813e-02 3.317506e-02 2.345244e+00,5.853974e-02 2.935380e-02 2.348906e+00,6.148158e-02 2.444323e-02 2.347163e+00,6.477130e-02 2.073460e-02 2.343755e+00,7.729711e-02 8.711923e-03 2.318592e+00,9.267272e-02 -1.332259e-03 2.298950e+00,1.372186e-01 -6.044357e-02 2.366472e+00,1.926860e-01 -1.438340e-01 2.406579e+00,2.110327e-01 -1.893842e-01 2.421037e+00,2.360976e-01 -2.208364e-01 2.431362e+00,2.804477e-01 -3.444651e-01 2.501503e+00,2.891416e-01 -3.903788e-01 2.555102e+00,2.849358e-01 -4.779421e-01 2.638345e+00,2.760890e-01 -5.067738e-01 2.685490e+00,2.530371e-01 -5.306033e-01 2.736266e+00,2.500252e-01 -5.381250e-01 2.742931e+00,2.424727e-01 -5.363805e-01 2.754827e+00,2.413328e-01 -5.368270e-01 2.756345e+00,2.458210e-01 -5.383583e-01 2.765230e+00,2.407108e-01 -5.377554e-01 2.759694e+00,2.407014e-01 -5.376450e-01 2.758503e+00,2.403951e-01 -5.377526e-01 2.757181e+00,2.402597e-01 -5.379945e-01 2.755698e+00
