4.628817e-02 -6.153275e-01 2.762760e+00,4.611839e-02 -6.151901e-01 2.762812e+00,4.531144e-02 -6.150491e-01 2.763124e+00,4.482578e-02 -6.151466e-01 2.763282e+00,4.363894e-02 -6.147243e-01 2.763067e+00,4.064861e-02 -6.142548e-01 2.763597e+00,3.934785e-02 -6.147761e-01 2.763797e+00,3.686676e-02 -6.129212e-01 2.764047e+00,3.580519e-02 -6.129888e-01 2.763973e+00,3.435026e-02 -6.130014e-01 2.763740e+00,3.113731e-02 -6.134395e-01 2.763506e+00,2.883137e-02 -6.121662e-01 2.763631e+00,2.691326e-02 -6.123453e-01 2.763779e+00,2.672110e-02 -6.122940e-01 2.763772e+00,2.667026e-02 -6.121004e-01 2.763998e+00,2.421152e-02 -6.097972e-01 2.764685e+00,2.355597e-02 -6.080962e-01 2.765065e+00,2.339454e-02 -6.047342e-01 2.766219e+00,2.517325e-02 -6.001409e-01 2.767613e+00,2.593369e-02 -5.963150e-01 2.769219e+00,2.918521e-02 -5.939094e-01 2.769376e+00,2.932789e-02 -5.939031e-01 2.769503e+00,2.988527e-02 -5.892927e-01 2.768874e+00,2.982923e-02 -5.869278e-01 2.768430e+00,2.839309e-02 -5.843610e-01 2.767668e+00,2.732881e-02 -5.852074e-01 2.767019e+00,2.756134e-02 -5.868655e-01 2.766531e+00,2.667229e-02 -5.917980e-01 2.765954e+00,2.467480e-02 -5.948043e-01 2.765984e+00,2.111731e-02 -6.063640e-01 2.764924e+00,1.781482e-02 -6.150233e-01 2.765141e+00,1.805723e-02 -6.130131e-01 2.764442e+00,1.850438e-02 -6.120121e-01 2.763628e+00,1.853749e-02 -6.120106e-01 2.763595e+00,2.077405e-02 -6.104347e-01 2.762531e+00,2.212253e-02 -6.113409e-01 2.761826e+00,2.434289e-02 -6.117569e-01 2.760956e+00,2.602161e-02 -6.124289e-01 2.760404e+00,2.613077e-02 -6.124898e-01 2.760379e+00,2.892641e-02 -6.125987e-01 2.760038e+00,3.095026e-02 -6.127806e-01 2.759995e+00,3.217249e-02 -6.130608e-01 2.759639e+00,3.727834e-02 -6.142526e-01 2.760470e+00,3.768534e-02 -6.141946e-01 2.760602e+00,3.859686e-02 -6.143503e-01 2.760357e+00,3.914631e-02 -6.141974e-01 2.760388e+00
5.177534e-02 -3.260173e-01 2.772194e+00,5.150280e-02 -3.258930e-01 2.772379e+00,5.038291e-02 -3.258663e-01 2.773035e+00,5.015434e-02 -3.260000e-01 2.773285e+00,4.916703e-02 -3.255699e-01 2.773332e+00,4.759154e-02 -3.257414e-01 2.773716e+00,4.670399e-02 -3.258551e-01 2.773896e+00,4.420430e-02 -3.247660e-01 2.774482e+00,4.328192e-02 -3.248128e-01 2.774739e+00,4.235118e-02 -3.248059e-01 2.774631e+00,4.024051e-02 -3.248389e-01 2.774768e+00,3.906585e-02 -3.245043e-01 2.774753e+00,3.689178e-02 -3.242662e-01 2.775293e+00,3.649654e-02 -3.242133e-01 2.775395e+00,3.598915e-02 -3.238665e-01 2.775755e+00,3.401350e-02 -3.225521e-01 2.776833e+00,3.222860e-02 -3.215280e-01 2.777250e+00,3.150564e-02 -3.182058e-01 2.777929e+00,3.238690e-02 -3.161588e-01 2.778134e+00,3.220944e-02 -3.143142e-01 2.778725e+00,3.308488e-02 -3.121939e-01 2.778501e+00,3.285244e-02 -3.117096e-01 2.778691e+00,3.370620e-02 -3.068108e-01 2.777731e+00,3.435127e-02 -3.032315e-01 2.777010e+00,3.407402e-02 -3.021041e-01 2.776584e+00,3.397096e-02 -3.013362e-01 2.775851e+00,3.389006e-02 -3.024603e-01 2.775696e+00,3.314116e-02 -3.062285e-01 2.775279e+00,3.180662e-02 -3.069490e-01 2.774460e+00,2.728797e-02 -3.130545e-01 2.773199e+00,2.562116e-02 -3.202601e-01 2.772670e+00,2.571681e-02 -3.202427e-01 2.772134e+00,2.653411e-02 -3.202579e-01 2.770888e+00,2.650584e-02 -3.202866e-01 2.770724e+00,2.771013e-02 -3.202863e-01 2.769579e+00,2.998457e-02 -3.217292e-01 2.768250e+00,3.192791e-02 -3.220338e-01 2.767744e+00,3.462092e-02 -3.232180e-01 2.766939e+00,3.475625e-02 -3.232290e-01 2.767241e+00,3.596249e-02 -3.231044e-01 2.767705e+00,3.817801e-02 -3.237501e-01 2.767449e+00,3.903189e-02 -3.240555e-01 2.767209e+00,4.178249e-02 -3.249781e-01 2.767470e+00,4.234573e-02 -3.248265e-01 2.767605e+00,4.269690e-02 -3.250346e-01 2.767581e+00,4.312949e-02 -3.250046e-01 2.767824e+00
5.617448e-02 -4.169900e-02 2.769222e+00,5.587383e-02 -4.159772e-02 2.769524e+00,5.453655e-02 -4.161778e-02 2.770487e+00,5.453601e-02 -4.179803e-02 2.770833e+00,5.382130e-02 -4.135929e-02 2.771045e+00,5.313509e-02 -4.190884e-02 2.771307e+00,5.272190e-02 -4.178766e-02 2.771415e+00,5.037665e-02 -4.122179e-02 2.772255e+00,4.967680e-02 -4.127676e-02 2.772799e+00,4.928622e-02 -4.127565e-02 2.772769e+00,4.824537e-02 -4.109574e-02 2.773094e+00,4.785954e-02 -4.120224e-02 2.773037e+00,4.583957e-02 -4.064347e-02 2.773972e+00,4.528561e-02 -4.064311e-02 2.774234e+00,4.408156e-02 -4.013546e-02 2.774750e+00,4.165104e-02 -3.950072e-02 2.776235e+00,3.864585e-02 -3.935273e-02 2.776746e+00,3.794400e-02 -3.615008e-02 2.776941e+00,3.850058e-02 -3.551350e-02 2.776603e+00,3.810657e-02 -3.505652e-02 2.776578e+00,3.748256e-02 -3.317205e-02 2.775685e+00,3.600853e-02 -3.177831e-02 2.775822e+00,3.744428e-02 -2.536900e-02 2.773835e+00,3.870502e-02 -2.228082e-02 2.772971e+00,3.886910e-02 -2.213855e-02 2.772786e+00,3.927734e-02 -2.109831e-02 2.771831e+00,3.909073e-02 -2.215725e-02 2.771923e+00,3.844545e-02 -2.578564e-02 2.771840e+00,3.704365e-02 -2.492175e-02 2.769735e+00,3.253914e-02 -2.641943e-02 2.768471e+00,3.247111e-02 -3.147483e-02 2.767331e+00,3.261505e-02 -3.313342e-02 2.766018e+00,3.461453e-02 -3.438545e-02 2.763897e+00,3.442802e-02 -3.438539e-02 2.763650e+00,3.513057e-02 -3.542481e-02 2.762366e+00,3.803178e-02 -3.713836e-02 2.760894e+00,3.955156e-02 -3.730327e-02 2.760868e+00,4.340773e-02 -3.914421e-02 2.759863e+00,4.351302e-02 -3.892564e-02 2.761392e+00,4.394954e-02 -3.858778e-02 2.762529e+00,4.581838e-02 -3.967715e-02 2.762010e+00,4.623832e-02 -3.993576e-02 2.761883e+00,4.718438e-02 -4.050174e-02 2.761792e+00,4.768065e-02 -4.027658e-02 2.761886e+00,4.764638e-02 -4.064682e-02 2.761971e+00,4.789821e-02 -4.072152e-02 2.762456e+00
6.200179e-02 6.799814e-02 2.777093e+00,6.155237e-02 6.841962e-02 2.777360e+00,6.082082e-02 6.866628e-02 2.778311e+00,6.066970e-02 6.856147e-02 2.778453e+00,6.023434e-02 6.866811e-02 2.778363e+00,5.890797e-02 6.870157e-02 2.779736e+00,5.781804e-02 6.810620e-02 2.780715e+00,5.678449e-02 6.765132e-02 2.781662e+00,5.569168e-02 6.731025e-02 2.782235e+00,5.418537e-02 6.782755e-02 2.781913e+00,5.295573e-02 6.804790e-02 2.782171e+00,5.191030e-02 6.803348e-02 2.782340e+00,5.032619e-02 6.823108e-02 2.782642e+00,4.910603e-02 6.839611e-02 2.783417e+00,4.681836e-02 6.878328e-02 2.785285e+00,4.103296e-02 6.857114e-02 2.788866e+00,4.059138e-02 6.856321e-02 2.789518e+00,3.880594e-02 6.964840e-02 2.790630e+00,3.859342e-02 6.975206e-02 2.790737e+00,3.882566e-02 7.048478e-02 2.791036e+00,3.872227e-02 7.356671e-02 2.791323e+00,3.932272e-02 7.496998e-02 2.791808e+00,3.891778e-02 7.576590e-02 2.792134e+00,3.870326e-02 7.806613e-02 2.791925e+00,3.811421e-02 7.933443e-02 2.791092e+00,3.447338e-02 8.084826e-02 2.790155e+00,3.339376e-02 7.800585e-02 2.790883e+00,2.804181e-02 7.141051e-02 2.790506e+00,2.688621e-02 7.078147e-02 2.790612e+00,2.598665e-02 7.123327e-02 2.790116e+00,2.712016e-02 7.017141e-02 2.789307e+00,2.666492e-02 7.024400e-02 2.787987e+00,2.797903e-02 7.023980e-02 2.784381e+00,2.850233e-02 7.040896e-02 2.783910e+00,2.934261e-02 7.056718e-02 2.782863e+00,3.419001e-02 7.094718e-02 2.779891e+00,3.489291e-02 7.119185e-02 2.778665e+00,3.961844e-02 7.045865e-02 2.776667e+00,4.028857e-02 7.041259e-02 2.776290e+00,4.158736e-02 7.049817e-02 2.775486e+00,4.488592e-02 6.978419e-02 2.774161e+00,4.636234e-02 6.990196e-02 2.773347e+00,4.833607e-02 6.929591e-02 2.771771e+00,4.886053e-02 6.922171e-02 2.771756e+00,5.005526e-02 6.894403e-02 2.771811e+00,5.048428e-02 6.862273e-02 2.772585e+00
-9.721791e-02 -1.485598e-01 2.757171e+00,-9.745505e-02 -1.483912e-01 2.757552e+00,-9.852386e-02 -1.487935e-01 2.758674e+00,-9.984321e-02 -1.486160e-01 2.758427e+00,-1.000607e-01 -1.486297e-01 2.758473e+00,-1.017380e-01 -1.486750e-01 2.758327e+00,-1.022920e-01 -1.489043e-01 2.758939e+00,-1.026441e-01 -1.483604e-01 2.759157e+00,-1.028678e-01 -1.484615e-01 2.759153e+00,-1.032396e-01 -1.485630e-01 2.758969e+00,-1.041245e-01 -1.487370e-01 2.758994e+00,-1.052605e-01 -1.486193e-01 2.759011e+00,-1.070797e-01 -1.481291e-01 2.758805e+00,-1.081439e-01 -1.485598e-01 2.759150e+00,-1.093008e-01 -1.487922e-01 2.759444e+00,-1.114799e-01 -1.486132e-01 2.761127e+00,-1.119948e-01 -1.488627e-01 2.761590e+00,-1.125177e-01 -1.471125e-01 2.762091e+00,-1.127531e-01 -1.427732e-01 2.764883e+00,-1.125819e-01 -1.419369e-01 2.764637e+00,-1.137820e-01 -1.451767e-01 2.764926e+00,-1.114872e-01 -1.419432e-01 2.764115e+00,-1.069989e-01 -1.346219e-01 2.763313e+00,-1.059519e-01 -1.340861e-01 2.762626e+00,-1.056939e-01 -1.341730e-01 2.762584e+00,-1.057931e-01 -1.357193e-01 2.762727e+00,-1.059473e-01 -1.364604e-01 2.762883e+00,-1.058766e-01 -1.404004e-01 2.765872e+00,-1.062561e-01 -1.406448e-01 2.765787e+00,-1.093346e-01 -1.428265e-01 2.767779e+00,-1.103804e-01 -1.460945e-01 2.766588e+00,-1.110445e-01 -1.460135e-01 2.766822e+00,-1.117514e-01 -1.472493e-01 2.766454e+00,-1.117118e-01 -1.473678e-01 2.766373e+00,-1.112586e-01 -1.472833e-01 2.765695e+00,-1.080900e-01 -1.490718e-01 2.760999e+00,-1.074769e-01 -1.494640e-01 2.760130e+00,-1.051593e-01 -1.494515e-01 2.757723e+00,-1.051370e-01 -1.493236e-01 2.757562e+00,-1.054270e-01 -1.492661e-01 2.757118e+00,-1.051614e-01 -1.482258e-01 2.756110e+00,-1.046033e-01 -1.482376e-01 2.755788e+00,-1.043043e-01 -1.487571e-01 2.755255e+00,-1.035009e-01 -1.478190e-01 2.754599e+00,-1.036304e-01 -1.480619e-01 2.753903e+00,-1.036950e-01 -1.481147e-01 2.754128e+00
-1.397126e-01 -3.881059e-01 2.769044e+00,-1.399812e-01 -3.871609e-01 2.769385e+00,-1.404798e-01 -3.866648e-01 2.769985e+00,-1.405686e-01 -3.866315e-01 2.770230e+00,-1.408092e-01 -3.864337e-01 2.770518e+00,-1.417079e-01 -3.855094e-01 2.771169e+00,-1.428144e-01 -3.862667e-01 2.771206e+00,-1.456178e-01 -3.895850e-01 2.770222e+00,-1.466612e-01 -3.911894e-01 2.770068e+00,-1.473302e-01 -3.922878e-01 2.769966e+00,-1.493228e-01 -3.928191e-01 2.770087e+00,-1.498686e-01 -3.928255e-01 2.770020e+00,-1.524317e-01 -3.833635e-01 2.773204e+00,-1.526807e-01 -3.833917e-01 2.773366e+00,-1.529371e-01 -3.836298e-01 2.773767e+00,-1.534796e-01 -3.838892e-01 2.774998e+00,-1.545143e-01 -3.858883e-01 2.775060e+00,-1.534207e-01 -3.797556e-01 2.779988e+00,-1.528868e-01 -3.808293e-01 2.781319e+00,-1.513624e-01 -3.799506e-01 2.782053e+00,-1.470100e-01 -3.738651e-01 2.785910e+00,-1.459847e-01 -3.775990e-01 2.787349e+00,-1.454218e-01 -3.811151e-01 2.790078e+00,-1.447144e-01 -3.787200e-01 2.792324e+00,-1.438859e-01 -3.770375e-01 2.794949e+00,-1.435686e-01 -3.765244e-01 2.795832e+00,-1.439816e-01 -3.779743e-01 2.796352e+00,-1.436942e-01 -3.772100e-01 2.797040e+00,-1.439702e-01 -3.846507e-01 2.796191e+00,-1.439901e-01 -3.868898e-01 2.794838e+00,-1.446837e-01 -3.911138e-01 2.792917e+00,-1.446960e-01 -3.924674e-01 2.791637e+00,-1.442655e-01 -3.938050e-01 2.789329e+00,-1.440996e-01 -3.923601e-01 2.788932e+00,-1.440723e-01 -3.925160e-01 2.787716e+00,-1.434965e-01 -3.938562e-01 2.783689e+00,-1.426731e-01 -3.916198e-01 2.781584e+00,-1.424189e-01 -3.913405e-01 2.778446e+00,-1.419373e-01 -3.892371e-01 2.777332e+00,-1.417610e-01 -3.889039e-01 2.776553e+00,-1.416373e-01 -3.881092e-01 2.774662e+00,-1.416319e-01 -3.879858e-01 2.774107e+00,-1.415573e-01 -3.877266e-01 2.772920e+00,-1.414532e-01 -3.873532e-01 2.772245e+00,-1.414409e-01 -3.864921e-01 2.770838e+00,-1.414902e-01 -3.864061e-01 2.770771e+00
-1.511313e-01 -5.922167e-01 2.692421e+00,-1.516332e-01 -5.913246e-01 2.692957e+00,-1.530641e-01 -5.908124e-01 2.693682e+00,-1.536916e-01 -5.905488e-01 2.693316e+00,-1.538540e-01 -5.902840e-01 2.693379e+00,-1.548063e-01 -5.897985e-01 2.695404e+00,-1.631942e-01 -5.893607e-01 2.693641e+00,-1.598601e-01 -5.938438e-01 2.694669e+00,-1.597618e-01 -5.953746e-01 2.694053e+00,-1.606080e-01 -5.963538e-01 2.693629e+00,-1.669428e-01 -5.969774e-01 2.695126e+00,-1.668710e-01 -5.971267e-01 2.695346e+00,-1.619020e-01 -5.981277e-01 2.696948e+00,-1.612204e-01 -6.024860e-01 2.696497e+00,-1.611399e-01 -6.036577e-01 2.696018e+00,-1.646018e-01 -5.885237e-01 2.699939e+00,-1.638336e-01 -5.901732e-01 2.698619e+00,-1.630430e-01 -5.828004e-01 2.699752e+00,-1.621541e-01 -5.833223e-01 2.699442e+00,-1.617742e-01 -5.824683e-01 2.700403e+00,-1.597869e-01 -5.766097e-01 2.705252e+00,-1.597346e-01 -5.794464e-01 2.704353e+00,-1.527721e-01 -5.975388e-01 2.706290e+00,-1.523296e-01 -6.005905e-01 2.706022e+00,-1.522515e-01 -6.010551e-01 2.706354e+00,-1.561048e-01 -5.799246e-01 2.717105e+00,-1.558459e-01 -5.810915e-01 2.716671e+00,-1.549379e-01 -5.805231e-01 2.717884e+00,-1.555581e-01 -5.873643e-01 2.715413e+00,-1.564343e-01 -5.898253e-01 2.714892e+00,-1.573009e-01 -5.942819e-01 2.713746e+00,-1.590102e-01 -5.957584e-01 2.713202e+00,-1.594577e-01 -5.974165e-01 2.712089e+00,-1.585706e-01 -5.961131e-01 2.711946e+00,-1.590495e-01 -5.964002e-01 2.711257e+00,-1.586401e-01 -5.978653e-01 2.707678e+00,-1.581427e-01 -5.960937e-01 2.707106e+00,-1.579293e-01 -5.955238e-01 2.703041e+00,-1.577408e-01 -5.933283e-01 2.701680e+00,-1.572407e-01 -5.927417e-01 2.700018e+00,-1.566531e-01 -5.919880e-01 2.698133e+00,-1.566189e-01 -5.914589e-01 2.696314e+00,-1.563670e-01 -5.909683e-01 2.694381e+00,-1.561555e-01 -5.907713e-01 2.694212e+00,-1.560346e-01 -5.898333e-01 2.692536e+00,-1.544582e-01 -5.895293e-01 2.691469e+00
-1.342148e-01 -6.256472e-01 2.683210e+00,-1.348041e-01 -6.249917e-01 2.682617e+00,-1.353532e-01 -6.247763e-01 2.686728e+00,-1.369121e-01 -6.254290e-01 2.684186e+00,-1.384787e-01 -6.241248e-01 2.682286e+00,-1.403005e-01 -6.241552e-01 2.685445e+00,-1.391550e-01 -6.364812e-01 2.683725e+00,-1.427714e-01 -6.063041e-01 2.688931e+00,-1.432210e-01 -6.067279e-01 2.690233e+00,-1.439853e-01 -6.024993e-01 2.690233e+00,-1.451393e-01 -6.288453e-01 2.685416e+00,-1.456147e-01 -6.294252e-01 2.687729e+00,-1.427305e-01 -6.292473e-01 2.683417e+00,-1.419055e-01 -6.316144e-01 2.685840e+00,-1.408031e-01 -6.351510e-01 2.684094e+00,-1.442960e-01 -6.253043e-01 2.686184e+00,-1.434517e-01 -6.243457e-01 2.683044e+00,-1.432992e-01 -6.208478e-01 2.685111e+00,-1.412299e-01 -6.203910e-01 2.686990e+00,-1.386102e-01 -6.211045e-01 2.690250e+00,-1.394321e-01 -6.172995e-01 2.696351e+00,-1.387845e-01 -6.193487e-01 2.697934e+00,-1.383709e-01 -6.302994e-01 2.694265e+00,-1.386389e-01 -6.337092e-01 2.694649e+00,-1.372121e-01 -6.344562e-01 2.696320e+00,-1.399808e-01 -6.154563e-01 2.701916e+00,-1.397458e-01 -6.164461e-01 2.701589e+00,-1.398995e-01 -6.159503e-01 2.702576e+00,-1.403920e-01 -6.162786e-01 2.703382e+00,-1.395170e-01 -6.200701e-01 2.702009e+00,-1.405962e-01 -6.207297e-01 2.703107e+00,-1.418823e-01 -6.215031e-01 2.702671e+00,-1.431946e-01 -6.202184e-01 2.699814e+00,-1.421980e-01 -6.204277e-01 2.700746e+00,-1.441907e-01 -6.199325e-01 2.698796e+00,-1.429544e-01 -6.158242e-01 2.695478e+00,-1.424514e-01 -6.155211e-01 2.693513e+00,-1.423887e-01 -6.138163e-01 2.691767e+00,-1.410802e-01 -6.123542e-01 2.689785e+00,-1.407313e-01 -6.124910e-01 2.688932e+00,-1.410750e-01 -6.118342e-01 2.686882e+00,-1.405950e-01 -6.077951e-01 2.686807e+00,-1.404976e-01 -6.073080e-01 2.685148e+00,-1.380902e-01 -6.248091e-01 2.680326e+00,-1.385075e-01 -6.236736e-01 2.677159e+00,-1.387027e-01 -6.231975e-01 2.677575e+00
2.003499e-01 -1.587009e-01 2.758643e+00,2.001536e-01 -1.587657e-01 2.759051e+00,1.994351e-01 -1.587479e-01 2.760126e+00,1.990822e-01 -1.588307e-01 2.760388e+00,1.986824e-01 -1.587758e-01 2.760633e+00,1.973429e-01 -1.579462e-01 2.761708e+00,1.962746e-01 -1.576090e-01 2.762201e+00,1.944681e-01 -1.564277e-01 2.762603e+00,1.937399e-01 -1.564236e-01 2.762886e+00,1.929734e-01 -1.565942e-01 2.763139e+00,1.913323e-01 -1.573293e-01 2.764408e+00,1.909616e-01 -1.576465e-01 2.764929e+00,1.895799e-01 -1.571697e-01 2.764917e+00,1.894791e-01 -1.557941e-01 2.764912e+00,1.891461e-01 -1.536924e-01 2.763605e+00,1.850931e-01 -1.484359e-01 2.754472e+00,1.838013e-01 -1.460897e-01 2.749944e+00,1.801693e-01 -1.413991e-01 2.742010e+00,1.635896e-01 -1.335356e-01 2.725183e+00,1.644417e-01 -1.345853e-01 2.726200e+00,1.514148e-01 -1.213565e-01 2.716058e+00,1.520678e-01 -1.214652e-01 2.716830e+00,1.528371e-01 -1.228938e-01 2.717496e+00,1.485259e-01 -1.229691e-01 2.714547e+00,1.484174e-01 -1.225195e-01 2.713671e+00,1.534107e-01 -1.291478e-01 2.716090e+00,1.519257e-01 -1.314094e-01 2.712638e+00,1.533517e-01 -1.327715e-01 2.712033e+00,1.565772e-01 -1.349857e-01 2.715352e+00,1.587843e-01 -1.431913e-01 2.717916e+00,1.559384e-01 -1.526909e-01 2.716302e+00,1.722911e-01 -1.475501e-01 2.722732e+00,1.773935e-01 -1.483533e-01 2.726705e+00,1.754239e-01 -1.504346e-01 2.726206e+00,1.778749e-01 -1.513180e-01 2.728077e+00,1.817407e-01 -1.526002e-01 2.731056e+00,1.830957e-01 -1.529786e-01 2.732309e+00,1.867182e-01 -1.543667e-01 2.736333e+00,1.879201e-01 -1.547846e-01 2.737689e+00,1.892746e-01 -1.542212e-01 2.739275e+00,1.916970e-01 -1.560085e-01 2.741772e+00,1.918312e-01 -1.561980e-01 2.742087e+00,1.927204e-01 -1.566666e-01 2.743703e+00,1.932201e-01 -1.569761e-01 2.744472e+00,1.940466e-01 -1.577576e-01 2.745938e+00,1.939820e-01 -1.579237e-01 2.746516e+00
2.303341e-01 -3.940799e-01 2.788871e+00,2.295368e-01 -3.915891e-01 2.789801e+00,2.294882e-01 -3.926662e-01 2.790532e+00,2.294728e-01 -3.935964e-01 2.791561e+00,2.303230e-01 -3.963849e-01 2.792855e+00,2.302637e-01 -3.982911e-01 2.794163e+00,2.298586e-01 -3.979086e-01 2.797249e+00,2.286375e-01 -3.929039e-01 2.804994e+00,2.271209e-01 -3.875324e-01 2.809198e+00,2.247418e-01 -3.812461e-01 2.812709e+00,2.208552e-01 -3.679806e-01 2.806420e+00,2.221966e-01 -3.637171e-01 2.803649e+00,2.699514e-01 -3.553839e-01 2.719520e+00,2.878304e-01 -3.391061e-01 2.691058e+00,2.973820e-01 -3.345214e-01 2.700767e+00,3.044072e-01 -1.815512e-01 2.562157e+00,2.836070e-01 -1.231429e-01 2.544382e+00,2.500637e-01 -4.294110e-02 2.526063e+00,2.332618e-01 -1.350504e-02 2.515820e+00,2.233497e-01 4.148533e-03 2.508128e+00,1.911328e-01 3.082393e-02 2.525926e+00,1.773703e-01 4.879148e-02 2.520399e+00,1.639279e-01 6.497081e-02 2.496003e+00,1.681427e-01 3.181573e-02 2.530690e+00,1.684602e-01 3.127215e-02 2.529995e+00,1.804068e-01 1.155819e-02 2.520664e+00,1.951713e-01 -3.654326e-04 2.503220e+00,2.253889e-01 -3.192969e-02 2.465583e+00,2.424816e-01 -7.954881e-02 2.505973e+00,2.718037e-01 -1.370250e-01 2.495300e+00,2.842110e-01 -2.193895e-01 2.540308e+00,3.155307e-01 -3.036279e-01 2.665080e+00,2.947994e-01 -3.287278e-01 2.723873e+00,2.624701e-01 -3.441930e-01 2.746564e+00,2.582965e-01 -3.500457e-01 2.751265e+00,2.397738e-01 -3.918974e-01 2.764744e+00,2.394037e-01 -3.934400e-01 2.765619e+00,2.383632e-01 -3.955974e-01 2.770602e+00,2.383430e-01 -3.977885e-01 2.775181e+00,2.383056e-01 -3.990035e-01 2.777374e+00,2.384757e-01 -4.047689e-01 2.784486e+00,2.382116e-01 -4.050087e-01 2.785907e+00,2.373210e-01 -4.058965e-01 2.786885e+00,2.364159e-01 -4.062139e-01 2.787167e+00,2.330788e-01 -4.032223e-01 2.787086e+00,2.320854e-01 -4.028584e-01 2.787353e+00
2.078412e-01 -5.967188e-01 2.710261e+00,2.072965e-01 -5.940534e-01 2.710561e+00,2.429874e-01 -6.036431e-01 2.742682e+00,2.435130e-01 -6.041791e-01 2.741718e+00,2.435788e-01 -6.062229e-01 2.738916e+00,2.437657e-01 -6.065056e-01 2.732975e+00,2.442873e-01 -6.033170e-01 2.725744e+00,2.411336e-01 -5.881531e-01 2.705645e+00,2.358550e-01 -5.712323e-01 2.687416e+00,2.606415e-01 -5.324360e-01 2.653730e+00,2.605764e-01 -3.715774e-01 2.668666e+00,2.632424e-01 -3.226421e-01 2.672702e+00,2.729623e-01 -1.654691e-01 2.603547e+00,2.656002e-01 -1.406000e-01 2.594478e+00,2.652695e-01 -1.399812e-01 2.598504e+00,2.221222e-01 1.907974e-02 2.568593e+00,2.053121e-01 7.931796e-02 2.523272e+00,1.765662e-01 1.548027e-01 2.464718e+00,1.654865e-01 1.810979e-01 2.437829e+00,1.530106e-01 2.032750e-01 2.412689e+00,1.444009e-01 1.970843e-01 2.383820e+00,1.375678e-01 1.984256e-01 2.359181e+00,1.261907e-01 2.009303e-01 2.322052e+00,1.295984e-01 1.626701e-01 2.352783e+00,1.249062e-01 1.544355e-01 2.347586e+00,1.204887e-01 1.290363e-01 2.339078e+00,1.174041e-01 1.237029e-01 2.333603e+00,1.574114e-01 3.630565e-02 2.375590e+00,1.334842e-01 3.840061e-02 2.350049e+00,1.913402e-01 -7.582032e-02 2.414365e+00,2.351636e-01 -1.965289e-01 2.479085e+00,2.142868e-01 -2.844295e-01 2.464737e+00,2.277747e-01 -4.197138e-01 2.529958e+00,2.442960e-01 -4.799954e-01 2.570181e+00,2.419661e-01 -5.106764e-01 2.598547e+00,2.412143e-01 -5.750453e-01 2.641735e+00,2.469250e-01 -5.932081e-01 2.676413e+00,2.513829e-01 -6.042586e-01 2.711228e+00,2.523105e-01 -6.074923e-01 2.720960e+00,2.531205e-01 -6.098912e-01 2.729834e+00,2.536579e-01 -6.165698e-01 2.743151e+00,2.497453e-01 -6.178197e-01 2.750678e+00,2.479351e-01 -6.188786e-01 2.752794e+00,2.448869e-01 -6.193283e-01 2.753347e+00,2.425528e-01 -6.161351e-01 2.751703e+00,2.427843e-01 -6.156312e-01 2.751275e+00
