4.984359e-02 -6.146601e-01 2.763526e+00,4.968908e-02 -6.146948e-01 2.763805e+00,4.906173e-02 -6.149832e-01 2.764261e+00,4.835226e-02 -6.150457e-01 2.764777e+00,4.605534e-02 -6.145886e-01 2.765568e+00,4.269731e-02 -6.146562e-01 2.766213e+00,3.916287e-02 -6.139289e-01 2.766202e+00,3.676982e-02 -6.134735e-01 2.767974e+00,3.607256e-02 -6.105639e-01 2.769775e+00,3.340911e-02 -6.142449e-01 2.772678e+00,3.297605e-02 -6.183046e-01 2.774889e+00,3.205488e-02 -6.233139e-01 2.776071e+00,3.137684e-02 -6.240605e-01 2.776602e+00,3.051488e-02 -6.259395e-01 2.777967e+00,3.007178e-02 -6.268876e-01 2.778132e+00,2.897801e-02 -6.291394e-01 2.779172e+00,2.897463e-02 -6.301172e-01 2.779143e+00,2.888017e-02 -6.301627e-01 2.779178e+00,2.605461e-02 -6.278118e-01 2.780253e+00,2.536736e-02 -6.262362e-01 2.780094e+00,2.323204e-02 -6.250942e-01 2.780257e+00,2.307931e-02 -6.245918e-01 2.780255e+00,2.259479e-02 -6.220064e-01 2.780086e+00,2.058408e-02 -6.194021e-01 2.780179e+00,2.002479e-02 -6.184241e-01 2.779959e+00,1.939269e-02 -6.170835e-01 2.779606e+00,1.927740e-02 -6.163172e-01 2.779279e+00,1.909351e-02 -6.151101e-01 2.779011e+00,1.799284e-02 -6.112754e-01 2.778365e+00,1.793354e-02 -6.104911e-01 2.778209e+00,1.811216e-02 -6.113911e-01 2.778254e+00,1.798173e-02 -6.112773e-01 2.778232e+00,1.755139e-02 -6.117333e-01 2.777955e+00,1.740047e-02 -6.121748e-01 2.777863e+00,1.728489e-02 -6.120459e-01 2.777498e+00,1.734832e-02 -6.131985e-01 2.776019e+00,1.881844e-02 -6.134224e-01 2.774379e+00,2.095121e-02 -6.141831e-01 2.771574e+00,2.203779e-02 -6.136349e-01 2.770239e+00,2.320655e-02 -6.145621e-01 2.768142e+00,2.637738e-02 -6.141481e-01 2.765678e+00,2.685558e-02 -6.141164e-01 2.765218e+00,2.827187e-02 -6.139286e-01 2.764293e+00,2.924117e-02 -6.139545e-01 2.764140e+00,3.132149e-02 -6.140384e-01 2.763965e+00,3.159807e-02 -6.139870e-01 2.764054e+00,3.387693e-02 -6.135392e-01 2.764663e+00,3.466144e-02 -6.136299e-01 2.764875e+00,3.581493e-02 -6.136246e-01 2.765373e+00,3.605137e-02 -6.138368e-01 2.765710e+00
5.124760e-02 -3.275447e-01 2.776026e+00,5.089225e-02 -3.275894e-01 2.776561e+00,5.094092e-02 -3.278016e-01 2.777496e+00,5.092295e-02 -3.279132e-01 2.778424e+00,4.967324e-02 -3.277129e-01 2.780072e+00,4.816883e-02 -3.275561e-01 2.781256e+00,4.669907e-02 -3.273222e-01 2.781964e+00,4.527328e-02 -3.275845e-01 2.784637e+00,4.519632e-02 -3.269775e-01 2.785976e+00,4.644786e-02 -3.266133e-01 2.788165e+00,4.696761e-02 -3.258340e-01 2.788620e+00,4.708164e-02 -3.256721e-01 2.788522e+00,4.691203e-02 -3.248351e-01 2.788342e+00,4.644889e-02 -3.239377e-01 2.788305e+00,4.578666e-02 -3.240591e-01 2.788255e+00,4.538724e-02 -3.241468e-01 2.788403e+00,4.533827e-02 -3.240972e-01 2.788417e+00,4.514002e-02 -3.238699e-01 2.788657e+00,4.264674e-02 -3.214652e-01 2.789999e+00,4.104733e-02 -3.203592e-01 2.790367e+00,3.093102e-02 -3.230427e-01 2.793157e+00,3.065973e-02 -3.234915e-01 2.793491e+00,3.060163e-02 -3.233785e-01 2.793632e+00,2.899032e-02 -3.235537e-01 2.794185e+00,2.861721e-02 -3.234969e-01 2.794290e+00,2.758941e-02 -3.234976e-01 2.794597e+00,2.750602e-02 -3.234017e-01 2.794545e+00,2.737181e-02 -3.233231e-01 2.794505e+00,2.654522e-02 -3.220876e-01 2.793707e+00,2.619399e-02 -3.217995e-01 2.793094e+00,2.593481e-02 -3.227374e-01 2.792255e+00,2.543304e-02 -3.228938e-01 2.791397e+00,2.548786e-02 -3.233205e-01 2.790132e+00,2.550996e-02 -3.237911e-01 2.789620e+00,2.551562e-02 -3.235101e-01 2.788970e+00,2.540976e-02 -3.244249e-01 2.787685e+00,2.577232e-02 -3.245477e-01 2.786555e+00,2.908386e-02 -3.245053e-01 2.784493e+00,2.974550e-02 -3.244993e-01 2.783809e+00,3.014876e-02 -3.252827e-01 2.782321e+00,3.192186e-02 -3.256720e-01 2.780579e+00,3.281163e-02 -3.261337e-01 2.779699e+00,3.612620e-02 -3.251308e-01 2.778815e+00,3.637682e-02 -3.252689e-01 2.778564e+00,3.764009e-02 -3.257152e-01 2.777856e+00,3.826843e-02 -3.258345e-01 2.777633e+00,3.916824e-02 -3.260079e-01 2.777411e+00,4.086275e-02 -3.250209e-01 2.777916e+00,4.183070e-02 -3.253068e-01 2.777836e+00,4.191777e-02 -3.256010e-01 2.777992e+00
5.253293e-02 -4.544023e-02 2.776318e+00,5.190985e-02 -4.545139e-02 2.777080e+00,5.321938e-02 -4.564041e-02 2.778994e+00,5.406725e-02 -4.580964e-02 2.780665e+00,5.354649e-02 -4.576681e-02 2.783325e+00,5.300042e-02 -4.540414e-02 2.784795e+00,5.260108e-02 -4.539790e-02 2.785774e+00,5.251353e-02 -4.639882e-02 2.789543e+00,5.299303e-02 -4.713127e-02 2.790979e+00,6.325684e-02 -3.982425e-02 2.794448e+00,6.431980e-02 -3.212956e-02 2.791736e+00,6.512224e-02 -2.732832e-02 2.788714e+00,6.466263e-02 -2.401607e-02 2.786801e+00,6.300933e-02 -2.073365e-02 2.785181e+00,6.115723e-02 -2.107940e-02 2.784900e+00,6.081055e-02 -2.088422e-02 2.784785e+00,6.052674e-02 -2.005301e-02 2.784903e+00,6.030645e-02 -1.969999e-02 2.785450e+00,5.748919e-02 -1.836447e-02 2.787301e+00,5.482959e-02 -1.817210e-02 2.788305e+00,2.955088e-02 -2.992351e-02 2.796687e+00,3.070629e-02 -3.185704e-02 2.797257e+00,3.193267e-02 -3.237744e-02 2.797602e+00,3.176640e-02 -3.409418e-02 2.797707e+00,3.181048e-02 -3.439166e-02 2.797840e+00,3.128517e-02 -3.544165e-02 2.798420e+00,3.138500e-02 -3.552430e-02 2.798367e+00,3.142850e-02 -3.596277e-02 2.798276e+00,3.147958e-02 -3.615445e-02 2.797016e+00,3.110788e-02 -3.677044e-02 2.795136e+00,3.106634e-02 -3.839652e-02 2.792617e+00,3.049122e-02 -3.948157e-02 2.790025e+00,3.224415e-02 -3.972868e-02 2.787320e+00,3.263813e-02 -4.019506e-02 2.786543e+00,3.288786e-02 -3.979250e-02 2.785962e+00,3.278116e-02 -4.044709e-02 2.785335e+00,3.256403e-02 -4.050498e-02 2.784693e+00,3.929349e-02 -3.900657e-02 2.783732e+00,3.941987e-02 -3.928832e-02 2.783570e+00,3.891836e-02 -4.014358e-02 2.782633e+00,3.922965e-02 -4.114666e-02 2.781742e+00,4.017258e-02 -4.248907e-02 2.780581e+00,4.678609e-02 -3.952550e-02 2.780043e+00,4.614625e-02 -4.020225e-02 2.779431e+00,4.636937e-02 -4.154672e-02 2.778281e+00,4.699928e-02 -4.201082e-02 2.777677e+00,4.672898e-02 -4.306180e-02 2.776903e+00,4.895283e-02 -4.024991e-02 2.777957e+00,4.936317e-02 -4.118155e-02 2.777285e+00,4.911321e-02 -4.181336e-02 2.777352e+00
6.193249e-02 6.422686e-02 2.786692e+00,6.202941e-02 6.370635e-02 2.787656e+00,6.173545e-02 6.372529e-02 2.788983e+00,6.156064e-02 6.424673e-02 2.790400e+00,6.057199e-02 6.498989e-02 2.792533e+00,6.087642e-02 6.394452e-02 2.795325e+00,6.033772e-02 6.442679e-02 2.795979e+00,5.853924e-02 6.209646e-02 2.802367e+00,5.758300e-02 6.198220e-02 2.803718e+00,5.716168e-02 6.213341e-02 2.807178e+00,6.177362e-02 6.412485e-02 2.809026e+00,6.241674e-02 6.854264e-02 2.808912e+00,6.266786e-02 7.259236e-02 2.809055e+00,5.988758e-02 7.665338e-02 2.810081e+00,5.829142e-02 7.665979e-02 2.811116e+00,5.451521e-02 7.718325e-02 2.813152e+00,4.840155e-02 7.780384e-02 2.815010e+00,4.414971e-02 7.767984e-02 2.816244e+00,3.919806e-02 7.847786e-02 2.817297e+00,3.934778e-02 7.890142e-02 2.816969e+00,3.337198e-02 6.858972e-02 2.819382e+00,3.339531e-02 6.853081e-02 2.819305e+00,3.348775e-02 6.846522e-02 2.819218e+00,3.388615e-02 6.813031e-02 2.818839e+00,3.464119e-02 6.767396e-02 2.818549e+00,3.499193e-02 6.807060e-02 2.818069e+00,3.528347e-02 6.821141e-02 2.817441e+00,3.575660e-02 6.857593e-02 2.816838e+00,3.614105e-02 6.852276e-02 2.814610e+00,3.660394e-02 6.840032e-02 2.813347e+00,3.724970e-02 6.815973e-02 2.811263e+00,3.715805e-02 6.786939e-02 2.810420e+00,3.683296e-02 6.809916e-02 2.808141e+00,3.680809e-02 6.831028e-02 2.807750e+00,3.676436e-02 6.826480e-02 2.806849e+00,3.797885e-02 6.746931e-02 2.804250e+00,3.761804e-02 6.814197e-02 2.803061e+00,3.848453e-02 6.729189e-02 2.801815e+00,3.877755e-02 6.682040e-02 2.800818e+00,3.887607e-02 6.677196e-02 2.799939e+00,4.134667e-02 6.734370e-02 2.798067e+00,4.229105e-02 6.722070e-02 2.797125e+00,4.368231e-02 6.672595e-02 2.795072e+00,4.396480e-02 6.740419e-02 2.794407e+00,4.499212e-02 6.747480e-02 2.793221e+00,4.533976e-02 6.740993e-02 2.792822e+00,4.600713e-02 6.736768e-02 2.791754e+00,4.618907e-02 6.777070e-02 2.791075e+00,4.734819e-02 6.763127e-02 2.790372e+00,4.732266e-02 6.759713e-02 2.790337e+00
-1.023331e-01 -1.543740e-01 2.759230e+00,-1.022898e-01 -1.544424e-01 2.759803e+00,-1.029988e-01 -1.549565e-01 2.762479e+00,-1.031498e-01 -1.552918e-01 2.763786e+00,-1.029898e-01 -1.554467e-01 2.765970e+00,-1.027667e-01 -1.555817e-01 2.767388e+00,-1.037132e-01 -1.562072e-01 2.769950e+00,-1.035639e-01 -1.563642e-01 2.772667e+00,-1.035503e-01 -1.563075e-01 2.773798e+00,-1.039885e-01 -1.561117e-01 2.774446e+00,-1.081494e-01 -1.596841e-01 2.781233e+00,-1.082836e-01 -1.619561e-01 2.783406e+00,-1.094483e-01 -1.618501e-01 2.782522e+00,-1.134248e-01 -1.626265e-01 2.788816e+00,-1.144001e-01 -1.649099e-01 2.785888e+00,-1.157872e-01 -1.666120e-01 2.783123e+00,-1.178146e-01 -1.693952e-01 2.782338e+00,-1.167352e-01 -1.702517e-01 2.781799e+00,-1.208967e-01 -1.685317e-01 2.787941e+00,-1.189903e-01 -1.604307e-01 2.792149e+00,-1.175803e-01 -1.594792e-01 2.791868e+00,-1.175001e-01 -1.588435e-01 2.792097e+00,-1.173772e-01 -1.578123e-01 2.792068e+00,-1.174653e-01 -1.569977e-01 2.791692e+00,-1.177505e-01 -1.566909e-01 2.791527e+00,-1.193229e-01 -1.575172e-01 2.789171e+00,-1.191569e-01 -1.565624e-01 2.787923e+00,-1.180903e-01 -1.524980e-01 2.784803e+00,-1.175503e-01 -1.512706e-01 2.781480e+00,-1.178745e-01 -1.511016e-01 2.780399e+00,-1.191626e-01 -1.498413e-01 2.777754e+00,-1.200862e-01 -1.508438e-01 2.776290e+00,-1.202303e-01 -1.504770e-01 2.773346e+00,-1.178638e-01 -1.495914e-01 2.770348e+00,-1.170759e-01 -1.503420e-01 2.768867e+00,-1.160679e-01 -1.500817e-01 2.767687e+00,-1.162599e-01 -1.509247e-01 2.767530e+00,-1.156982e-01 -1.519226e-01 2.766772e+00,-1.155187e-01 -1.528195e-01 2.766735e+00,-1.147463e-01 -1.530680e-01 2.765772e+00,-1.143929e-01 -1.533881e-01 2.765587e+00,-1.142190e-01 -1.535652e-01 2.765337e+00,-1.137836e-01 -1.538073e-01 2.764396e+00,-1.130154e-01 -1.535923e-01 2.763522e+00,-1.135272e-01 -1.568195e-01 2.764416e+00,-1.117034e-01 -1.556272e-01 2.761193e+00,-1.104209e-01 -1.541793e-01 2.759971e+00,-1.104144e-01 -1.540908e-01 2.759747e+00,-1.098650e-01 -1.536948e-01 2.758951e+00,-1.098901e-01 -1.540650e-01 2.758749e+00
-1.414880e-01 -3.895735e-01 2.763363e+00,-1.414577e-01 -3.901054e-01 2.763565e+00,-1.411032e-01 -3.917414e-01 2.764760e+00,-1.412686e-01 -3.906893e-01 2.766405e+00,-1.412908e-01 -3.921079e-01 2.768015e+00,-1.415052e-01 -3.909168e-01 2.770639e+00,-1.416163e-01 -3.912842e-01 2.771518e+00,-1.417844e-01 -3.913364e-01 2.774220e+00,-1.415682e-01 -3.903523e-01 2.775942e+00,-1.408852e-01 -3.936120e-01 2.778008e+00,-1.400138e-01 -3.939140e-01 2.780327e+00,-1.391871e-01 -3.907911e-01 2.783409e+00,-1.389632e-01 -3.932142e-01 2.784639e+00,-1.378375e-01 -3.926967e-01 2.791966e+00,-1.380034e-01 -3.927755e-01 2.792833e+00,-1.407459e-01 -3.929126e-01 2.798925e+00,-1.408432e-01 -3.932256e-01 2.799579e+00,-1.409187e-01 -3.911881e-01 2.801087e+00,-1.422098e-01 -3.963569e-01 2.801182e+00,-1.425915e-01 -3.978494e-01 2.801047e+00,-1.435616e-01 -3.991046e-01 2.800457e+00,-1.458038e-01 -4.010355e-01 2.798939e+00,-1.468732e-01 -4.026912e-01 2.797550e+00,-1.487755e-01 -4.019747e-01 2.796128e+00,-1.499490e-01 -4.021845e-01 2.795172e+00,-1.525308e-01 -4.012167e-01 2.794368e+00,-1.536802e-01 -4.002132e-01 2.793272e+00,-1.548782e-01 -3.971619e-01 2.792072e+00,-1.554338e-01 -3.952275e-01 2.790923e+00,-1.556915e-01 -3.953576e-01 2.790501e+00,-1.559926e-01 -3.946759e-01 2.789232e+00,-1.562541e-01 -3.948176e-01 2.788765e+00,-1.565678e-01 -3.948999e-01 2.788280e+00,-1.566003e-01 -3.943710e-01 2.788120e+00,-1.565629e-01 -3.945548e-01 2.787535e+00,-1.566259e-01 -3.949599e-01 2.786264e+00,-1.566457e-01 -3.947898e-01 2.785176e+00,-1.564909e-01 -3.952366e-01 2.782239e+00,-1.565519e-01 -3.954179e-01 2.779757e+00,-1.567301e-01 -3.951307e-01 2.777487e+00,-1.555212e-01 -3.956414e-01 2.773576e+00,-1.550794e-01 -3.960716e-01 2.772080e+00,-1.542158e-01 -3.967031e-01 2.770018e+00,-1.532700e-01 -3.973310e-01 2.769582e+00,-1.522929e-01 -3.980220e-01 2.768794e+00,-1.520550e-01 -3.981151e-01 2.768675e+00,-1.512287e-01 -3.988813e-01 2.768375e+00,-1.512583e-01 -3.991229e-01 2.768110e+00,-1.508180e-01 -3.995669e-01 2.767623e+00,-1.506346e-01 -3.997383e-01 2.767436e+00
-1.433365e-01 -5.794723e-01 2.685368e+00,-1.432571e-01 -5.799834e-01 2.685515e+00,-1.430102e-01 -5.814946e-01 2.686379e+00,-1.431086e-01 -5.802881e-01 2.687576e+00,-1.439890e-01 -5.815690e-01 2.688836e+00,-1.445259e-01 -5.802620e-01 2.691142e+00,-1.451286e-01 -5.808588e-01 2.692691e+00,-1.482714e-01 -5.812564e-01 2.696615e+00,-1.485753e-01 -5.800295e-01 2.697691e+00,-1.501101e-01 -5.830539e-01 2.699414e+00,-1.498742e-01 -5.832304e-01 2.701479e+00,-1.498042e-01 -5.798280e-01 2.703867e+00,-1.503945e-01 -5.821093e-01 2.704869e+00,-1.514642e-01 -5.805772e-01 2.709860e+00,-1.474737e-01 -5.961385e-01 2.713545e+00,-1.514344e-01 -5.925437e-01 2.719672e+00,-1.512377e-01 -5.925770e-01 2.719738e+00,-1.553581e-01 -5.814188e-01 2.725715e+00,-1.574308e-01 -5.857148e-01 2.723519e+00,-1.583079e-01 -5.870470e-01 2.723064e+00,-1.600086e-01 -5.879121e-01 2.721572e+00,-1.607136e-01 -5.898265e-01 2.719668e+00,-1.622727e-01 -5.911317e-01 2.717445e+00,-1.632263e-01 -5.905365e-01 2.716137e+00,-1.635958e-01 -5.909487e-01 2.715571e+00,-1.639952e-01 -5.903085e-01 2.715249e+00,-1.641995e-01 -5.895937e-01 2.714791e+00,-1.645269e-01 -5.871690e-01 2.715205e+00,-1.651471e-01 -5.855128e-01 2.714854e+00,-1.654112e-01 -5.855097e-01 2.714046e+00,-1.657681e-01 -5.851121e-01 2.713611e+00,-1.658962e-01 -5.853661e-01 2.713459e+00,-1.664388e-01 -5.856112e-01 2.713497e+00,-1.666183e-01 -5.851410e-01 2.713531e+00,-1.667121e-01 -5.854807e-01 2.713442e+00,-1.667039e-01 -5.859696e-01 2.712419e+00,-1.662565e-01 -5.856969e-01 2.710939e+00,-1.642835e-01 -5.861133e-01 2.707651e+00,-1.640543e-01 -5.864229e-01 2.705521e+00,-1.631519e-01 -5.857418e-01 2.701940e+00,-1.618721e-01 -5.858664e-01 2.696894e+00,-1.613528e-01 -5.860393e-01 2.694652e+00,-1.604913e-01 -5.867603e-01 2.692855e+00,-1.605060e-01 -5.873521e-01 2.692426e+00,-1.606383e-01 -5.882212e-01 2.692302e+00,-1.609164e-01 -5.883569e-01 2.692381e+00,-1.610081e-01 -5.891355e-01 2.692264e+00,-1.608137e-01 -5.894668e-01 2.692231e+00,-1.607537e-01 -5.900996e-01 2.692368e+00,-1.607842e-01 -5.905506e-01 2.693056e+00
-1.328725e-01 -6.173691e-01 2.678275e+00,-1.332467e-01 -6.171277e-01 2.678586e+00,-1.323176e-01 -6.181579e-01 2.679212e+00,-1.341570e-01 -6.055650e-01 2.684156e+00,-1.352774e-01 -6.057527e-01 2.685162e+00,-1.359622e-01 -6.058095e-01 2.686416e+00,-1.355649e-01 -6.051208e-01 2.688635e+00,-1.366512e-01 -6.064329e-01 2.692053e+00,-1.356686e-01 -6.109689e-01 2.692287e+00,-1.364841e-01 -6.104501e-01 2.693563e+00,-1.346780e-01 -6.106147e-01 2.696008e+00,-1.363259e-01 -6.108932e-01 2.696742e+00,-1.380008e-01 -6.098304e-01 2.700222e+00,-1.387572e-01 -6.133626e-01 2.706545e+00,-1.346859e-01 -6.270874e-01 2.705652e+00,-1.374548e-01 -6.239471e-01 2.709663e+00,-1.377927e-01 -6.266939e-01 2.709499e+00,-1.415669e-01 -6.148422e-01 2.710871e+00,-1.443870e-01 -6.206710e-01 2.711007e+00,-1.468430e-01 -6.145597e-01 2.711356e+00,-1.466967e-01 -6.144814e-01 2.707908e+00,-1.472225e-01 -6.135250e-01 2.705928e+00,-1.488189e-01 -6.133655e-01 2.706666e+00,-1.499889e-01 -6.141430e-01 2.704705e+00,-1.510610e-01 -6.133875e-01 2.703140e+00,-1.513447e-01 -6.148385e-01 2.703707e+00,-1.518473e-01 -6.142381e-01 2.701405e+00,-1.522030e-01 -6.139539e-01 2.700993e+00,-1.541108e-01 -6.129567e-01 2.700847e+00,-1.536676e-01 -6.127322e-01 2.701046e+00,-1.538765e-01 -6.125006e-01 2.702197e+00,-1.532039e-01 -6.135886e-01 2.702579e+00,-1.542849e-01 -6.125329e-01 2.701885e+00,-1.545083e-01 -6.125391e-01 2.703899e+00,-1.549910e-01 -6.121888e-01 2.702073e+00,-1.539617e-01 -6.123670e-01 2.700107e+00,-1.538986e-01 -6.116189e-01 2.696163e+00,-1.522148e-01 -6.115740e-01 2.693096e+00,-1.522125e-01 -6.117804e-01 2.689229e+00,-1.522189e-01 -6.108611e-01 2.684439e+00,-1.492195e-01 -6.085392e-01 2.682993e+00,-1.468953e-01 -6.044552e-01 2.681595e+00,-1.459395e-01 -6.036940e-01 2.681355e+00,-1.463195e-01 -6.044860e-01 2.685341e+00,-1.472047e-01 -6.042106e-01 2.688405e+00,-1.480602e-01 -6.062611e-01 2.688813e+00,-1.465310e-01 -6.070109e-01 2.688951e+00,-1.463536e-01 -6.103826e-01 2.686290e+00,-1.460356e-01 -6.103318e-01 2.689729e+00,-1.460399e-01 -6.123677e-01 2.689420e+00
1.989909e-01 -1.595488e-01 2.766569e+00,1.992220e-01 -1.597388e-01 2.767274e+00,1.993193e-01 -1.599760e-01 2.767972e+00,1.994912e-01 -1.599328e-01 2.769329e+00,1.997898e-01 -1.591525e-01 2.771335e+00,2.002380e-01 -1.589753e-01 2.773672e+00,2.001852e-01 -1.586129e-01 2.774560e+00,2.001056e-01 -1.577056e-01 2.775182e+00,2.003163e-01 -1.577607e-01 2.774670e+00,1.965023e-01 -1.503564e-01 2.767007e+00,1.904797e-01 -1.294345e-01 2.748773e+00,1.877375e-01 -1.326844e-01 2.744835e+00,1.852953e-01 -1.357588e-01 2.742532e+00,1.767384e-01 -1.452177e-01 2.734058e+00,1.737007e-01 -1.480813e-01 2.731707e+00,1.725257e-01 -1.481669e-01 2.730329e+00,1.708399e-01 -1.480768e-01 2.729583e+00,1.691075e-01 -1.303424e-01 2.730037e+00,1.644036e-01 -9.864675e-02 2.736671e+00,1.605676e-01 -1.132434e-01 2.739233e+00,1.525189e-01 -1.455308e-01 2.740007e+00,1.526819e-01 -1.450882e-01 2.740168e+00,1.528636e-01 -1.443238e-01 2.740627e+00,1.530759e-01 -1.437215e-01 2.741048e+00,1.534169e-01 -1.436021e-01 2.741282e+00,1.630839e-01 -1.367359e-01 2.749870e+00,1.660170e-01 -1.367368e-01 2.752277e+00,1.702823e-01 -1.363688e-01 2.755653e+00,1.730366e-01 -1.371612e-01 2.759482e+00,1.755832e-01 -1.385050e-01 2.761922e+00,1.789254e-01 -1.412300e-01 2.764463e+00,1.808942e-01 -1.435445e-01 2.766585e+00,1.828269e-01 -1.485239e-01 2.769597e+00,1.840688e-01 -1.508755e-01 2.771843e+00,1.843957e-01 -1.516739e-01 2.772477e+00,1.850093e-01 -1.527708e-01 2.772820e+00,1.848722e-01 -1.527234e-01 2.772792e+00,1.848701e-01 -1.550197e-01 2.772106e+00,1.847379e-01 -1.567162e-01 2.770963e+00,1.842607e-01 -1.579736e-01 2.769731e+00,1.848485e-01 -1.605129e-01 2.767698e+00,1.851588e-01 -1.609671e-01 2.767014e+00,1.851395e-01 -1.601205e-01 2.765177e+00,1.854402e-01 -1.600304e-01 2.765121e+00,1.858756e-01 -1.592777e-01 2.764626e+00,1.863556e-01 -1.592246e-01 2.764611e+00,1.864711e-01 -1.584314e-01 2.764388e+00,1.865438e-01 -1.581082e-01 2.764229e+00,1.868013e-01 -1.581580e-01 2.764139e+00,1.870349e-01 -1.583054e-01 2.764325e+00
2.354881e-01 -4.090729e-01 2.784381e+00,2.357407e-01 -4.096524e-01 2.784645e+00,2.367920e-01 -4.093708e-01 2.785765e+00,2.406501e-01 -3.999070e-01 2.789838e+00,2.540467e-01 -3.639807e-01 2.787860e+00,2.595845e-01 -3.509558e-01 2.780609e+00,2.740554e-01 -3.468147e-01 2.765531e+00,2.769052e-01 -3.355832e-01 2.700216e+00,2.793045e-01 -3.346913e-01 2.699775e+00,1.957598e-01 -2.500930e-01 2.575247e+00,1.512232e-01 -1.906866e-01 2.544185e+00,1.400840e-01 -1.779744e-01 2.537678e+00,1.275184e-01 -1.603177e-01 2.534313e+00,1.167312e-01 -1.494255e-01 2.524966e+00,1.183226e-01 -1.458650e-01 2.521239e+00,1.383329e-01 -1.457602e-01 2.515233e+00,1.387533e-01 -1.454266e-01 2.514156e+00,1.437562e-01 -1.482910e-01 2.514507e+00,1.609129e-01 -1.426033e-01 2.523660e+00,1.772808e-01 -1.411225e-01 2.520348e+00,2.151400e-01 -1.386308e-01 2.526432e+00,2.325739e-01 -1.041630e-01 2.518481e+00,2.421159e-01 -1.283166e-01 2.543494e+00,2.553761e-01 -1.186835e-01 2.552411e+00,2.784246e-01 -9.700625e-02 2.572845e+00,2.946691e-01 -1.233726e-01 2.580675e+00,2.999261e-01 -1.318619e-01 2.584627e+00,3.074739e-01 -1.444720e-01 2.591139e+00,3.174604e-01 -1.620007e-01 2.603912e+00,3.300036e-01 -1.958299e-01 2.628212e+00,3.336179e-01 -2.184992e-01 2.643145e+00,3.367873e-01 -2.496916e-01 2.661958e+00,3.227219e-01 -2.960599e-01 2.713198e+00,3.058448e-01 -3.160233e-01 2.740776e+00,2.978782e-01 -3.191072e-01 2.758769e+00,2.769055e-01 -3.355153e-01 2.787443e+00,2.728529e-01 -3.405435e-01 2.787883e+00,2.555379e-01 -3.614388e-01 2.785946e+00,2.465757e-01 -3.739000e-01 2.779659e+00,2.391571e-01 -3.928086e-01 2.774096e+00,2.337627e-01 -3.991865e-01 2.775630e+00,2.323691e-01 -4.032529e-01 2.777834e+00,2.309148e-01 -4.043140e-01 2.783764e+00,2.308585e-01 -4.049163e-01 2.784407e+00,2.295268e-01 -4.055862e-01 2.785554e+00,2.288330e-01 -4.053237e-01 2.785454e+00,2.263548e-01 -3.994240e-01 2.785962e+00,2.263459e-01 -4.005400e-01 2.785775e+00,2.260324e-01 -3.990774e-01 2.786056e+00,2.259195e-01 -4.007623e-01 2.786534e+00
2.441567e-01 -6.042821e-01 2.725266e+00,2.391510e-01 -6.045079e-01 2.723384e+00,2.412243e-01 -6.018773e-01 2.716188e+00,2.347797e-01 -5.873233e-01 2.705435e+00,2.262136e-01 -5.306380e-01 2.666929e+00,2.029556e-01 -5.110199e-01 2.630916e+00,1.947112e-01 -4.369639e-01 2.592335e+00,1.410280e-01 -3.374180e-01 2.538818e+00,1.197429e-01 -2.790102e-01 2.541382e+00,4.026297e-02 -1.310271e-01 2.506801e+00,5.565367e-03 -5.166480e-02 2.500303e+00,-4.962754e-03 -3.713734e-02 2.499579e+00,-2.006157e-02 -2.150797e-02 2.500301e+00,-6.021157e-02 1.654066e-02 2.490048e+00,-4.358201e-02 -2.390665e-02 2.488726e+00,-4.315920e-02 -5.457858e-02 2.486565e+00,-4.799433e-02 -7.116395e-02 2.469226e+00,-4.285353e-02 -7.350590e-02 2.469822e+00,8.687895e-02 -1.186259e-01 2.460576e+00,1.185398e-01 -9.891645e-02 2.454256e+00,1.506028e-01 2.867828e-02 2.419305e+00,2.190201e-01 4.794700e-03 2.452845e+00,2.480434e-01 5.585226e-02 2.446712e+00,2.940195e-01 6.840323e-02 2.472294e+00,3.061070e-01 8.218151e-02 2.470644e+00,3.217031e-01 6.260224e-02 2.492567e+00,3.288261e-01 5.477759e-02 2.498768e+00,3.358456e-01 4.237168e-02 2.505487e+00,3.546475e-01 2.051811e-02 2.511871e+00,3.582093e-01 -1.844393e-02 2.522297e+00,3.832318e-01 -6.066611e-02 2.514840e+00,3.895488e-01 -1.076297e-01 2.516472e+00,3.893529e-01 -2.092525e-01 2.532488e+00,3.788914e-01 -2.697072e-01 2.547700e+00,3.658034e-01 -3.094094e-01 2.558489e+00,3.372387e-01 -4.187816e-01 2.603560e+00,3.283609e-01 -4.646567e-01 2.628547e+00,3.094693e-01 -5.249564e-01 2.670716e+00,2.990856e-01 -5.520559e-01 2.691164e+00,2.927699e-01 -5.775981e-01 2.704373e+00,2.758858e-01 -5.917722e-01 2.724662e+00,2.713233e-01 -5.969839e-01 2.729315e+00,2.589144e-01 -6.000217e-01 2.735562e+00,2.498480e-01 -6.015221e-01 2.735092e+00,2.488464e-01 -6.021698e-01 2.736308e+00,2.486036e-01 -6.018956e-01 2.736382e+00,2.470123e-01 -5.960261e-01 2.737412e+00,2.465660e-01 -5.971255e-01 2.736914e+00,2.445832e-01 -5.956072e-01 2.735993e+00,2.413190e-01 -5.976934e-01 2.737107e+00
