4.920819e-02 -5.612060e-01 2.779528e+00,4.901162e-02 -5.611909e-01 2.779530e+00,4.894003e-02 -5.611651e-01 2.779531e+00,4.860098e-02 -5.612119e-01 2.779514e+00,4.475646e-02 -5.613935e-01 2.778290e+00,4.252102e-02 -5.614520e-01 2.777920e+00,3.830342e-02 -5.614294e-01 2.776258e+00,3.381984e-02 -5.618083e-01 2.775331e+00,3.140657e-02 -5.620510e-01 2.775013e+00,2.752933e-02 -5.616223e-01 2.773247e+00,2.434430e-02 -5.616183e-01 2.772990e+00,2.050554e-02 -5.602900e-01 2.771459e+00,1.817008e-02 -5.588993e-01 2.771008e+00,1.761979e-02 -5.589035e-01 2.770826e+00,1.699981e-02 -5.600563e-01 2.770403e+00,1.348417e-02 -5.618275e-01 2.772551e+00,1.163968e-02 -5.630140e-01 2.773856e+00,1.229319e-02 -5.641169e-01 2.774591e+00,1.378796e-02 -5.658049e-01 2.774527e+00,1.691992e-02 -5.693240e-01 2.774515e+00,1.721350e-02 -5.693230e-01 2.774946e+00,1.718180e-02 -5.692062e-01 2.775156e+00,1.414521e-02 -5.721121e-01 2.777902e+00,1.403256e-02 -5.728312e-01 2.777591e+00,1.811949e-02 -5.776002e-01 2.775474e+00,1.760053e-02 -5.762638e-01 2.775892e+00,2.188719e-02 -5.620850e-01 2.776507e+00,1.700186e-02 -5.626563e-01 2.775602e+00,1.093926e-02 -5.613745e-01 2.772511e+00,1.217218e-02 -5.607125e-01 2.771057e+00,1.383605e-02 -5.604722e-01 2.770845e+00,1.486262e-02 -5.601991e-01 2.770400e+00,1.893087e-02 -5.600272e-01 2.770259e+00,2.074774e-02 -5.598122e-01 2.769958e+00,2.414292e-02 -5.600172e-01 2.769890e+00,2.880940e-02 -5.595077e-01 2.771001e+00,3.318423e-02 -5.599596e-01 2.772097e+00,3.970913e-02 -5.592583e-01 2.773236e+00,4.072499e-02 -5.596468e-01 2.773875e+00,4.321774e-02 -5.602530e-01 2.775257e+00,4.423529e-02 -5.605381e-01 2.775556e+00,4.573417e-02 -5.604537e-01 2.776532e+00,4.653615e-02 -5.604258e-01 2.777233e+00,4.722981e-02 -5.605980e-01 2.777793e+00
4.700198e-02 -2.696030e-01 2.805171e+00,4.644541e-02 -2.697094e-01 2.805177e+00,4.598783e-02 -2.697653e-01 2.805053e+00,4.549634e-02 -2.698300e-01 2.804746e+00,4.341539e-02 -2.698565e-01 2.803865e+00,4.180425e-02 -2.696894e-01 2.803302e+00,3.955171e-02 -2.696375e-01 2.802287e+00,3.647627e-02 -2.694247e-01 2.801354e+00,3.458444e-02 -2.692992e-01 2.800988e+00,3.156607e-02 -2.689404e-01 2.799889e+00,2.913873e-02 -2.689839e-01 2.799616e+00,2.659526e-02 -2.683969e-01 2.799101e+00,2.306418e-02 -2.667877e-01 2.797721e+00,2.166529e-02 -2.660833e-01 2.796680e+00,1.794752e-02 -2.682008e-01 2.792786e+00,1.345138e-02 -2.696149e-01 2.789820e+00,1.206110e-02 -2.702197e-01 2.787621e+00,1.098267e-02 -2.701132e-01 2.783181e+00,4.117362e-03 -2.852184e-01 2.780300e+00,1.227480e-03 -2.926274e-01 2.779305e+00,6.821263e-05 -2.937326e-01 2.779666e+00,-7.108900e-04 -2.946947e-01 2.779481e+00,-5.075849e-04 -2.926862e-01 2.779744e+00,1.942493e-03 -2.866176e-01 2.780007e+00,1.099725e-02 -2.769131e-01 2.782948e+00,1.243041e-02 -2.751797e-01 2.785470e+00,1.373290e-02 -2.704348e-01 2.787153e+00,1.348026e-02 -2.700299e-01 2.787839e+00,1.304361e-02 -2.690785e-01 2.788161e+00,1.440490e-02 -2.680052e-01 2.788034e+00,1.581790e-02 -2.676213e-01 2.788310e+00,1.732620e-02 -2.672082e-01 2.788198e+00,2.052483e-02 -2.665222e-01 2.788695e+00,2.186726e-02 -2.663833e-01 2.788751e+00,2.515144e-02 -2.664616e-01 2.789907e+00,2.809745e-02 -2.664984e-01 2.791019e+00,3.066709e-02 -2.667982e-01 2.792443e+00,3.654864e-02 -2.673107e-01 2.795336e+00,3.811389e-02 -2.677647e-01 2.797010e+00,4.085427e-02 -2.682837e-01 2.800028e+00,4.173807e-02 -2.684657e-01 2.800801e+00,4.286183e-02 -2.685348e-01 2.802721e+00,4.352702e-02 -2.687258e-01 2.803944e+00,4.429155e-02 -2.688761e-01 2.804901e+00
4.416179e-02 1.662433e-02 2.818109e+00,4.318637e-02 1.631622e-02 2.818091e+00,4.218881e-02 1.608798e-02 2.817680e+00,4.158987e-02 1.603745e-02 2.816904e+00,4.095230e-02 1.613420e-02 2.816419e+00,4.004079e-02 1.648960e-02 2.815764e+00,3.933404e-02 1.657443e-02 2.815291e+00,3.785606e-02 1.721185e-02 2.814503e+00,3.666923e-02 1.766310e-02 2.814119e+00,3.473227e-02 1.806585e-02 2.813565e+00,3.319064e-02 1.805148e-02 2.813313e+00,3.171594e-02 1.819406e-02 2.813443e+00,2.717487e-02 1.993675e-02 2.811086e+00,2.470143e-02 2.201935e-02 2.808611e+00,1.908412e-02 1.872102e-02 2.797763e+00,1.101336e-02 1.724645e-02 2.786978e+00,1.047526e-02 1.732277e-02 2.780605e+00,7.968409e-03 1.954089e-02 2.770633e+00,-2.112005e-02 -2.562129e-02 2.769156e+00,-2.210962e-02 -2.689669e-02 2.769156e+00,-2.360257e-02 -2.806265e-02 2.769535e+00,-2.407921e-02 -2.968559e-02 2.768912e+00,-1.523317e-02 -1.140609e-02 2.767800e+00,-4.656681e-03 1.186419e-02 2.771196e+00,7.955933e-03 2.559526e-02 2.779745e+00,1.152106e-02 2.500317e-02 2.785022e+00,1.119182e-02 2.420320e-02 2.787795e+00,1.266683e-02 2.414891e-02 2.790395e+00,1.447891e-02 2.394399e-02 2.792642e+00,1.632759e-02 2.404233e-02 2.793394e+00,1.757150e-02 2.379753e-02 2.793903e+00,1.973552e-02 2.359099e-02 2.794036e+00,2.211167e-02 2.373975e-02 2.794755e+00,2.308412e-02 2.352427e-02 2.795002e+00,2.651848e-02 2.288198e-02 2.797563e+00,2.807133e-02 2.228951e-02 2.798491e+00,2.922430e-02 2.187933e-02 2.800025e+00,3.423706e-02 1.962364e-02 2.804961e+00,3.612136e-02 1.907798e-02 2.807891e+00,3.872674e-02 1.857928e-02 2.812850e+00,3.942008e-02 1.847087e-02 2.814015e+00,4.003410e-02 1.814285e-02 2.816793e+00,4.046599e-02 1.765637e-02 2.818520e+00,4.123299e-02 1.754725e-02 2.819761e+00
4.980955e-02 1.567426e-01 2.821430e+00,4.938321e-02 1.567711e-01 2.821432e+00,4.831443e-02 1.567583e-01 2.821217e+00,4.755066e-02 1.567972e-01 2.820874e+00,4.618673e-02 1.571500e-01 2.820258e+00,4.556639e-02 1.572620e-01 2.820061e+00,4.510268e-02 1.572292e-01 2.819806e+00,4.301519e-02 1.578214e-01 2.818857e+00,4.129632e-02 1.582196e-01 2.818975e+00,3.543351e-02 1.587896e-01 2.819105e+00,3.180119e-02 1.589703e-01 2.819210e+00,2.860427e-02 1.595872e-01 2.818286e+00,2.118876e-02 1.603980e-01 2.818578e+00,1.691406e-02 1.603529e-01 2.817713e+00,-3.503262e-02 1.301538e-01 2.814101e+00,-2.388030e-02 1.401397e-01 2.816506e+00,-1.433890e-02 1.528531e-01 2.813821e+00,-1.611819e-02 1.543434e-01 2.812346e+00,-5.039945e-03 1.468488e-01 2.808809e+00,-5.570594e-03 1.454341e-01 2.807786e+00,-6.121548e-03 1.440899e-01 2.807379e+00,-6.365810e-03 1.424381e-01 2.807086e+00,-2.612511e-03 1.615006e-01 2.805595e+00,-3.327881e-04 1.728030e-01 2.804605e+00,2.588042e-04 1.685924e-01 2.804900e+00,1.803253e-04 1.678754e-01 2.805404e+00,1.275838e-03 1.668828e-01 2.806812e+00,1.964395e-03 1.661010e-01 2.807244e+00,6.268196e-03 1.650074e-01 2.807382e+00,1.134221e-02 1.643045e-01 2.806699e+00,1.512525e-02 1.637239e-01 2.806726e+00,1.796409e-02 1.632163e-01 2.806043e+00,2.297153e-02 1.631724e-01 2.805740e+00,2.633828e-02 1.630623e-01 2.805259e+00,3.168370e-02 1.625234e-01 2.805727e+00,3.333180e-02 1.621981e-01 2.806285e+00,3.556122e-02 1.617870e-01 2.806807e+00,4.138368e-02 1.603317e-01 2.808153e+00,4.400650e-02 1.595865e-01 2.809753e+00,4.847536e-02 1.589473e-01 2.812723e+00,4.965866e-02 1.585325e-01 2.813755e+00,5.226233e-02 1.576771e-01 2.817621e+00,5.320835e-02 1.570973e-01 2.819096e+00,5.379800e-02 1.567429e-01 2.820292e+00
-1.054171e-01 -9.755854e-02 2.799295e+00,-1.060659e-01 -9.760470e-02 2.799232e+00,-1.079563e-01 -9.724625e-02 2.799405e+00,-1.083705e-01 -9.739368e-02 2.799142e+00,-1.089492e-01 -9.761415e-02 2.798311e+00,-1.094574e-01 -9.754181e-02 2.797918e+00,-1.100881e-01 -9.697106e-02 2.797497e+00,-1.112699e-01 -9.631992e-02 2.796326e+00,-1.118717e-01 -9.651438e-02 2.795904e+00,-1.169798e-01 -9.497979e-02 2.800007e+00,-1.180053e-01 -9.457883e-02 2.801717e+00,-1.198254e-01 -9.365162e-02 2.805368e+00,-1.142682e-01 -8.596487e-02 2.809946e+00,-1.090459e-01 -8.439911e-02 2.808070e+00,-1.043084e-01 -7.903342e-02 2.807581e+00,-1.111271e-01 -9.293743e-02 2.808090e+00,-1.110248e-01 -9.528768e-02 2.806304e+00,-1.152193e-01 -9.373475e-02 2.805895e+00,-1.165809e-01 -9.463504e-02 2.807225e+00,-1.208554e-01 -1.007040e-01 2.807819e+00,-1.216516e-01 -1.005931e-01 2.807904e+00,-1.223278e-01 -1.006353e-01 2.808213e+00,-1.240499e-01 -9.914497e-02 2.809489e+00,-1.241668e-01 -1.001376e-01 2.808511e+00,-1.242836e-01 -1.114570e-01 2.800246e+00,-1.267760e-01 -7.932957e-02 2.817174e+00,-1.268936e-01 -8.672967e-02 2.812105e+00,-1.274917e-01 -8.718888e-02 2.811626e+00,-1.293940e-01 -8.979418e-02 2.805023e+00,-1.291658e-01 -9.003385e-02 2.797508e+00,-1.286334e-01 -9.001665e-02 2.795248e+00,-1.278444e-01 -9.021980e-02 2.790040e+00,-1.256527e-01 -9.030638e-02 2.785597e+00,-1.231549e-01 -9.082697e-02 2.782767e+00,-1.197566e-01 -9.146795e-02 2.780307e+00,-1.188185e-01 -9.125092e-02 2.780426e+00,-1.172686e-01 -9.126421e-02 2.780214e+00,-1.150222e-01 -9.194466e-02 2.780797e+00,-1.140441e-01 -9.231969e-02 2.781872e+00,-1.121873e-01 -9.364489e-02 2.785113e+00,-1.112856e-01 -9.396613e-02 2.786065e+00,-1.094847e-01 -9.520993e-02 2.790822e+00,-1.088365e-01 -9.542131e-02 2.792216e+00,-1.081287e-01 -9.566449e-02 2.793803e+00
-1.387613e-01 -3.266852e-01 2.800991e+00,-1.388384e-01 -3.263249e-01 2.801184e+00,-1.399312e-01 -3.264225e-01 2.801371e+00,-1.401760e-01 -3.264053e-01 2.801356e+00,-1.422258e-01 -3.270849e-01 2.800757e+00,-1.430552e-01 -3.272550e-01 2.800808e+00,-1.447356e-01 -3.269079e-01 2.800126e+00,-1.496207e-01 -3.268966e-01 2.799343e+00,-1.506838e-01 -3.263776e-01 2.799954e+00,-1.528119e-01 -3.257807e-01 2.804172e+00,-1.533840e-01 -3.259172e-01 2.806509e+00,-1.537158e-01 -3.261234e-01 2.810545e+00,-1.530304e-01 -3.240825e-01 2.821432e+00,-1.513622e-01 -3.187625e-01 2.832869e+00,-1.458811e-01 -3.210102e-01 2.838794e+00,-1.432891e-01 -3.217554e-01 2.842916e+00,-1.424481e-01 -3.289352e-01 2.846523e+00,-1.380762e-01 -3.300505e-01 2.850684e+00,-1.365436e-01 -3.302735e-01 2.852737e+00,-1.342717e-01 -3.295815e-01 2.857060e+00,-1.344692e-01 -3.309438e-01 2.857889e+00,-1.344808e-01 -3.309670e-01 2.857963e+00,-1.411516e-01 -3.391931e-01 2.853814e+00,-1.531446e-01 -3.729910e-01 2.836474e+00,-1.458182e-01 -3.332812e-01 2.840494e+00,-1.475678e-01 -3.357192e-01 2.838896e+00,-1.515252e-01 -3.334507e-01 2.835078e+00,-1.536545e-01 -3.298320e-01 2.831633e+00,-1.556794e-01 -3.272266e-01 2.821968e+00,-1.574751e-01 -3.264137e-01 2.811862e+00,-1.569740e-01 -3.256045e-01 2.807488e+00,-1.565945e-01 -3.245433e-01 2.803339e+00,-1.555819e-01 -3.227260e-01 2.796340e+00,-1.548743e-01 -3.237328e-01 2.792883e+00,-1.544274e-01 -3.241879e-01 2.789458e+00,-1.541494e-01 -3.239524e-01 2.788180e+00,-1.540364e-01 -3.240018e-01 2.787739e+00,-1.535023e-01 -3.235789e-01 2.786609e+00,-1.531964e-01 -3.234034e-01 2.786683e+00,-1.516866e-01 -3.235420e-01 2.787667e+00,-1.510599e-01 -3.236255e-01 2.788131e+00,-1.472406e-01 -3.244947e-01 2.791723e+00,-1.454220e-01 -3.240638e-01 2.794010e+00,-1.446978e-01 -3.245803e-01 2.794810e+00
-1.428949e-01 -5.165718e-01 2.715169e+00,-1.431763e-01 -5.162310e-01 2.715421e+00,-1.446509e-01 -5.163116e-01 2.715592e+00,-1.448418e-01 -5.161174e-01 2.715125e+00,-1.459439e-01 -5.169614e-01 2.714891e+00,-1.463413e-01 -5.174178e-01 2.715652e+00,-1.470112e-01 -5.172608e-01 2.715412e+00,-1.474865e-01 -5.177949e-01 2.716019e+00,-1.486304e-01 -5.169984e-01 2.715893e+00,-1.528258e-01 -5.151895e-01 2.717002e+00,-1.553861e-01 -5.146159e-01 2.717637e+00,-1.576627e-01 -5.139139e-01 2.719594e+00,-1.655567e-01 -5.127215e-01 2.733463e+00,-1.654831e-01 -5.078798e-01 2.746325e+00,-1.625526e-01 -5.129240e-01 2.760307e+00,-1.586747e-01 -5.130514e-01 2.762392e+00,-1.445935e-01 -5.191025e-01 2.761363e+00,-1.387519e-01 -5.402790e-01 2.767439e+00,-1.386618e-01 -5.387226e-01 2.768748e+00,-1.395233e-01 -5.380051e-01 2.770226e+00,-1.399550e-01 -5.376191e-01 2.771019e+00,-1.403107e-01 -5.362189e-01 2.771531e+00,-1.647354e-01 -5.325397e-01 2.782093e+00,-1.636446e-01 -5.699388e-01 2.773730e+00,-1.640939e-01 -5.292276e-01 2.775591e+00,-1.686535e-01 -5.272402e-01 2.760726e+00,-1.698831e-01 -5.228941e-01 2.750464e+00,-1.691376e-01 -5.183218e-01 2.743915e+00,-1.680566e-01 -5.167482e-01 2.736210e+00,-1.663454e-01 -5.169737e-01 2.728247e+00,-1.658029e-01 -5.170959e-01 2.726355e+00,-1.642978e-01 -5.159874e-01 2.721922e+00,-1.620217e-01 -5.147872e-01 2.716465e+00,-1.599312e-01 -5.160713e-01 2.713670e+00,-1.556832e-01 -5.165767e-01 2.710189e+00,-1.538881e-01 -5.163066e-01 2.708786e+00,-1.526758e-01 -5.162837e-01 2.708145e+00,-1.507968e-01 -5.160170e-01 2.707479e+00,-1.497604e-01 -5.158238e-01 2.707521e+00,-1.489284e-01 -5.156590e-01 2.707633e+00,-1.485591e-01 -5.156716e-01 2.707893e+00,-1.477611e-01 -5.158578e-01 2.709606e+00,-1.471608e-01 -5.152798e-01 2.711522e+00,-1.463763e-01 -5.156577e-01 2.711956e+00
-1.320670e-01 -5.387274e-01 2.704421e+00,-1.337268e-01 -5.378853e-01 2.706958e+00,-1.358067e-01 -5.372353e-01 2.706562e+00,-1.349216e-01 -5.369522e-01 2.704512e+00,-1.354274e-01 -5.465078e-01 2.705496e+00,-1.358605e-01 -5.460747e-01 2.707470e+00,-1.384204e-01 -5.422337e-01 2.704703e+00,-1.419299e-01 -5.379093e-01 2.708500e+00,-1.425126e-01 -5.397872e-01 2.705528e+00,-1.456004e-01 -5.385963e-01 2.706408e+00,-1.442198e-01 -5.565074e-01 2.705225e+00,-1.451728e-01 -5.569119e-01 2.708532e+00,-1.543169e-01 -5.448357e-01 2.719638e+00,-1.561395e-01 -5.358348e-01 2.731003e+00,-1.534802e-01 -5.538167e-01 2.740917e+00,-1.515535e-01 -5.565414e-01 2.750117e+00,-1.366103e-01 -5.384857e-01 2.750890e+00,-1.364745e-01 -5.805389e-01 2.764426e+00,-1.348163e-01 -5.869521e-01 2.766555e+00,-1.361769e-01 -5.821500e-01 2.769824e+00,-1.378344e-01 -5.836908e-01 2.768855e+00,-1.407577e-01 -5.807709e-01 2.767902e+00,-1.500670e-01 -5.738041e-01 2.766654e+00,-1.462670e-01 -5.983592e-01 2.761226e+00,-1.558321e-01 -5.695994e-01 2.743731e+00,-1.500593e-01 -5.387347e-01 2.738610e+00,-1.602387e-01 -5.425595e-01 2.731500e+00,-1.594360e-01 -5.363544e-01 2.727278e+00,-1.560387e-01 -5.435749e-01 2.714737e+00,-1.547133e-01 -5.445371e-01 2.710814e+00,-1.536684e-01 -5.420774e-01 2.707040e+00,-1.528329e-01 -5.412802e-01 2.704303e+00,-1.495426e-01 -5.388107e-01 2.699275e+00,-1.458135e-01 -5.389699e-01 2.697168e+00,-1.430546e-01 -5.393352e-01 2.696968e+00,-1.422949e-01 -5.405529e-01 2.696788e+00,-1.424843e-01 -5.375950e-01 2.697911e+00,-1.390026e-01 -5.371222e-01 2.698664e+00,-1.373664e-01 -5.368963e-01 2.697902e+00,-1.371283e-01 -5.353081e-01 2.701012e+00,-1.373668e-01 -5.343449e-01 2.702362e+00,-1.361148e-01 -5.360956e-01 2.705161e+00,-1.360513e-01 -5.378673e-01 2.707884e+00,-1.351000e-01 -5.364883e-01 2.707267e+00
1.959879e-01 -9.369606e-02 2.787643e+00,1.956566e-01 -9.384266e-02 2.787585e+00,1.938536e-01 -9.382743e-02 2.787125e+00,1.919731e-01 -9.415244e-02 2.786710e+00,1.888380e-01 -9.497252e-02 2.786112e+00,1.877718e-01 -9.511516e-02 2.786534e+00,1.858566e-01 -9.585559e-02 2.786226e+00,1.836159e-01 -9.638831e-02 2.785874e+00,1.808612e-01 -9.558924e-02 2.783525e+00,1.684704e-01 -8.774728e-02 2.766843e+00,1.571004e-01 -8.250805e-02 2.756018e+00,1.560843e-01 -8.129116e-02 2.754269e+00,1.366383e-01 -7.584524e-02 2.735780e+00,1.319857e-01 -7.973310e-02 2.732733e+00,1.149846e-01 -8.344495e-02 2.714179e+00,1.098085e-01 -7.449612e-02 2.705375e+00,1.071127e-01 -7.294326e-02 2.703123e+00,9.233687e-02 -7.121942e-02 2.694769e+00,8.984785e-02 -7.488042e-02 2.693131e+00,9.100193e-02 -7.981949e-02 2.694010e+00,8.996848e-02 -8.245260e-02 2.692878e+00,8.968645e-02 -8.422374e-02 2.691767e+00,9.842350e-02 -8.803046e-02 2.697421e+00,1.005484e-01 -8.867792e-02 2.698811e+00,1.136790e-01 -7.097399e-02 2.705860e+00,1.151261e-01 -6.939603e-02 2.707323e+00,1.216738e-01 -7.143037e-02 2.710304e+00,1.306427e-01 -7.492361e-02 2.714068e+00,1.453952e-01 -7.895822e-02 2.724871e+00,1.566038e-01 -8.275185e-02 2.735433e+00,1.621736e-01 -8.428366e-02 2.742375e+00,1.665797e-01 -8.527897e-02 2.746297e+00,1.745815e-01 -8.834204e-02 2.756613e+00,1.780076e-01 -8.909021e-02 2.761816e+00,1.814621e-01 -9.063709e-02 2.768797e+00,1.828672e-01 -9.112443e-02 2.773092e+00,1.845036e-01 -9.199315e-02 2.776344e+00,1.870744e-01 -9.321542e-02 2.781687e+00,1.878828e-01 -9.385445e-02 2.783592e+00,1.896963e-01 -9.478349e-02 2.787453e+00,1.904147e-01 -9.521895e-02 2.788726e+00,1.919053e-01 -9.514517e-02 2.791183e+00,1.928046e-01 -9.517118e-02 2.792525e+00,1.933471e-01 -9.533256e-02 2.793414e+00
2.289747e-01 -3.361219e-01 2.809184e+00,2.280837e-01 -3.356501e-01 2.809423e+00,2.267836e-01 -3.351617e-01 2.809740e+00,2.262616e-01 -3.352741e-01 2.810388e+00,2.253812e-01 -3.355957e-01 2.814196e+00,2.250239e-01 -3.312328e-01 2.816181e+00,2.220760e-01 -3.176680e-01 2.817506e+00,2.204978e-01 -3.077768e-01 2.794204e+00,2.565712e-01 -2.816723e-01 2.724594e+00,2.715445e-01 -2.058165e-01 2.618425e+00,2.604164e-01 -1.517900e-01 2.577160e+00,2.406676e-01 -7.368164e-02 2.549307e+00,1.754629e-01 2.457780e-02 2.502512e+00,1.290885e-01 1.081202e-01 2.511507e+00,5.143894e-02 1.068741e-01 2.504937e+00,2.943081e-02 1.223016e-01 2.509012e+00,3.004428e-02 9.129257e-02 2.563119e+00,-6.818587e-03 7.160418e-02 2.541242e+00,-1.120848e-02 5.715081e-02 2.538712e+00,-2.139334e-03 4.454082e-02 2.539622e+00,-2.502243e-02 3.623482e-02 2.507250e+00,-2.562403e-02 3.347153e-02 2.500044e+00,-3.871924e-03 6.450190e-03 2.475183e+00,3.691332e-02 -3.140571e-02 2.469386e+00,7.666934e-02 -9.291980e-02 2.464312e+00,1.197242e-01 -1.411941e-01 2.492738e+00,1.881312e-01 -2.027676e-01 2.529526e+00,2.040769e-01 -2.304904e-01 2.580088e+00,2.329704e-01 -2.800212e-01 2.619352e+00,2.372449e-01 -2.711062e-01 2.704134e+00,2.424393e-01 -2.872732e-01 2.725149e+00,2.450486e-01 -2.968780e-01 2.740267e+00,2.473288e-01 -3.082680e-01 2.771610e+00,2.456986e-01 -3.130372e-01 2.787490e+00,2.388019e-01 -3.224617e-01 2.809666e+00,2.337309e-01 -3.332338e-01 2.817570e+00,2.309139e-01 -3.342816e-01 2.820045e+00,2.278547e-01 -3.330242e-01 2.822351e+00,2.274313e-01 -3.330044e-01 2.822371e+00,2.278116e-01 -3.335507e-01 2.822402e+00,2.279397e-01 -3.336318e-01 2.822411e+00,2.284180e-01 -3.344112e-01 2.822203e+00,2.284481e-01 -3.345254e-01 2.822221e+00,2.286199e-01 -3.346255e-01 2.822112e+00
2.420825e-01 -5.327653e-01 2.745429e+00,2.422715e-01 -5.322500e-01 2.745794e+00,2.416031e-01 -5.315603e-01 2.745532e+00,2.403413e-01 -5.307761e-01 2.742754e+00,2.597654e-01 -5.097448e-01 2.702692e+00,2.863629e-01 -4.585823e-01 2.658251e+00,3.054484e-01 -3.956186e-01 2.637569e+00,3.308695e-01 -2.544015e-01 2.619551e+00,3.527005e-01 -1.401435e-01 2.600010e+00,3.328725e-01 -9.269497e-03 2.602940e+00,3.078840e-01 4.764206e-02 2.584201e+00,2.656744e-01 1.255074e-01 2.582136e+00,1.739533e-01 2.171012e-01 2.561893e+00,1.277667e-01 3.019988e-01 2.565925e+00,-2.605391e-02 2.855856e-01 2.429305e+00,-8.829279e-02 2.612353e-01 2.403539e+00,-1.289313e-01 2.269909e-01 2.390114e+00,-1.791399e-01 1.749715e-01 2.378599e+00,-1.738683e-01 1.342548e-01 2.394261e+00,-1.940878e-01 1.138212e-01 2.378448e+00,-1.799975e-01 9.620999e-02 2.375993e+00,-1.794863e-01 8.963494e-02 2.365592e+00,-1.564466e-01 5.654632e-02 2.336489e+00,-1.263133e-01 3.491411e-02 2.352568e+00,-6.139126e-02 -6.515659e-02 2.352127e+00,-6.618911e-02 -1.092675e-01 2.325124e+00,5.149651e-02 -2.580929e-01 2.375775e+00,1.270816e-01 -3.104548e-01 2.397306e+00,1.914100e-01 -4.380589e-01 2.485438e+00,2.565763e-01 -4.446995e-01 2.586447e+00,2.684684e-01 -4.712653e-01 2.629521e+00,2.757067e-01 -4.845487e-01 2.655049e+00,2.762031e-01 -5.047566e-01 2.713767e+00,2.737573e-01 -5.106886e-01 2.734401e+00,2.637935e-01 -5.214674e-01 2.761498e+00,2.596792e-01 -5.311586e-01 2.764754e+00,2.342983e-01 -5.337622e-01 2.766281e+00,2.059041e-01 -5.247170e-01 2.744486e+00,2.068765e-01 -5.249335e-01 2.744756e+00,2.351158e-01 -5.306717e-01 2.759194e+00,2.373846e-01 -5.304381e-01 2.758394e+00,2.384491e-01 -5.309726e-01 2.757406e+00,2.389284e-01 -5.310107e-01 2.757239e+00,2.392664e-01 -5.311372e-01 2.757265e+00
