5.293945e-02 -4.419747e-01 2.838648e+00,5.293091e-02 -4.420924e-01 2.838617e+00,5.284962e-02 -4.421135e-01 2.838495e+00,5.285298e-02 -4.421161e-01 2.838492e+00,5.239407e-02 -4.420950e-01 2.838104e+00,5.233089e-02 -4.420872e-01 2.838069e+00,5.208572e-02 -4.420336e-01 2.838084e+00,5.205050e-02 -4.419142e-01 2.838141e+00,5.179710e-02 -4.416158e-01 2.838449e+00,5.048998e-02 -4.396138e-01 2.839646e+00,5.040916e-02 -4.392803e-01 2.840394e+00,5.024407e-02 -4.438936e-01 2.841290e+00,5.056413e-02 -4.492458e-01 2.842124e+00,4.984335e-02 -4.551365e-01 2.841670e+00,4.971274e-02 -4.571842e-01 2.841422e+00,4.886736e-02 -4.569299e-01 2.840775e+00,4.866564e-02 -4.552817e-01 2.840852e+00,4.851030e-02 -4.528660e-01 2.840578e+00,4.842994e-02 -4.519978e-01 2.840366e+00,4.843882e-02 -4.520078e-01 2.840353e+00,4.827924e-02 -4.531124e-01 2.840151e+00,4.864172e-02 -4.566202e-01 2.839989e+00,4.901668e-02 -4.586500e-01 2.840460e+00,4.892797e-02 -4.585373e-01 2.840461e+00,4.870053e-02 -4.533699e-01 2.840438e+00,4.868831e-02 -4.515629e-01 2.840645e+00,4.888724e-02 -4.478532e-01 2.840801e+00,4.906583e-02 -4.469034e-01 2.841204e+00,4.935867e-02 -4.457497e-01 2.841463e+00,4.968281e-02 -4.428680e-01 2.841876e+00,4.933482e-02 -4.411220e-01 2.841922e+00,4.886651e-02 -4.390186e-01 2.841859e+00,4.882396e-02 -4.386992e-01 2.841761e+00,4.886646e-02 -4.386972e-01 2.841690e+00,4.868052e-02 -4.387786e-01 2.841002e+00,4.863735e-02 -4.388821e-01 2.840894e+00,4.861936e-02 -4.389466e-01 2.840559e+00,4.876617e-02 -4.389718e-01 2.840421e+00,4.903571e-02 -4.392589e-01 2.840262e+00,4.930231e-02 -4.395989e-01 2.840350e+00,5.000376e-02 -4.401177e-01 2.840912e+00,5.033541e-02 -4.404412e-01 2.841158e+00,5.108079e-02 -4.408170e-01 2.841799e+00,5.129975e-02 -4.409243e-01 2.842058e+00,5.136083e-02 -4.409871e-01 2.842220e+00,5.160186e-02 -4.411237e-01 2.842824e+00,5.190840e-02 -4.412112e-01 2.843421e+00,5.206948e-02 -4.414868e-01 2.843783e+00,5.211243e-02 -4.416915e-01 2.843863e+00,5.220972e-02 -4.418839e-01 2.844110e+00,5.229101e-02 -4.419275e-01 2.844194e+00
5.428856e-02 -9.317099e-02 2.861592e+00,5.424557e-02 -9.321634e-02 2.861626e+00,5.423057e-02 -9.318811e-02 2.861629e+00,5.418829e-02 -9.320466e-02 2.861720e+00,5.414872e-02 -9.320468e-02 2.861715e+00,5.410147e-02 -9.318425e-02 2.861770e+00,5.389473e-02 -9.322676e-02 2.862258e+00,5.389003e-02 -9.322820e-02 2.862553e+00,5.378496e-02 -9.306403e-02 2.863008e+00,5.333824e-02 -9.221918e-02 2.864390e+00,5.334412e-02 -9.217773e-02 2.865072e+00,5.310402e-02 -9.385248e-02 2.866306e+00,5.376191e-02 -9.550400e-02 2.866533e+00,5.555961e-02 -9.814233e-02 2.864029e+00,5.675662e-02 -1.006065e-01 2.861641e+00,5.326099e-02 -9.297799e-02 2.857290e+00,5.149976e-02 -9.071789e-02 2.857198e+00,4.802421e-02 -8.905254e-02 2.859290e+00,4.643650e-02 -8.909138e-02 2.860970e+00,4.699241e-02 -8.869194e-02 2.860621e+00,4.913102e-02 -8.741747e-02 2.857418e+00,5.066910e-02 -8.842992e-02 2.856885e+00,5.235492e-02 -8.914457e-02 2.856630e+00,5.242568e-02 -8.840698e-02 2.856249e+00,5.040085e-02 -8.852845e-02 2.859191e+00,5.013758e-02 -8.891629e-02 2.861668e+00,5.033509e-02 -8.936945e-02 2.863366e+00,5.064679e-02 -8.966750e-02 2.864400e+00,5.119247e-02 -9.002320e-02 2.865179e+00,5.177863e-02 -9.033729e-02 2.866139e+00,5.177973e-02 -9.021061e-02 2.866287e+00,5.208039e-02 -8.979263e-02 2.866599e+00,5.209854e-02 -8.971808e-02 2.866649e+00,5.210224e-02 -8.973709e-02 2.866647e+00,5.202628e-02 -8.994000e-02 2.866599e+00,5.201345e-02 -8.995869e-02 2.866608e+00,5.215791e-02 -9.012119e-02 2.866379e+00,5.221033e-02 -9.022354e-02 2.866364e+00,5.226902e-02 -9.035972e-02 2.866336e+00,5.239532e-02 -9.050526e-02 2.866385e+00,5.276005e-02 -9.120802e-02 2.866681e+00,5.296008e-02 -9.146316e-02 2.866723e+00,5.311053e-02 -9.158602e-02 2.866725e+00,5.316341e-02 -9.172205e-02 2.866796e+00,5.317286e-02 -9.181765e-02 2.866801e+00,5.318824e-02 -9.195226e-02 2.866959e+00,5.320353e-02 -9.200386e-02 2.867099e+00,5.319794e-02 -9.220452e-02 2.867209e+00,5.323713e-02 -9.238657e-02 2.867260e+00,5.325530e-02 -9.264910e-02 2.867527e+00,5.329852e-02 -9.269002e-02 2.867700e+00
5.462781e-02 2.472121e-01 2.868760e+00,5.456117e-02 2.472211e-01 2.868973e+00,5.463115e-02 2.473846e-01 2.869170e+00,5.448600e-02 2.472968e-01 2.869600e+00,5.468488e-02 2.472470e-01 2.869825e+00,5.469420e-02 2.472835e-01 2.870120e+00,5.482430e-02 2.469098e-01 2.871730e+00,5.496539e-02 2.465973e-01 2.872475e+00,5.505526e-02 2.466350e-01 2.873000e+00,5.528570e-02 2.468032e-01 2.874542e+00,5.542655e-02 2.465564e-01 2.875094e+00,5.529244e-02 2.461303e-01 2.876291e+00,5.607845e-02 2.461254e-01 2.876205e+00,6.267016e-02 2.475816e-01 2.869342e+00,6.540316e-02 2.455228e-01 2.863899e+00,5.758686e-02 2.688913e-01 2.854086e+00,5.359761e-02 2.697151e-01 2.854916e+00,4.057653e-02 2.669499e-01 2.865805e+00,3.891006e-02 2.644043e-01 2.869759e+00,4.379029e-02 2.669571e-01 2.866637e+00,5.259464e-02 2.739022e-01 2.855333e+00,5.522897e-02 2.734460e-01 2.855041e+00,5.796652e-02 2.730482e-01 2.854803e+00,5.798365e-02 2.742382e-01 2.854207e+00,4.880733e-02 2.641767e-01 2.867475e+00,4.908526e-02 2.604536e-01 2.873418e+00,5.038497e-02 2.563695e-01 2.876325e+00,5.111980e-02 2.551155e-01 2.877273e+00,5.262904e-02 2.530546e-01 2.878242e+00,5.388213e-02 2.508698e-01 2.879201e+00,5.397882e-02 2.506954e-01 2.879220e+00,5.526303e-02 2.503648e-01 2.879276e+00,5.528491e-02 2.503615e-01 2.879280e+00,5.523544e-02 2.502591e-01 2.879188e+00,5.515388e-02 2.497569e-01 2.879229e+00,5.514592e-02 2.497635e-01 2.879233e+00,5.561750e-02 2.494615e-01 2.878550e+00,5.559760e-02 2.493073e-01 2.878473e+00,5.555450e-02 2.492483e-01 2.878436e+00,5.557448e-02 2.492346e-01 2.878414e+00,5.560042e-02 2.483906e-01 2.878265e+00,5.570554e-02 2.481791e-01 2.878055e+00,5.561465e-02 2.481032e-01 2.877316e+00,5.550931e-02 2.479089e-01 2.877196e+00,5.538573e-02 2.476759e-01 2.876874e+00,5.520875e-02 2.475607e-01 2.876753e+00,5.504449e-02 2.475477e-01 2.876685e+00,5.480738e-02 2.473691e-01 2.876421e+00,5.480092e-02 2.472915e-01 2.876388e+00,5.465533e-02 2.471055e-01 2.876508e+00,5.460211e-02 2.471197e-01 2.876695e+00
5.552102e-02 4.057169e-01 2.863225e+00,5.571634e-02 4.052877e-01 2.864473e+00,5.593668e-02 4.054192e-01 2.864556e+00,5.592810e-02 4.053972e-01 2.864741e+00,5.601255e-02 4.054367e-01 2.865540e+00,5.601030e-02 4.055327e-01 2.866795e+00,5.613144e-02 4.052188e-01 2.868645e+00,5.601971e-02 4.051741e-01 2.869121e+00,5.582510e-02 4.050470e-01 2.869545e+00,5.547340e-02 4.050938e-01 2.871583e+00,5.531991e-02 4.053303e-01 2.872531e+00,5.517661e-02 4.055196e-01 2.874169e+00,5.510861e-02 4.052845e-01 2.874573e+00,5.496490e-02 4.063629e-01 2.875550e+00,5.483560e-02 4.067594e-01 2.875948e+00,5.423409e-02 4.125834e-01 2.876902e+00,5.413239e-02 4.133620e-01 2.877259e+00,5.399287e-02 4.102768e-01 2.878620e+00,5.364192e-02 4.105003e-01 2.879020e+00,5.358274e-02 4.107569e-01 2.879192e+00,5.374657e-02 4.175759e-01 2.877453e+00,5.377733e-02 4.172308e-01 2.877667e+00,5.369590e-02 4.168861e-01 2.877945e+00,5.358194e-02 4.181391e-01 2.877491e+00,5.396522e-02 4.103423e-01 2.879690e+00,5.382616e-02 4.100628e-01 2.880346e+00,5.378097e-02 4.094015e-01 2.881202e+00,5.394452e-02 4.092441e-01 2.881931e+00,5.418812e-02 4.090754e-01 2.882223e+00,5.454220e-02 4.092943e-01 2.882291e+00,5.478333e-02 4.094172e-01 2.882214e+00,5.494659e-02 4.098450e-01 2.882143e+00,5.525711e-02 4.101611e-01 2.881962e+00,5.562225e-02 4.101305e-01 2.881714e+00,5.599317e-02 4.102876e-01 2.881390e+00,5.595581e-02 4.102680e-01 2.881353e+00,5.589280e-02 4.100833e-01 2.880599e+00,5.570742e-02 4.099489e-01 2.879436e+00,5.573516e-02 4.095892e-01 2.879426e+00,5.595576e-02 4.096118e-01 2.878432e+00,5.550388e-02 4.083829e-01 2.877028e+00,5.544269e-02 4.082215e-01 2.876733e+00,5.525304e-02 4.083028e-01 2.875875e+00,5.520831e-02 4.079666e-01 2.875407e+00,5.487279e-02 4.073794e-01 2.874317e+00,5.465554e-02 4.072984e-01 2.872653e+00,5.455695e-02 4.072753e-01 2.872440e+00,5.416521e-02 4.072144e-01 2.871654e+00,5.410067e-02 4.072334e-01 2.871549e+00,5.395147e-02 4.070289e-01 2.871688e+00,5.384671e-02 4.070737e-01 2.871725e+00
-1.412317e-01 1.102441e-01 2.860676e+00,-1.411528e-01 1.101616e-01 2.860763e+00,-1.411069e-01 1.101626e-01 2.860899e+00,-1.411779e-01 1.102279e-01 2.861703e+00,-1.414868e-01 1.106680e-01 2.863704e+00,-1.415132e-01 1.109049e-01 2.864828e+00,-1.406241e-01 1.120762e-01 2.866615e+00,-1.394881e-01 1.138524e-01 2.867576e+00,-1.390880e-01 1.140688e-01 2.867961e+00,-1.349814e-01 1.159100e-01 2.867213e+00,-1.348397e-01 1.162485e-01 2.867213e+00,-1.347053e-01 1.176514e-01 2.866719e+00,-1.350791e-01 1.186236e-01 2.866203e+00,-1.349979e-01 1.181447e-01 2.864234e+00,-1.352672e-01 1.187777e-01 2.863878e+00,-1.353886e-01 1.193010e-01 2.863376e+00,-1.351588e-01 1.199605e-01 2.863252e+00,-1.349533e-01 1.204369e-01 2.863054e+00,-1.348563e-01 1.209140e-01 2.862842e+00,-1.349194e-01 1.204338e-01 2.861676e+00,-1.350306e-01 1.207054e-01 2.861458e+00,-1.350595e-01 1.207102e-01 2.861272e+00,-1.353600e-01 1.210106e-01 2.861281e+00,-1.353870e-01 1.210583e-01 2.861284e+00,-1.353523e-01 1.209623e-01 2.861093e+00,-1.349537e-01 1.212676e-01 2.861022e+00,-1.347187e-01 1.214215e-01 2.861010e+00,-1.346068e-01 1.209810e-01 2.860854e+00,-1.343778e-01 1.210067e-01 2.860752e+00,-1.342297e-01 1.214771e-01 2.860626e+00,-1.338324e-01 1.218691e-01 2.860703e+00,-1.331125e-01 1.214845e-01 2.861271e+00,-1.331953e-01 1.208759e-01 2.862133e+00,-1.331600e-01 1.200271e-01 2.862561e+00,-1.335956e-01 1.196000e-01 2.863353e+00,-1.337349e-01 1.194732e-01 2.863693e+00,-1.352895e-01 1.185291e-01 2.865304e+00,-1.362879e-01 1.189069e-01 2.865915e+00,-1.369073e-01 1.178908e-01 2.866434e+00,-1.372767e-01 1.168681e-01 2.866262e+00,-1.383212e-01 1.147958e-01 2.866312e+00,-1.385297e-01 1.143496e-01 2.866208e+00,-1.391032e-01 1.128452e-01 2.866164e+00,-1.392369e-01 1.126925e-01 2.866233e+00,-1.396291e-01 1.123302e-01 2.866132e+00,-1.400906e-01 1.119785e-01 2.866184e+00,-1.405350e-01 1.114431e-01 2.866555e+00,-1.407612e-01 1.109698e-01 2.866841e+00,-1.408197e-01 1.107648e-01 2.866866e+00,-1.409193e-01 1.106734e-01 2.866991e+00,-1.409346e-01 1.106735e-01 2.866995e+00
-1.742658e-01 -1.579547e-01 2.855289e+00,-1.741812e-01 -1.580680e-01 2.855130e+00,-1.740850e-01 -1.579953e-01 2.854750e+00,-1.739838e-01 -1.573397e-01 2.854524e+00,-1.741649e-01 -1.507560e-01 2.854376e+00,-1.770673e-01 -1.406183e-01 2.854567e+00,-1.919308e-01 -1.136592e-01 2.851927e+00,-1.979837e-01 -1.099489e-01 2.837188e+00,-1.904584e-01 -1.148480e-01 2.767872e+00,-2.374817e-01 -9.942313e-02 2.757187e+00,-2.174792e-01 -8.140773e-02 2.760636e+00,-1.993400e-01 -7.037435e-02 2.729601e+00,-1.986767e-01 -7.026196e-02 2.729861e+00,-1.973447e-01 -7.045221e-02 2.726776e+00,-1.987052e-01 -7.199856e-02 2.730474e+00,-1.801560e-01 -7.665564e-02 2.729734e+00,-1.706089e-01 -7.354880e-02 2.722500e+00,-1.681189e-01 -7.352126e-02 2.722348e+00,-1.673181e-01 -7.330129e-02 2.722342e+00,-1.683272e-01 -7.349822e-02 2.720994e+00,-1.717645e-01 -7.248371e-02 2.720579e+00,-1.725689e-01 -7.157844e-02 2.719244e+00,-1.733373e-01 -7.052894e-02 2.718258e+00,-1.728924e-01 -7.028143e-02 2.717816e+00,-1.723156e-01 -7.144690e-02 2.719081e+00,-1.712234e-01 -7.240639e-02 2.720751e+00,-1.754277e-01 -7.476611e-02 2.726221e+00,-1.837265e-01 -7.844788e-02 2.735100e+00,-1.878391e-01 -7.903455e-02 2.738251e+00,-1.971347e-01 -7.950751e-02 2.745467e+00,-2.018890e-01 -7.950184e-02 2.749929e+00,-2.023810e-01 -8.206270e-02 2.756306e+00,-1.742123e-01 -1.046037e-01 2.699748e+00,-2.162902e-01 -9.350849e-02 2.809920e+00,-2.020114e-01 -9.987793e-02 2.815768e+00,-1.969976e-01 -1.025293e-01 2.825190e+00,-1.770958e-01 -1.243965e-01 2.839893e+00,-1.725482e-01 -1.356252e-01 2.841214e+00,-1.708656e-01 -1.398894e-01 2.842378e+00,-1.693021e-01 -1.428087e-01 2.843062e+00,-1.680321e-01 -1.536254e-01 2.844654e+00,-1.677918e-01 -1.570451e-01 2.846366e+00,-1.693030e-01 -1.598479e-01 2.850586e+00,-1.702907e-01 -1.599427e-01 2.852138e+00,-1.712431e-01 -1.603670e-01 2.853829e+00,-1.723815e-01 -1.603103e-01 2.856143e+00,-1.728603e-01 -1.602967e-01 2.857075e+00,-1.730230e-01 -1.600569e-01 2.857928e+00,-1.731020e-01 -1.604450e-01 2.858191e+00,-1.729792e-01 -1.603382e-01 2.858343e+00,-1.726660e-01 -1.603679e-01 2.858370e+00
-1.808217e-01 -3.755930e-01 2.770448e+00,-1.808502e-01 -3.756997e-01 2.770305e+00,-1.808336e-01 -3.755049e-01 2.769579e+00,-1.790990e-01 -3.738374e-01 2.766221e+00,-1.705349e-01 -3.590025e-01 2.745452e+00,-1.638832e-01 -3.375840e-01 2.724890e+00,-1.456572e-01 -2.719190e-01 2.679661e+00,-1.157399e-01 -2.479004e-01 2.660440e+00,-1.065411e-01 -2.168518e-01 2.567639e+00,-7.928393e-02 -8.309904e-02 2.564413e+00,-7.075049e-02 -3.028554e-02 2.578223e+00,-6.093702e-02 6.988020e-02 2.573664e+00,-8.268316e-02 5.827539e-02 2.602079e+00,-1.164406e-02 1.485382e-01 2.592151e+00,-3.690844e-02 1.111957e-01 2.624705e+00,-5.285476e-03 1.162674e-01 2.627309e+00,-7.308795e-03 1.123195e-01 2.631243e+00,-8.098044e-03 1.095603e-01 2.634249e+00,-9.136009e-03 1.080717e-01 2.635683e+00,1.755575e-03 1.136162e-01 2.630945e+00,2.103297e-03 1.160738e-01 2.611479e+00,-6.100295e-03 1.511890e-01 2.565647e+00,-9.884854e-03 1.564033e-01 2.567774e+00,-8.922088e-03 1.607864e-01 2.574921e+00,1.150628e-02 6.634030e-02 2.667423e+00,1.237157e-02 6.557629e-02 2.665898e+00,1.431580e-02 6.288420e-02 2.648266e+00,1.313251e-02 5.785336e-02 2.644683e+00,-5.266216e-03 6.376109e-02 2.609760e+00,-2.110922e-02 2.347018e-02 2.593085e+00,-1.825702e-02 -1.628811e-02 2.589600e+00,-8.944022e-03 -1.110292e-01 2.550218e+00,9.199935e-02 -1.462617e-01 2.632217e+00,-8.152542e-02 -1.619408e-01 2.604867e+00,-1.254533e-01 -2.312668e-01 2.631147e+00,-1.288819e-01 -2.497754e-01 2.650085e+00,-1.452770e-01 -2.972023e-01 2.679635e+00,-1.537524e-01 -3.295075e-01 2.707177e+00,-1.581536e-01 -3.450671e-01 2.727639e+00,-1.608998e-01 -3.514198e-01 2.735102e+00,-1.695032e-01 -3.699589e-01 2.755621e+00,-1.741086e-01 -3.753694e-01 2.763627e+00,-1.804878e-01 -3.795371e-01 2.773030e+00,-1.777202e-01 -4.148448e-01 2.774505e+00,-1.784096e-01 -4.138868e-01 2.774810e+00,-1.797567e-01 -4.099298e-01 2.774767e+00,-1.860979e-01 -3.809457e-01 2.783348e+00,-1.848474e-01 -3.801213e-01 2.781786e+00,-1.834476e-01 -3.796589e-01 2.778873e+00,-1.814402e-01 -3.784692e-01 2.775235e+00,-1.799343e-01 -3.779613e-01 2.773455e+00
-1.632285e-01 -4.381361e-01 2.749764e+00,-1.640099e-01 -4.376826e-01 2.749440e+00,-1.633682e-01 -4.375103e-01 2.746264e+00,-1.623464e-01 -4.381775e-01 2.739072e+00,-1.528325e-01 -4.189722e-01 2.706858e+00,-1.320435e-01 -4.005779e-01 2.694195e+00,-1.177806e-01 -3.226740e-01 2.625640e+00,-1.036341e-01 -2.715294e-01 2.598074e+00,-8.885450e-02 -2.173066e-01 2.555901e+00,-5.530276e-02 -7.692955e-02 2.521892e+00,-5.122469e-02 -7.994934e-03 2.535313e+00,-4.044290e-02 9.689455e-02 2.550532e+00,-4.204809e-02 1.209349e-01 2.561670e+00,-1.538086e-02 1.722279e-01 2.577095e+00,-2.154411e-03 1.728447e-01 2.590654e+00,4.128560e-02 1.725232e-01 2.618557e+00,4.792954e-02 1.571365e-01 2.636666e+00,5.082948e-02 1.489246e-01 2.635024e+00,4.865702e-02 1.481152e-01 2.625341e+00,5.853856e-02 1.552834e-01 2.614353e+00,1.784384e-02 1.681754e-01 2.579132e+00,1.440169e-02 1.909863e-01 2.568223e+00,1.411941e-02 1.895890e-01 2.568865e+00,3.372595e-02 1.799062e-01 2.583363e+00,4.402780e-02 1.000107e-01 2.633228e+00,4.824179e-02 1.005209e-01 2.626976e+00,5.066003e-02 9.668156e-02 2.605513e+00,4.322610e-02 9.259412e-02 2.592672e+00,3.071024e-02 8.988447e-02 2.564310e+00,1.122873e-02 4.182240e-02 2.540021e+00,2.269337e-02 2.099586e-03 2.538689e+00,1.028453e-01 -1.025086e-01 2.549933e+00,1.214107e-01 -1.537321e-01 2.550518e+00,-6.653079e-02 -1.820771e-01 2.553310e+00,-9.300982e-02 -2.676970e-01 2.579938e+00,-1.067742e-01 -2.972841e-01 2.607363e+00,-1.185379e-01 -3.645330e-01 2.651559e+00,-1.304634e-01 -4.035257e-01 2.698083e+00,-1.474698e-01 -4.139964e-01 2.708480e+00,-1.519469e-01 -4.205453e-01 2.724074e+00,-1.587372e-01 -4.276562e-01 2.751343e+00,-1.633744e-01 -4.331443e-01 2.758579e+00,-1.680459e-01 -4.425549e-01 2.765769e+00,-1.655860e-01 -4.494632e-01 2.767911e+00,-1.669889e-01 -4.505343e-01 2.767436e+00,-1.678815e-01 -4.495268e-01 2.764151e+00,-1.725750e-01 -4.392451e-01 2.766431e+00,-1.695214e-01 -4.349003e-01 2.757033e+00,-1.683466e-01 -4.404713e-01 2.751737e+00,-1.626709e-01 -4.332075e-01 2.744902e+00,-1.607286e-01 -4.345588e-01 2.741478e+00
2.394045e-01 1.111151e-01 2.830455e+00,2.394290e-01 1.110822e-01 2.830553e+00,2.394353e-01 1.110452e-01 2.830600e+00,2.394034e-01 1.109547e-01 2.830831e+00,2.394407e-01 1.109599e-01 2.831042e+00,2.395471e-01 1.110341e-01 2.831958e+00,2.393163e-01 1.115090e-01 2.833463e+00,2.391091e-01 1.116220e-01 2.834279e+00,2.389972e-01 1.115951e-01 2.834884e+00,2.384365e-01 1.119719e-01 2.835652e+00,2.381026e-01 1.126228e-01 2.835914e+00,2.406544e-01 1.137991e-01 2.832386e+00,2.430503e-01 1.139334e-01 2.830608e+00,2.420063e-01 1.170186e-01 2.823548e+00,2.414055e-01 1.175733e-01 2.822538e+00,2.418876e-01 1.164257e-01 2.823289e+00,2.413172e-01 1.155315e-01 2.823407e+00,2.410960e-01 1.150222e-01 2.823586e+00,2.407777e-01 1.143613e-01 2.824022e+00,2.411993e-01 1.139680e-01 2.824508e+00,2.411064e-01 1.140433e-01 2.824462e+00,2.409514e-01 1.141433e-01 2.824301e+00,2.405149e-01 1.144522e-01 2.824106e+00,2.404581e-01 1.142643e-01 2.824239e+00,2.406055e-01 1.140526e-01 2.825178e+00,2.406265e-01 1.135166e-01 2.825374e+00,2.407660e-01 1.132922e-01 2.826365e+00,2.413835e-01 1.134447e-01 2.827367e+00,2.429550e-01 1.149722e-01 2.830929e+00,2.429277e-01 1.144688e-01 2.830930e+00,2.426480e-01 1.140163e-01 2.831975e+00,2.432790e-01 1.125138e-01 2.834929e+00,2.433096e-01 1.125545e-01 2.836444e+00,2.432186e-01 1.126421e-01 2.837004e+00,2.427165e-01 1.128823e-01 2.837439e+00,2.420727e-01 1.131956e-01 2.837720e+00,2.411595e-01 1.133790e-01 2.837730e+00,2.409158e-01 1.133743e-01 2.837735e+00,2.407321e-01 1.130136e-01 2.837739e+00,2.406555e-01 1.129311e-01 2.837741e+00,2.405358e-01 1.125019e-01 2.838225e+00,2.404923e-01 1.124517e-01 2.838208e+00,2.402437e-01 1.124616e-01 2.838269e+00,2.402024e-01 1.123889e-01 2.838336e+00,2.400969e-01 1.124071e-01 2.838406e+00,2.399594e-01 1.124244e-01 2.838518e+00,2.398939e-01 1.124211e-01 2.838727e+00,2.398754e-01 1.123634e-01 2.838719e+00,2.398024e-01 1.122251e-01 2.838777e+00,2.394930e-01 1.122309e-01 2.838729e+00,2.394134e-01 1.122292e-01 2.838771e+00
2.824298e-01 -1.581354e-01 2.835894e+00,2.817536e-01 -1.573260e-01 2.835950e+00,2.816703e-01 -1.572480e-01 2.836006e+00,2.816254e-01 -1.572275e-01 2.835977e+00,2.816706e-01 -1.552967e-01 2.836104e+00,2.818523e-01 -1.533094e-01 2.836699e+00,2.826008e-01 -1.386139e-01 2.838440e+00,2.829970e-01 -1.235103e-01 2.835554e+00,2.842279e-01 -1.146777e-01 2.832632e+00,3.014097e-01 -1.086447e-01 2.785994e+00,2.931440e-01 -1.028337e-01 2.752488e+00,2.938086e-01 -1.006225e-01 2.744090e+00,2.954716e-01 -1.008172e-01 2.742754e+00,2.960603e-01 -9.837352e-02 2.738943e+00,2.959779e-01 -9.781842e-02 2.738352e+00,2.929974e-01 -9.876294e-02 2.735693e+00,2.905580e-01 -1.000035e-01 2.735504e+00,2.877261e-01 -1.006233e-01 2.734191e+00,2.874557e-01 -1.013118e-01 2.734757e+00,2.885987e-01 -1.018757e-01 2.736273e+00,2.898578e-01 -1.023561e-01 2.738953e+00,2.939890e-01 -1.026658e-01 2.743642e+00,2.954678e-01 -1.023601e-01 2.745189e+00,2.941398e-01 -1.025847e-01 2.744288e+00,2.939158e-01 -1.024482e-01 2.743696e+00,2.896740e-01 -1.031852e-01 2.741084e+00,2.851655e-01 -1.046654e-01 2.742812e+00,2.812806e-01 -1.052063e-01 2.743114e+00,2.802893e-01 -1.030680e-01 2.743179e+00,2.919470e-01 -1.043176e-01 2.753927e+00,2.965591e-01 -1.045208e-01 2.758627e+00,2.657131e-01 -1.071433e-01 2.724961e+00,3.039681e-01 -1.092522e-01 2.790981e+00,2.669810e-01 -1.228980e-01 2.740427e+00,2.973838e-01 -1.118778e-01 2.810556e+00,2.933720e-01 -1.124305e-01 2.822163e+00,2.853164e-01 -1.164329e-01 2.835648e+00,2.824096e-01 -1.311053e-01 2.838094e+00,2.815271e-01 -1.383416e-01 2.836964e+00,2.794122e-01 -1.460282e-01 2.833798e+00,2.788357e-01 -1.536718e-01 2.832234e+00,2.790381e-01 -1.556738e-01 2.832421e+00,2.794460e-01 -1.572051e-01 2.833751e+00,2.800076e-01 -1.576268e-01 2.834958e+00,2.802624e-01 -1.577625e-01 2.835364e+00,2.807998e-01 -1.576092e-01 2.837922e+00,2.808274e-01 -1.575859e-01 2.838427e+00,2.804284e-01 -1.570103e-01 2.839354e+00,2.802146e-01 -1.569669e-01 2.839469e+00,2.798039e-01 -1.569075e-01 2.839417e+00,2.797088e-01 -1.567812e-01 2.839396e+00
2.882857e-01 -3.767339e-01 2.754030e+00,2.874439e-01 -3.759622e-01 2.754201e+00,2.867694e-01 -3.757445e-01 2.753774e+00,2.855899e-01 -3.752749e-01 2.752251e+00,2.758117e-01 -3.675275e-01 2.736456e+00,2.629409e-01 -3.560977e-01 2.718256e+00,2.504979e-01 -2.988768e-01 2.664843e+00,2.304207e-01 -2.560955e-01 2.643257e+00,2.265229e-01 -2.148470e-01 2.622018e+00,1.767109e-01 -1.163292e-01 2.580486e+00,1.679141e-01 -1.002106e-02 2.570341e+00,1.775861e-01 7.614118e-02 2.613977e+00,1.799629e-01 1.096471e-01 2.633388e+00,1.786446e-01 1.693901e-01 2.663411e+00,1.650568e-01 1.727222e-01 2.667622e+00,1.595399e-01 8.363520e-02 2.673938e+00,1.552940e-01 8.079526e-02 2.672762e+00,1.512938e-01 7.926506e-02 2.671333e+00,1.506232e-01 7.825273e-02 2.671818e+00,1.513819e-01 7.715875e-02 2.672483e+00,1.592662e-01 8.294945e-02 2.680523e+00,1.549291e-01 9.266156e-02 2.677136e+00,1.337888e-01 1.188686e-01 2.665418e+00,1.498033e-01 7.721458e-02 2.681524e+00,1.110567e-01 1.822361e-02 2.656606e+00,1.349213e-01 5.957665e-02 2.672885e+00,1.062826e-01 1.879636e-02 2.650959e+00,1.055665e-01 1.607880e-02 2.641608e+00,1.059779e-01 1.105817e-02 2.630376e+00,8.270186e-02 4.286573e-02 2.587418e+00,7.379936e-02 -1.092169e-02 2.587715e+00,6.322056e-02 -6.413773e-02 2.559504e+00,1.614808e-01 -1.493011e-01 2.598000e+00,1.361240e-01 -2.240838e-01 2.567930e+00,2.118835e-01 -2.403112e-01 2.627753e+00,2.306411e-01 -2.650001e-01 2.649759e+00,2.525362e-01 -2.984624e-01 2.686942e+00,2.659659e-01 -3.282972e-01 2.709089e+00,2.730017e-01 -3.409875e-01 2.716916e+00,2.771843e-01 -3.563707e-01 2.729090e+00,2.866633e-01 -3.686902e-01 2.740083e+00,2.900617e-01 -3.725049e-01 2.745862e+00,2.929010e-01 -3.753497e-01 2.751667e+00,2.950695e-01 -3.765718e-01 2.755839e+00,2.959286e-01 -3.768571e-01 2.756898e+00,2.939628e-01 -3.766839e-01 2.758797e+00,2.924654e-01 -3.765234e-01 2.758538e+00,2.888773e-01 -3.758997e-01 2.758746e+00,2.878086e-01 -3.758088e-01 2.758569e+00,2.866708e-01 -3.758005e-01 2.758554e+00,2.862628e-01 -3.756625e-01 2.758442e+00
