4.368297e-02 -5.609514e-01 2.759011e+00,4.366805e-02 -5.610113e-01 2.759122e+00,4.331647e-02 -5.610715e-01 2.759101e+00,4.316472e-02 -5.612583e-01 2.759341e+00,4.208394e-02 -5.611908e-01 2.758958e+00,3.822859e-02 -5.610476e-01 2.757492e+00,3.543645e-02 -5.608858e-01 2.756876e+00,3.340121e-02 -5.606413e-01 2.756322e+00,3.009100e-02 -5.605120e-01 2.755716e+00,2.761146e-02 -5.606704e-01 2.756030e+00,2.395655e-02 -5.595257e-01 2.755403e+00,2.146153e-02 -5.592211e-01 2.755346e+00,2.063532e-02 -5.589031e-01 2.755351e+00,2.056998e-02 -5.579786e-01 2.755061e+00,2.094740e-02 -5.590246e-01 2.755076e+00,1.413082e-02 -5.630453e-01 2.757854e+00,1.394144e-02 -5.631633e-01 2.758422e+00,1.396660e-02 -5.629213e-01 2.759212e+00,1.667865e-02 -5.627134e-01 2.760093e+00,1.938349e-02 -5.649800e-01 2.761523e+00,2.025542e-02 -5.656084e-01 2.762157e+00,2.095930e-02 -5.669674e-01 2.763215e+00,2.096811e-02 -5.691558e-01 2.764230e+00,2.024656e-02 -5.699617e-01 2.764373e+00,2.006112e-02 -5.697904e-01 2.764539e+00,2.018528e-02 -5.712822e-01 2.763968e+00,1.758513e-02 -5.621799e-01 2.766019e+00,1.572261e-02 -5.608134e-01 2.765122e+00,1.515692e-02 -5.599722e-01 2.764374e+00,1.504432e-02 -5.598529e-01 2.763917e+00,1.521978e-02 -5.596524e-01 2.763505e+00,1.568590e-02 -5.591989e-01 2.762709e+00,1.571072e-02 -5.592338e-01 2.762724e+00,1.600113e-02 -5.592948e-01 2.762675e+00,1.800543e-02 -5.595654e-01 2.763375e+00,2.050570e-02 -5.597972e-01 2.763198e+00,2.512233e-02 -5.599663e-01 2.764345e+00,2.642659e-02 -5.598194e-01 2.764623e+00,2.722061e-02 -5.598369e-01 2.764684e+00,2.951613e-02 -5.601346e-01 2.765432e+00,3.035833e-02 -5.600427e-01 2.765697e+00,3.269459e-02 -5.603864e-01 2.766458e+00,3.485582e-02 -5.604762e-01 2.766654e+00,3.546210e-02 -5.605313e-01 2.766760e+00,3.614881e-02 -5.606701e-01 2.767173e+00,3.645284e-02 -5.607379e-01 2.767180e+00
3.970905e-02 -2.693282e-01 2.785828e+00,3.969840e-02 -2.693524e-01 2.786108e+00,3.957943e-02 -2.692955e-01 2.786160e+00,3.953465e-02 -2.693635e-01 2.786311e+00,3.901633e-02 -2.693123e-01 2.786283e+00,3.761770e-02 -2.689718e-01 2.785392e+00,3.662460e-02 -2.685801e-01 2.785059e+00,3.559445e-02 -2.682384e-01 2.784718e+00,3.360801e-02 -2.677420e-01 2.783980e+00,3.220582e-02 -2.676246e-01 2.784029e+00,2.921747e-02 -2.665325e-01 2.783790e+00,2.739499e-02 -2.663156e-01 2.784061e+00,2.607401e-02 -2.659740e-01 2.784111e+00,2.476907e-02 -2.650056e-01 2.783524e+00,2.490422e-02 -2.652843e-01 2.782489e+00,1.932833e-02 -2.685644e-01 2.778557e+00,1.932777e-02 -2.685578e-01 2.778531e+00,1.945913e-02 -2.683811e-01 2.777956e+00,1.235320e-02 -2.789121e-01 2.775962e+00,8.590613e-03 -2.889513e-01 2.773083e+00,8.226851e-03 -2.880599e-01 2.772326e+00,8.278984e-03 -2.873685e-01 2.772341e+00,8.819451e-03 -2.816119e-01 2.772626e+00,9.223660e-03 -2.793081e-01 2.772855e+00,1.605489e-02 -2.671158e-01 2.775964e+00,1.567519e-02 -2.692624e-01 2.775997e+00,1.483279e-02 -2.671411e-01 2.779040e+00,1.434294e-02 -2.661344e-01 2.779802e+00,1.437626e-02 -2.657607e-01 2.780241e+00,1.474107e-02 -2.656701e-01 2.780963e+00,1.487587e-02 -2.655980e-01 2.781062e+00,1.524106e-02 -2.654163e-01 2.781148e+00,1.542626e-02 -2.654491e-01 2.781228e+00,1.605616e-02 -2.655163e-01 2.781297e+00,1.841483e-02 -2.657329e-01 2.781738e+00,2.021438e-02 -2.659374e-01 2.781248e+00,2.329393e-02 -2.662220e-01 2.782099e+00,2.444623e-02 -2.663155e-01 2.782869e+00,2.520105e-02 -2.664444e-01 2.783321e+00,2.741180e-02 -2.667738e-01 2.784835e+00,2.839685e-02 -2.668169e-01 2.785369e+00,3.063889e-02 -2.675542e-01 2.786912e+00,3.195328e-02 -2.677570e-01 2.787157e+00,3.262811e-02 -2.679546e-01 2.787730e+00,3.348881e-02 -2.684499e-01 2.788729e+00,3.398024e-02 -2.686503e-01 2.789003e+00
3.524043e-02 1.693819e-02 2.800264e+00,3.530669e-02 1.696999e-02 2.800694e+00,3.530730e-02 1.715382e-02 2.800801e+00,3.534300e-02 1.715515e-02 2.800841e+00,3.518494e-02 1.718935e-02 2.800933e+00,3.512501e-02 1.758606e-02 2.800349e+00,3.513175e-02 1.805671e-02 2.800160e+00,3.502011e-02 1.835936e-02 2.800018e+00,3.461997e-02 1.910220e-02 2.799309e+00,3.432272e-02 1.933204e-02 2.799234e+00,3.275442e-02 2.046130e-02 2.799305e+00,3.184465e-02 2.067178e-02 2.799740e+00,3.033742e-02 2.106825e-02 2.799856e+00,2.677851e-02 2.256253e-02 2.798652e+00,2.714364e-02 2.350525e-02 2.794685e+00,1.779437e-02 1.866151e-02 2.780355e+00,1.923605e-02 1.928823e-02 2.780102e+00,2.122585e-02 2.003244e-02 2.777165e+00,-4.364336e-03 -1.332929e-02 2.772493e+00,-1.157496e-02 -2.487016e-02 2.766461e+00,-1.002567e-02 -1.441178e-02 2.764163e+00,-8.690431e-03 -8.020131e-03 2.764204e+00,-4.235074e-03 1.263889e-02 2.766311e+00,-7.708751e-04 1.797684e-02 2.767323e+00,1.764972e-02 3.993877e-02 2.775064e+00,1.288872e-02 2.930080e-02 2.776448e+00,1.204021e-02 2.537822e-02 2.782072e+00,1.258061e-02 2.610767e-02 2.784438e+00,1.357633e-02 2.582241e-02 2.786681e+00,1.454350e-02 2.534098e-02 2.788621e+00,1.480034e-02 2.515739e-02 2.789020e+00,1.536413e-02 2.489548e-02 2.789315e+00,1.576788e-02 2.473273e-02 2.789257e+00,1.671309e-02 2.442995e-02 2.789177e+00,1.931523e-02 2.384995e-02 2.788728e+00,2.059076e-02 2.344917e-02 2.787639e+00,2.211712e-02 2.293535e-02 2.787886e+00,2.301899e-02 2.244620e-02 2.789056e+00,2.366819e-02 2.209172e-02 2.789865e+00,2.555251e-02 2.160927e-02 2.791900e+00,2.660166e-02 2.134718e-02 2.792639e+00,2.868175e-02 2.006811e-02 2.794941e+00,2.933775e-02 1.980967e-02 2.795127e+00,3.006324e-02 1.935427e-02 2.796385e+00,3.096291e-02 1.836739e-02 2.797988e+00,3.165411e-02 1.798284e-02 2.798603e+00
4.053520e-02 1.577720e-01 2.805479e+00,4.043760e-02 1.577414e-01 2.806019e+00,4.039944e-02 1.578556e-01 2.806473e+00,4.039002e-02 1.578590e-01 2.807011e+00,4.044333e-02 1.579048e-01 2.807091e+00,4.041526e-02 1.579794e-01 2.807176e+00,4.029835e-02 1.581316e-01 2.807278e+00,4.020795e-02 1.584079e-01 2.807592e+00,3.968751e-02 1.589741e-01 2.807681e+00,3.901805e-02 1.592990e-01 2.808066e+00,3.521271e-02 1.600085e-01 2.809838e+00,3.157685e-02 1.605854e-01 2.810598e+00,2.803957e-02 1.612180e-01 2.811143e+00,2.102938e-02 1.612731e-01 2.811389e+00,1.218259e-02 1.617726e-01 2.810297e+00,-3.349256e-03 1.627197e-01 2.803479e+00,-3.204716e-03 1.647822e-01 2.803849e+00,5.522584e-03 1.838867e-01 2.801322e+00,2.582195e-03 1.593307e-01 2.804559e+00,-1.603689e-03 1.479816e-01 2.804376e+00,-3.475902e-03 1.589194e-01 2.803687e+00,-3.537112e-03 1.654574e-01 2.803418e+00,-2.380855e-03 1.719922e-01 2.802109e+00,-1.111966e-03 1.701343e-01 2.802478e+00,4.639212e-04 1.675375e-01 2.802965e+00,1.426661e-03 1.659016e-01 2.803729e+00,2.965106e-03 1.654721e-01 2.805140e+00,3.302083e-03 1.648228e-01 2.805469e+00,4.090660e-03 1.646980e-01 2.805512e+00,6.677035e-03 1.642649e-01 2.806165e+00,8.558438e-03 1.641431e-01 2.805912e+00,1.228023e-02 1.639150e-01 2.805019e+00,1.413979e-02 1.638128e-01 2.804801e+00,1.627606e-02 1.634326e-01 2.803755e+00,2.152204e-02 1.632192e-01 2.802618e+00,2.423353e-02 1.628288e-01 2.801257e+00,3.005526e-02 1.624417e-01 2.800385e+00,3.198217e-02 1.619556e-01 2.800493e+00,3.423577e-02 1.616837e-01 2.800585e+00,3.810114e-02 1.611770e-01 2.800911e+00,3.991930e-02 1.612094e-01 2.801284e+00,4.252039e-02 1.604796e-01 2.802746e+00,4.356968e-02 1.605385e-01 2.803761e+00,4.458535e-02 1.600946e-01 2.805022e+00,4.592532e-02 1.594067e-01 2.806739e+00,4.635829e-02 1.592849e-01 2.807046e+00
-1.138185e-01 -9.519542e-02 2.777759e+00,-1.137685e-01 -9.531797e-02 2.777879e+00,-1.137033e-01 -9.543750e-02 2.777952e+00,-1.136322e-01 -9.556378e-02 2.777955e+00,-1.136078e-01 -9.564374e-02 2.778011e+00,-1.136940e-01 -9.527563e-02 2.777742e+00,-1.138349e-01 -9.498144e-02 2.777275e+00,-1.141650e-01 -9.450183e-02 2.777057e+00,-1.153057e-01 -9.353226e-02 2.775782e+00,-1.160322e-01 -9.355895e-02 2.775961e+00,-1.200449e-01 -9.260063e-02 2.778768e+00,-1.216948e-01 -9.213295e-02 2.781277e+00,-1.226134e-01 -9.176186e-02 2.782709e+00,-1.227418e-01 -9.187466e-02 2.782928e+00,-1.208875e-01 -9.259733e-02 2.779794e+00,-1.252542e-01 -9.648733e-02 2.787086e+00,-1.245248e-01 -9.535413e-02 2.786916e+00,-1.230146e-01 -8.745275e-02 2.793087e+00,-1.240115e-01 -9.251963e-02 2.793217e+00,-1.250113e-01 -9.422308e-02 2.793942e+00,-1.259229e-01 -9.563349e-02 2.794596e+00,-1.260601e-01 -9.590785e-02 2.794780e+00,-1.265766e-01 -9.680220e-02 2.794598e+00,-1.242547e-01 -9.682752e-02 2.786084e+00,-1.212787e-01 -9.762266e-02 2.778632e+00,-1.180511e-01 -1.073922e-01 2.773301e+00,-1.247625e-01 -9.535129e-02 2.786338e+00,-1.268312e-01 -9.449151e-02 2.789119e+00,-1.279353e-01 -9.392580e-02 2.790135e+00,-1.290454e-01 -9.396958e-02 2.790978e+00,-1.292286e-01 -9.385795e-02 2.790614e+00,-1.297178e-01 -9.410915e-02 2.788965e+00,-1.297875e-01 -9.399196e-02 2.788266e+00,-1.297226e-01 -9.367198e-02 2.786593e+00,-1.289537e-01 -9.393654e-02 2.783597e+00,-1.279356e-01 -9.370268e-02 2.779464e+00,-1.268953e-01 -9.325068e-02 2.777884e+00,-1.261348e-01 -9.361356e-02 2.777224e+00,-1.256168e-01 -9.380105e-02 2.776761e+00,-1.236787e-01 -9.378857e-02 2.775841e+00,-1.229088e-01 -9.318233e-02 2.776040e+00,-1.215772e-01 -9.315144e-02 2.777052e+00,-1.208072e-01 -9.367293e-02 2.777661e+00,-1.203172e-01 -9.362518e-02 2.778846e+00,-1.195253e-01 -9.348796e-02 2.781261e+00,-1.186545e-01 -9.404064e-02 2.781844e+00
-1.527086e-01 -3.245499e-01 2.781180e+00,-1.527503e-01 -3.247033e-01 2.781193e+00,-1.528091e-01 -3.245980e-01 2.781339e+00,-1.529107e-01 -3.241235e-01 2.781656e+00,-1.530333e-01 -3.236127e-01 2.782111e+00,-1.531100e-01 -3.235702e-01 2.782137e+00,-1.532229e-01 -3.231779e-01 2.782487e+00,-1.533900e-01 -3.230698e-01 2.782557e+00,-1.559248e-01 -3.222483e-01 2.782635e+00,-1.572929e-01 -3.223293e-01 2.782789e+00,-1.602726e-01 -3.238268e-01 2.785110e+00,-1.607919e-01 -3.243976e-01 2.786624e+00,-1.599431e-01 -3.241303e-01 2.789023e+00,-1.564689e-01 -3.163386e-01 2.802388e+00,-1.565542e-01 -3.138810e-01 2.805270e+00,-1.539562e-01 -3.170717e-01 2.807881e+00,-1.494988e-01 -3.237483e-01 2.809898e+00,-1.461619e-01 -3.263794e-01 2.812006e+00,-1.428126e-01 -3.290286e-01 2.818025e+00,-1.418870e-01 -3.304644e-01 2.820637e+00,-1.426753e-01 -3.372906e-01 2.823942e+00,-1.437333e-01 -3.386920e-01 2.824432e+00,-1.444125e-01 -3.383619e-01 2.824432e+00,-1.452185e-01 -3.363135e-01 2.824054e+00,-1.467968e-01 -3.229108e-01 2.826198e+00,-1.496388e-01 -3.294989e-01 2.823266e+00,-1.522143e-01 -3.292639e-01 2.820626e+00,-1.537628e-01 -3.276818e-01 2.819793e+00,-1.551837e-01 -3.256940e-01 2.818115e+00,-1.561251e-01 -3.240242e-01 2.816165e+00,-1.571662e-01 -3.238874e-01 2.813515e+00,-1.571955e-01 -3.234479e-01 2.809637e+00,-1.570841e-01 -3.236056e-01 2.807449e+00,-1.571525e-01 -3.229991e-01 2.805286e+00,-1.569816e-01 -3.238426e-01 2.801237e+00,-1.565882e-01 -3.238778e-01 2.797429e+00,-1.562769e-01 -3.229064e-01 2.792855e+00,-1.560970e-01 -3.229547e-01 2.791764e+00,-1.554704e-01 -3.231374e-01 2.790298e+00,-1.547198e-01 -3.229746e-01 2.787624e+00,-1.545898e-01 -3.229756e-01 2.787274e+00,-1.543375e-01 -3.232373e-01 2.786856e+00,-1.543453e-01 -3.233048e-01 2.786630e+00,-1.543375e-01 -3.233384e-01 2.786655e+00,-1.544192e-01 -3.235362e-01 2.786866e+00,-1.542270e-01 -3.235785e-01 2.787311e+00
-1.503516e-01 -5.162455e-01 2.699985e+00,-1.502810e-01 -5.164648e-01 2.700183e+00,-1.502199e-01 -5.163580e-01 2.700327e+00,-1.522644e-01 -5.165061e-01 2.702344e+00,-1.531044e-01 -5.161293e-01 2.703176e+00,-1.547989e-01 -5.159995e-01 2.702990e+00,-1.571979e-01 -5.158402e-01 2.704115e+00,-1.583229e-01 -5.156637e-01 2.704059e+00,-1.611148e-01 -5.148208e-01 2.704090e+00,-1.614485e-01 -5.148959e-01 2.704147e+00,-1.618536e-01 -5.153190e-01 2.703368e+00,-1.620865e-01 -5.152045e-01 2.703048e+00,-1.622999e-01 -5.142578e-01 2.703714e+00,-1.640569e-01 -5.047933e-01 2.713226e+00,-1.637530e-01 -5.024692e-01 2.716369e+00,-1.606200e-01 -5.069472e-01 2.722154e+00,-1.548003e-01 -5.133912e-01 2.723529e+00,-1.551325e-01 -5.162008e-01 2.726491e+00,-1.519304e-01 -5.198004e-01 2.735031e+00,-1.517568e-01 -5.203894e-01 2.735548e+00,-1.514006e-01 -5.269779e-01 2.738167e+00,-1.522128e-01 -5.288396e-01 2.739823e+00,-1.590944e-01 -5.307178e-01 2.746940e+00,-1.590958e-01 -5.293982e-01 2.748510e+00,-1.600578e-01 -5.165812e-01 2.752139e+00,-1.640581e-01 -5.226104e-01 2.747848e+00,-1.713632e-01 -5.208498e-01 2.741986e+00,-1.665050e-01 -5.350803e-01 2.721181e+00,-1.753436e-01 -5.141059e-01 2.731293e+00,-1.655328e-01 -5.158359e-01 2.724201e+00,-1.653248e-01 -5.135065e-01 2.725815e+00,-1.653460e-01 -5.137926e-01 2.725347e+00,-1.658109e-01 -5.144773e-01 2.724618e+00,-1.658076e-01 -5.145391e-01 2.724245e+00,-1.657341e-01 -5.162499e-01 2.722635e+00,-1.659760e-01 -5.168685e-01 2.720608e+00,-1.651717e-01 -5.159698e-01 2.716174e+00,-1.646904e-01 -5.163018e-01 2.715884e+00,-1.643742e-01 -5.166597e-01 2.714989e+00,-1.620597e-01 -5.169013e-01 2.713331e+00,-1.608976e-01 -5.165728e-01 2.711857e+00,-1.572443e-01 -5.162821e-01 2.709540e+00,-1.564368e-01 -5.163253e-01 2.709207e+00,-1.561789e-01 -5.164193e-01 2.709398e+00,-1.540997e-01 -5.171576e-01 2.711169e+00,-1.538556e-01 -5.171868e-01 2.711576e+00
-1.429510e-01 -5.401340e-01 2.691178e+00,-1.368092e-01 -5.589789e-01 2.685703e+00,-1.371022e-01 -5.599496e-01 2.688534e+00,-1.447649e-01 -5.365878e-01 2.695426e+00,-1.449628e-01 -5.343400e-01 2.695779e+00,-1.455311e-01 -5.438921e-01 2.692443e+00,-1.489109e-01 -5.442657e-01 2.695981e+00,-1.435883e-01 -5.274403e-01 2.695698e+00,-1.551949e-01 -5.306442e-01 2.697530e+00,-1.487943e-01 -5.573633e-01 2.692307e+00,-1.535156e-01 -5.392594e-01 2.690260e+00,-1.509993e-01 -5.423868e-01 2.689840e+00,-1.510139e-01 -5.403857e-01 2.692914e+00,-1.510964e-01 -5.335379e-01 2.700639e+00,-1.446959e-01 -5.521559e-01 2.700401e+00,-1.411984e-01 -5.555771e-01 2.711829e+00,-1.431329e-01 -5.481370e-01 2.717614e+00,-1.399911e-01 -5.628632e-01 2.714320e+00,-1.366859e-01 -5.670362e-01 2.723734e+00,-1.361270e-01 -5.669770e-01 2.725065e+00,-1.361323e-01 -5.727848e-01 2.727412e+00,-1.396504e-01 -5.742585e-01 2.731706e+00,-1.412989e-01 -5.440330e-01 2.731172e+00,-1.432901e-01 -5.435703e-01 2.732208e+00,-1.462061e-01 -5.416514e-01 2.724906e+00,-1.500068e-01 -5.408664e-01 2.724735e+00,-1.574749e-01 -5.594413e-01 2.717796e+00,-1.573089e-01 -5.624925e-01 2.711847e+00,-1.582049e-01 -5.583137e-01 2.713901e+00,-1.545770e-01 -5.479487e-01 2.711127e+00,-1.551164e-01 -5.478318e-01 2.711577e+00,-1.552409e-01 -5.472485e-01 2.709548e+00,-1.550346e-01 -5.483116e-01 2.711744e+00,-1.542780e-01 -5.480779e-01 2.707850e+00,-1.522681e-01 -5.486176e-01 2.710152e+00,-1.527045e-01 -5.470995e-01 2.708125e+00,-1.516957e-01 -5.432527e-01 2.708140e+00,-1.499591e-01 -5.446442e-01 2.707880e+00,-1.462062e-01 -5.278743e-01 2.708015e+00,-1.519101e-01 -5.320604e-01 2.708328e+00,-1.500009e-01 -5.327899e-01 2.706910e+00,-1.484591e-01 -5.300143e-01 2.706196e+00,-1.482614e-01 -5.302738e-01 2.704780e+00,-1.483168e-01 -5.302671e-01 2.705848e+00,-1.437744e-01 -5.497315e-01 2.703878e+00,-1.433264e-01 -5.473403e-01 2.705791e+00
1.841907e-01 -9.434677e-02 2.767743e+00,1.840306e-01 -9.447174e-02 2.768084e+00,1.839773e-01 -9.452355e-02 2.768139e+00,1.836233e-01 -9.435565e-02 2.768301e+00,1.835042e-01 -9.433108e-02 2.768512e+00,1.830512e-01 -9.460980e-02 2.768635e+00,1.825388e-01 -9.516932e-02 2.768981e+00,1.821797e-01 -9.543046e-02 2.769215e+00,1.808334e-01 -9.529687e-02 2.768674e+00,1.803914e-01 -9.546015e-02 2.764759e+00,1.688205e-01 -8.790092e-02 2.752474e+00,1.572184e-01 -8.115445e-02 2.741882e+00,1.496249e-01 -7.559812e-02 2.734352e+00,1.394898e-01 -7.335310e-02 2.726512e+00,1.340852e-01 -7.644895e-02 2.722804e+00,1.165867e-01 -7.290885e-02 2.706610e+00,1.170075e-01 -7.303180e-02 2.707264e+00,1.098705e-01 -7.427662e-02 2.702249e+00,1.027477e-01 -7.600895e-02 2.695319e+00,1.014348e-01 -7.733034e-02 2.692894e+00,1.036052e-01 -7.749693e-02 2.694543e+00,1.025084e-01 -7.893207e-02 2.690816e+00,1.042087e-01 -8.229730e-02 2.691023e+00,1.061251e-01 -8.277629e-02 2.692236e+00,1.286306e-01 -3.883587e-02 2.700888e+00,1.292563e-01 -3.892748e-02 2.701168e+00,1.294645e-01 -4.278156e-02 2.703552e+00,1.328853e-01 -6.163343e-02 2.713397e+00,1.385758e-01 -6.574980e-02 2.717908e+00,1.466000e-01 -7.569502e-02 2.725974e+00,1.497241e-01 -7.779184e-02 2.729176e+00,1.519499e-01 -7.965974e-02 2.731786e+00,1.527276e-01 -8.013903e-02 2.732635e+00,1.611359e-01 -8.404045e-02 2.741271e+00,1.664533e-01 -8.719745e-02 2.747784e+00,1.684266e-01 -8.829165e-02 2.749707e+00,1.717268e-01 -9.035584e-02 2.754418e+00,1.737414e-01 -9.082684e-02 2.758255e+00,1.742061e-01 -9.127725e-02 2.759441e+00,1.764053e-01 -9.186225e-02 2.763762e+00,1.780968e-01 -9.211931e-02 2.766024e+00,1.799197e-01 -9.227112e-02 2.768809e+00,1.811587e-01 -9.270146e-02 2.770017e+00,1.817075e-01 -9.313391e-02 2.770760e+00,1.825145e-01 -9.373537e-02 2.771757e+00,1.831493e-01 -9.387814e-02 2.772526e+00
2.192727e-01 -3.346159e-01 2.791484e+00,2.190868e-01 -3.347909e-01 2.791680e+00,2.190128e-01 -3.353025e-01 2.792084e+00,2.187702e-01 -3.362954e-01 2.792496e+00,2.185694e-01 -3.369395e-01 2.794094e+00,2.182457e-01 -3.351313e-01 2.796670e+00,2.181921e-01 -3.306896e-01 2.797410e+00,2.190158e-01 -3.082698e-01 2.797289e+00,2.222830e-01 -3.021414e-01 2.788631e+00,2.262712e-01 -2.984847e-01 2.779628e+00,2.589912e-01 -2.136078e-01 2.601673e+00,2.623414e-01 -1.474448e-01 2.562934e+00,2.436109e-01 -7.156571e-02 2.536449e+00,1.661812e-01 2.321649e-02 2.504473e+00,1.240722e-01 3.563235e-02 2.508146e+00,2.869916e-02 9.744696e-02 2.493182e+00,2.386488e-03 1.005962e-01 2.505760e+00,-1.890987e-02 8.806556e-02 2.508337e+00,-2.580941e-02 5.364983e-02 2.507200e+00,-2.789452e-02 4.124249e-02 2.499419e+00,-3.255737e-02 2.511392e-02 2.481938e+00,-3.072734e-02 1.985081e-02 2.475021e+00,-5.913707e-03 -2.564610e-03 2.464200e+00,4.737046e-02 -3.920207e-02 2.473289e+00,8.361515e-02 -7.958347e-02 2.471577e+00,1.172034e-01 -1.175747e-01 2.469317e+00,1.770191e-01 -1.694727e-01 2.533131e+00,2.173658e-01 -1.988529e-01 2.569925e+00,2.259496e-01 -2.071716e-01 2.581126e+00,2.551332e-01 -2.435293e-01 2.661941e+00,2.573399e-01 -2.485719e-01 2.674569e+00,2.440849e-01 -2.807136e-01 2.717092e+00,2.421276e-01 -2.965084e-01 2.734502e+00,2.389651e-01 -3.089293e-01 2.747573e+00,2.239693e-01 -3.262457e-01 2.778538e+00,2.213761e-01 -3.296979e-01 2.782160e+00,2.156022e-01 -3.289890e-01 2.791168e+00,2.158279e-01 -3.311788e-01 2.795458e+00,2.163757e-01 -3.318700e-01 2.796345e+00,2.171640e-01 -3.315672e-01 2.798288e+00,2.175951e-01 -3.321180e-01 2.798944e+00,2.186683e-01 -3.326819e-01 2.801173e+00,2.187169e-01 -3.327865e-01 2.801277e+00,2.190496e-01 -3.336382e-01 2.801517e+00,2.192034e-01 -3.336620e-01 2.801825e+00,2.192740e-01 -3.336688e-01 2.801876e+00
2.408251e-01 -5.313762e-01 2.731170e+00,2.390927e-01 -5.314541e-01 2.730308e+00,2.379050e-01 -5.319365e-01 2.730158e+00,2.363072e-01 -5.327456e-01 2.729377e+00,2.382806e-01 -5.304890e-01 2.721698e+00,2.697471e-01 -4.908541e-01 2.664474e+00,2.988003e-01 -4.321753e-01 2.629041e+00,3.078283e-01 -3.617592e-01 2.610695e+00,3.198961e-01 -2.125201e-01 2.621521e+00,3.191109e-01 -1.535229e-01 2.621831e+00,2.996969e-01 -1.345774e-02 2.617863e+00,2.893201e-01 4.495036e-02 2.619244e+00,2.534974e-01 1.162108e-01 2.607730e+00,1.608882e-01 2.193065e-01 2.553344e+00,1.003392e-01 2.396238e-01 2.501163e+00,-9.314127e-02 2.418749e-01 2.401958e+00,-1.406842e-01 1.855623e-01 2.374887e+00,-1.632349e-01 1.443876e-01 2.363145e+00,-1.805687e-01 9.564858e-02 2.368405e+00,-1.856079e-01 8.920354e-02 2.366379e+00,-1.934846e-01 7.648227e-02 2.354520e+00,-1.946149e-01 6.706087e-02 2.349939e+00,-1.104460e-01 2.461177e-02 2.381476e+00,-1.220472e-01 2.435829e-02 2.364637e+00,-7.677993e-02 -9.852104e-03 2.352320e+00,-5.888711e-02 -5.716148e-02 2.323190e+00,7.314281e-02 -1.639281e-01 2.345690e+00,1.312031e-01 -2.202815e-01 2.374593e+00,1.800532e-01 -2.907686e-01 2.389415e+00,2.400911e-01 -3.746699e-01 2.495032e+00,2.619521e-01 -4.081443e-01 2.536048e+00,2.754542e-01 -4.636721e-01 2.621034e+00,2.734975e-01 -4.835652e-01 2.648046e+00,2.694972e-01 -5.002337e-01 2.672413e+00,2.478393e-01 -5.215485e-01 2.713567e+00,2.358196e-01 -5.267259e-01 2.720133e+00,2.262363e-01 -5.265005e-01 2.730031e+00,2.260307e-01 -5.283391e-01 2.732889e+00,2.262973e-01 -5.286757e-01 2.732383e+00,2.267359e-01 -5.279400e-01 2.732661e+00,2.274763e-01 -5.284594e-01 2.733272e+00,2.305550e-01 -5.285603e-01 2.734293e+00,2.304299e-01 -5.287315e-01 2.734594e+00,2.321059e-01 -5.296094e-01 2.735261e+00,2.364907e-01 -5.298373e-01 2.737563e+00,2.352896e-01 -5.295373e-01 2.736081e+00
