2.730798e-02 -6.143494e-01 2.771279e+00,2.714633e-02 -6.141610e-01 2.770981e+00,2.713734e-02 -6.135833e-01 2.770755e+00,2.716142e-02 -6.134012e-01 2.770298e+00,2.655996e-02 -6.132978e-01 2.769679e+00,2.332794e-02 -6.126667e-01 2.768047e+00,2.143015e-02 -6.125752e-01 2.767286e+00,1.928896e-02 -6.123683e-01 2.766087e+00,1.844106e-02 -6.120659e-01 2.765707e+00,1.811131e-02 -6.119613e-01 2.765215e+00,1.775229e-02 -6.117967e-01 2.764676e+00,1.774218e-02 -6.117367e-01 2.764458e+00,1.752002e-02 -6.113708e-01 2.764060e+00,1.720517e-02 -6.100807e-01 2.763666e+00,1.731126e-02 -6.096387e-01 2.763572e+00,1.777611e-02 -6.094241e-01 2.763641e+00,1.744815e-02 -6.090063e-01 2.763662e+00,1.705202e-02 -6.083707e-01 2.763800e+00,1.726925e-02 -6.082566e-01 2.763876e+00,2.177582e-02 -6.035276e-01 2.766848e+00,2.343946e-02 -6.011493e-01 2.767077e+00,2.433760e-02 -5.989896e-01 2.766640e+00,2.541030e-02 -5.908843e-01 2.766718e+00,2.463266e-02 -5.828778e-01 2.765331e+00,2.413015e-02 -5.827015e-01 2.765379e+00,1.777046e-02 -5.965800e-01 2.766190e+00,1.432742e-02 -6.065882e-01 2.766617e+00,8.772003e-03 -6.165783e-01 2.767465e+00,6.760198e-03 -6.208964e-01 2.768107e+00,7.519987e-03 -6.187125e-01 2.767749e+00,7.296765e-03 -6.166906e-01 2.767644e+00,7.595835e-03 -6.162639e-01 2.767456e+00,7.986751e-03 -6.142986e-01 2.766844e+00,8.437847e-03 -6.140213e-01 2.766817e+00,9.542272e-03 -6.128633e-01 2.766226e+00,1.009097e-02 -6.122585e-01 2.765792e+00,1.007782e-02 -6.122556e-01 2.765805e+00,1.096975e-02 -6.124630e-01 2.766398e+00,1.120991e-02 -6.128700e-01 2.766889e+00,1.142160e-02 -6.127949e-01 2.767295e+00,1.125658e-02 -6.129927e-01 2.767648e+00,1.133639e-02 -6.129566e-01 2.768058e+00,1.121105e-02 -6.135022e-01 2.768903e+00,1.163436e-02 -6.135434e-01 2.769202e+00,1.334549e-02 -6.133266e-01 2.770165e+00,1.354202e-02 -6.132464e-01 2.770669e+00
3.024348e-02 -3.267371e-01 2.780631e+00,2.993640e-02 -3.267402e-01 2.780680e+00,2.966224e-02 -3.265741e-01 2.780770e+00,2.944592e-02 -3.266027e-01 2.780679e+00,2.871844e-02 -3.266982e-01 2.780587e+00,2.666086e-02 -3.263702e-01 2.780278e+00,2.620311e-02 -3.264149e-01 2.780101e+00,2.568577e-02 -3.260558e-01 2.779759e+00,2.529160e-02 -3.257136e-01 2.779783e+00,2.517889e-02 -3.256365e-01 2.779675e+00,2.486944e-02 -3.254561e-01 2.779558e+00,2.476063e-02 -3.254851e-01 2.779534e+00,2.468056e-02 -3.248169e-01 2.779597e+00,2.410491e-02 -3.229017e-01 2.779897e+00,2.366051e-02 -3.220749e-01 2.780133e+00,2.352430e-02 -3.215496e-01 2.780343e+00,2.226951e-02 -3.212179e-01 2.780148e+00,2.126966e-02 -3.204516e-01 2.780238e+00,2.115691e-02 -3.205152e-01 2.780396e+00,2.186178e-02 -3.188194e-01 2.781416e+00,2.265236e-02 -3.180226e-01 2.781678e+00,2.399452e-02 -3.137940e-01 2.781624e+00,2.703652e-02 -3.007687e-01 2.780183e+00,2.710182e-02 -2.998648e-01 2.779541e+00,2.700999e-02 -3.001227e-01 2.779403e+00,2.481569e-02 -3.075782e-01 2.779526e+00,1.958786e-02 -3.188637e-01 2.779254e+00,1.438538e-02 -3.216939e-01 2.780977e+00,1.189595e-02 -3.257461e-01 2.781642e+00,1.212143e-02 -3.255634e-01 2.781634e+00,1.241055e-02 -3.251464e-01 2.781657e+00,1.257903e-02 -3.250868e-01 2.781633e+00,1.283743e-02 -3.240269e-01 2.781210e+00,1.283845e-02 -3.240477e-01 2.780964e+00,1.367946e-02 -3.234541e-01 2.780010e+00,1.420301e-02 -3.234452e-01 2.778266e+00,1.424592e-02 -3.234828e-01 2.777858e+00,1.515491e-02 -3.236514e-01 2.776700e+00,1.553095e-02 -3.239236e-01 2.776409e+00,1.611142e-02 -3.241099e-01 2.776589e+00,1.627178e-02 -3.246009e-01 2.776481e+00,1.700313e-02 -3.250228e-01 2.776492e+00,1.807637e-02 -3.254101e-01 2.776394e+00,1.825795e-02 -3.254424e-01 2.776338e+00,1.896386e-02 -3.254721e-01 2.776515e+00,1.912506e-02 -3.253070e-01 2.776954e+00
3.083918e-02 -4.496853e-02 2.777888e+00,3.086014e-02 -4.500668e-02 2.778224e+00,3.024795e-02 -4.502418e-02 2.778680e+00,2.974657e-02 -4.522624e-02 2.778816e+00,2.944069e-02 -4.513921e-02 2.779276e+00,2.851879e-02 -4.496821e-02 2.779646e+00,2.856981e-02 -4.501260e-02 2.779657e+00,2.911656e-02 -4.439158e-02 2.779712e+00,2.923986e-02 -4.384832e-02 2.780223e+00,2.933994e-02 -4.377126e-02 2.780318e+00,2.929938e-02 -4.355398e-02 2.780672e+00,2.912349e-02 -4.377066e-02 2.780958e+00,2.964612e-02 -4.255703e-02 2.781814e+00,2.916696e-02 -3.986003e-02 2.783296e+00,2.800213e-02 -3.854868e-02 2.784181e+00,2.756357e-02 -3.776768e-02 2.784711e+00,2.561701e-02 -3.786104e-02 2.783999e+00,2.415680e-02 -3.711926e-02 2.783980e+00,2.334463e-02 -3.769479e-02 2.784555e+00,2.317766e-02 -3.746418e-02 2.784614e+00,2.329409e-02 -3.750283e-02 2.784678e+00,2.449482e-02 -3.169562e-02 2.784870e+00,2.939509e-02 -1.450786e-02 2.780770e+00,2.999282e-02 -1.757192e-02 2.779586e+00,3.047193e-02 -2.068445e-02 2.778950e+00,3.033923e-02 -2.428445e-02 2.779269e+00,2.406714e-02 -3.593114e-02 2.778638e+00,1.798564e-02 -3.428097e-02 2.781586e+00,1.603564e-02 -3.672177e-02 2.782162e+00,1.638872e-02 -3.716107e-02 2.782348e+00,1.701267e-02 -3.756648e-02 2.782444e+00,1.729384e-02 -3.782928e-02 2.782573e+00,1.744361e-02 -3.755791e-02 2.782355e+00,1.670732e-02 -3.829909e-02 2.781271e+00,1.744628e-02 -3.826300e-02 2.780076e+00,1.801720e-02 -3.949492e-02 2.776537e+00,1.831278e-02 -3.964143e-02 2.775133e+00,1.963667e-02 -3.982724e-02 2.771083e+00,2.041497e-02 -4.007518e-02 2.769970e+00,2.166799e-02 -4.070614e-02 2.770342e+00,2.223827e-02 -4.171396e-02 2.770070e+00,2.429738e-02 -4.306748e-02 2.769670e+00,2.692081e-02 -4.331012e-02 2.768925e+00,2.689535e-02 -4.327481e-02 2.768782e+00,2.656181e-02 -4.359816e-02 2.768602e+00,2.645106e-02 -4.308794e-02 2.769342e+00
4.166750e-02 6.526143e-02 2.786413e+00,4.116711e-02 6.517505e-02 2.786849e+00,4.103025e-02 6.508068e-02 2.786783e+00,4.106409e-02 6.505955e-02 2.786692e+00,4.080560e-02 6.495561e-02 2.787111e+00,4.064154e-02 6.514967e-02 2.787356e+00,4.053890e-02 6.504620e-02 2.787599e+00,4.186126e-02 6.575714e-02 2.787616e+00,4.243128e-02 6.575132e-02 2.787956e+00,4.329496e-02 6.552646e-02 2.788316e+00,4.496483e-02 6.472276e-02 2.790047e+00,4.499329e-02 6.484246e-02 2.790313e+00,4.342863e-02 6.533720e-02 2.792708e+00,4.268773e-02 6.609140e-02 2.793662e+00,4.217121e-02 6.641711e-02 2.794697e+00,3.501690e-02 6.742830e-02 2.798621e+00,2.875429e-02 6.753898e-02 2.801071e+00,2.771949e-02 6.739703e-02 2.802118e+00,2.628616e-02 6.838369e-02 2.802337e+00,2.537219e-02 6.768610e-02 2.803784e+00,2.597012e-02 6.875197e-02 2.804012e+00,2.860872e-02 7.195197e-02 2.803802e+00,3.069251e-02 8.032236e-02 2.800951e+00,2.751053e-02 8.389256e-02 2.798571e+00,2.343952e-02 8.061291e-02 2.800787e+00,1.519258e-02 7.183337e-02 2.801657e+00,1.253312e-02 7.054944e-02 2.800089e+00,1.308183e-02 7.166050e-02 2.800239e+00,1.846185e-02 6.981222e-02 2.799962e+00,1.872708e-02 6.959768e-02 2.799996e+00,1.842207e-02 6.967153e-02 2.799546e+00,1.817780e-02 6.946829e-02 2.799457e+00,1.767877e-02 6.965517e-02 2.797346e+00,1.729872e-02 6.956346e-02 2.796374e+00,1.727181e-02 6.963908e-02 2.795181e+00,1.794164e-02 6.930428e-02 2.790804e+00,1.866084e-02 6.875692e-02 2.788276e+00,2.002987e-02 6.769361e-02 2.784765e+00,2.132383e-02 6.731911e-02 2.783687e+00,2.245350e-02 6.733555e-02 2.782700e+00,2.439809e-02 6.687927e-02 2.779836e+00,2.561619e-02 6.685128e-02 2.778808e+00,2.680744e-02 6.635059e-02 2.778172e+00,2.842380e-02 6.643081e-02 2.777776e+00,2.881395e-02 6.646269e-02 2.777466e+00,2.895069e-02 6.653390e-02 2.777549e+00
-1.190978e-01 -1.519206e-01 2.767038e+00,-1.198157e-01 -1.526088e-01 2.766412e+00,-1.202850e-01 -1.527649e-01 2.766236e+00,-1.203305e-01 -1.520929e-01 2.765795e+00,-1.204832e-01 -1.513086e-01 2.764862e+00,-1.201932e-01 -1.498733e-01 2.763526e+00,-1.204094e-01 -1.503761e-01 2.763221e+00,-1.184766e-01 -1.461168e-01 2.760175e+00,-1.183473e-01 -1.452671e-01 2.759719e+00,-1.186331e-01 -1.456757e-01 2.759125e+00,-1.188507e-01 -1.460351e-01 2.758216e+00,-1.191507e-01 -1.461832e-01 2.758104e+00,-1.168638e-01 -1.420142e-01 2.762844e+00,-1.184669e-01 -1.408097e-01 2.763216e+00,-1.194174e-01 -1.419687e-01 2.763134e+00,-1.181569e-01 -1.449308e-01 2.764438e+00,-1.210800e-01 -1.455490e-01 2.765966e+00,-1.174902e-01 -1.412452e-01 2.769079e+00,-1.166264e-01 -1.408165e-01 2.770473e+00,-1.204369e-01 -1.438702e-01 2.777010e+00,-1.177480e-01 -1.417139e-01 2.777957e+00,-1.139614e-01 -1.406430e-01 2.778196e+00,-1.121159e-01 -1.402975e-01 2.778092e+00,-1.002430e-01 -1.187577e-01 2.777241e+00,-1.001693e-01 -1.190537e-01 2.777199e+00,-1.013531e-01 -1.269078e-01 2.777511e+00,-1.129085e-01 -1.402126e-01 2.782725e+00,-1.119100e-01 -1.460487e-01 2.779984e+00,-1.113910e-01 -1.442484e-01 2.779911e+00,-1.115915e-01 -1.434478e-01 2.780259e+00,-1.223440e-01 -1.467456e-01 2.782758e+00,-1.264139e-01 -1.473078e-01 2.785686e+00,-1.273909e-01 -1.469141e-01 2.784243e+00,-1.284188e-01 -1.462590e-01 2.783594e+00,-1.289362e-01 -1.453065e-01 2.781683e+00,-1.291324e-01 -1.444132e-01 2.777268e+00,-1.290491e-01 -1.441564e-01 2.775742e+00,-1.282810e-01 -1.466110e-01 2.770813e+00,-1.260047e-01 -1.463497e-01 2.767380e+00,-1.259504e-01 -1.455920e-01 2.766728e+00,-1.246113e-01 -1.475815e-01 2.762531e+00,-1.245929e-01 -1.471502e-01 2.762131e+00,-1.234352e-01 -1.480579e-01 2.759208e+00,-1.219873e-01 -1.474958e-01 2.757439e+00,-1.220572e-01 -1.479912e-01 2.757362e+00,-1.219807e-01 -1.477989e-01 2.757649e+00
-1.642462e-01 -3.977764e-01 2.773751e+00,-1.650833e-01 -3.977528e-01 2.773016e+00,-1.653183e-01 -3.974386e-01 2.772849e+00,-1.657244e-01 -3.955751e-01 2.772529e+00,-1.666199e-01 -3.949969e-01 2.772226e+00,-1.679068e-01 -3.933779e-01 2.771294e+00,-1.688096e-01 -3.912365e-01 2.771699e+00,-1.693201e-01 -3.882293e-01 2.771551e+00,-1.696270e-01 -3.865239e-01 2.771491e+00,-1.699219e-01 -3.845702e-01 2.770158e+00,-1.702607e-01 -3.800739e-01 2.768429e+00,-1.707155e-01 -3.798461e-01 2.767788e+00,-1.709863e-01 -3.798863e-01 2.767245e+00,-1.710642e-01 -3.795179e-01 2.767075e+00,-1.710664e-01 -3.796207e-01 2.766986e+00,-1.703194e-01 -3.914517e-01 2.764299e+00,-1.663198e-01 -3.970606e-01 2.766019e+00,-1.644547e-01 -3.983329e-01 2.767180e+00,-1.629819e-01 -3.989099e-01 2.768363e+00,-1.559467e-01 -3.798681e-01 2.780487e+00,-1.556989e-01 -3.804232e-01 2.780771e+00,-1.545921e-01 -3.571928e-01 2.785135e+00,-1.547788e-01 -3.572193e-01 2.785454e+00,-1.561659e-01 -3.559004e-01 2.788275e+00,-1.563742e-01 -3.582012e-01 2.790360e+00,-1.556865e-01 -3.729099e-01 2.795522e+00,-1.570344e-01 -3.764842e-01 2.795824e+00,-1.584986e-01 -3.812267e-01 2.799090e+00,-1.606755e-01 -3.919063e-01 2.797925e+00,-1.616681e-01 -3.934405e-01 2.798043e+00,-1.638433e-01 -3.948078e-01 2.798191e+00,-1.648295e-01 -3.933434e-01 2.799033e+00,-1.660220e-01 -3.939643e-01 2.798649e+00,-1.663110e-01 -3.939701e-01 2.798642e+00,-1.665892e-01 -3.943151e-01 2.797837e+00,-1.680796e-01 -3.958001e-01 2.795125e+00,-1.687904e-01 -3.952829e-01 2.793552e+00,-1.695903e-01 -3.943728e-01 2.790584e+00,-1.695934e-01 -3.932590e-01 2.789606e+00,-1.698572e-01 -3.916588e-01 2.788701e+00,-1.703472e-01 -3.893827e-01 2.785118e+00,-1.704686e-01 -3.883285e-01 2.783558e+00,-1.708775e-01 -3.890921e-01 2.781261e+00,-1.708051e-01 -3.898674e-01 2.779782e+00,-1.704135e-01 -3.909562e-01 2.777998e+00,-1.704124e-01 -3.909592e-01 2.777980e+00
-1.715569e-01 -5.953750e-01 2.700524e+00,-1.715266e-01 -5.955159e-01 2.700211e+00,-1.717537e-01 -5.951929e-01 2.700012e+00,-1.717402e-01 -5.935110e-01 2.700207e+00,-1.718213e-01 -5.928857e-01 2.699661e+00,-1.717952e-01 -5.915811e-01 2.699621e+00,-1.717745e-01 -5.895312e-01 2.700237e+00,-1.725907e-01 -5.866690e-01 2.700547e+00,-1.725918e-01 -5.851380e-01 2.701027e+00,-1.725734e-01 -5.835453e-01 2.700873e+00,-1.725641e-01 -5.789983e-01 2.698889e+00,-1.722727e-01 -5.786055e-01 2.697653e+00,-1.720250e-01 -5.776775e-01 2.693920e+00,-1.719406e-01 -5.770142e-01 2.692810e+00,-1.716243e-01 -5.767338e-01 2.691527e+00,-1.703898e-01 -5.878238e-01 2.686745e+00,-1.689364e-01 -5.921758e-01 2.684991e+00,-1.688576e-01 -5.928594e-01 2.684645e+00,-1.675409e-01 -5.933017e-01 2.685478e+00,-1.631209e-01 -5.734364e-01 2.695434e+00,-1.615824e-01 -5.932876e-01 2.690279e+00,-1.622592e-01 -5.654376e-01 2.702039e+00,-1.625917e-01 -5.645731e-01 2.702830e+00,-1.627294e-01 -5.634056e-01 2.704989e+00,-1.629141e-01 -5.649061e-01 2.705361e+00,-1.639405e-01 -5.681002e-01 2.708089e+00,-1.644748e-01 -5.694901e-01 2.709312e+00,-1.676932e-01 -5.747309e-01 2.714127e+00,-1.690159e-01 -5.855293e-01 2.713279e+00,-1.718456e-01 -5.875100e-01 2.714851e+00,-1.813003e-01 -5.909001e-01 2.722317e+00,-1.810053e-01 -5.897036e-01 2.723614e+00,-1.827457e-01 -5.910146e-01 2.725541e+00,-1.827856e-01 -5.909177e-01 2.725140e+00,-1.836545e-01 -5.914245e-01 2.725018e+00,-1.836864e-01 -5.932327e-01 2.722970e+00,-1.839435e-01 -5.933195e-01 2.723263e+00,-1.828592e-01 -5.919297e-01 2.718240e+00,-1.835672e-01 -5.908605e-01 2.717555e+00,-1.844570e-01 -5.889125e-01 2.715661e+00,-1.847961e-01 -5.874176e-01 2.714561e+00,-1.845304e-01 -5.868194e-01 2.714433e+00,-1.830686e-01 -5.876800e-01 2.712036e+00,-1.823963e-01 -5.880591e-01 2.709101e+00,-1.803646e-01 -5.891386e-01 2.706988e+00,-1.799879e-01 -5.891008e-01 2.706771e+00
-1.576623e-01 -6.094941e-01 2.690150e+00,-1.589007e-01 -6.103483e-01 2.692323e+00,-1.600938e-01 -6.115100e-01 2.692690e+00,-1.593323e-01 -6.100770e-01 2.690407e+00,-1.598323e-01 -6.101586e-01 2.690100e+00,-1.598170e-01 -6.097286e-01 2.690857e+00,-1.599043e-01 -6.100904e-01 2.692276e+00,-1.608742e-01 -6.105677e-01 2.692955e+00,-1.613727e-01 -6.093791e-01 2.691211e+00,-1.609783e-01 -6.087812e-01 2.687978e+00,-1.601867e-01 -6.054642e-01 2.683767e+00,-1.595065e-01 -6.024665e-01 2.683757e+00,-1.587376e-01 -6.042441e-01 2.680764e+00,-1.589789e-01 -6.041843e-01 2.679427e+00,-1.581875e-01 -6.044815e-01 2.677065e+00,-1.561911e-01 -6.025615e-01 2.680215e+00,-1.531164e-01 -6.055625e-01 2.683047e+00,-1.513385e-01 -6.041996e-01 2.683521e+00,-1.460873e-01 -6.231632e-01 2.678273e+00,-1.464088e-01 -6.111844e-01 2.685844e+00,-1.467125e-01 -6.252429e-01 2.680892e+00,-1.501855e-01 -6.087261e-01 2.688637e+00,-1.501753e-01 -6.094517e-01 2.687073e+00,-1.490020e-01 -6.059873e-01 2.691149e+00,-1.496909e-01 -6.093453e-01 2.691996e+00,-1.496821e-01 -6.088684e-01 2.698468e+00,-1.501338e-01 -6.094706e-01 2.696699e+00,-1.567947e-01 -6.111766e-01 2.705701e+00,-1.562407e-01 -6.213934e-01 2.704667e+00,-1.600239e-01 -6.135349e-01 2.710819e+00,-1.610840e-01 -6.392521e-01 2.709089e+00,-1.652452e-01 -6.345845e-01 2.711888e+00,-1.696007e-01 -6.135101e-01 2.717984e+00,-1.702323e-01 -6.087349e-01 2.719274e+00,-1.707236e-01 -6.076252e-01 2.715713e+00,-1.699282e-01 -6.080403e-01 2.713458e+00,-1.714600e-01 -6.064702e-01 2.714216e+00,-1.717728e-01 -6.115725e-01 2.709632e+00,-1.728162e-01 -6.124533e-01 2.709187e+00,-1.718900e-01 -6.108615e-01 2.707078e+00,-1.708710e-01 -6.210657e-01 2.703887e+00,-1.704659e-01 -6.197835e-01 2.700830e+00,-1.690390e-01 -6.243088e-01 2.696232e+00,-1.692904e-01 -6.102491e-01 2.699316e+00,-1.662900e-01 -6.088946e-01 2.696398e+00,-1.639719e-01 -6.107923e-01 2.699948e+00
1.787536e-01 -1.555645e-01 2.772325e+00,1.783720e-01 -1.555817e-01 2.773175e+00,1.782700e-01 -1.556865e-01 2.773411e+00,1.781803e-01 -1.559653e-01 2.773669e+00,1.772057e-01 -1.557346e-01 2.773423e+00,1.786230e-01 -1.563673e-01 2.772475e+00,1.784462e-01 -1.570192e-01 2.776254e+00,1.775346e-01 -1.573151e-01 2.780234e+00,1.773217e-01 -1.578535e-01 2.782227e+00,1.769381e-01 -1.578690e-01 2.782989e+00,1.794424e-01 -1.594735e-01 2.786953e+00,1.796005e-01 -1.594588e-01 2.786904e+00,1.794962e-01 -1.561999e-01 2.780491e+00,1.787190e-01 -1.504521e-01 2.773862e+00,1.739349e-01 -1.446475e-01 2.765934e+00,1.651801e-01 -1.357787e-01 2.752293e+00,1.541186e-01 -1.276410e-01 2.740352e+00,1.537429e-01 -1.277317e-01 2.739764e+00,1.529873e-01 -1.280550e-01 2.739139e+00,1.465967e-01 -1.280351e-01 2.735379e+00,1.424942e-01 -1.219199e-01 2.730494e+00,1.413867e-01 -1.159777e-01 2.727826e+00,1.420022e-01 -1.158213e-01 2.728441e+00,1.408079e-01 -1.158970e-01 2.726197e+00,1.422433e-01 -1.182313e-01 2.727233e+00,1.443353e-01 -1.255947e-01 2.728748e+00,1.400932e-01 -1.372004e-01 2.721947e+00,1.408988e-01 -1.598793e-01 2.725437e+00,1.393037e-01 -1.792027e-01 2.721870e+00,1.386337e-01 -1.645258e-01 2.721256e+00,1.508338e-01 -1.489808e-01 2.730780e+00,1.529810e-01 -1.486698e-01 2.732848e+00,1.574977e-01 -1.484489e-01 2.737723e+00,1.584328e-01 -1.490067e-01 2.739107e+00,1.596453e-01 -1.496986e-01 2.740241e+00,1.623537e-01 -1.523261e-01 2.743257e+00,1.630819e-01 -1.526065e-01 2.744623e+00,1.651574e-01 -1.541292e-01 2.746366e+00,1.658661e-01 -1.543197e-01 2.747957e+00,1.667130e-01 -1.545467e-01 2.749142e+00,1.699990e-01 -1.553970e-01 2.753041e+00,1.721555e-01 -1.554285e-01 2.756260e+00,1.723477e-01 -1.555599e-01 2.757966e+00,1.731556e-01 -1.564203e-01 2.759742e+00,1.732437e-01 -1.564824e-01 2.761541e+00,1.734086e-01 -1.565735e-01 2.762538e+00
2.099778e-01 -3.819203e-01 2.823680e+00,2.093083e-01 -3.811938e-01 2.823883e+00,2.091442e-01 -3.810641e-01 2.823886e+00,2.087196e-01 -3.805272e-01 2.824404e+00,2.079184e-01 -3.794951e-01 2.828380e+00,2.077867e-01 -3.777798e-01 2.831708e+00,2.077328e-01 -3.737611e-01 2.834110e+00,2.058046e-01 -3.563747e-01 2.835911e+00,2.115275e-01 -3.520848e-01 2.832253e+00,2.509158e-01 -3.507453e-01 2.792943e+00,3.194519e-01 -3.078884e-01 2.728508e+00,3.347856e-01 -2.836267e-01 2.708092e+00,3.540600e-01 -1.994555e-01 2.658964e+00,3.475489e-01 -1.410128e-01 2.635689e+00,3.361425e-01 -7.849628e-02 2.636051e+00,3.085797e-01 -5.041354e-02 2.610491e+00,2.722952e-01 -3.997590e-02 2.576169e+00,2.470943e-01 -2.003564e-02 2.556946e+00,2.386598e-01 -1.501990e-02 2.554168e+00,2.023297e-01 3.150568e-02 2.539028e+00,1.861021e-01 5.032018e-02 2.536321e+00,1.692080e-01 5.310526e-02 2.543495e+00,1.485176e-01 6.610314e-02 2.496194e+00,1.599626e-01 1.711141e-02 2.537805e+00,1.773478e-01 -4.699775e-03 2.539580e+00,1.697889e-01 -3.367434e-02 2.517699e+00,1.682543e-01 -5.431907e-02 2.497277e+00,2.060235e-01 -1.095698e-01 2.460898e+00,1.902964e-01 -2.204245e-01 2.466676e+00,2.238860e-01 -3.995989e-02 2.466981e+00,2.746565e-01 -2.351519e-01 2.571103e+00,2.545504e-01 -2.717772e-01 2.582855e+00,2.558807e-01 -3.382155e-01 2.623173e+00,2.402902e-01 -3.385491e-01 2.693197e+00,2.357815e-01 -3.428773e-01 2.704376e+00,2.263831e-01 -3.771808e-01 2.740356e+00,2.187040e-01 -3.872536e-01 2.762239e+00,2.119691e-01 -4.021016e-01 2.792153e+00,2.104325e-01 -4.055745e-01 2.806037e+00,2.098524e-01 -4.070357e-01 2.812595e+00,2.084562e-01 -4.041329e-01 2.826362e+00,2.075614e-01 -4.052395e-01 2.829176e+00,2.059032e-01 -4.028015e-01 2.831854e+00,2.045064e-01 -3.992918e-01 2.831288e+00,2.031969e-01 -3.966923e-01 2.829790e+00,2.023935e-01 -3.947151e-01 2.828485e+00
1.828446e-01 -5.650066e-01 2.718899e+00,1.964049e-01 -5.710498e-01 2.730320e+00,1.982073e-01 -5.717579e-01 2.732007e+00,1.930711e-01 -5.684513e-01 2.726955e+00,2.264302e-01 -5.718982e-01 2.742403e+00,2.187697e-01 -5.435888e-01 2.696742e+00,2.495247e-01 -4.898347e-01 2.656695e+00,2.730172e-01 -3.808025e-01 2.630409e+00,2.816001e-01 -2.676357e-01 2.644557e+00,2.824612e-01 -1.926376e-01 2.648923e+00,2.783675e-01 -1.017230e-01 2.711313e+00,2.650695e-01 -5.971448e-02 2.732899e+00,2.497288e-01 -4.304286e-02 2.741403e+00,2.310932e-01 1.130548e-02 2.754414e+00,2.135071e-01 5.610880e-02 2.758245e+00,1.986177e-01 7.305197e-02 2.727437e+00,1.866324e-01 1.329523e-01 2.646061e+00,1.878179e-01 1.736681e-01 2.598107e+00,1.739399e-01 1.839785e-01 2.536370e+00,1.410382e-01 2.363776e-01 2.439899e+00,1.323145e-01 2.318213e-01 2.401780e+00,1.290559e-01 2.039540e-01 2.357967e+00,1.131622e-01 1.983427e-01 2.328367e+00,1.071224e-01 1.425149e-01 2.327022e+00,1.071416e-01 1.261506e-01 2.324605e+00,1.170247e-01 5.644742e-02 2.318392e+00,1.181806e-01 4.033125e-02 2.307836e+00,1.490473e-01 -6.549560e-02 2.335200e+00,1.374557e-01 -1.164892e-01 2.282876e+00,1.406028e-01 -2.066529e-01 2.336397e+00,1.647677e-01 -3.049339e-01 2.397532e+00,1.895064e-01 -3.721998e-01 2.401974e+00,1.968576e-01 -4.948585e-01 2.489026e+00,2.174111e-01 -4.980436e-01 2.551354e+00,2.166365e-01 -5.291562e-01 2.603727e+00,2.166852e-01 -5.728966e-01 2.661300e+00,2.182005e-01 -5.847566e-01 2.688091e+00,2.148344e-01 -6.041446e-01 2.735046e+00,2.139192e-01 -6.119646e-01 2.777391e+00,2.145775e-01 -6.134917e-01 2.785222e+00,2.129539e-01 -6.103051e-01 2.795437e+00,2.113458e-01 -6.113374e-01 2.797343e+00,2.099240e-01 -6.087056e-01 2.798094e+00,2.084181e-01 -6.051765e-01 2.797192e+00,2.067182e-01 -6.025363e-01 2.795154e+00,2.057491e-01 -6.005444e-01 2.793617e+00
