5.520942e-02 -4.418235e-01 2.835766e+00,5.513078e-02 -4.418498e-01 2.835650e+00,5.516975e-02 -4.417864e-01 2.835498e+00,5.512329e-02 -4.417955e-01 2.835190e+00,5.419428e-02 -4.416688e-01 2.834769e+00,5.400819e-02 -4.415640e-01 2.834546e+00,5.400677e-02 -4.414255e-01 2.834471e+00,5.432772e-02 -4.409006e-01 2.834812e+00,5.388986e-02 -4.390319e-01 2.835623e+00,5.383405e-02 -4.384065e-01 2.836761e+00,5.306774e-02 -4.383533e-01 2.837975e+00,5.251017e-02 -4.397795e-01 2.838515e+00,5.253817e-02 -4.413918e-01 2.838449e+00,5.322113e-02 -4.428893e-01 2.838576e+00,5.336018e-02 -4.433324e-01 2.838636e+00,5.367234e-02 -4.436045e-01 2.838536e+00,5.371938e-02 -4.436193e-01 2.838535e+00,5.410203e-02 -4.443332e-01 2.838484e+00,5.416797e-02 -4.578619e-01 2.837005e+00,5.413682e-02 -4.587922e-01 2.836981e+00,5.438528e-02 -4.573047e-01 2.837674e+00,5.438217e-02 -4.550780e-01 2.837553e+00,5.450836e-02 -4.530126e-01 2.837504e+00,5.470179e-02 -4.484195e-01 2.838547e+00,5.452755e-02 -4.471931e-01 2.838527e+00,5.429839e-02 -4.461577e-01 2.838559e+00,5.432068e-02 -4.455264e-01 2.838600e+00,5.424020e-02 -4.451492e-01 2.838704e+00,5.420056e-02 -4.403989e-01 2.839382e+00,5.434985e-02 -4.394198e-01 2.839747e+00,5.431797e-02 -4.384571e-01 2.840015e+00,5.431459e-02 -4.384727e-01 2.840019e+00,5.424770e-02 -4.386913e-01 2.839818e+00,5.438027e-02 -4.389469e-01 2.838403e+00,5.384606e-02 -4.390414e-01 2.837599e+00,5.369702e-02 -4.396445e-01 2.837143e+00,5.360792e-02 -4.398459e-01 2.837001e+00,5.363402e-02 -4.400162e-01 2.836955e+00,5.366234e-02 -4.402525e-01 2.837042e+00,5.388493e-02 -4.403865e-01 2.837269e+00,5.392567e-02 -4.404979e-01 2.837380e+00,5.415426e-02 -4.405407e-01 2.837659e+00,5.405929e-02 -4.406354e-01 2.838116e+00,5.407169e-02 -4.406555e-01 2.838140e+00,5.400000e-02 -4.406858e-01 2.838499e+00,5.391883e-02 -4.407120e-01 2.838572e+00,5.377553e-02 -4.409006e-01 2.838802e+00
5.951541e-02 -9.363583e-02 2.859670e+00,5.951253e-02 -9.362765e-02 2.859638e+00,5.954814e-02 -9.351230e-02 2.859485e+00,5.953533e-02 -9.357681e-02 2.859385e+00,5.910413e-02 -9.354626e-02 2.859158e+00,5.907933e-02 -9.350825e-02 2.859020e+00,5.908762e-02 -9.344760e-02 2.858991e+00,5.908664e-02 -9.338196e-02 2.859045e+00,5.901458e-02 -9.298825e-02 2.859385e+00,5.913230e-02 -9.297672e-02 2.860239e+00,5.864665e-02 -9.302481e-02 2.861882e+00,5.786524e-02 -9.349374e-02 2.862673e+00,5.756277e-02 -9.386149e-02 2.862671e+00,5.779672e-02 -9.371664e-02 2.863062e+00,5.770532e-02 -9.378848e-02 2.863577e+00,5.767117e-02 -9.376263e-02 2.863846e+00,5.753270e-02 -9.362834e-02 2.864066e+00,5.780890e-02 -9.322644e-02 2.864372e+00,5.801398e-02 -9.628654e-02 2.862513e+00,5.793538e-02 -9.699583e-02 2.862082e+00,5.786487e-02 -9.664223e-02 2.862317e+00,5.801074e-02 -9.646403e-02 2.862237e+00,5.784062e-02 -9.602079e-02 2.862835e+00,5.824872e-02 -9.504497e-02 2.863925e+00,5.832016e-02 -9.490272e-02 2.864033e+00,5.849516e-02 -9.459957e-02 2.864419e+00,5.856878e-02 -9.451009e-02 2.864574e+00,5.861413e-02 -9.447006e-02 2.864655e+00,5.878466e-02 -9.342965e-02 2.865061e+00,5.883887e-02 -9.304835e-02 2.865397e+00,5.880691e-02 -9.255225e-02 2.865473e+00,5.877035e-02 -9.246237e-02 2.865480e+00,5.873768e-02 -9.251142e-02 2.865432e+00,5.822089e-02 -9.233199e-02 2.864786e+00,5.794141e-02 -9.230786e-02 2.864529e+00,5.756078e-02 -9.254367e-02 2.864246e+00,5.718582e-02 -9.264668e-02 2.864051e+00,5.705107e-02 -9.280005e-02 2.863775e+00,5.690880e-02 -9.287838e-02 2.863662e+00,5.680289e-02 -9.289605e-02 2.863363e+00,5.672014e-02 -9.298811e-02 2.863143e+00,5.670070e-02 -9.296118e-02 2.862926e+00,5.667063e-02 -9.296277e-02 2.862950e+00,5.656053e-02 -9.303126e-02 2.862762e+00,5.628921e-02 -9.302876e-02 2.862513e+00,5.610765e-02 -9.302747e-02 2.862461e+00,5.589977e-02 -9.308121e-02 2.862309e+00
6.317650e-02 2.459275e-01 2.867818e+00,6.322489e-02 2.459587e-01 2.867817e+00,6.327648e-02 2.461110e-01 2.867696e+00,6.329102e-02 2.459751e-01 2.867701e+00,6.319279e-02 2.459522e-01 2.867627e+00,6.328402e-02 2.459476e-01 2.867537e+00,6.330401e-02 2.459622e-01 2.867543e+00,6.317640e-02 2.458652e-01 2.867559e+00,6.326739e-02 2.456459e-01 2.867803e+00,6.367054e-02 2.448631e-01 2.868730e+00,6.351802e-02 2.442671e-01 2.870922e+00,6.226602e-02 2.444907e-01 2.872161e+00,6.158214e-02 2.446052e-01 2.872105e+00,6.168047e-02 2.469312e-01 2.873378e+00,6.115605e-02 2.474528e-01 2.874830e+00,6.056302e-02 2.479916e-01 2.875597e+00,5.998548e-02 2.484148e-01 2.876108e+00,6.004145e-02 2.504649e-01 2.876275e+00,6.074783e-02 2.509848e-01 2.872730e+00,6.070816e-02 2.511333e-01 2.871760e+00,6.046557e-02 2.521497e-01 2.871719e+00,6.099123e-02 2.518566e-01 2.871494e+00,6.033936e-02 2.514817e-01 2.873587e+00,6.124600e-02 2.507196e-01 2.875106e+00,6.168030e-02 2.501688e-01 2.875402e+00,6.247799e-02 2.495997e-01 2.876283e+00,6.269558e-02 2.491229e-01 2.876641e+00,6.293932e-02 2.487570e-01 2.876725e+00,6.312998e-02 2.483675e-01 2.876829e+00,6.311925e-02 2.481558e-01 2.877031e+00,6.313471e-02 2.478207e-01 2.876850e+00,6.303976e-02 2.479174e-01 2.876781e+00,6.297300e-02 2.477374e-01 2.876705e+00,6.141810e-02 2.479065e-01 2.876344e+00,6.129057e-02 2.478422e-01 2.876303e+00,6.054184e-02 2.474943e-01 2.876001e+00,5.969132e-02 2.473397e-01 2.875683e+00,5.927287e-02 2.470076e-01 2.874847e+00,5.884690e-02 2.468941e-01 2.874343e+00,5.811115e-02 2.468310e-01 2.872565e+00,5.785838e-02 2.466032e-01 2.871603e+00,5.763420e-02 2.466354e-01 2.870663e+00,5.763453e-02 2.466371e-01 2.870646e+00,5.735946e-02 2.464209e-01 2.870098e+00,5.689578e-02 2.464135e-01 2.869184e+00,5.671236e-02 2.464178e-01 2.869095e+00,5.645373e-02 2.464423e-01 2.868634e+00
6.480161e-02 4.060251e-01 2.864905e+00,6.480052e-02 4.060259e-01 2.864905e+00,6.478436e-02 4.061138e-01 2.864807e+00,6.477898e-02 4.061139e-01 2.864806e+00,6.478640e-02 4.062557e-01 2.864745e+00,6.482744e-02 4.064466e-01 2.864602e+00,6.484355e-02 4.065849e-01 2.864551e+00,6.487402e-02 4.063805e-01 2.863492e+00,6.485827e-02 4.064442e-01 2.863412e+00,6.464123e-02 4.059717e-01 2.864068e+00,6.413996e-02 4.059586e-01 2.864546e+00,6.386869e-02 4.059386e-01 2.865289e+00,6.362473e-02 4.051758e-01 2.866260e+00,6.311589e-02 4.042519e-01 2.868485e+00,6.270669e-02 4.040801e-01 2.869277e+00,6.189182e-02 4.041819e-01 2.870659e+00,6.173509e-02 4.042136e-01 2.870853e+00,6.135593e-02 4.035088e-01 2.871833e+00,6.098510e-02 4.040430e-01 2.871922e+00,6.080321e-02 4.041650e-01 2.871956e+00,6.086522e-02 4.043181e-01 2.872130e+00,6.088698e-02 4.043226e-01 2.872115e+00,6.085356e-02 4.042650e-01 2.872336e+00,6.089316e-02 4.038706e-01 2.873868e+00,6.096345e-02 4.037237e-01 2.874474e+00,6.135812e-02 4.043032e-01 2.874775e+00,6.133731e-02 4.044374e-01 2.874755e+00,6.166552e-02 4.048173e-01 2.875022e+00,6.217548e-02 4.057057e-01 2.875388e+00,6.249121e-02 4.065234e-01 2.875380e+00,6.256564e-02 4.068440e-01 2.875489e+00,6.253317e-02 4.070324e-01 2.875419e+00,6.255689e-02 4.068276e-01 2.875355e+00,6.245779e-02 4.070234e-01 2.875153e+00,6.198908e-02 4.070450e-01 2.874592e+00,6.060636e-02 4.070420e-01 2.873423e+00,5.996623e-02 4.066858e-01 2.872542e+00,5.968969e-02 4.063653e-01 2.871743e+00,5.815079e-02 4.057704e-01 2.868694e+00,5.727112e-02 4.055769e-01 2.864410e+00,5.686097e-02 4.054222e-01 2.863190e+00,5.636897e-02 4.053892e-01 2.860893e+00,5.631997e-02 4.053425e-01 2.860848e+00,5.619067e-02 4.050890e-01 2.860088e+00,5.609417e-02 4.050008e-01 2.859648e+00,5.626885e-02 4.049901e-01 2.859323e+00,5.630261e-02 4.050002e-01 2.859190e+00
-1.386759e-01 1.117001e-01 2.867229e+00,-1.386750e-01 1.116977e-01 2.867230e+00,-1.386442e-01 1.117288e-01 2.867231e+00,-1.386386e-01 1.117411e-01 2.867231e+00,-1.386180e-01 1.118400e-01 2.867329e+00,-1.381267e-01 1.126256e-01 2.867042e+00,-1.371137e-01 1.141786e-01 2.867072e+00,-1.356869e-01 1.155354e-01 2.866380e+00,-1.342139e-01 1.162134e-01 2.865752e+00,-1.341934e-01 1.162468e-01 2.865738e+00,-1.325141e-01 1.178391e-01 2.864733e+00,-1.320651e-01 1.199075e-01 2.864437e+00,-1.323137e-01 1.196968e-01 2.864150e+00,-1.323700e-01 1.195663e-01 2.863528e+00,-1.322970e-01 1.195399e-01 2.863177e+00,-1.302841e-01 1.214143e-01 2.860238e+00,-1.303353e-01 1.212438e-01 2.860119e+00,-1.303179e-01 1.214571e-01 2.860143e+00,-1.312199e-01 1.209337e-01 2.859709e+00,-1.314951e-01 1.208473e-01 2.859684e+00,-1.317482e-01 1.206798e-01 2.859593e+00,-1.315490e-01 1.208712e-01 2.859503e+00,-1.313477e-01 1.210273e-01 2.859424e+00,-1.311643e-01 1.208065e-01 2.859314e+00,-1.311377e-01 1.207956e-01 2.859316e+00,-1.292041e-01 1.218521e-01 2.857446e+00,-1.293351e-01 1.214748e-01 2.857533e+00,-1.295429e-01 1.210660e-01 2.857715e+00,-1.292947e-01 1.211847e-01 2.857611e+00,-1.297196e-01 1.210743e-01 2.858356e+00,-1.298057e-01 1.195188e-01 2.859671e+00,-1.296565e-01 1.186283e-01 2.859898e+00,-1.304059e-01 1.183183e-01 2.860520e+00,-1.309215e-01 1.187573e-01 2.861052e+00,-1.319125e-01 1.187402e-01 2.862088e+00,-1.337362e-01 1.163907e-01 2.862798e+00,-1.349465e-01 1.148583e-01 2.862895e+00,-1.354591e-01 1.138109e-01 2.862659e+00,-1.363543e-01 1.120981e-01 2.862629e+00,-1.369587e-01 1.114410e-01 2.862176e+00,-1.373614e-01 1.112193e-01 2.862097e+00,-1.381919e-01 1.106187e-01 2.861723e+00,-1.386392e-01 1.103866e-01 2.862121e+00,-1.389434e-01 1.100198e-01 2.861836e+00,-1.393829e-01 1.097756e-01 2.861516e+00,-1.394796e-01 1.097088e-01 2.861393e+00,-1.397921e-01 1.094650e-01 2.861027e+00
-1.650766e-01 -1.653261e-01 2.839386e+00,-1.650041e-01 -1.648979e-01 2.839550e+00,-1.649524e-01 -1.629439e-01 2.840878e+00,-1.682165e-01 -1.532417e-01 2.844608e+00,-1.838444e-01 -1.255355e-01 2.860188e+00,-1.967493e-01 -1.111053e-01 2.858086e+00,-1.995089e-01 -1.086286e-01 2.855898e+00,-1.723666e-01 -1.174298e-01 2.774712e+00,-2.307832e-01 -9.237261e-02 2.786656e+00,-2.092000e-01 -9.063815e-02 2.774528e+00,-2.002941e-01 -8.614337e-02 2.759555e+00,-1.938025e-01 -8.375176e-02 2.754096e+00,-1.826809e-01 -8.249521e-02 2.744156e+00,-1.785331e-01 -7.632756e-02 2.730249e+00,-1.781098e-01 -7.639161e-02 2.729820e+00,-1.746373e-01 -7.565015e-02 2.728188e+00,-1.757429e-01 -7.427849e-02 2.725891e+00,-1.785463e-01 -7.174660e-02 2.723264e+00,-1.865791e-01 -7.459228e-02 2.729914e+00,-1.900333e-01 -7.504696e-02 2.732179e+00,-1.919437e-01 -7.363731e-02 2.730233e+00,-1.913401e-01 -7.268555e-02 2.728625e+00,-1.906271e-01 -7.221194e-02 2.727738e+00,-1.919182e-01 -7.176273e-02 2.727288e+00,-1.989080e-01 -7.432932e-02 2.735875e+00,-1.957968e-01 -7.382684e-02 2.734244e+00,-1.966780e-01 -7.430084e-02 2.734995e+00,-1.955991e-01 -7.511824e-02 2.735116e+00,-1.970242e-01 -7.790937e-02 2.739910e+00,-2.061897e-01 -8.395673e-02 2.747873e+00,-2.140418e-01 -1.004882e-01 2.740111e+00,-1.872115e-01 -1.275038e-01 2.726421e+00,-1.731537e-01 -1.326445e-01 2.753650e+00,-1.806812e-01 -1.067457e-01 2.822262e+00,-1.795193e-01 -1.075234e-01 2.827137e+00,-1.718808e-01 -1.273512e-01 2.833611e+00,-1.659330e-01 -1.401316e-01 2.834477e+00,-1.653560e-01 -1.434796e-01 2.834677e+00,-1.665562e-01 -1.527696e-01 2.836121e+00,-1.685777e-01 -1.564246e-01 2.843278e+00,-1.699428e-01 -1.580199e-01 2.847339e+00,-1.724453e-01 -1.603206e-01 2.853647e+00,-1.739491e-01 -1.580812e-01 2.858614e+00,-1.739796e-01 -1.580257e-01 2.859319e+00,-1.741845e-01 -1.578798e-01 2.860116e+00,-1.743048e-01 -1.582565e-01 2.860351e+00,-1.743543e-01 -1.583876e-01 2.860286e+00
-1.637199e-01 -4.079469e-01 2.756248e+00,-1.636506e-01 -4.087853e-01 2.756082e+00,-1.676304e-01 -3.867771e-01 2.759682e+00,-1.650372e-01 -3.798638e-01 2.755344e+00,-1.583204e-01 -3.321740e-01 2.732305e+00,-1.463271e-01 -2.977585e-01 2.703538e+00,-1.383268e-01 -2.664281e-01 2.681944e+00,-5.908211e-02 -2.071574e-01 2.583586e+00,-3.481844e-02 -1.132447e-01 2.559973e+00,-5.381357e-02 -5.093204e-02 2.580998e+00,-4.496261e-02 -1.048960e-02 2.594479e+00,-3.789545e-02 9.081554e-03 2.599276e+00,-2.952465e-02 2.262878e-02 2.594950e+00,-1.526158e-02 4.557491e-02 2.609183e+00,1.767203e-03 4.722718e-02 2.641500e+00,4.910368e-02 6.631521e-02 2.615832e+00,2.882168e-02 6.754992e-02 2.608476e+00,2.216527e-02 7.142619e-02 2.603917e+00,-3.361638e-02 6.969869e-02 2.621908e+00,-3.641711e-02 6.997934e-02 2.600107e+00,6.355940e-04 7.703745e-02 2.604534e+00,4.825066e-03 7.554061e-02 2.606179e+00,1.860845e-02 7.049299e-02 2.618695e+00,5.702318e-03 4.713760e-02 2.645526e+00,1.841491e-02 6.750327e-02 2.599840e+00,1.570434e-02 5.964041e-02 2.603341e+00,8.900253e-03 5.135344e-02 2.605786e+00,8.276672e-03 4.644693e-02 2.603730e+00,-1.011735e-03 -7.678760e-03 2.586226e+00,-1.507983e-02 -5.606789e-02 2.583434e+00,-2.731699e-02 -1.081366e-01 2.592355e+00,-9.074619e-03 -1.589872e-01 2.571108e+00,-6.482521e-02 -2.470593e-01 2.573858e+00,-1.234772e-01 -2.701851e-01 2.648833e+00,-1.403097e-01 -2.895492e-01 2.679091e+00,-1.535047e-01 -3.262628e-01 2.706855e+00,-1.578814e-01 -3.443316e-01 2.717279e+00,-1.649405e-01 -3.529348e-01 2.728168e+00,-1.746858e-01 -3.698397e-01 2.749562e+00,-1.786983e-01 -3.754132e-01 2.763000e+00,-1.812997e-01 -3.778656e-01 2.770175e+00,-1.836153e-01 -3.799673e-01 2.775819e+00,-1.858341e-01 -3.779206e-01 2.781556e+00,-1.860904e-01 -3.779938e-01 2.782751e+00,-1.814140e-01 -4.091676e-01 2.780367e+00,-1.813850e-01 -4.090209e-01 2.779666e+00,-1.801546e-01 -4.095008e-01 2.776359e+00
-1.573530e-01 -4.531504e-01 2.743792e+00,-1.572518e-01 -4.535788e-01 2.745299e+00,-1.554291e-01 -4.422357e-01 2.739058e+00,-1.501237e-01 -4.316402e-01 2.729164e+00,-1.268999e-01 -3.933465e-01 2.695401e+00,-1.112293e-01 -3.625073e-01 2.669585e+00,-9.879498e-02 -3.173147e-01 2.637780e+00,-7.049646e-02 -2.133543e-01 2.573722e+00,-2.826403e-02 -1.045571e-01 2.535048e+00,-2.787746e-02 -4.182959e-02 2.552171e+00,-2.477155e-02 1.652685e-02 2.559313e+00,-1.157834e-02 5.198273e-02 2.549604e+00,2.753445e-03 6.731742e-02 2.550422e+00,4.559702e-02 1.005634e-01 2.560910e+00,5.226308e-02 9.935260e-02 2.591585e+00,5.603235e-02 9.795907e-02 2.593463e+00,5.220536e-02 1.040156e-01 2.581455e+00,4.830179e-02 1.134440e-01 2.564885e+00,1.570644e-02 1.216182e-01 2.561812e+00,1.245211e-02 1.234012e-01 2.561630e+00,4.323658e-02 1.238848e-01 2.568763e+00,4.708395e-02 1.118027e-01 2.585634e+00,5.292447e-02 1.043685e-01 2.588695e+00,5.897678e-02 9.026923e-02 2.591656e+00,5.225667e-02 9.664707e-02 2.579417e+00,5.043874e-02 8.517927e-02 2.576238e+00,4.659740e-02 7.699892e-02 2.569717e+00,4.303028e-02 6.504828e-02 2.558125e+00,3.498772e-02 6.986368e-03 2.534718e+00,2.431321e-02 -3.070986e-02 2.531302e+00,5.207213e-02 -1.399888e-01 2.532873e+00,9.830213e-02 -1.906083e-01 2.544727e+00,-5.597617e-02 -2.791766e-01 2.548737e+00,-9.773544e-02 -3.345000e-01 2.618299e+00,-1.179001e-01 -3.597612e-01 2.647130e+00,-1.325372e-01 -4.046539e-01 2.697225e+00,-1.540909e-01 -4.184445e-01 2.701645e+00,-1.631748e-01 -4.265621e-01 2.718045e+00,-1.699779e-01 -4.377763e-01 2.742430e+00,-1.712624e-01 -4.421334e-01 2.758712e+00,-1.704832e-01 -4.459662e-01 2.763736e+00,-1.723793e-01 -4.482349e-01 2.766634e+00,-1.731225e-01 -4.435208e-01 2.773525e+00,-1.728496e-01 -4.431198e-01 2.770345e+00,-1.702391e-01 -4.467550e-01 2.769410e+00,-1.698013e-01 -4.507342e-01 2.764319e+00,-1.662160e-01 -4.494066e-01 2.758144e+00
2.443801e-01 1.093567e-01 2.825900e+00,2.443700e-01 1.093643e-01 2.825903e+00,2.443524e-01 1.095907e-01 2.825916e+00,2.443338e-01 1.096054e-01 2.825919e+00,2.449598e-01 1.099932e-01 2.826709e+00,2.451189e-01 1.102374e-01 2.827001e+00,2.450060e-01 1.105095e-01 2.827543e+00,2.448772e-01 1.111045e-01 2.828166e+00,2.452380e-01 1.111221e-01 2.828792e+00,2.452218e-01 1.108603e-01 2.829353e+00,2.451589e-01 1.107630e-01 2.829181e+00,2.451906e-01 1.107660e-01 2.829082e+00,2.453133e-01 1.106617e-01 2.828948e+00,2.456837e-01 1.110213e-01 2.829146e+00,2.455924e-01 1.108815e-01 2.829006e+00,2.456487e-01 1.107685e-01 2.828870e+00,2.456544e-01 1.107368e-01 2.828794e+00,2.463072e-01 1.109253e-01 2.829022e+00,2.468225e-01 1.107943e-01 2.828938e+00,2.465781e-01 1.109395e-01 2.828562e+00,2.470926e-01 1.110454e-01 2.829049e+00,2.471082e-01 1.110352e-01 2.829047e+00,2.470400e-01 1.110005e-01 2.829003e+00,2.470397e-01 1.110027e-01 2.829002e+00,2.471277e-01 1.108399e-01 2.829059e+00,2.478167e-01 1.111151e-01 2.830140e+00,2.483170e-01 1.110389e-01 2.830561e+00,2.483709e-01 1.110617e-01 2.831110e+00,2.489351e-01 1.111789e-01 2.832035e+00,2.493349e-01 1.109487e-01 2.832793e+00,2.499732e-01 1.105972e-01 2.834291e+00,2.499003e-01 1.104474e-01 2.834896e+00,2.496883e-01 1.105011e-01 2.835120e+00,2.493233e-01 1.107176e-01 2.835380e+00,2.486592e-01 1.109148e-01 2.835198e+00,2.474814e-01 1.111017e-01 2.834647e+00,2.469405e-01 1.108998e-01 2.834334e+00,2.463637e-01 1.108826e-01 2.833781e+00,2.456275e-01 1.110561e-01 2.833022e+00,2.451676e-01 1.110861e-01 2.832699e+00,2.450393e-01 1.110461e-01 2.832658e+00,2.445199e-01 1.111886e-01 2.832230e+00,2.442704e-01 1.112790e-01 2.832353e+00,2.440345e-01 1.113310e-01 2.832167e+00,2.437346e-01 1.112973e-01 2.832002e+00,2.434959e-01 1.113756e-01 2.831845e+00,2.427260e-01 1.110428e-01 2.831070e+00
2.749088e-01 -1.553306e-01 2.815127e+00,2.749348e-01 -1.553489e-01 2.815139e+00,2.754271e-01 -1.542666e-01 2.816518e+00,2.780395e-01 -1.490809e-01 2.818945e+00,2.816378e-01 -1.436570e-01 2.826556e+00,2.950646e-01 -1.194297e-01 2.831479e+00,2.961637e-01 -1.164468e-01 2.830920e+00,3.009461e-01 -1.128929e-01 2.823035e+00,3.104641e-01 -1.102513e-01 2.792404e+00,3.098855e-01 -1.098519e-01 2.784226e+00,3.003592e-01 -1.097632e-01 2.766060e+00,2.993099e-01 -1.096751e-01 2.764187e+00,2.953373e-01 -1.089938e-01 2.756187e+00,2.770262e-01 -1.096473e-01 2.746738e+00,2.776645e-01 -1.087290e-01 2.743428e+00,2.778510e-01 -1.075567e-01 2.739306e+00,2.778054e-01 -1.069969e-01 2.737427e+00,2.798176e-01 -1.065621e-01 2.737563e+00,2.850259e-01 -1.063629e-01 2.738922e+00,2.863556e-01 -1.059035e-01 2.738484e+00,2.857471e-01 -1.056481e-01 2.737893e+00,2.827269e-01 -1.050339e-01 2.734514e+00,2.835485e-01 -1.050155e-01 2.734758e+00,2.860661e-01 -1.050858e-01 2.736281e+00,2.865050e-01 -1.053719e-01 2.736892e+00,2.894574e-01 -1.056557e-01 2.740957e+00,2.889651e-01 -1.061709e-01 2.742129e+00,2.849352e-01 -1.054912e-01 2.738444e+00,2.910496e-01 -1.070390e-01 2.747756e+00,2.922356e-01 -1.073218e-01 2.749229e+00,2.943958e-01 -1.079259e-01 2.752679e+00,3.108824e-01 -1.090710e-01 2.765558e+00,3.165601e-01 -1.081316e-01 2.780096e+00,2.889307e-01 -1.173803e-01 2.810818e+00,2.863008e-01 -1.175718e-01 2.815886e+00,2.836584e-01 -1.305574e-01 2.823370e+00,2.833304e-01 -1.383337e-01 2.824927e+00,2.834044e-01 -1.428502e-01 2.824469e+00,2.843337e-01 -1.461610e-01 2.825878e+00,2.868000e-01 -1.499024e-01 2.828690e+00,2.884746e-01 -1.508697e-01 2.830647e+00,2.904641e-01 -1.524321e-01 2.834141e+00,2.906677e-01 -1.512301e-01 2.837555e+00,2.906395e-01 -1.514835e-01 2.838655e+00,2.902233e-01 -1.520285e-01 2.839275e+00,2.897069e-01 -1.523040e-01 2.839462e+00,2.886017e-01 -1.531232e-01 2.839096e+00
2.774336e-01 -3.737033e-01 2.732094e+00,2.768420e-01 -3.737300e-01 2.732109e+00,2.762729e-01 -3.720230e-01 2.731540e+00,2.737026e-01 -3.654782e-01 2.729958e+00,2.561126e-01 -3.446399e-01 2.705836e+00,2.435020e-01 -3.033279e-01 2.691061e+00,2.290344e-01 -2.783279e-01 2.669670e+00,1.714006e-01 -1.916746e-01 2.637459e+00,1.518997e-01 -7.922415e-02 2.615440e+00,1.130288e-01 1.477029e-03 2.628336e+00,5.897761e-02 1.212715e-02 2.597534e+00,5.947889e-02 1.411907e-02 2.594792e+00,7.467939e-02 5.026081e-02 2.590673e+00,1.048320e-01 5.917514e-02 2.602693e+00,1.045343e-01 5.934635e-02 2.603982e+00,1.067615e-01 2.845227e-02 2.650785e+00,1.076379e-01 3.089894e-02 2.650237e+00,1.252719e-01 5.061832e-02 2.654722e+00,1.366963e-01 5.776647e-02 2.658622e+00,1.380451e-01 5.907651e-02 2.660209e+00,1.172503e-01 3.431787e-02 2.650721e+00,1.121992e-01 2.936671e-02 2.641991e+00,1.088456e-01 2.370883e-02 2.641877e+00,1.106050e-01 1.982911e-02 2.639188e+00,1.066758e-01 1.092324e-02 2.636750e+00,1.105831e-01 7.868899e-03 2.635469e+00,1.119571e-01 7.030524e-03 2.632829e+00,1.083420e-01 9.446990e-03 2.630446e+00,8.792495e-02 4.885049e-03 2.597388e+00,1.150902e-01 -5.319316e-02 2.598802e+00,8.570536e-02 -1.345356e-01 2.583004e+00,1.339685e-01 -1.790770e-01 2.611662e+00,1.743691e-01 -2.112999e-01 2.618491e+00,2.167243e-01 -2.726696e-01 2.644986e+00,2.336434e-01 -3.072503e-01 2.671055e+00,2.593935e-01 -3.294842e-01 2.698559e+00,2.679378e-01 -3.460077e-01 2.713412e+00,2.739837e-01 -3.534968e-01 2.721061e+00,2.914687e-01 -3.648094e-01 2.740939e+00,3.019548e-01 -3.693236e-01 2.750934e+00,3.040126e-01 -3.704953e-01 2.753709e+00,3.063136e-01 -3.722588e-01 2.758018e+00,3.071941e-01 -3.708686e-01 2.760952e+00,3.070606e-01 -3.709165e-01 2.761322e+00,3.046155e-01 -3.716274e-01 2.761991e+00,3.017429e-01 -3.721589e-01 2.762527e+00,2.993784e-01 -3.726103e-01 2.760675e+00
