4.389780e-02 -5.600775e-01 2.743916e+00,4.375741e-02 -5.605392e-01 2.742309e+00,4.352011e-02 -5.606857e-01 2.741266e+00,4.148737e-02 -5.610651e-01 2.737524e+00,3.894043e-02 -5.606807e-01 2.734438e+00,3.777377e-02 -5.608577e-01 2.732742e+00,3.130822e-02 -5.594547e-01 2.728212e+00,2.952629e-02 -5.593624e-01 2.727624e+00,2.781030e-02 -5.591106e-01 2.726165e+00,2.016096e-02 -5.594584e-01 2.725384e+00,2.007614e-02 -5.600953e-01 2.724611e+00,1.651752e-02 -5.600091e-01 2.723105e+00,1.513937e-02 -5.570582e-01 2.720893e+00,1.212979e-02 -5.504490e-01 2.721366e+00,1.132513e-02 -5.480941e-01 2.721163e+00,9.590251e-03 -5.456303e-01 2.721885e+00,6.998086e-03 -5.372244e-01 2.719848e+00,7.063044e-03 -5.367205e-01 2.719609e+00,6.883068e-03 -5.345019e-01 2.719477e+00,6.871250e-03 -5.350487e-01 2.720158e+00,7.615970e-03 -5.349784e-01 2.720284e+00,9.891151e-03 -5.387074e-01 2.724786e+00,1.259927e-02 -5.423785e-01 2.726917e+00,2.051026e-02 -5.597494e-01 2.737087e+00,2.348684e-02 -5.635298e-01 2.741178e+00,2.547225e-02 -5.648179e-01 2.743077e+00,2.824523e-02 -5.670149e-01 2.749550e+00,2.813412e-02 -5.657113e-01 2.752333e+00,3.032421e-02 -5.623081e-01 2.755938e+00,3.043227e-02 -5.616444e-01 2.757172e+00,3.307512e-02 -5.608819e-01 2.759375e+00,3.739328e-02 -5.585005e-01 2.764259e+00,3.812980e-02 -5.582927e-01 2.765106e+00,3.959526e-02 -5.585696e-01 2.766792e+00,4.042698e-02 -5.583509e-01 2.767207e+00,4.112525e-02 -5.586321e-01 2.767779e+00,4.240877e-02 -5.589672e-01 2.768332e+00,4.296608e-02 -5.591718e-01 2.768433e+00,4.457897e-02 -5.591571e-01 2.768942e+00,4.522061e-02 -5.593607e-01 2.769377e+00,4.623823e-02 -5.595253e-01 2.769726e+00,4.647669e-02 -5.594929e-01 2.769743e+00,4.648320e-02 -5.596495e-01 2.769849e+00
4.265863e-02 -2.678087e-01 2.763074e+00,4.249204e-02 -2.679459e-01 2.761738e+00,4.254844e-02 -2.679493e-01 2.760817e+00,4.130055e-02 -2.678702e-01 2.757120e+00,3.993511e-02 -2.673222e-01 2.754989e+00,3.937757e-02 -2.671963e-01 2.753112e+00,3.705673e-02 -2.658761e-01 2.749507e+00,3.623595e-02 -2.653829e-01 2.748641e+00,3.521750e-02 -2.643743e-01 2.746654e+00,3.431982e-02 -2.642925e-01 2.746967e+00,3.306224e-02 -2.633610e-01 2.744451e+00,3.151473e-02 -2.633209e-01 2.744727e+00,2.795185e-02 -2.576270e-01 2.739157e+00,2.496693e-02 -2.525813e-01 2.737730e+00,2.466745e-02 -2.510195e-01 2.736354e+00,2.401520e-02 -2.498918e-01 2.735574e+00,2.298805e-02 -2.468194e-01 2.732859e+00,2.289240e-02 -2.465566e-01 2.732557e+00,2.275262e-02 -2.460603e-01 2.732144e+00,2.275686e-02 -2.464788e-01 2.732373e+00,2.291135e-02 -2.464357e-01 2.732531e+00,2.317490e-02 -2.483294e-01 2.736117e+00,2.337002e-02 -2.490367e-01 2.738315e+00,2.721502e-02 -2.576955e-01 2.746998e+00,2.926953e-02 -2.598437e-01 2.749982e+00,3.517076e-02 -2.615793e-01 2.757883e+00,3.754269e-02 -2.658320e-01 2.767390e+00,3.736022e-02 -2.657044e-01 2.769464e+00,3.765246e-02 -2.649338e-01 2.771248e+00,3.768496e-02 -2.647188e-01 2.772134e+00,3.871476e-02 -2.645510e-01 2.773337e+00,4.064179e-02 -2.639703e-01 2.775910e+00,4.151402e-02 -2.639091e-01 2.776905e+00,4.290741e-02 -2.645251e-01 2.779294e+00,4.344606e-02 -2.645531e-01 2.779881e+00,4.396378e-02 -2.649046e-01 2.780726e+00,4.484858e-02 -2.654513e-01 2.781870e+00,4.508580e-02 -2.656067e-01 2.782230e+00,4.570279e-02 -2.657492e-01 2.783412e+00,4.604706e-02 -2.660250e-01 2.784403e+00,4.664729e-02 -2.664068e-01 2.785670e+00,4.664079e-02 -2.665333e-01 2.786047e+00,4.644811e-02 -2.669684e-01 2.787125e+00
4.081405e-02 1.909960e-02 2.769000e+00,4.071588e-02 1.921796e-02 2.767952e+00,4.109441e-02 1.934965e-02 2.767087e+00,4.058700e-02 1.987330e-02 2.763451e+00,4.011432e-02 2.047706e-02 2.762114e+00,4.026138e-02 2.094497e-02 2.759980e+00,4.076818e-02 2.232028e-02 2.756864e+00,4.089801e-02 2.330305e-02 2.755645e+00,4.112012e-02 2.514376e-02 2.753189e+00,4.275682e-02 2.552321e-02 2.754801e+00,4.107022e-02 3.008789e-02 2.749197e+00,4.169807e-02 2.925263e-02 2.751737e+00,3.792538e-02 3.666414e-02 2.743310e+00,3.603549e-02 4.056911e-02 2.740088e+00,3.654117e-02 4.150228e-02 2.737217e+00,3.665983e-02 4.194559e-02 2.734885e+00,3.673038e-02 4.164340e-02 2.731919e+00,3.665068e-02 4.142874e-02 2.731621e+00,3.679557e-02 4.039775e-02 2.730839e+00,3.703801e-02 3.915113e-02 2.730927e+00,3.700845e-02 3.898386e-02 2.731341e+00,3.598754e-02 3.723130e-02 2.735230e+00,3.401046e-02 3.854156e-02 2.739049e+00,3.486304e-02 3.601278e-02 2.745141e+00,3.569353e-02 3.575698e-02 2.746544e+00,4.668019e-02 3.570204e-02 2.763593e+00,4.731437e-02 3.017278e-02 2.773506e+00,4.692138e-02 2.939586e-02 2.774897e+00,4.611501e-02 2.878200e-02 2.775660e+00,4.596340e-02 2.854608e-02 2.775994e+00,4.598326e-02 2.831479e-02 2.776269e+00,4.604618e-02 2.770764e-02 2.776845e+00,4.647672e-02 2.731596e-02 2.777394e+00,4.706790e-02 2.564884e-02 2.780014e+00,4.724040e-02 2.520846e-02 2.780655e+00,4.739457e-02 2.458507e-02 2.781633e+00,4.763723e-02 2.339838e-02 2.783438e+00,4.754677e-02 2.315396e-02 2.784105e+00,4.712609e-02 2.250596e-02 2.786405e+00,4.696155e-02 2.209927e-02 2.787899e+00,4.684633e-02 2.128841e-02 2.790277e+00,4.626809e-02 2.077068e-02 2.791336e+00,4.580127e-02 2.012770e-02 2.793364e+00
5.218588e-02 1.595875e-01 2.767702e+00,5.212804e-02 1.596333e-01 2.766872e+00,5.200389e-02 1.596481e-01 2.766288e+00,5.122231e-02 1.599488e-01 2.764566e+00,5.057611e-02 1.603806e-01 2.763846e+00,5.017424e-02 1.606348e-01 2.762970e+00,4.802933e-02 1.618849e-01 2.761610e+00,4.656889e-02 1.630503e-01 2.761217e+00,4.508282e-02 1.658965e-01 2.759960e+00,4.318644e-02 1.708398e-01 2.759510e+00,3.287217e-02 1.693509e-01 2.758220e+00,2.832255e-02 1.597492e-01 2.755538e+00,2.766609e-02 1.627520e-01 2.756806e+00,2.821996e-02 1.662383e-01 2.758552e+00,3.366124e-02 1.722340e-01 2.760917e+00,3.781261e-02 1.767338e-01 2.761442e+00,4.238846e-02 1.807830e-01 2.763801e+00,4.372466e-02 1.797808e-01 2.763380e+00,4.720613e-02 1.838842e-01 2.765853e+00,4.821221e-02 1.853032e-01 2.767865e+00,4.887581e-02 1.862317e-01 2.769655e+00,4.883517e-02 1.831753e-01 2.776366e+00,4.982089e-02 1.700241e-01 2.783060e+00,3.311881e-02 1.640562e-01 2.787189e+00,3.338665e-02 1.638589e-01 2.789788e+00,3.485366e-02 1.630184e-01 2.791990e+00,3.721244e-02 1.633587e-01 2.794981e+00,3.790053e-02 1.634880e-01 2.796272e+00,4.027613e-02 1.638982e-01 2.796637e+00,4.145687e-02 1.640558e-01 2.795825e+00,4.374770e-02 1.639922e-01 2.795594e+00,4.834710e-02 1.637998e-01 2.793726e+00,5.051079e-02 1.635177e-01 2.793730e+00,5.486248e-02 1.624407e-01 2.793373e+00,5.622945e-02 1.620574e-01 2.793109e+00,5.719523e-02 1.614527e-01 2.793204e+00,5.771313e-02 1.611917e-01 2.792846e+00,5.772775e-02 1.611465e-01 2.792844e+00,5.758629e-02 1.611105e-01 2.792888e+00,5.726809e-02 1.609987e-01 2.793145e+00,5.636112e-02 1.605724e-01 2.793649e+00,5.554266e-02 1.602607e-01 2.793664e+00,5.360362e-02 1.599271e-01 2.794356e+00
-1.105814e-01 -8.993250e-02 2.748177e+00,-1.107557e-01 -9.058202e-02 2.745035e+00,-1.108814e-01 -9.097678e-02 2.744104e+00,-1.109182e-01 -9.136957e-02 2.743201e+00,-1.111830e-01 -9.127044e-02 2.743141e+00,-1.112081e-01 -9.124100e-02 2.742993e+00,-1.120910e-01 -9.004219e-02 2.744388e+00,-1.129585e-01 -8.877794e-02 2.747438e+00,-1.132551e-01 -8.702860e-02 2.753393e+00,-1.099267e-01 -8.586289e-02 2.760150e+00,-1.076593e-01 -8.611297e-02 2.762302e+00,-9.609173e-02 -8.176236e-02 2.758818e+00,-9.592924e-02 -8.145586e-02 2.759619e+00,-9.197537e-02 -5.397550e-02 2.780839e+00,-8.728052e-02 -4.704823e-02 2.784434e+00,-8.615678e-02 -4.525262e-02 2.785046e+00,-8.528728e-02 -4.429225e-02 2.785340e+00,-8.508549e-02 -4.415005e-02 2.785718e+00,-8.539486e-02 -4.585373e-02 2.786181e+00,-8.587402e-02 -4.843275e-02 2.787147e+00,-8.640943e-02 -4.903376e-02 2.788342e+00,-8.292329e-02 -4.728486e-02 2.797137e+00,-8.299245e-02 -6.133645e-02 2.785374e+00,-8.124239e-02 -7.357838e-02 2.782706e+00,-8.381385e-02 -7.634696e-02 2.782641e+00,-9.218466e-02 -9.278876e-02 2.789195e+00,-9.782070e-02 -9.282173e-02 2.793877e+00,-9.970384e-02 -9.235826e-02 2.794127e+00,-1.036487e-01 -9.099008e-02 2.790343e+00,-1.051098e-01 -9.026992e-02 2.786770e+00,-1.062977e-01 -8.963253e-02 2.783118e+00,-1.041689e-01 -8.229094e-02 2.780686e+00,-1.041826e-01 -8.440056e-02 2.776906e+00,-1.045091e-01 -8.674254e-02 2.772581e+00,-1.044470e-01 -8.700583e-02 2.771053e+00,-1.044710e-01 -8.732412e-02 2.770445e+00,-1.044645e-01 -8.768192e-02 2.769828e+00,-1.045153e-01 -8.791237e-02 2.769678e+00,-1.049864e-01 -8.864443e-02 2.770047e+00,-1.054588e-01 -8.900265e-02 2.770824e+00,-1.063648e-01 -9.064821e-02 2.772882e+00,-1.069464e-01 -9.148241e-02 2.773621e+00,-1.081000e-01 -9.252542e-02 2.776601e+00
-1.489542e-01 -3.203509e-01 2.746099e+00,-1.492079e-01 -3.208202e-01 2.744994e+00,-1.492178e-01 -3.207985e-01 2.744891e+00,-1.492619e-01 -3.207282e-01 2.744560e+00,-1.492302e-01 -3.207442e-01 2.744654e+00,-1.492750e-01 -3.207318e-01 2.744971e+00,-1.494216e-01 -3.175844e-01 2.751294e+00,-1.492693e-01 -3.171445e-01 2.755761e+00,-1.492037e-01 -3.157035e-01 2.765121e+00,-1.478849e-01 -3.123630e-01 2.775851e+00,-1.467759e-01 -3.188152e-01 2.778057e+00,-1.428489e-01 -3.236913e-01 2.789166e+00,-1.411761e-01 -3.237725e-01 2.792952e+00,-1.229401e-01 -2.860386e-01 2.823243e+00,-1.220500e-01 -2.842571e-01 2.824951e+00,-1.213372e-01 -2.833887e-01 2.828793e+00,-1.179640e-01 -2.844633e-01 2.836120e+00,-1.159784e-01 -2.838565e-01 2.838097e+00,-1.146424e-01 -2.853609e-01 2.839632e+00,-1.144645e-01 -2.878675e-01 2.840997e+00,-1.146465e-01 -2.884347e-01 2.842474e+00,-1.112249e-01 -2.869610e-01 2.848329e+00,-1.119357e-01 -2.887173e-01 2.849564e+00,-1.130128e-01 -2.902437e-01 2.849973e+00,-1.155649e-01 -2.926113e-01 2.850559e+00,-1.298814e-01 -3.216796e-01 2.842324e+00,-1.345256e-01 -3.234419e-01 2.837359e+00,-1.369816e-01 -3.223226e-01 2.834355e+00,-1.406443e-01 -3.206910e-01 2.824849e+00,-1.440811e-01 -3.210327e-01 2.816560e+00,-1.451983e-01 -3.195852e-01 2.811640e+00,-1.442358e-01 -3.190171e-01 2.801163e+00,-1.443409e-01 -3.194112e-01 2.796388e+00,-1.460841e-01 -3.189468e-01 2.789000e+00,-1.471926e-01 -3.187099e-01 2.785440e+00,-1.477656e-01 -3.193524e-01 2.781766e+00,-1.473741e-01 -3.196577e-01 2.779603e+00,-1.458753e-01 -3.203359e-01 2.778921e+00,-1.438616e-01 -3.203597e-01 2.778120e+00,-1.433136e-01 -3.202734e-01 2.778310e+00,-1.427131e-01 -3.206795e-01 2.778572e+00,-1.424271e-01 -3.207782e-01 2.779178e+00,-1.421147e-01 -3.210315e-01 2.781650e+00
-1.497319e-01 -5.107010e-01 2.667558e+00,-1.502140e-01 -5.110163e-01 2.666029e+00,-1.506755e-01 -5.108653e-01 2.665575e+00,-1.515192e-01 -5.105007e-01 2.664455e+00,-1.521994e-01 -5.103558e-01 2.664139e+00,-1.527298e-01 -5.102353e-01 2.664187e+00,-1.548101e-01 -5.054233e-01 2.666232e+00,-1.580494e-01 -5.041844e-01 2.669037e+00,-1.617299e-01 -5.010683e-01 2.674893e+00,-1.782212e-01 -4.998745e-01 2.696310e+00,-1.741810e-01 -5.050691e-01 2.694035e+00,-1.725837e-01 -5.089017e-01 2.703474e+00,-1.682837e-01 -5.120265e-01 2.714204e+00,-1.552653e-01 -4.737192e-01 2.734423e+00,-1.596127e-01 -4.931717e-01 2.743892e+00,-1.451743e-01 -4.742385e-01 2.755863e+00,-1.294146e-01 -4.775439e-01 2.722911e+00,-1.288751e-01 -4.773264e-01 2.722747e+00,-1.284256e-01 -4.788577e-01 2.721952e+00,-1.284891e-01 -4.810947e-01 2.722041e+00,-1.287008e-01 -4.815081e-01 2.722535e+00,-1.260998e-01 -4.804619e-01 2.726419e+00,-1.257114e-01 -4.803177e-01 2.725377e+00,-1.346369e-01 -4.824833e-01 2.763371e+00,-1.394336e-01 -4.835696e-01 2.767158e+00,-1.519968e-01 -5.087249e-01 2.758532e+00,-1.560623e-01 -5.119678e-01 2.757344e+00,-1.586499e-01 -5.109737e-01 2.754717e+00,-1.603576e-01 -5.101362e-01 2.746807e+00,-1.597543e-01 -5.122297e-01 2.742527e+00,-1.582102e-01 -5.107507e-01 2.736868e+00,-1.546235e-01 -5.094680e-01 2.723781e+00,-1.533665e-01 -5.100145e-01 2.719237e+00,-1.505557e-01 -5.098128e-01 2.712101e+00,-1.496493e-01 -5.097783e-01 2.709004e+00,-1.493389e-01 -5.112373e-01 2.707747e+00,-1.486652e-01 -5.111884e-01 2.704505e+00,-1.470604e-01 -5.112668e-01 2.702053e+00,-1.458151e-01 -5.111549e-01 2.700883e+00,-1.452293e-01 -5.109001e-01 2.700584e+00,-1.436143e-01 -5.111222e-01 2.700295e+00,-1.435685e-01 -5.112243e-01 2.700917e+00,-1.439377e-01 -5.108338e-01 2.701582e+00
-1.336832e-01 -5.302973e-01 2.657141e+00,-1.340258e-01 -5.298255e-01 2.656249e+00,-1.342690e-01 -5.300452e-01 2.656412e+00,-1.402180e-01 -5.399811e-01 2.651771e+00,-1.403026e-01 -5.372173e-01 2.652198e+00,-1.402587e-01 -5.398083e-01 2.652721e+00,-1.412583e-01 -5.249768e-01 2.658361e+00,-1.420730e-01 -5.231964e-01 2.661168e+00,-1.537055e-01 -5.276327e-01 2.671994e+00,-1.604060e-01 -5.371722e-01 2.682527e+00,-1.587166e-01 -5.276263e-01 2.682892e+00,-1.550421e-01 -5.136448e-01 2.693888e+00,-1.641949e-01 -5.494321e-01 2.704620e+00,-1.568742e-01 -5.120740e-01 2.718142e+00,-1.617091e-01 -5.226190e-01 2.742403e+00,-1.590552e-01 -5.190670e-01 2.752745e+00,-1.491747e-01 -5.233551e-01 2.756271e+00,-1.447925e-01 -5.228733e-01 2.759084e+00,-1.422227e-01 -5.280501e-01 2.762660e+00,-1.427754e-01 -5.224122e-01 2.764012e+00,-1.451567e-01 -5.182273e-01 2.771811e+00,-1.423288e-01 -5.259680e-01 2.764102e+00,-1.370725e-01 -5.275652e-01 2.742172e+00,-1.501170e-01 -5.268763e-01 2.758497e+00,-1.534848e-01 -5.187665e-01 2.754949e+00,-1.599795e-01 -5.515293e-01 2.742740e+00,-1.654772e-01 -5.543221e-01 2.739106e+00,-1.625364e-01 -5.403612e-01 2.736183e+00,-1.541760e-01 -5.402298e-01 2.726516e+00,-1.479963e-01 -5.402743e-01 2.722515e+00,-1.469715e-01 -5.391960e-01 2.717527e+00,-1.419818e-01 -5.281935e-01 2.708873e+00,-1.394640e-01 -5.385938e-01 2.702732e+00,-1.386631e-01 -5.301319e-01 2.699811e+00,-1.367401e-01 -5.319937e-01 2.696268e+00,-1.362649e-01 -5.331128e-01 2.694319e+00,-1.362687e-01 -5.343075e-01 2.692342e+00,-1.330579e-01 -5.326040e-01 2.688933e+00,-1.269862e-01 -5.523274e-01 2.686363e+00,-1.267006e-01 -5.531120e-01 2.687221e+00,-1.306600e-01 -5.355790e-01 2.690608e+00,-1.324349e-01 -5.329198e-01 2.692798e+00,-1.346939e-01 -5.318848e-01 2.695151e+00
1.903698e-01 -9.287950e-02 2.747028e+00,1.901638e-01 -9.326750e-02 2.744499e+00,1.900190e-01 -9.320974e-02 2.742500e+00,1.879670e-01 -9.408217e-02 2.735594e+00,1.874726e-01 -9.333173e-02 2.732210e+00,1.870633e-01 -9.253930e-02 2.728563e+00,1.834272e-01 -9.043798e-02 2.716421e+00,1.799286e-01 -8.835882e-02 2.708359e+00,1.751290e-01 -8.481933e-02 2.708461e+00,1.746728e-01 -8.428688e-02 2.709745e+00,1.343929e-01 -9.348397e-02 2.679397e+00,1.248340e-01 -9.595370e-02 2.673274e+00,1.240293e-01 -9.300471e-02 2.671006e+00,1.186695e-01 -6.604608e-02 2.657199e+00,1.139986e-01 -5.772351e-02 2.653367e+00,1.123875e-01 -4.223572e-02 2.648503e+00,1.127713e-01 -3.649913e-02 2.646997e+00,1.130503e-01 -3.544840e-02 2.646665e+00,1.188110e-01 -4.087074e-02 2.650254e+00,1.213205e-01 -4.669569e-02 2.653246e+00,1.217179e-01 -4.698209e-02 2.653599e+00,1.213096e-01 -5.608113e-02 2.658610e+00,1.202267e-01 -6.346388e-02 2.661595e+00,1.110863e-01 -9.086404e-02 2.672196e+00,1.113367e-01 -9.150907e-02 2.671801e+00,1.130340e-01 -9.217566e-02 2.673317e+00,1.260364e-01 -8.896143e-02 2.681963e+00,1.491394e-01 -8.703420e-02 2.701025e+00,1.791816e-01 -8.739613e-02 2.734472e+00,1.826729e-01 -8.764280e-02 2.739149e+00,1.874980e-01 -8.752304e-02 2.747330e+00,1.915673e-01 -8.892806e-02 2.756125e+00,1.936540e-01 -9.001904e-02 2.761377e+00,1.949870e-01 -8.992027e-02 2.766969e+00,1.954114e-01 -8.986380e-02 2.769219e+00,1.957069e-01 -8.985925e-02 2.771327e+00,1.959325e-01 -8.998493e-02 2.773192e+00,1.959039e-01 -9.003193e-02 2.773564e+00,1.958521e-01 -9.007635e-02 2.774510e+00,1.958144e-01 -9.007351e-02 2.774691e+00,1.955974e-01 -9.035419e-02 2.775332e+00,1.954905e-01 -9.055170e-02 2.775346e+00,1.951616e-01 -9.078219e-02 2.775636e+00
2.213447e-01 -3.351693e-01 2.784103e+00,2.210850e-01 -3.351480e-01 2.782188e+00,2.209073e-01 -3.351130e-01 2.781375e+00,2.206304e-01 -3.356173e-01 2.778116e+00,2.213949e-01 -3.342300e-01 2.772840e+00,2.229400e-01 -3.202665e-01 2.763279e+00,2.179855e-01 -2.894631e-01 2.721401e+00,1.889371e-01 -2.858787e-01 2.643142e+00,1.941698e-01 -1.785768e-01 2.488938e+00,1.666111e-01 -1.048437e-01 2.453862e+00,1.639818e-01 -1.047678e-01 2.448848e+00,1.143316e-01 4.540456e-02 2.430490e+00,9.494074e-02 8.486215e-02 2.446824e+00,6.948040e-02 1.393290e-01 2.463707e+00,6.396177e-02 1.544892e-01 2.468199e+00,4.909308e-02 1.540565e-01 2.481039e+00,3.905153e-02 1.546846e-01 2.485695e+00,3.470674e-02 1.529743e-01 2.485674e+00,3.821528e-02 1.295671e-01 2.495343e+00,4.089436e-02 1.330595e-01 2.491122e+00,4.548543e-02 1.322889e-01 2.482413e+00,5.686478e-02 1.153840e-01 2.455531e+00,7.941300e-02 8.606049e-02 2.457505e+00,1.299000e-01 -5.906425e-03 2.469623e+00,1.318717e-01 -3.432639e-03 2.471748e+00,2.054776e-01 -1.670664e-01 2.492973e+00,2.301810e-01 -2.557842e-01 2.582579e+00,2.516353e-01 -3.223653e-01 2.627394e+00,2.409147e-01 -2.968634e-01 2.778209e+00,2.381461e-01 -3.089347e-01 2.797944e+00,2.350394e-01 -3.193984e-01 2.814947e+00,2.297641e-01 -3.226657e-01 2.831174e+00,2.284472e-01 -3.232932e-01 2.834857e+00,2.276035e-01 -3.237436e-01 2.838038e+00,2.275974e-01 -3.244736e-01 2.838327e+00,2.275800e-01 -3.249841e-01 2.838540e+00,2.273915e-01 -3.247542e-01 2.838529e+00,2.271947e-01 -3.249112e-01 2.838143e+00,2.269907e-01 -3.248802e-01 2.836780e+00,2.266600e-01 -3.240311e-01 2.836467e+00,2.266856e-01 -3.243737e-01 2.834257e+00,2.269613e-01 -3.241482e-01 2.833064e+00,2.269299e-01 -3.241450e-01 2.831954e+00
2.345931e-01 -5.298741e-01 2.721641e+00,2.336409e-01 -5.303142e-01 2.721327e+00,2.363460e-01 -5.296692e-01 2.718992e+00,2.365550e-01 -5.180174e-01 2.682105e+00,2.366286e-01 -4.966610e-01 2.642956e+00,2.347564e-01 -4.524568e-01 2.600205e+00,2.375405e-01 -2.905121e-01 2.509492e+00,2.210037e-01 -2.613256e-01 2.434226e+00,1.495595e-01 -9.357372e-03 2.373350e+00,1.356059e-01 2.401842e-02 2.388764e+00,9.997829e-02 9.813801e-02 2.380665e+00,2.832625e-02 2.239627e-01 2.373419e+00,1.039711e-02 2.534679e-01 2.360152e+00,-4.723447e-02 3.184262e-01 2.361124e+00,-5.684258e-02 3.262827e-01 2.359701e+00,-6.525708e-02 3.297570e-01 2.359919e+00,-8.039480e-02 3.345444e-01 2.364339e+00,-8.629241e-02 3.325800e-01 2.368830e+00,-8.919236e-02 3.233824e-01 2.375006e+00,-8.810031e-02 3.204449e-01 2.376238e+00,-7.144108e-02 2.967170e-01 2.385058e+00,-3.675124e-02 2.879474e-01 2.392510e+00,-3.902027e-03 2.670564e-01 2.406519e+00,5.882969e-02 1.847794e-01 2.463811e+00,5.837774e-02 1.856375e-01 2.477191e+00,1.097552e-01 6.324749e-02 2.469097e+00,1.722453e-01 -1.330986e-01 2.420091e+00,2.226726e-01 -3.006762e-01 2.546108e+00,2.413210e-01 -4.423197e-01 2.627080e+00,2.367109e-01 -4.838333e-01 2.685836e+00,2.413488e-01 -5.028681e-01 2.719769e+00,2.344139e-01 -5.379830e-01 2.766207e+00,2.256202e-01 -5.182483e-01 2.771274e+00,2.253759e-01 -5.175681e-01 2.770391e+00,2.251192e-01 -5.177838e-01 2.768954e+00,2.251270e-01 -5.178414e-01 2.767685e+00,2.304592e-01 -5.177676e-01 2.768290e+00,2.336029e-01 -5.184759e-01 2.770072e+00,2.346031e-01 -5.183406e-01 2.768519e+00,2.354357e-01 -5.175303e-01 2.768511e+00,2.363408e-01 -5.181322e-01 2.767359e+00,2.298165e-01 -5.160401e-01 2.759245e+00,2.352720e-01 -5.173059e-01 2.762748e+00
