2.869514e-02 -5.644596e-01 2.758499e+00,2.871952e-02 -5.643613e-01 2.757818e+00,2.826274e-02 -5.643334e-01 2.757400e+00,2.643001e-02 -5.642010e-01 2.756177e+00,1.954870e-02 -5.733745e-01 2.756018e+00,1.966854e-02 -5.740700e-01 2.755797e+00,2.030708e-02 -5.790104e-01 2.754821e+00,2.045292e-02 -5.792220e-01 2.754745e+00,1.715673e-02 -5.630427e-01 2.753039e+00,1.603241e-02 -5.629413e-01 2.753029e+00,1.547915e-02 -5.629750e-01 2.753221e+00,1.374906e-02 -5.628452e-01 2.753760e+00,1.281852e-02 -5.626767e-01 2.754324e+00,1.243264e-02 -5.627283e-01 2.754489e+00,1.264550e-02 -5.623356e-01 2.754516e+00,1.133693e-02 -5.617239e-01 2.755818e+00,1.146698e-02 -5.609112e-01 2.755473e+00,1.161384e-02 -5.603253e-01 2.755474e+00,1.189050e-02 -5.601788e-01 2.755523e+00,1.207300e-02 -5.598913e-01 2.755538e+00,1.238941e-02 -5.598193e-01 2.755428e+00,1.264602e-02 -5.598289e-01 2.755051e+00,1.280890e-02 -5.598075e-01 2.754924e+00,1.282255e-02 -5.597886e-01 2.754884e+00,1.236011e-02 -5.602527e-01 2.755111e+00,1.260157e-02 -5.603555e-01 2.754941e+00,1.230815e-02 -5.605252e-01 2.754939e+00,1.284461e-02 -5.611222e-01 2.755228e+00,1.299028e-02 -5.613817e-01 2.755326e+00,1.344795e-02 -5.615471e-01 2.755617e+00,1.400658e-02 -5.620412e-01 2.755933e+00,1.557400e-02 -5.629433e-01 2.756685e+00,1.815935e-02 -5.638716e-01 2.757995e+00,2.119579e-02 -5.643303e-01 2.759100e+00,2.775913e-02 -5.649371e-01 2.761366e+00,2.831709e-02 -5.649083e-01 2.761462e+00,2.962889e-02 -5.649269e-01 2.761593e+00,3.154203e-02 -5.647066e-01 2.762456e+00,3.172815e-02 -5.647340e-01 2.762455e+00,3.375127e-02 -5.650881e-01 2.762722e+00,3.537021e-02 -5.652186e-01 2.762990e+00,3.604122e-02 -5.652564e-01 2.763078e+00,3.652509e-02 -5.651228e-01 2.762787e+00
2.710364e-02 -2.729085e-01 2.782971e+00,2.729237e-02 -2.728809e-01 2.782785e+00,2.730518e-02 -2.728919e-01 2.782724e+00,2.722218e-02 -2.728737e-01 2.782701e+00,2.369052e-02 -2.800730e-01 2.784002e+00,2.356658e-02 -2.808982e-01 2.783511e+00,2.569090e-02 -2.806573e-01 2.782594e+00,2.593782e-02 -2.806456e-01 2.783398e+00,2.531147e-02 -2.765451e-01 2.785033e+00,2.371719e-02 -2.755595e-01 2.785684e+00,2.272284e-02 -2.748235e-01 2.786457e+00,1.999454e-02 -2.733540e-01 2.787788e+00,1.900053e-02 -2.729703e-01 2.788567e+00,1.818396e-02 -2.725508e-01 2.788679e+00,1.792970e-02 -2.721245e-01 2.788542e+00,1.717005e-02 -2.714947e-01 2.788640e+00,1.690464e-02 -2.708181e-01 2.788093e+00,1.650131e-02 -2.700016e-01 2.787750e+00,1.646090e-02 -2.699167e-01 2.787717e+00,1.631572e-02 -2.696490e-01 2.787534e+00,1.631457e-02 -2.696310e-01 2.787486e+00,1.619956e-02 -2.696064e-01 2.787178e+00,1.610398e-02 -2.696127e-01 2.787094e+00,1.604988e-02 -2.695768e-01 2.787038e+00,1.547584e-02 -2.697003e-01 2.786944e+00,1.545004e-02 -2.697586e-01 2.786806e+00,1.521200e-02 -2.698653e-01 2.786703e+00,1.533639e-02 -2.700419e-01 2.786669e+00,1.541354e-02 -2.701813e-01 2.786584e+00,1.587677e-02 -2.702273e-01 2.786364e+00,1.681443e-02 -2.705262e-01 2.786323e+00,1.792535e-02 -2.710140e-01 2.786260e+00,2.012242e-02 -2.713677e-01 2.786041e+00,2.209927e-02 -2.714368e-01 2.786080e+00,2.629444e-02 -2.718199e-01 2.786626e+00,2.714079e-02 -2.717349e-01 2.786568e+00,2.794645e-02 -2.717475e-01 2.786520e+00,2.950528e-02 -2.716791e-01 2.786974e+00,2.992484e-02 -2.717442e-01 2.786814e+00,3.156985e-02 -2.722640e-01 2.787045e+00,3.249827e-02 -2.724313e-01 2.787060e+00,3.322601e-02 -2.725673e-01 2.787042e+00,3.397790e-02 -2.727611e-01 2.786852e+00
2.618837e-02 1.306643e-02 2.794104e+00,2.654051e-02 1.307636e-02 2.794184e+00,2.686704e-02 1.301719e-02 2.794255e+00,2.762502e-02 1.311468e-02 2.795242e+00,2.629723e-02 6.846327e-03 2.797970e+00,2.610196e-02 6.144617e-03 2.797372e+00,3.634520e-02 1.774978e-02 2.796773e+00,3.525549e-02 1.701249e-02 2.800830e+00,3.418969e-02 1.328416e-02 2.804734e+00,3.205672e-02 1.341584e-02 2.806056e+00,3.055445e-02 1.381614e-02 2.807376e+00,2.663843e-02 1.476090e-02 2.809332e+00,2.553418e-02 1.468975e-02 2.810210e+00,2.401102e-02 1.508340e-02 2.810098e+00,2.276892e-02 1.531527e-02 2.809551e+00,2.219222e-02 1.564752e-02 2.808809e+00,2.155446e-02 1.589178e-02 2.807925e+00,2.032973e-02 1.669999e-02 2.806911e+00,1.990696e-02 1.671749e-02 2.806711e+00,1.943545e-02 1.677735e-02 2.806241e+00,1.923273e-02 1.668377e-02 2.806142e+00,1.871303e-02 1.658850e-02 2.805773e+00,1.818626e-02 1.632497e-02 2.805733e+00,1.809936e-02 1.632347e-02 2.805693e+00,1.743002e-02 1.631080e-02 2.805365e+00,1.718613e-02 1.617210e-02 2.805158e+00,1.706625e-02 1.607171e-02 2.805007e+00,1.709111e-02 1.592449e-02 2.804706e+00,1.720802e-02 1.578079e-02 2.804377e+00,1.797310e-02 1.584052e-02 2.803590e+00,1.972443e-02 1.573561e-02 2.803085e+00,2.066069e-02 1.545223e-02 2.802461e+00,2.291078e-02 1.555005e-02 2.800795e+00,2.406355e-02 1.576000e-02 2.800184e+00,2.597576e-02 1.565369e-02 2.799581e+00,2.689507e-02 1.583515e-02 2.799220e+00,2.719950e-02 1.584597e-02 2.799034e+00,2.810814e-02 1.583045e-02 2.799021e+00,2.875668e-02 1.572999e-02 2.798513e+00,2.983684e-02 1.515801e-02 2.798605e+00,3.021916e-02 1.500074e-02 2.798457e+00,3.088297e-02 1.477042e-02 2.798285e+00,3.210302e-02 1.397486e-02 2.798197e+00
2.666439e-02 1.549283e-01 2.793780e+00,2.675576e-02 1.548963e-01 2.793842e+00,2.672084e-02 1.549047e-01 2.793945e+00,2.686917e-02 1.548026e-01 2.794955e+00,3.895519e-02 1.715314e-01 2.808057e+00,3.776348e-02 1.708666e-01 2.807379e+00,3.400788e-02 1.606734e-01 2.811379e+00,3.169595e-02 1.576698e-01 2.812267e+00,2.703002e-02 1.562180e-01 2.814606e+00,2.525812e-02 1.557734e-01 2.815370e+00,2.344274e-02 1.549162e-01 2.816219e+00,2.156457e-02 1.549819e-01 2.816697e+00,2.079275e-02 1.548479e-01 2.817060e+00,2.008949e-02 1.549837e-01 2.816729e+00,1.984068e-02 1.551403e-01 2.816160e+00,2.001888e-02 1.558573e-01 2.815371e+00,2.022060e-02 1.560611e-01 2.814456e+00,2.068805e-02 1.568205e-01 2.813434e+00,2.080115e-02 1.569915e-01 2.813112e+00,2.110996e-02 1.572444e-01 2.812608e+00,2.124413e-02 1.571486e-01 2.812277e+00,2.150865e-02 1.572716e-01 2.811948e+00,2.183215e-02 1.573306e-01 2.811574e+00,2.187106e-02 1.574057e-01 2.811395e+00,2.189941e-02 1.573776e-01 2.811318e+00,2.191455e-02 1.573696e-01 2.811264e+00,2.181029e-02 1.572760e-01 2.811099e+00,2.197605e-02 1.573154e-01 2.810514e+00,2.212931e-02 1.573396e-01 2.810408e+00,2.278550e-02 1.573720e-01 2.809484e+00,2.373701e-02 1.571628e-01 2.808773e+00,2.501490e-02 1.565987e-01 2.808091e+00,2.822583e-02 1.565010e-01 2.806259e+00,2.989701e-02 1.565894e-01 2.805431e+00,3.252239e-02 1.563887e-01 2.804213e+00,3.370206e-02 1.565776e-01 2.803514e+00,3.445918e-02 1.561900e-01 2.803170e+00,3.547487e-02 1.561760e-01 2.802615e+00,3.590462e-02 1.560970e-01 2.802350e+00,3.640848e-02 1.558128e-01 2.801863e+00,3.660340e-02 1.559328e-01 2.801728e+00,3.676368e-02 1.558082e-01 2.801405e+00,3.698884e-02 1.557236e-01 2.801083e+00
-1.253363e-01 -9.884539e-02 2.774339e+00,-1.251371e-01 -9.874149e-02 2.774625e+00,-1.250162e-01 -9.863694e-02 2.775154e+00,-1.247547e-01 -9.862510e-02 2.776648e+00,-1.175575e-01 -9.953407e-02 2.788655e+00,-1.186501e-01 -9.943403e-02 2.789415e+00,-1.190563e-01 -1.031481e-01 2.788320e+00,-1.175407e-01 -1.015385e-01 2.792112e+00,-1.195885e-01 -9.926095e-02 2.797274e+00,-1.215653e-01 -9.926604e-02 2.799059e+00,-1.232482e-01 -1.002470e-01 2.799882e+00,-1.258370e-01 -1.005462e-01 2.800548e+00,-1.269404e-01 -1.001441e-01 2.800339e+00,-1.284058e-01 -9.944706e-02 2.797202e+00,-1.284132e-01 -9.945219e-02 2.795991e+00,-1.290501e-01 -9.839837e-02 2.794884e+00,-1.294088e-01 -9.783377e-02 2.794104e+00,-1.298921e-01 -9.703551e-02 2.793339e+00,-1.298992e-01 -9.671328e-02 2.792591e+00,-1.299341e-01 -9.625915e-02 2.790728e+00,-1.299551e-01 -9.655327e-02 2.789664e+00,-1.297008e-01 -9.689851e-02 2.787618e+00,-1.299691e-01 -9.677705e-02 2.786577e+00,-1.301849e-01 -9.674574e-02 2.786504e+00,-1.303216e-01 -9.742411e-02 2.785474e+00,-1.305367e-01 -9.747581e-02 2.785122e+00,-1.305748e-01 -9.749050e-02 2.784872e+00,-1.305200e-01 -9.837835e-02 2.783897e+00,-1.299903e-01 -9.916497e-02 2.782864e+00,-1.298243e-01 -9.918986e-02 2.782599e+00,-1.295513e-01 -9.908472e-02 2.782341e+00,-1.285785e-01 -9.924072e-02 2.781201e+00,-1.266489e-01 -9.951712e-02 2.778853e+00,-1.258161e-01 -9.948535e-02 2.778100e+00,-1.243883e-01 -9.933563e-02 2.776701e+00,-1.234028e-01 -9.939603e-02 2.775508e+00,-1.228612e-01 -9.960385e-02 2.775321e+00,-1.217950e-01 -9.976014e-02 2.774795e+00,-1.213963e-01 -9.963298e-02 2.774499e+00,-1.207811e-01 -9.968076e-02 2.774556e+00,-1.201687e-01 -9.966672e-02 2.774474e+00,-1.200644e-01 -9.953211e-02 2.774727e+00,-1.192721e-01 -9.958600e-02 2.774900e+00
-1.622619e-01 -3.280906e-01 2.767341e+00,-1.617570e-01 -3.278874e-01 2.767954e+00,-1.616152e-01 -3.281085e-01 2.767974e+00,-1.615782e-01 -3.282821e-01 2.768442e+00,-1.572601e-01 -3.274657e-01 2.774076e+00,-1.570732e-01 -3.277896e-01 2.774843e+00,-1.566008e-01 -3.270769e-01 2.779502e+00,-1.566765e-01 -3.295906e-01 2.779600e+00,-1.554071e-01 -3.298465e-01 2.782718e+00,-1.551648e-01 -3.291933e-01 2.785189e+00,-1.552237e-01 -3.293456e-01 2.787356e+00,-1.588486e-01 -3.320561e-01 2.791857e+00,-1.598609e-01 -3.325161e-01 2.792121e+00,-1.622668e-01 -3.316709e-01 2.791913e+00,-1.637131e-01 -3.316226e-01 2.790738e+00,-1.662688e-01 -3.314175e-01 2.790085e+00,-1.668186e-01 -3.309166e-01 2.789112e+00,-1.679301e-01 -3.306862e-01 2.787799e+00,-1.681104e-01 -3.314910e-01 2.786377e+00,-1.684331e-01 -3.317865e-01 2.785180e+00,-1.694053e-01 -3.309115e-01 2.782454e+00,-1.694742e-01 -3.306495e-01 2.781592e+00,-1.692187e-01 -3.297613e-01 2.779492e+00,-1.693600e-01 -3.296800e-01 2.778396e+00,-1.691129e-01 -3.304996e-01 2.775350e+00,-1.687738e-01 -3.311525e-01 2.774159e+00,-1.683047e-01 -3.316810e-01 2.773631e+00,-1.678335e-01 -3.317582e-01 2.773248e+00,-1.676591e-01 -3.314745e-01 2.772962e+00,-1.668723e-01 -3.315783e-01 2.772355e+00,-1.664932e-01 -3.316444e-01 2.771908e+00,-1.662285e-01 -3.315508e-01 2.771772e+00,-1.649042e-01 -3.311708e-01 2.771239e+00,-1.642527e-01 -3.309591e-01 2.770865e+00,-1.622654e-01 -3.299478e-01 2.770428e+00,-1.602780e-01 -3.288387e-01 2.769960e+00,-1.596149e-01 -3.284588e-01 2.769466e+00,-1.581499e-01 -3.282337e-01 2.768722e+00,-1.571100e-01 -3.271424e-01 2.767915e+00,-1.562945e-01 -3.271386e-01 2.767971e+00,-1.559388e-01 -3.270423e-01 2.767995e+00,-1.555104e-01 -3.271580e-01 2.767830e+00,-1.550810e-01 -3.271341e-01 2.767622e+00
-1.633050e-01 -5.208473e-01 2.690203e+00,-1.633247e-01 -5.204336e-01 2.690215e+00,-1.619096e-01 -5.206464e-01 2.690184e+00,-1.611046e-01 -5.206919e-01 2.690278e+00,-1.563334e-01 -5.188723e-01 2.693083e+00,-1.562082e-01 -5.193119e-01 2.694173e+00,-1.563594e-01 -5.175946e-01 2.696114e+00,-1.562715e-01 -5.198169e-01 2.695473e+00,-1.569007e-01 -5.188518e-01 2.695512e+00,-1.580772e-01 -5.175690e-01 2.696481e+00,-1.590311e-01 -5.173653e-01 2.697834e+00,-1.615779e-01 -5.203218e-01 2.702905e+00,-1.629721e-01 -5.218356e-01 2.705796e+00,-1.669578e-01 -5.229772e-01 2.710902e+00,-1.689743e-01 -5.236769e-01 2.711863e+00,-1.699654e-01 -5.238365e-01 2.712134e+00,-1.699530e-01 -5.236204e-01 2.711950e+00,-1.690589e-01 -5.233660e-01 2.710480e+00,-1.690026e-01 -5.244739e-01 2.709953e+00,-1.681891e-01 -5.245898e-01 2.708212e+00,-1.671941e-01 -5.241294e-01 2.706723e+00,-1.648710e-01 -5.223186e-01 2.701478e+00,-1.639992e-01 -5.215383e-01 2.699708e+00,-1.637423e-01 -5.216635e-01 2.699219e+00,-1.626431e-01 -5.226576e-01 2.696745e+00,-1.622579e-01 -5.230815e-01 2.694915e+00,-1.619632e-01 -5.234457e-01 2.693916e+00,-1.616750e-01 -5.232140e-01 2.692659e+00,-1.616593e-01 -5.230050e-01 2.692563e+00,-1.616250e-01 -5.232105e-01 2.692185e+00,-1.615219e-01 -5.233467e-01 2.691916e+00,-1.613522e-01 -5.233906e-01 2.692159e+00,-1.593753e-01 -5.238395e-01 2.694041e+00,-1.588270e-01 -5.236517e-01 2.693726e+00,-1.583404e-01 -5.243931e-01 2.692994e+00,-1.579068e-01 -5.248880e-01 2.692340e+00,-1.576310e-01 -5.256147e-01 2.691918e+00,-1.563620e-01 -5.267214e-01 2.690761e+00,-1.564045e-01 -5.267171e-01 2.689919e+00,-1.570417e-01 -5.187156e-01 2.687447e+00,-1.565827e-01 -5.186291e-01 2.687494e+00,-1.560462e-01 -5.188808e-01 2.687705e+00,-1.547920e-01 -5.188642e-01 2.687509e+00
-1.491594e-01 -5.371837e-01 2.683360e+00,-1.498887e-01 -5.371919e-01 2.684889e+00,-1.495217e-01 -5.369268e-01 2.683381e+00,-1.491184e-01 -5.363843e-01 2.685429e+00,-1.407215e-01 -5.517927e-01 2.686176e+00,-1.399180e-01 -5.516682e-01 2.686175e+00,-1.407240e-01 -5.523880e-01 2.686140e+00,-1.358512e-01 -5.474369e-01 2.685023e+00,-1.438081e-01 -5.507389e-01 2.682556e+00,-1.451921e-01 -5.510028e-01 2.684674e+00,-1.463443e-01 -5.520569e-01 2.688673e+00,-1.512273e-01 -5.468849e-01 2.699314e+00,-1.518504e-01 -5.533416e-01 2.705564e+00,-1.600105e-01 -5.483139e-01 2.709983e+00,-1.624091e-01 -5.466362e-01 2.708387e+00,-1.616945e-01 -5.437348e-01 2.704185e+00,-1.587561e-01 -5.424007e-01 2.701172e+00,-1.560106e-01 -5.523541e-01 2.697184e+00,-1.553830e-01 -5.541047e-01 2.697594e+00,-1.532698e-01 -5.540910e-01 2.694019e+00,-1.544970e-01 -5.530230e-01 2.691331e+00,-1.546078e-01 -5.517542e-01 2.687871e+00,-1.531527e-01 -5.525957e-01 2.687301e+00,-1.523877e-01 -5.523289e-01 2.685881e+00,-1.497126e-01 -5.545610e-01 2.683115e+00,-1.508101e-01 -5.476351e-01 2.680914e+00,-1.501060e-01 -5.475948e-01 2.681058e+00,-1.508828e-01 -5.416645e-01 2.682625e+00,-1.504105e-01 -5.418350e-01 2.683501e+00,-1.503647e-01 -5.418319e-01 2.685424e+00,-1.504153e-01 -5.418755e-01 2.684303e+00,-1.514232e-01 -5.417022e-01 2.686637e+00,-1.468361e-01 -5.540913e-01 2.684499e+00,-1.464555e-01 -5.543108e-01 2.683944e+00,-1.460233e-01 -5.539325e-01 2.685260e+00,-1.445438e-01 -5.541201e-01 2.681799e+00,-1.445790e-01 -5.542740e-01 2.682498e+00,-1.446628e-01 -5.539072e-01 2.682791e+00,-1.436298e-01 -5.535410e-01 2.678921e+00,-1.439699e-01 -5.475660e-01 2.681916e+00,-1.433903e-01 -5.480057e-01 2.682238e+00,-1.427058e-01 -5.480454e-01 2.681881e+00,-1.394266e-01 -5.485450e-01 2.678171e+00
1.746655e-01 -9.975092e-02 2.766387e+00,1.749763e-01 -9.971698e-02 2.765540e+00,1.751781e-01 -9.967042e-02 2.764913e+00,1.754601e-01 -9.946998e-02 2.764805e+00,1.373257e-01 -1.159674e-01 2.727513e+00,1.342898e-01 -1.179463e-01 2.724299e+00,1.335382e-01 -1.148466e-01 2.723639e+00,1.383573e-01 -9.631806e-02 2.730497e+00,1.443156e-01 -8.897515e-02 2.732022e+00,1.443461e-01 -8.901046e-02 2.732629e+00,1.472380e-01 -8.949815e-02 2.736228e+00,1.492905e-01 -8.904078e-02 2.741098e+00,1.492318e-01 -8.863994e-02 2.741739e+00,1.484464e-01 -8.741646e-02 2.743090e+00,1.499111e-01 -8.288149e-02 2.748915e+00,1.502492e-01 -8.150606e-02 2.749847e+00,1.504879e-01 -8.061019e-02 2.749650e+00,1.511474e-01 -7.852352e-02 2.749900e+00,1.525405e-01 -7.750282e-02 2.750349e+00,1.538691e-01 -7.570855e-02 2.753140e+00,1.548444e-01 -7.541455e-02 2.754385e+00,1.554713e-01 -7.482424e-02 2.755767e+00,1.573450e-01 -7.583584e-02 2.759647e+00,1.573163e-01 -7.692291e-02 2.761281e+00,1.594112e-01 -8.137155e-02 2.765361e+00,1.605225e-01 -8.377321e-02 2.766953e+00,1.607384e-01 -8.467805e-02 2.767365e+00,1.619837e-01 -8.714005e-02 2.769527e+00,1.628722e-01 -8.829211e-02 2.769920e+00,1.646849e-01 -8.990156e-02 2.770243e+00,1.656915e-01 -9.104423e-02 2.770176e+00,1.674729e-01 -9.301683e-02 2.770100e+00,1.702515e-01 -9.567171e-02 2.770371e+00,1.713217e-01 -9.697404e-02 2.770631e+00,1.733432e-01 -9.853292e-02 2.771288e+00,1.741071e-01 -9.874582e-02 2.771351e+00,1.751255e-01 -9.929311e-02 2.771720e+00,1.769102e-01 -9.964743e-02 2.772773e+00,1.773766e-01 -9.992946e-02 2.772444e+00,1.781531e-01 -1.004454e-01 2.772325e+00,1.783509e-01 -1.005740e-01 2.772133e+00,1.785429e-01 -1.005591e-01 2.771971e+00,1.789714e-01 -1.005334e-01 2.771579e+00
2.143748e-01 -3.374367e-01 2.777670e+00,2.148472e-01 -3.369595e-01 2.772910e+00,2.142325e-01 -3.335943e-01 2.764039e+00,2.181240e-01 -3.022169e-01 2.729828e+00,9.883458e-02 3.040856e-03 2.514071e+00,9.814909e-02 -9.178046e-03 2.516265e+00,9.544550e-02 -6.982604e-02 2.511555e+00,1.368366e-01 -1.481414e-01 2.516765e+00,1.543420e-01 -2.058317e-01 2.548089e+00,1.751996e-01 -2.293689e-01 2.570390e+00,2.311641e-01 -2.258368e-01 2.592122e+00,2.500170e-01 -2.200426e-01 2.603703e+00,2.836395e-01 -1.960063e-01 2.614155e+00,2.786478e-01 -1.625858e-01 2.520203e+00,2.945365e-01 -1.783346e-01 2.623279e+00,2.850665e-01 -9.889010e-02 2.567868e+00,2.908779e-01 -6.208342e-02 2.585505e+00,2.975143e-01 -5.386459e-02 2.592492e+00,3.039866e-01 -4.870145e-02 2.599133e+00,3.133502e-01 -5.215781e-02 2.610355e+00,3.185589e-01 -6.057379e-02 2.615746e+00,3.222276e-01 -7.326280e-02 2.620405e+00,3.259630e-01 -1.412751e-01 2.639259e+00,3.246807e-01 -1.632863e-01 2.646016e+00,3.014396e-01 -2.262908e-01 2.720392e+00,2.992026e-01 -2.325246e-01 2.725605e+00,2.880046e-01 -2.449620e-01 2.742286e+00,2.761945e-01 -2.571661e-01 2.752439e+00,2.703283e-01 -2.686523e-01 2.759958e+00,2.592332e-01 -2.951006e-01 2.768200e+00,2.490256e-01 -3.078246e-01 2.772709e+00,2.414595e-01 -3.181670e-01 2.776398e+00,2.240529e-01 -3.385361e-01 2.784867e+00,2.202698e-01 -3.444439e-01 2.785190e+00,2.159500e-01 -3.458092e-01 2.784990e+00,2.144436e-01 -3.446425e-01 2.784759e+00,2.143152e-01 -3.441371e-01 2.785085e+00,2.143776e-01 -3.436974e-01 2.785470e+00,2.144924e-01 -3.436747e-01 2.785379e+00,2.145817e-01 -3.431726e-01 2.785730e+00,2.146374e-01 -3.428752e-01 2.785894e+00,2.147721e-01 -3.426840e-01 2.785884e+00,2.151922e-01 -3.422125e-01 2.785872e+00
2.217942e-01 -5.313098e-01 2.704564e+00,2.212117e-01 -5.296637e-01 2.696115e+00,2.195864e-01 -5.196125e-01 2.670036e+00,2.079827e-01 -4.592640e-01 2.589176e+00,-3.530383e-02 1.547004e-01 2.467886e+00,-6.522726e-02 1.050454e-01 2.455022e+00,-8.596330e-02 -5.080985e-03 2.428596e+00,-5.559619e-02 -9.427065e-02 2.456059e+00,-1.826383e-02 -2.529901e-01 2.436397e+00,8.387868e-02 -2.894627e-01 2.501174e+00,7.904128e-02 -3.149199e-01 2.476090e+00,1.661934e-01 -2.732142e-01 2.498339e+00,1.614631e-01 -2.132996e-01 2.439637e+00,2.511979e-01 -1.264268e-01 2.440138e+00,2.712847e-01 -5.955366e-02 2.447101e+00,3.196975e-01 7.933895e-02 2.461353e+00,3.338949e-01 1.104985e-01 2.472713e+00,3.367739e-01 1.335154e-01 2.508030e+00,3.358979e-01 1.398756e-01 2.514139e+00,3.296233e-01 1.387101e-01 2.525880e+00,3.267951e-01 1.293195e-01 2.527351e+00,3.272220e-01 1.123773e-01 2.522034e+00,3.379427e-01 3.672344e-02 2.526670e+00,3.416899e-01 8.467954e-03 2.523946e+00,3.664365e-01 -1.388092e-01 2.536688e+00,3.787103e-01 -1.947522e-01 2.530751e+00,3.710684e-01 -2.531172e-01 2.545523e+00,3.627775e-01 -3.614096e-01 2.589444e+00,3.498578e-01 -4.074442e-01 2.622869e+00,3.201983e-01 -4.693558e-01 2.671140e+00,3.064609e-01 -4.891061e-01 2.688830e+00,2.883331e-01 -5.075331e-01 2.707037e+00,2.610025e-01 -5.303642e-01 2.716549e+00,2.424077e-01 -5.391799e-01 2.719001e+00,2.354474e-01 -5.413359e-01 2.720626e+00,2.305883e-01 -5.399224e-01 2.718289e+00,2.305767e-01 -5.392963e-01 2.718242e+00,2.328139e-01 -5.381498e-01 2.716872e+00,2.325082e-01 -5.381395e-01 2.716683e+00,2.316108e-01 -5.374862e-01 2.716205e+00,2.322417e-01 -5.370077e-01 2.715940e+00,2.330587e-01 -5.364082e-01 2.714803e+00,2.299295e-01 -5.353636e-01 2.711967e+00
