1.246370e-02 -4.834785e-01 2.851889e+00,1.247140e-02 -4.834571e-01 2.851669e+00,1.233550e-02 -4.833939e-01 2.851179e+00,1.173943e-02 -4.834287e-01 2.850870e+00,1.147037e-02 -4.834150e-01 2.850705e+00,9.710854e-03 -4.829714e-01 2.849229e+00,9.187578e-03 -4.828630e-01 2.848759e+00,8.317173e-03 -4.828317e-01 2.848481e+00,7.871369e-03 -4.826967e-01 2.848071e+00,7.298911e-03 -4.824304e-01 2.847663e+00,7.044689e-03 -4.820418e-01 2.847010e+00,6.935463e-03 -4.819213e-01 2.846636e+00,6.890445e-03 -4.819452e-01 2.846214e+00,6.160473e-03 -4.818175e-01 2.845031e+00,5.822575e-03 -4.815246e-01 2.844459e+00,4.443408e-03 -4.807489e-01 2.843722e+00,4.708870e-03 -4.796981e-01 2.842940e+00,3.597317e-03 -4.779530e-01 2.841591e+00,3.091813e-03 -4.759098e-01 2.840365e+00,3.355623e-03 -4.751698e-01 2.840114e+00,3.887976e-03 -4.725253e-01 2.839229e+00,3.892020e-03 -4.708117e-01 2.839266e+00,4.730207e-03 -4.686578e-01 2.838790e+00,6.294157e-03 -4.620212e-01 2.838820e+00,6.983616e-03 -4.591537e-01 2.838677e+00,7.583563e-03 -4.584278e-01 2.838678e+00,8.266215e-03 -4.581186e-01 2.838627e+00,8.611156e-03 -4.581572e-01 2.838545e+00,8.710133e-03 -4.584079e-01 2.838559e+00,8.813564e-03 -4.592702e-01 2.838493e+00,9.059784e-03 -4.599230e-01 2.838746e+00,7.843859e-03 -4.630387e-01 2.838733e+00,7.383354e-03 -4.658333e-01 2.838801e+00,5.666831e-03 -4.675357e-01 2.838857e+00,5.182872e-03 -4.685412e-01 2.838577e+00,2.619489e-03 -4.713803e-01 2.838671e+00,1.419880e-03 -4.724782e-01 2.838559e+00,1.061061e-03 -4.736976e-01 2.838373e+00,9.826599e-04 -4.743810e-01 2.838536e+00,1.122130e-03 -4.748331e-01 2.838535e+00,1.498407e-03 -4.756731e-01 2.838701e+00,1.928779e-03 -4.760323e-01 2.838863e+00,2.758939e-03 -4.764557e-01 2.838765e+00,2.741255e-03 -4.767059e-01 2.838655e+00,2.753333e-03 -4.768107e-01 2.838506e+00,2.857255e-03 -4.769642e-01 2.838402e+00,3.759423e-03 -4.774809e-01 2.837871e+00,3.642547e-03 -4.776056e-01 2.837793e+00,4.117050e-03 -4.778571e-01 2.837178e+00
9.284704e-03 -1.637734e-01 2.861895e+00,9.165477e-03 -1.637647e-01 2.861612e+00,8.957537e-03 -1.637093e-01 2.861311e+00,8.295772e-03 -1.637334e-01 2.860935e+00,8.152436e-03 -1.637529e-01 2.860764e+00,7.185956e-03 -1.635584e-01 2.859585e+00,6.927083e-03 -1.634985e-01 2.859332e+00,6.502672e-03 -1.635014e-01 2.858899e+00,5.809939e-03 -1.633966e-01 2.858133e+00,5.212386e-03 -1.631281e-01 2.857661e+00,4.789414e-03 -1.627652e-01 2.856742e+00,4.578474e-03 -1.626531e-01 2.856327e+00,4.658686e-03 -1.626813e-01 2.855958e+00,4.358876e-03 -1.625374e-01 2.855518e+00,4.296950e-03 -1.625060e-01 2.855389e+00,3.580156e-03 -1.620188e-01 2.855192e+00,3.447419e-03 -1.611375e-01 2.854955e+00,2.749771e-03 -1.600173e-01 2.854531e+00,2.124740e-03 -1.581629e-01 2.854538e+00,1.974162e-03 -1.569755e-01 2.854625e+00,1.668757e-03 -1.541308e-01 2.854609e+00,1.566988e-03 -1.528567e-01 2.854615e+00,1.863130e-03 -1.510305e-01 2.854578e+00,2.859455e-03 -1.457495e-01 2.854481e+00,3.457630e-03 -1.437622e-01 2.854141e+00,3.570261e-03 -1.438621e-01 2.853748e+00,3.654698e-03 -1.437841e-01 2.853711e+00,3.682408e-03 -1.437966e-01 2.853712e+00,3.740801e-03 -1.440348e-01 2.853825e+00,3.850859e-03 -1.452410e-01 2.854053e+00,4.084468e-03 -1.457200e-01 2.854282e+00,3.538992e-03 -1.476049e-01 2.854180e+00,3.318375e-03 -1.489884e-01 2.854067e+00,2.561448e-03 -1.501061e-01 2.853593e+00,2.154030e-03 -1.508452e-01 2.852844e+00,1.051851e-03 -1.524298e-01 2.851964e+00,5.462290e-04 -1.531195e-01 2.851425e+00,1.732408e-04 -1.541040e-01 2.850553e+00,1.306846e-04 -1.545582e-01 2.850175e+00,1.880871e-04 -1.548831e-01 2.849925e+00,3.110207e-04 -1.553373e-01 2.849558e+00,4.504945e-04 -1.554948e-01 2.849290e+00,9.927240e-04 -1.558221e-01 2.848662e+00,1.116942e-03 -1.561824e-01 2.848103e+00,1.182806e-03 -1.563711e-01 2.847621e+00,1.214861e-03 -1.564925e-01 2.847503e+00,1.763955e-03 -1.569816e-01 2.846617e+00,1.740805e-03 -1.571090e-01 2.846393e+00,2.048033e-03 -1.573294e-01 2.845665e+00
5.947590e-03 1.491552e-01 2.857647e+00,5.675630e-03 1.491465e-01 2.857309e+00,5.439121e-03 1.491951e-01 2.857173e+00,4.739040e-03 1.491918e-01 2.856775e+00,4.694987e-03 1.491472e-01 2.856611e+00,4.310609e-03 1.491620e-01 2.855716e+00,4.253981e-03 1.491793e-01 2.855642e+00,4.162581e-03 1.491386e-01 2.855019e+00,3.328081e-03 1.491826e-01 2.853945e+00,2.807617e-03 1.494246e-01 2.853480e+00,2.273920e-03 1.497334e-01 2.852324e+00,1.990003e-03 1.498306e-01 2.851898e+00,2.222440e-03 1.497954e-01 2.851558e+00,2.168558e-03 1.499041e-01 2.851505e+00,2.196875e-03 1.498659e-01 2.851522e+00,1.972013e-03 1.501531e-01 2.851753e+00,1.567110e-03 1.510732e-01 2.852075e+00,1.222848e-03 1.517123e-01 2.852310e+00,4.811978e-04 1.537112e-01 2.854006e+00,-1.730603e-04 1.554327e-01 2.854776e+00,-1.166318e-03 1.582928e-01 2.855785e+00,-1.239998e-03 1.589689e-01 2.855803e+00,-1.277903e-03 1.604026e-01 2.856157e+00,-6.795017e-04 1.640832e-01 2.856078e+00,-4.233624e-05 1.653769e-01 2.855630e+00,-4.863618e-04 1.635008e-01 2.853646e+00,-8.064404e-04 1.634076e-01 2.853984e+00,-9.075495e-04 1.633939e-01 2.854089e+00,-9.069773e-04 1.631395e-01 2.854442e+00,-8.627329e-04 1.615149e-01 2.855295e+00,-6.650715e-04 1.612338e-01 2.855531e+00,-7.822852e-04 1.601870e-01 2.855464e+00,-8.338958e-04 1.598463e-01 2.855340e+00,-1.018771e-03 1.592854e-01 2.854486e+00,-1.311266e-03 1.589409e-01 2.853042e+00,-1.572072e-03 1.582353e-01 2.851246e+00,-1.480920e-03 1.579147e-01 2.850212e+00,-1.649813e-03 1.574825e-01 2.848392e+00,-1.512808e-03 1.572488e-01 2.847063e+00,-1.448954e-03 1.571175e-01 2.846584e+00,-1.366842e-03 1.569699e-01 2.845497e+00,-1.379908e-03 1.570726e-01 2.844475e+00,-9.877189e-04 1.570259e-01 2.843407e+00,-5.882937e-04 1.567453e-01 2.842336e+00,-4.534707e-04 1.566313e-01 2.841728e+00,-4.685039e-04 1.565866e-01 2.841675e+00,-2.035381e-04 1.562396e-01 2.840602e+00,-8.919429e-05 1.561458e-01 2.840226e+00,3.543348e-05 1.560180e-01 2.839540e+00
1.025606e-02 3.129400e-01 2.845764e+00,1.009221e-02 3.128890e-01 2.845424e+00,9.839194e-03 3.127773e-01 2.844858e+00,9.812498e-03 3.128085e-01 2.844475e+00,9.837356e-03 3.128027e-01 2.844055e+00,1.012450e-02 3.127474e-01 2.843026e+00,1.087607e-02 3.124941e-01 2.841847e+00,1.169966e-02 3.123698e-01 2.840706e+00,1.340113e-02 3.118593e-01 2.840137e+00,1.466803e-02 3.115892e-01 2.839617e+00,1.618797e-02 3.113839e-01 2.838991e+00,1.743990e-02 3.115195e-01 2.837926e+00,1.804154e-02 3.115021e-01 2.837711e+00,1.869775e-02 3.115291e-01 2.837345e+00,1.913963e-02 3.116984e-01 2.837498e+00,1.923463e-02 3.123117e-01 2.837810e+00,1.913963e-02 3.127513e-01 2.838125e+00,1.877332e-02 3.132892e-01 2.838588e+00,1.648373e-02 3.157528e-01 2.841909e+00,1.513264e-02 3.168001e-01 2.843065e+00,1.091856e-02 3.201790e-01 2.848122e+00,9.494930e-03 3.210943e-01 2.850291e+00,8.065928e-03 3.220227e-01 2.852390e+00,6.099472e-03 3.241155e-01 2.855487e+00,4.830499e-03 3.251235e-01 2.856489e+00,3.656842e-03 3.253213e-01 2.856941e+00,1.747136e-03 3.248842e-01 2.856254e+00,1.190667e-03 3.244219e-01 2.855773e+00,5.495577e-04 3.232475e-01 2.855238e+00,2.560873e-04 3.211622e-01 2.853127e+00,2.203003e-04 3.209095e-01 2.852672e+00,1.199335e-03 3.206475e-01 2.850290e+00,1.399194e-03 3.206767e-01 2.849419e+00,2.206245e-03 3.208051e-01 2.845855e+00,3.214808e-03 3.203212e-01 2.843670e+00,4.520718e-03 3.197024e-01 2.840993e+00,5.849290e-03 3.194046e-01 2.839366e+00,7.843633e-03 3.187125e-01 2.836507e+00,8.668086e-03 3.185979e-01 2.835470e+00,9.165046e-03 3.182645e-01 2.834527e+00,1.047758e-02 3.177792e-01 2.833125e+00,1.087389e-02 3.177136e-01 2.832827e+00,1.129957e-02 3.177032e-01 2.832321e+00,1.142418e-02 3.175791e-01 2.832074e+00,1.179010e-02 3.173454e-01 2.831518e+00,1.196549e-02 3.173009e-01 2.831108e+00,1.230122e-02 3.171030e-01 2.830448e+00,1.244504e-02 3.170800e-01 2.830302e+00,1.270381e-02 3.169866e-01 2.829733e+00
-1.499744e-01 2.992619e-02 2.842859e+00,-1.498953e-01 2.998301e-02 2.842427e+00,-1.501335e-01 2.975775e-02 2.841725e+00,-1.503610e-01 2.936476e-02 2.840857e+00,-1.501233e-01 2.897171e-02 2.839365e+00,-1.499266e-01 2.928591e-02 2.835226e+00,-1.501876e-01 2.902845e-02 2.832937e+00,-1.495221e-01 2.917178e-02 2.829865e+00,-1.480354e-01 3.040286e-02 2.824277e+00,-1.476442e-01 3.188802e-02 2.820444e+00,-1.466844e-01 3.296480e-02 2.812981e+00,-1.460506e-01 3.285959e-02 2.810118e+00,-1.454888e-01 3.290317e-02 2.808428e+00,-1.452639e-01 3.382689e-02 2.806422e+00,-1.453242e-01 3.432427e-02 2.806055e+00,-1.458720e-01 3.476591e-02 2.806088e+00,-1.466878e-01 3.562777e-02 2.806543e+00,-1.483215e-01 3.657909e-02 2.808454e+00,-1.529347e-01 3.750689e-02 2.816807e+00,-1.546326e-01 3.718846e-02 2.821929e+00,-1.581320e-01 3.736237e-02 2.834782e+00,-1.582701e-01 3.811277e-02 2.839457e+00,-1.582158e-01 3.732011e-02 2.839677e+00,-1.599901e-01 3.572854e-02 2.846381e+00,-1.585715e-01 3.571744e-02 2.849194e+00,-1.584626e-01 3.495653e-02 2.848631e+00,-1.601338e-01 3.283839e-02 2.852011e+00,-1.599956e-01 3.223615e-02 2.850646e+00,-1.614156e-01 3.229826e-02 2.852657e+00,-1.609806e-01 3.308579e-02 2.852607e+00,-1.599851e-01 3.390789e-02 2.851814e+00,-1.602969e-01 3.408559e-02 2.850107e+00,-1.602052e-01 3.426977e-02 2.848137e+00,-1.597748e-01 3.544061e-02 2.843490e+00,-1.594099e-01 3.690538e-02 2.839818e+00,-1.592369e-01 3.731154e-02 2.835729e+00,-1.590682e-01 3.752229e-02 2.833230e+00,-1.586931e-01 3.739076e-02 2.829258e+00,-1.580176e-01 3.713500e-02 2.826937e+00,-1.569397e-01 3.671112e-02 2.824633e+00,-1.561706e-01 3.668645e-02 2.822837e+00,-1.561311e-01 3.627528e-02 2.822016e+00,-1.560147e-01 3.587233e-02 2.821632e+00,-1.554500e-01 3.529343e-02 2.820924e+00,-1.551781e-01 3.512175e-02 2.820760e+00,-1.552665e-01 3.503845e-02 2.820866e+00,-1.551954e-01 3.459531e-02 2.820566e+00,-1.551508e-01 3.448979e-02 2.820571e+00,-1.550896e-01 3.444300e-02 2.820482e+00
-2.166620e-01 -2.153201e-01 2.825312e+00,-2.166359e-01 -2.153196e-01 2.825051e+00,-2.167703e-01 -2.152549e-01 2.824587e+00,-2.169817e-01 -2.149981e-01 2.823873e+00,-2.171170e-01 -2.146389e-01 2.822533e+00,-2.173555e-01 -2.140974e-01 2.818082e+00,-2.177959e-01 -2.138248e-01 2.815156e+00,-2.185480e-01 -2.121553e-01 2.811412e+00,-2.197462e-01 -2.096283e-01 2.803463e+00,-2.201209e-01 -2.077704e-01 2.798657e+00,-2.208268e-01 -2.040148e-01 2.788206e+00,-2.211537e-01 -2.029766e-01 2.785410e+00,-2.210818e-01 -2.018403e-01 2.783646e+00,-2.209171e-01 -2.009267e-01 2.781652e+00,-2.209052e-01 -2.008154e-01 2.781605e+00,-2.208617e-01 -2.006370e-01 2.782140e+00,-2.206919e-01 -2.008909e-01 2.784271e+00,-2.199737e-01 -2.012864e-01 2.787277e+00,-2.180573e-01 -2.027206e-01 2.798881e+00,-2.174691e-01 -2.039208e-01 2.802513e+00,-2.139412e-01 -2.065454e-01 2.811963e+00,-2.131847e-01 -2.054217e-01 2.817006e+00,-2.122610e-01 -2.044904e-01 2.820368e+00,-2.108001e-01 -2.036646e-01 2.827588e+00,-2.100119e-01 -2.038956e-01 2.830841e+00,-2.098494e-01 -2.044595e-01 2.832371e+00,-2.096328e-01 -2.053154e-01 2.835753e+00,-2.101274e-01 -2.051444e-01 2.836492e+00,-2.102948e-01 -2.049623e-01 2.836995e+00,-2.110971e-01 -2.063057e-01 2.837209e+00,-2.118023e-01 -2.067935e-01 2.836967e+00,-2.125475e-01 -2.068674e-01 2.836009e+00,-2.139201e-01 -2.084158e-01 2.833985e+00,-2.151715e-01 -2.092351e-01 2.831969e+00,-2.158279e-01 -2.102318e-01 2.829616e+00,-2.166538e-01 -2.121841e-01 2.826422e+00,-2.169186e-01 -2.123216e-01 2.824908e+00,-2.169815e-01 -2.116662e-01 2.820567e+00,-2.169633e-01 -2.118618e-01 2.820087e+00,-2.165345e-01 -2.120097e-01 2.818693e+00,-2.158797e-01 -2.120563e-01 2.816976e+00,-2.153713e-01 -2.123966e-01 2.816298e+00,-2.137064e-01 -2.120921e-01 2.814842e+00,-2.125737e-01 -2.114142e-01 2.814361e+00,-2.110330e-01 -2.110289e-01 2.814011e+00,-2.104190e-01 -2.114259e-01 2.813998e+00,-2.090626e-01 -2.119394e-01 2.813977e+00,-2.083541e-01 -2.124020e-01 2.814225e+00,-2.080768e-01 -2.125817e-01 2.814026e+00
-2.254990e-01 -4.216427e-01 2.746597e+00,-2.254685e-01 -4.216345e-01 2.746310e+00,-2.254259e-01 -4.214832e-01 2.745553e+00,-2.253855e-01 -4.213248e-01 2.745103e+00,-2.254460e-01 -4.206247e-01 2.742703e+00,-2.258383e-01 -4.202304e-01 2.738710e+00,-2.257594e-01 -4.206409e-01 2.735959e+00,-2.256136e-01 -4.213613e-01 2.734257e+00,-2.245181e-01 -4.221354e-01 2.727133e+00,-2.235776e-01 -4.222317e-01 2.722151e+00,-2.212801e-01 -4.227450e-01 2.715167e+00,-2.204566e-01 -4.220713e-01 2.714219e+00,-2.195756e-01 -4.213419e-01 2.712462e+00,-2.185254e-01 -4.202513e-01 2.711609e+00,-2.182792e-01 -4.199744e-01 2.711600e+00,-2.177518e-01 -4.185736e-01 2.714175e+00,-2.174126e-01 -4.179922e-01 2.716676e+00,-2.174589e-01 -4.168549e-01 2.719086e+00,-2.179472e-01 -4.159791e-01 2.723264e+00,-2.179846e-01 -4.151473e-01 2.726103e+00,-2.173389e-01 -4.147601e-01 2.731199e+00,-2.166529e-01 -4.143014e-01 2.733193e+00,-2.160233e-01 -4.134661e-01 2.736958e+00,-2.155503e-01 -4.093892e-01 2.746448e+00,-2.164405e-01 -4.093862e-01 2.749171e+00,-2.170833e-01 -4.097330e-01 2.750161e+00,-2.189458e-01 -4.104908e-01 2.753540e+00,-2.229219e-01 -4.111124e-01 2.757245e+00,-2.244741e-01 -4.109993e-01 2.758255e+00,-2.262234e-01 -4.122019e-01 2.758273e+00,-2.267136e-01 -4.126536e-01 2.757876e+00,-2.273673e-01 -4.129592e-01 2.757612e+00,-2.279131e-01 -4.149994e-01 2.756960e+00,-2.279551e-01 -4.156018e-01 2.754009e+00,-2.276731e-01 -4.169447e-01 2.752569e+00,-2.271533e-01 -4.192482e-01 2.750274e+00,-2.264586e-01 -4.195174e-01 2.749024e+00,-2.244505e-01 -4.196568e-01 2.746990e+00,-2.226653e-01 -4.200019e-01 2.746804e+00,-2.206366e-01 -4.202428e-01 2.745575e+00,-2.167460e-01 -4.202914e-01 2.743685e+00,-2.159027e-01 -4.207459e-01 2.743391e+00,-2.136642e-01 -4.207352e-01 2.742932e+00,-2.125430e-01 -4.201262e-01 2.742680e+00,-2.102682e-01 -4.198452e-01 2.742683e+00,-2.091159e-01 -4.203127e-01 2.742927e+00,-2.075506e-01 -4.208507e-01 2.743001e+00,-2.072512e-01 -4.212635e-01 2.743077e+00,-2.065110e-01 -4.215368e-01 2.743216e+00
-2.210237e-01 -4.847278e-01 2.718891e+00,-2.195762e-01 -4.872878e-01 2.717199e+00,-2.204994e-01 -4.864198e-01 2.718218e+00,-2.201356e-01 -4.881203e-01 2.714550e+00,-2.199898e-01 -4.873597e-01 2.710916e+00,-2.189325e-01 -4.879868e-01 2.707671e+00,-2.186711e-01 -4.888903e-01 2.704431e+00,-2.166492e-01 -4.895875e-01 2.703906e+00,-2.146516e-01 -4.887770e-01 2.697189e+00,-2.134123e-01 -4.865647e-01 2.692339e+00,-2.090934e-01 -4.871534e-01 2.689116e+00,-2.092450e-01 -4.844704e-01 2.685789e+00,-2.065643e-01 -4.835838e-01 2.685836e+00,-2.080264e-01 -4.847608e-01 2.688959e+00,-2.082186e-01 -4.853399e-01 2.692019e+00,-2.090474e-01 -4.819532e-01 2.700124e+00,-2.087979e-01 -4.819231e-01 2.704316e+00,-2.082737e-01 -4.810831e-01 2.703559e+00,-2.088750e-01 -4.805709e-01 2.704425e+00,-2.090113e-01 -4.813381e-01 2.705707e+00,-2.090565e-01 -4.833379e-01 2.705600e+00,-2.082808e-01 -4.832677e-01 2.706593e+00,-2.090120e-01 -4.824308e-01 2.711763e+00,-2.121302e-01 -4.828709e-01 2.715794e+00,-2.186729e-01 -4.791553e-01 2.718861e+00,-2.183565e-01 -4.838702e-01 2.717067e+00,-2.203546e-01 -4.848552e-01 2.723524e+00,-2.217150e-01 -4.838373e-01 2.721047e+00,-2.226955e-01 -4.813334e-01 2.724395e+00,-2.246816e-01 -4.841696e-01 2.726749e+00,-2.258410e-01 -4.830449e-01 2.728415e+00,-2.251870e-01 -4.832574e-01 2.725234e+00,-2.259420e-01 -4.836743e-01 2.725343e+00,-2.233983e-01 -4.832952e-01 2.723654e+00,-2.208047e-01 -4.850872e-01 2.722039e+00,-2.171766e-01 -4.861616e-01 2.720413e+00,-2.136573e-01 -4.839947e-01 2.718118e+00,-2.107655e-01 -4.814668e-01 2.720840e+00,-2.085284e-01 -4.809487e-01 2.720639e+00,-2.052176e-01 -4.785393e-01 2.719520e+00,-2.041498e-01 -4.796095e-01 2.720119e+00,-2.031497e-01 -4.838326e-01 2.720790e+00,-2.006145e-01 -4.851938e-01 2.720496e+00,-1.964993e-01 -4.843877e-01 2.718316e+00,-1.941097e-01 -4.840680e-01 2.721120e+00,-1.935708e-01 -4.849577e-01 2.722217e+00,-1.924580e-01 -4.834557e-01 2.723613e+00,-1.935715e-01 -4.839835e-01 2.723456e+00,-1.893305e-01 -4.894329e-01 2.720198e+00
1.629319e-01 2.479466e-02 2.846514e+00,1.627234e-01 2.467663e-02 2.846083e+00,1.627164e-01 2.469815e-02 2.846004e+00,1.621677e-01 2.454129e-02 2.846193e+00,1.621075e-01 2.448357e-02 2.846283e+00,1.625031e-01 2.452675e-02 2.849310e+00,1.630520e-01 2.497886e-02 2.852450e+00,1.635059e-01 2.559010e-02 2.857070e+00,1.637693e-01 2.721468e-02 2.863827e+00,1.637716e-01 2.771681e-02 2.867498e+00,1.642766e-01 2.827745e-02 2.871443e+00,1.650263e-01 2.825872e-02 2.873476e+00,1.655622e-01 2.836140e-02 2.874281e+00,1.660498e-01 2.862046e-02 2.873803e+00,1.679964e-01 2.903670e-02 2.871880e+00,1.715419e-01 3.266872e-02 2.860607e+00,1.692371e-01 4.050694e-02 2.850120e+00,1.677957e-01 4.695541e-02 2.842050e+00,1.587188e-01 6.012251e-02 2.824632e+00,1.526109e-01 6.088137e-02 2.817991e+00,1.453445e-01 6.290326e-02 2.809550e+00,1.423180e-01 6.534778e-02 2.807007e+00,1.403544e-01 6.681993e-02 2.805629e+00,1.377784e-01 7.559814e-02 2.803868e+00,1.363644e-01 8.058580e-02 2.802154e+00,1.361752e-01 8.048517e-02 2.801919e+00,1.352462e-01 7.956592e-02 2.801664e+00,1.343664e-01 7.876080e-02 2.801736e+00,1.314798e-01 7.515661e-02 2.802752e+00,1.320739e-01 7.489134e-02 2.803407e+00,1.330528e-01 7.500259e-02 2.804116e+00,1.445026e-01 5.247892e-02 2.811949e+00,1.421034e-01 5.323452e-02 2.811722e+00,1.505490e-01 5.082537e-02 2.823213e+00,1.504032e-01 5.036293e-02 2.822949e+00,1.575328e-01 3.862017e-02 2.826110e+00,1.592426e-01 3.634886e-02 2.828304e+00,1.615140e-01 3.286775e-02 2.830630e+00,1.616502e-01 3.196621e-02 2.831167e+00,1.617700e-01 3.115130e-02 2.831324e+00,1.572442e-01 3.394046e-02 2.827094e+00,1.586686e-01 3.217682e-02 2.827817e+00,1.596606e-01 3.085521e-02 2.828189e+00,1.601325e-01 3.055115e-02 2.828436e+00,1.609604e-01 2.999596e-02 2.829066e+00,1.611016e-01 2.988298e-02 2.829152e+00,1.614604e-01 2.965071e-02 2.829322e+00,1.617929e-01 2.957365e-02 2.829415e+00,1.619490e-01 2.925864e-02 2.829146e+00
2.246259e-01 -2.236782e-01 2.830268e+00,2.245060e-01 -2.236924e-01 2.830230e+00,2.242583e-01 -2.240478e-01 2.830138e+00,2.251523e-01 -2.235557e-01 2.832165e+00,2.262985e-01 -2.212870e-01 2.836140e+00,2.336017e-01 -2.028787e-01 2.854317e+00,2.358997e-01 -1.944500e-01 2.864806e+00,2.389558e-01 -1.881395e-01 2.871644e+00,2.526743e-01 -1.791494e-01 2.872683e+00,2.642396e-01 -1.789550e-01 2.871185e+00,2.983762e-01 -1.544253e-01 2.861983e+00,3.063019e-01 -1.511207e-01 2.861859e+00,3.248807e-01 -1.270689e-01 2.854038e+00,3.525617e-01 -7.831632e-02 2.819275e+00,3.714653e-01 -2.938908e-02 2.802103e+00,3.729583e-01 1.873807e-02 2.760954e+00,3.643698e-01 4.154773e-02 2.735559e+00,3.456739e-01 7.457126e-02 2.701917e+00,3.096366e-01 1.384803e-01 2.671124e+00,2.894449e-01 1.462266e-01 2.654262e+00,2.634497e-01 1.582355e-01 2.636079e+00,2.325527e-01 1.890759e-01 2.626691e+00,2.240992e-01 2.006406e-01 2.622262e+00,2.027392e-01 2.420183e-01 2.608772e+00,1.916997e-01 2.424366e-01 2.603031e+00,1.875191e-01 2.385936e-01 2.595300e+00,1.858122e-01 2.258261e-01 2.580803e+00,1.942227e-01 1.781686e-01 2.600480e+00,1.972549e-01 1.721954e-01 2.600906e+00,2.239109e-01 1.327338e-01 2.597739e+00,2.496295e-01 8.446570e-02 2.603442e+00,2.738482e-01 1.966894e-02 2.622668e+00,2.816449e-01 -3.349882e-02 2.650945e+00,2.889201e-01 -9.055679e-02 2.686309e+00,2.908877e-01 -1.055929e-01 2.744308e+00,3.001065e-01 -1.409830e-01 2.818210e+00,2.496001e-01 -1.729142e-01 2.796312e+00,2.384759e-01 -1.878081e-01 2.808078e+00,2.326388e-01 -1.985910e-01 2.813048e+00,2.288658e-01 -2.040074e-01 2.814791e+00,2.219774e-01 -2.208254e-01 2.817670e+00,2.197277e-01 -2.255109e-01 2.818977e+00,2.156519e-01 -2.297485e-01 2.821551e+00,2.147556e-01 -2.302704e-01 2.822178e+00,2.131810e-01 -2.315806e-01 2.823428e+00,2.129260e-01 -2.316288e-01 2.823444e+00,2.123726e-01 -2.314591e-01 2.823475e+00,2.122452e-01 -2.315281e-01 2.823484e+00,2.118623e-01 -2.316652e-01 2.823317e+00
2.376604e-01 -4.307430e-01 2.754797e+00,2.367378e-01 -4.323745e-01 2.754364e+00,2.368377e-01 -4.318399e-01 2.754373e+00,2.470898e-01 -4.250877e-01 2.742958e+00,2.554716e-01 -4.151718e-01 2.731412e+00,2.854257e-01 -3.687809e-01 2.712805e+00,2.920395e-01 -3.423922e-01 2.704798e+00,3.179115e-01 -2.980584e-01 2.690663e+00,3.202223e-01 -1.946721e-01 2.652169e+00,3.581259e-01 -1.147538e-01 2.674737e+00,3.541927e-01 -1.042070e-02 2.697032e+00,3.399868e-01 2.544524e-02 2.726826e+00,3.309875e-01 6.627285e-02 2.730621e+00,3.135774e-01 1.416601e-01 2.761904e+00,2.856859e-01 2.079843e-01 2.780019e+00,2.789564e-01 2.127614e-01 2.784331e+00,2.686509e-01 2.271293e-01 2.787065e+00,2.539277e-01 2.476025e-01 2.785293e+00,2.001595e-01 3.107704e-01 2.766694e+00,2.111806e-01 3.394048e-01 2.704645e+00,2.123373e-01 3.696594e-01 2.617648e+00,1.940628e-01 4.379042e-01 2.578632e+00,1.917511e-01 4.719838e-01 2.529734e+00,1.863231e-01 4.443663e-01 2.454217e+00,1.727339e-01 3.871780e-01 2.430774e+00,1.705593e-01 3.818300e-01 2.414351e+00,1.731560e-01 3.633289e-01 2.401728e+00,1.805517e-01 3.220194e-01 2.425960e+00,1.812564e-01 3.110483e-01 2.423041e+00,1.888526e-01 2.627091e-01 2.415504e+00,1.940883e-01 2.105589e-01 2.423460e+00,1.968763e-01 1.224382e-01 2.435252e+00,2.164828e-01 2.649658e-02 2.509600e+00,2.100116e-01 -6.593300e-02 2.473645e+00,2.157569e-01 -1.582726e-01 2.535706e+00,2.390207e-01 -2.523270e-01 2.617893e+00,2.324528e-01 -3.221113e-01 2.627771e+00,2.179050e-01 -3.935091e-01 2.684113e+00,2.213108e-01 -4.049514e-01 2.700194e+00,2.224942e-01 -4.239222e-01 2.720141e+00,2.263625e-01 -4.353483e-01 2.738376e+00,2.260331e-01 -4.403431e-01 2.746094e+00,2.225972e-01 -4.459354e-01 2.755162e+00,2.216289e-01 -4.460552e-01 2.755628e+00,2.172416e-01 -4.484356e-01 2.757521e+00,2.157317e-01 -4.490194e-01 2.757318e+00,2.143193e-01 -4.498305e-01 2.756606e+00,2.140144e-01 -4.498987e-01 2.756589e+00,2.138660e-01 -4.500062e-01 2.756577e+00
