5.099307e-02 -5.628076e-01 2.698711e+00,5.089778e-02 -5.629345e-01 2.698746e+00,5.092640e-02 -5.630513e-01 2.698780e+00,5.044460e-02 -5.634108e-01 2.698821e+00,5.034529e-02 -5.636019e-01 2.698969e+00,4.996183e-02 -5.639678e-01 2.699403e+00,4.887850e-02 -5.639985e-01 2.700704e+00,4.732119e-02 -5.637591e-01 2.701637e+00,4.715573e-02 -5.630756e-01 2.702249e+00,4.624885e-02 -5.624157e-01 2.702638e+00,4.626902e-02 -5.598423e-01 2.703387e+00,4.644484e-02 -5.594603e-01 2.703486e+00,4.645728e-02 -5.591823e-01 2.703381e+00,4.665514e-02 -5.587733e-01 2.703375e+00,4.714109e-02 -5.592002e-01 2.703109e+00,4.686872e-02 -5.609936e-01 2.702498e+00,4.614112e-02 -5.613084e-01 2.701944e+00,4.632372e-02 -5.608097e-01 2.701758e+00,4.594437e-02 -5.599630e-01 2.701631e+00,4.571652e-02 -5.593181e-01 2.701515e+00,4.619288e-02 -5.584858e-01 2.701123e+00,4.633014e-02 -5.583715e-01 2.700973e+00,4.629242e-02 -5.584247e-01 2.700826e+00,4.649571e-02 -5.585346e-01 2.700425e+00,4.654520e-02 -5.586078e-01 2.700369e+00,4.692169e-02 -5.596802e-01 2.700055e+00,4.701741e-02 -5.592121e-01 2.699939e+00,4.651368e-02 -5.588906e-01 2.699810e+00,4.629591e-02 -5.583998e-01 2.699719e+00,4.606549e-02 -5.580845e-01 2.699898e+00,4.577553e-02 -5.568208e-01 2.700627e+00,4.532422e-02 -5.563153e-01 2.700614e+00,4.475667e-02 -5.564896e-01 2.700780e+00,4.468004e-02 -5.572296e-01 2.700755e+00,4.486409e-02 -5.575290e-01 2.700822e+00,4.549966e-02 -5.583095e-01 2.700877e+00,4.550813e-02 -5.587873e-01 2.701026e+00,4.574332e-02 -5.595977e-01 2.701179e+00,4.653362e-02 -5.622281e-01 2.702383e+00,4.638514e-02 -5.632825e-01 2.702646e+00,4.548532e-02 -5.644317e-01 2.703137e+00,4.550564e-02 -5.646576e-01 2.703537e+00,4.541218e-02 -5.650874e-01 2.704319e+00,4.544567e-02 -5.652741e-01 2.704722e+00,4.555148e-02 -5.654495e-01 2.704912e+00,4.557987e-02 -5.654553e-01 2.705197e+00,4.566566e-02 -5.655150e-01 2.705555e+00,4.561003e-02 -5.654455e-01 2.705876e+00,4.540889e-02 -5.654252e-01 2.706177e+00,4.524429e-02 -5.654349e-01 2.706533e+00
4.746733e-02 -2.629151e-01 2.725044e+00,4.739986e-02 -2.629812e-01 2.725213e+00,4.735823e-02 -2.630453e-01 2.725336e+00,4.706048e-02 -2.631997e-01 2.725342e+00,4.703663e-02 -2.632440e-01 2.725306e+00,4.685729e-02 -2.634225e-01 2.725301e+00,4.630264e-02 -2.634478e-01 2.725504e+00,4.559510e-02 -2.633506e-01 2.725767e+00,4.530208e-02 -2.632689e-01 2.726046e+00,4.475580e-02 -2.630982e-01 2.726284e+00,4.467356e-02 -2.621849e-01 2.727309e+00,4.489795e-02 -2.619969e-01 2.727653e+00,4.481666e-02 -2.618273e-01 2.727797e+00,4.505575e-02 -2.615490e-01 2.728147e+00,4.507329e-02 -2.615577e-01 2.728178e+00,4.460055e-02 -2.622890e-01 2.728060e+00,4.406637e-02 -2.625967e-01 2.727829e+00,4.405201e-02 -2.626157e-01 2.727803e+00,4.392181e-02 -2.624817e-01 2.727764e+00,4.377572e-02 -2.618520e-01 2.727767e+00,4.412809e-02 -2.615343e-01 2.727606e+00,4.417353e-02 -2.614640e-01 2.727590e+00,4.412983e-02 -2.614613e-01 2.727570e+00,4.417402e-02 -2.615541e-01 2.727415e+00,4.416059e-02 -2.616089e-01 2.727447e+00,4.421984e-02 -2.620188e-01 2.727356e+00,4.419098e-02 -2.616324e-01 2.727341e+00,4.413876e-02 -2.616590e-01 2.727295e+00,4.399181e-02 -2.614850e-01 2.727298e+00,4.391054e-02 -2.613922e-01 2.727434e+00,4.365465e-02 -2.610850e-01 2.727831e+00,4.349255e-02 -2.610131e-01 2.727840e+00,4.325876e-02 -2.610621e-01 2.727909e+00,4.325337e-02 -2.612914e-01 2.727752e+00,4.324670e-02 -2.614082e-01 2.727693e+00,4.332124e-02 -2.616400e-01 2.727312e+00,4.325483e-02 -2.617971e-01 2.727235e+00,4.325239e-02 -2.619573e-01 2.727159e+00,4.329507e-02 -2.630070e-01 2.727299e+00,4.317049e-02 -2.634293e-01 2.727267e+00,4.279573e-02 -2.640304e-01 2.727137e+00,4.284188e-02 -2.642314e-01 2.727161e+00,4.273205e-02 -2.644665e-01 2.727457e+00,4.269927e-02 -2.646889e-01 2.727578e+00,4.268252e-02 -2.648701e-01 2.727701e+00,4.262935e-02 -2.651355e-01 2.728201e+00,4.268580e-02 -2.654257e-01 2.728803e+00,4.267502e-02 -2.655442e-01 2.729099e+00,4.254671e-02 -2.655844e-01 2.729832e+00,4.242383e-02 -2.657186e-01 2.730191e+00
4.383367e-02 3.126851e-02 2.738353e+00,4.383858e-02 3.126729e-02 2.738704e+00,4.366772e-02 3.124957e-02 2.738961e+00,4.346048e-02 3.120172e-02 2.738877e+00,4.346723e-02 3.120588e-02 2.738434e+00,4.329800e-02 3.101877e-02 2.738013e+00,4.279729e-02 3.106444e-02 2.737506e+00,4.264091e-02 3.109555e-02 2.737424e+00,4.227573e-02 3.085239e-02 2.737381e+00,4.208298e-02 3.076306e-02 2.737427e+00,4.215759e-02 3.065013e-02 2.738608e+00,4.261746e-02 3.049692e-02 2.739298e+00,4.242015e-02 3.054389e-02 2.739765e+00,4.295369e-02 3.058192e-02 2.740541e+00,4.272018e-02 3.079096e-02 2.740861e+00,4.214408e-02 3.051584e-02 2.740811e+00,4.172673e-02 3.020133e-02 2.740732e+00,4.153832e-02 2.981642e-02 2.740821e+00,4.147134e-02 2.972350e-02 2.740783e+00,4.143988e-02 3.025700e-02 2.740818e+00,4.182140e-02 3.026763e-02 2.740726e+00,4.183155e-02 3.030324e-02 2.740768e+00,4.172681e-02 3.032260e-02 2.740828e+00,4.164596e-02 2.995936e-02 2.740747e+00,4.150329e-02 2.981240e-02 2.741005e+00,4.141821e-02 2.984052e-02 2.741173e+00,4.127317e-02 3.019436e-02 2.741244e+00,4.144432e-02 2.977582e-02 2.741128e+00,4.134103e-02 2.979025e-02 2.741185e+00,4.134132e-02 2.975983e-02 2.741339e+00,4.103861e-02 2.959208e-02 2.741700e+00,4.096614e-02 2.943758e-02 2.741717e+00,4.093999e-02 2.941798e-02 2.741724e+00,4.105069e-02 2.929025e-02 2.741365e+00,4.090454e-02 2.917197e-02 2.741102e+00,4.060043e-02 2.930344e-02 2.739726e+00,4.044834e-02 2.926612e-02 2.739434e+00,4.033920e-02 2.933322e-02 2.739188e+00,4.010565e-02 2.906069e-02 2.738883e+00,3.998216e-02 2.902009e-02 2.738698e+00,3.979632e-02 2.882416e-02 2.738079e+00,3.992696e-02 2.861614e-02 2.737714e+00,3.987003e-02 2.860367e-02 2.737726e+00,3.969839e-02 2.852256e-02 2.737439e+00,3.961200e-02 2.844509e-02 2.737470e+00,3.947213e-02 2.809722e-02 2.738070e+00,3.948075e-02 2.769907e-02 2.738842e+00,3.952118e-02 2.748392e-02 2.739099e+00,3.958536e-02 2.757465e-02 2.740386e+00,3.950891e-02 2.740940e-02 2.740681e+00
5.101259e-02 1.641044e-01 2.724832e+00,5.110656e-02 1.641245e-01 2.725577e+00,5.110879e-02 1.641946e-01 2.725932e+00,5.127216e-02 1.642616e-01 2.726112e+00,5.120364e-02 1.642904e-01 2.726190e+00,5.118197e-02 1.643033e-01 2.726205e+00,5.130906e-02 1.643630e-01 2.726517e+00,5.133506e-02 1.643637e-01 2.726622e+00,5.130238e-02 1.643921e-01 2.726783e+00,5.090402e-02 1.644342e-01 2.727075e+00,5.073908e-02 1.645855e-01 2.727520e+00,5.066601e-02 1.645827e-01 2.728057e+00,5.053537e-02 1.647028e-01 2.728165e+00,4.890631e-02 1.646399e-01 2.730077e+00,4.865155e-02 1.644017e-01 2.730760e+00,4.793292e-02 1.641778e-01 2.731651e+00,4.789167e-02 1.640097e-01 2.731999e+00,4.775563e-02 1.640715e-01 2.732239e+00,4.739275e-02 1.641188e-01 2.732361e+00,4.706261e-02 1.642849e-01 2.732483e+00,4.623917e-02 1.641756e-01 2.732679e+00,4.614861e-02 1.642197e-01 2.732724e+00,4.551639e-02 1.642006e-01 2.732829e+00,4.484643e-02 1.643395e-01 2.732655e+00,4.470911e-02 1.644012e-01 2.732602e+00,4.438401e-02 1.644891e-01 2.732573e+00,4.429824e-02 1.644590e-01 2.732536e+00,4.400093e-02 1.643247e-01 2.732470e+00,4.399456e-02 1.644790e-01 2.732320e+00,4.398482e-02 1.645907e-01 2.732161e+00,4.401891e-02 1.645241e-01 2.732238e+00,4.410271e-02 1.644692e-01 2.732215e+00,4.412974e-02 1.644702e-01 2.732165e+00,4.403494e-02 1.643859e-01 2.732042e+00,4.418984e-02 1.644983e-01 2.731646e+00,4.426350e-02 1.644728e-01 2.730795e+00,4.423847e-02 1.645594e-01 2.730469e+00,4.396339e-02 1.647095e-01 2.729785e+00,4.383044e-02 1.643931e-01 2.729675e+00,4.377965e-02 1.643736e-01 2.729506e+00,4.358133e-02 1.642488e-01 2.728970e+00,4.353505e-02 1.642309e-01 2.728453e+00,4.351766e-02 1.641909e-01 2.728312e+00,4.336241e-02 1.640305e-01 2.727090e+00,4.329341e-02 1.639640e-01 2.727033e+00,4.328926e-02 1.638585e-01 2.726921e+00,4.337228e-02 1.637372e-01 2.727033e+00,4.335992e-02 1.636098e-01 2.727330e+00,4.343994e-02 1.637103e-01 2.727669e+00,4.373873e-02 1.634616e-01 2.728101e+00
-1.146824e-01 -1.027578e-01 2.710409e+00,-1.147015e-01 -1.029508e-01 2.710905e+00,-1.146827e-01 -1.030442e-01 2.711001e+00,-1.148278e-01 -1.031578e-01 2.711547e+00,-1.148229e-01 -1.034451e-01 2.711831e+00,-1.146995e-01 -1.036679e-01 2.712071e+00,-1.147089e-01 -1.041825e-01 2.713647e+00,-1.146616e-01 -1.041436e-01 2.713838e+00,-1.141146e-01 -1.037080e-01 2.714425e+00,-1.138490e-01 -1.033723e-01 2.714163e+00,-1.104662e-01 -9.655316e-02 2.713516e+00,-1.100785e-01 -9.603284e-02 2.712897e+00,-1.092175e-01 -9.544767e-02 2.711647e+00,-1.078603e-01 -9.508144e-02 2.710878e+00,-1.075240e-01 -9.498440e-02 2.710597e+00,-1.083455e-01 -1.021249e-01 2.706744e+00,-1.057726e-01 -9.641098e-02 2.706122e+00,-8.853517e-02 -5.794268e-02 2.710006e+00,-8.591209e-02 -5.260656e-02 2.706751e+00,-8.821926e-02 -5.851277e-02 2.705433e+00,-9.090242e-02 -7.255588e-02 2.706953e+00,-9.086380e-02 -7.019030e-02 2.706528e+00,-9.138024e-02 -7.024742e-02 2.706257e+00,-9.365114e-02 -7.327955e-02 2.704565e+00,-9.364766e-02 -7.371255e-02 2.703964e+00,-9.562430e-02 -7.952904e-02 2.702076e+00,-9.564202e-02 -7.894912e-02 2.702626e+00,-9.566166e-02 -7.896250e-02 2.702789e+00,-9.580299e-02 -7.922687e-02 2.703248e+00,-9.626590e-02 -7.914235e-02 2.703899e+00,-9.934916e-02 -7.927463e-02 2.707964e+00,-9.982301e-02 -7.951882e-02 2.708347e+00,-1.044625e-01 -8.488818e-02 2.714459e+00,-1.047489e-01 -8.536687e-02 2.714141e+00,-1.108170e-01 -9.273328e-02 2.717910e+00,-1.128581e-01 -9.500115e-02 2.718130e+00,-1.144635e-01 -9.733459e-02 2.719203e+00,-1.157689e-01 -1.007719e-01 2.719571e+00,-1.176438e-01 -1.053968e-01 2.720721e+00,-1.182645e-01 -1.075790e-01 2.720271e+00,-1.182762e-01 -1.077313e-01 2.720114e+00,-1.181999e-01 -1.075265e-01 2.720294e+00,-1.181543e-01 -1.075275e-01 2.720402e+00,-1.180808e-01 -1.075028e-01 2.720662e+00,-1.180706e-01 -1.077310e-01 2.720797e+00,-1.180007e-01 -1.076750e-01 2.721127e+00,-1.178540e-01 -1.074426e-01 2.721234e+00,-1.171286e-01 -1.063914e-01 2.721771e+00,-1.169278e-01 -1.050679e-01 2.722355e+00,-1.169201e-01 -1.050336e-01 2.722451e+00
-1.283438e-01 -3.494855e-01 2.680955e+00,-1.284116e-01 -3.485725e-01 2.682038e+00,-1.285032e-01 -3.495431e-01 2.682846e+00,-1.282240e-01 -3.470226e-01 2.688907e+00,-1.271017e-01 -3.453441e-01 2.694249e+00,-1.263026e-01 -3.433155e-01 2.697853e+00,-1.267865e-01 -3.289342e-01 2.698552e+00,-1.258043e-01 -3.190814e-01 2.686116e+00,-4.291971e-02 -2.960253e-01 2.652112e+00,-9.599632e-02 -2.857975e-01 2.595489e+00,-1.024661e-01 -2.861132e-01 2.568089e+00,-1.068790e-01 -2.761150e-01 2.588778e+00,-1.051336e-01 -2.778863e-01 2.591548e+00,-9.424021e-02 -2.822667e-01 2.600355e+00,-9.394809e-02 -2.833242e-01 2.602382e+00,-9.128922e-02 -2.867448e-01 2.591897e+00,-9.498050e-02 -2.826282e-01 2.593383e+00,-1.014755e-01 -2.589923e-01 2.596794e+00,-1.015547e-01 -2.593471e-01 2.597034e+00,-9.962249e-02 -2.635312e-01 2.606378e+00,-8.687950e-02 -2.663058e-01 2.603256e+00,-9.238299e-02 -2.751030e-01 2.611223e+00,-9.246007e-02 -2.677923e-01 2.604139e+00,-9.424210e-02 -2.666506e-01 2.602751e+00,-9.488095e-02 -2.663471e-01 2.601983e+00,-9.445583e-02 -2.704902e-01 2.598235e+00,-9.006239e-02 -2.690584e-01 2.597092e+00,-8.786795e-02 -2.703268e-01 2.600120e+00,-9.234544e-02 -2.743408e-01 2.609107e+00,-1.059485e-01 -2.908405e-01 2.616852e+00,-1.111994e-01 -2.722282e-01 2.573568e+00,-1.138220e-01 -2.773171e-01 2.571674e+00,-1.205902e-01 -2.739993e-01 2.608330e+00,-1.577166e-01 -2.904572e-01 2.708230e+00,-1.502346e-01 -3.016948e-01 2.715274e+00,-1.519846e-01 -3.087324e-01 2.716774e+00,-1.536644e-01 -3.184767e-01 2.720185e+00,-1.535130e-01 -3.216899e-01 2.721243e+00,-1.488913e-01 -3.386279e-01 2.723665e+00,-1.450909e-01 -3.456940e-01 2.723116e+00,-1.417889e-01 -3.485860e-01 2.721271e+00,-1.400030e-01 -3.486067e-01 2.721465e+00,-1.389015e-01 -3.498128e-01 2.722377e+00,-1.384525e-01 -3.503832e-01 2.722553e+00,-1.383616e-01 -3.539708e-01 2.721412e+00,-1.363891e-01 -3.518038e-01 2.718925e+00,-1.348653e-01 -3.510559e-01 2.717055e+00,-1.328060e-01 -3.486762e-01 2.714705e+00,-1.312425e-01 -3.469556e-01 2.713136e+00,-1.309841e-01 -3.469590e-01 2.712673e+00
-1.318980e-01 -5.503151e-01 2.600918e+00,-1.320910e-01 -5.502584e-01 2.601002e+00,-1.321541e-01 -5.513747e-01 2.600682e+00,-1.334365e-01 -5.446219e-01 2.594450e+00,-1.399195e-01 -5.190689e-01 2.569152e+00,-1.388298e-01 -5.129040e-01 2.566643e+00,-1.606852e-01 -4.370276e-01 2.512855e+00,-1.618219e-01 -3.954335e-01 2.484788e+00,-1.423265e-01 -3.033145e-01 2.457802e+00,-1.138054e-01 -2.772603e-01 2.518843e+00,-9.534615e-02 -2.447925e-01 2.514241e+00,-8.599047e-02 -2.234496e-01 2.518905e+00,7.430760e-02 -1.668532e-01 2.466569e+00,4.468138e-02 -1.638506e-01 2.483042e+00,6.776918e-02 -1.156389e-01 2.497849e+00,-6.029802e-02 -1.066330e-01 2.476551e+00,-8.340208e-02 -1.843618e-01 2.525356e+00,-9.921452e-02 -1.668099e-01 2.521503e+00,-9.466826e-02 -1.603877e-01 2.520399e+00,4.306605e-02 -1.470577e-01 2.493903e+00,6.337341e-02 -1.555373e-01 2.495444e+00,6.013776e-02 -1.632511e-01 2.500572e+00,8.749952e-02 -1.643649e-01 2.508792e+00,1.041566e-01 -1.629785e-01 2.512400e+00,1.049382e-01 -1.626108e-01 2.513145e+00,1.016440e-01 -1.617479e-01 2.511867e+00,7.210701e-02 -1.615792e-01 2.499084e+00,1.817618e-01 -2.048107e-01 2.528039e+00,9.493189e-02 -2.094539e-01 2.509504e+00,9.997490e-02 -2.138024e-01 2.502697e+00,3.423155e-02 -1.681816e-01 2.451986e+00,-1.126134e-01 -2.642233e-01 2.528995e+00,-1.220551e-01 -2.715927e-01 2.538453e+00,-1.675113e-01 -3.350725e-01 2.494046e+00,-1.814289e-01 -3.719564e-01 2.510767e+00,-2.009977e-01 -4.678822e-01 2.580658e+00,-2.018673e-01 -4.799369e-01 2.586798e+00,-1.969954e-01 -5.008088e-01 2.613368e+00,-1.844060e-01 -5.307801e-01 2.641051e+00,-1.702446e-01 -5.435723e-01 2.652924e+00,-1.633147e-01 -5.532697e-01 2.659419e+00,-1.624481e-01 -5.533087e-01 2.659687e+00,-1.613843e-01 -5.532351e-01 2.660095e+00,-1.590246e-01 -5.529856e-01 2.658443e+00,-1.574855e-01 -5.534384e-01 2.654503e+00,-1.544182e-01 -5.507674e-01 2.647421e+00,-1.527250e-01 -5.515757e-01 2.645126e+00,-1.520994e-01 -5.522333e-01 2.644109e+00,-1.514810e-01 -5.523486e-01 2.643790e+00,-1.514823e-01 -5.523175e-01 2.643875e+00
-1.200365e-01 -5.886018e-01 2.599361e+00,-1.223224e-01 -5.899478e-01 2.597019e+00,-1.270276e-01 -6.018131e-01 2.597811e+00,-1.319099e-01 -5.739697e-01 2.580984e+00,-1.250993e-01 -5.406414e-01 2.580451e+00,-1.490917e-01 -5.052809e-01 2.528861e+00,-1.823671e-01 -4.558021e-01 2.473414e+00,-1.879452e-01 -4.097351e-01 2.451154e+00,-1.489709e-01 -3.071540e-01 2.447308e+00,-1.360698e-01 -2.628593e-01 2.441966e+00,-8.538076e-02 -1.967660e-01 2.465112e+00,-5.749028e-02 -1.744554e-01 2.465938e+00,7.882025e-02 -1.537503e-01 2.454118e+00,2.579712e-02 -1.330113e-01 2.470075e+00,5.196048e-02 -1.059393e-01 2.469633e+00,-7.173096e-02 -8.716337e-02 2.475582e+00,-8.621868e-02 -1.198791e-01 2.490961e+00,-9.972291e-02 -1.067717e-01 2.484741e+00,-7.669535e-02 -1.074244e-01 2.488714e+00,6.973407e-02 -1.378628e-01 2.499899e+00,6.385878e-02 -1.471561e-01 2.496734e+00,8.213550e-02 -1.509756e-01 2.502912e+00,9.882004e-02 -1.503570e-01 2.495626e+00,1.152183e-01 -1.291883e-01 2.497027e+00,1.153671e-01 -1.341713e-01 2.485797e+00,9.468754e-02 -1.576434e-01 2.508168e+00,6.248555e-02 -1.486743e-01 2.498712e+00,1.578790e-01 -1.765649e-01 2.610947e+00,8.362875e-02 -1.919784e-01 2.496064e+00,9.702273e-02 -1.853746e-01 2.503402e+00,1.085526e-01 -1.784988e-01 2.431747e+00,-1.141753e-01 -2.396677e-01 2.459040e+00,-1.324312e-01 -2.750733e-01 2.454799e+00,-1.778359e-01 -3.469190e-01 2.450791e+00,-1.926560e-01 -3.851696e-01 2.467953e+00,-2.040167e-01 -4.693314e-01 2.503995e+00,-2.053820e-01 -5.008771e-01 2.530389e+00,-2.025401e-01 -5.280339e-01 2.555504e+00,-1.853082e-01 -5.460092e-01 2.625604e+00,-1.710153e-01 -5.729593e-01 2.633986e+00,-1.550531e-01 -5.924748e-01 2.650178e+00,-1.486332e-01 -5.921470e-01 2.648514e+00,-1.461454e-01 -5.896890e-01 2.646230e+00,-1.469768e-01 -5.888680e-01 2.639277e+00,-1.461612e-01 -5.880202e-01 2.632590e+00,-1.399322e-01 -5.863957e-01 2.627763e+00,-1.351277e-01 -5.876598e-01 2.626436e+00,-1.333994e-01 -5.869579e-01 2.627798e+00,-1.351239e-01 -5.870923e-01 2.632492e+00,-1.358326e-01 -5.875615e-01 2.633341e+00
2.009929e-01 -1.050458e-01 2.690252e+00,2.008984e-01 -1.051558e-01 2.690592e+00,2.009643e-01 -1.051866e-01 2.690736e+00,2.011174e-01 -1.052919e-01 2.691000e+00,2.011459e-01 -1.054457e-01 2.691136e+00,2.010442e-01 -1.053671e-01 2.691469e+00,2.006352e-01 -1.045783e-01 2.691966e+00,2.004445e-01 -1.045135e-01 2.692042e+00,1.979782e-01 -1.027262e-01 2.692007e+00,1.973703e-01 -1.024447e-01 2.691671e+00,1.941712e-01 -1.006662e-01 2.689236e+00,1.922026e-01 -1.003212e-01 2.687435e+00,1.922836e-01 -1.007527e-01 2.686818e+00,1.877994e-01 -9.784578e-02 2.682689e+00,1.882721e-01 -9.853309e-02 2.682652e+00,1.879261e-01 -9.851193e-02 2.681506e+00,1.890281e-01 -9.909984e-02 2.680648e+00,1.923909e-01 -1.028980e-01 2.678546e+00,1.911185e-01 -1.023579e-01 2.675924e+00,1.912855e-01 -1.023937e-01 2.677650e+00,1.889847e-01 -1.005870e-01 2.678977e+00,1.892571e-01 -1.010132e-01 2.679508e+00,1.855938e-01 -1.013237e-01 2.678977e+00,1.878040e-01 -1.012132e-01 2.679820e+00,1.874168e-01 -1.011603e-01 2.679354e+00,1.853574e-01 -1.009184e-01 2.679089e+00,1.866594e-01 -1.013898e-01 2.679846e+00,1.862080e-01 -1.010904e-01 2.679809e+00,1.877196e-01 -1.011838e-01 2.681311e+00,1.872782e-01 -1.014567e-01 2.681530e+00,1.871837e-01 -1.009902e-01 2.683692e+00,1.870652e-01 -1.005986e-01 2.684401e+00,1.882637e-01 -1.014388e-01 2.685750e+00,1.893108e-01 -1.016051e-01 2.687118e+00,1.896266e-01 -1.014810e-01 2.687541e+00,1.910858e-01 -1.020713e-01 2.688425e+00,1.913732e-01 -1.021828e-01 2.688669e+00,1.916599e-01 -1.024105e-01 2.688902e+00,1.920885e-01 -1.032766e-01 2.689339e+00,1.921801e-01 -1.034369e-01 2.689462e+00,1.921556e-01 -1.035581e-01 2.689339e+00,1.921305e-01 -1.036620e-01 2.689335e+00,1.921235e-01 -1.037278e-01 2.689421e+00,1.921109e-01 -1.038391e-01 2.689694e+00,1.921656e-01 -1.037507e-01 2.689950e+00,1.920024e-01 -1.036481e-01 2.690383e+00,1.919283e-01 -1.036358e-01 2.690834e+00,1.917709e-01 -1.037058e-01 2.691230e+00,1.917603e-01 -1.039140e-01 2.692196e+00,1.917322e-01 -1.038691e-01 2.692671e+00
2.269743e-01 -3.492074e-01 2.684828e+00,2.268653e-01 -3.489430e-01 2.685351e+00,2.269355e-01 -3.489277e-01 2.685628e+00,2.272763e-01 -3.484464e-01 2.688536e+00,2.271329e-01 -3.473784e-01 2.690176e+00,2.267238e-01 -3.456839e-01 2.691580e+00,2.244573e-01 -3.393128e-01 2.688126e+00,2.220733e-01 -3.220343e-01 2.678951e+00,2.020123e-01 -3.223059e-01 2.644591e+00,1.536449e-01 -3.342580e-01 2.628540e+00,2.080617e-01 -2.836803e-01 2.571229e+00,2.020163e-01 -2.884990e-01 2.578688e+00,1.953777e-01 -2.907183e-01 2.581221e+00,1.884279e-01 -2.921770e-01 2.586853e+00,1.856709e-01 -2.929160e-01 2.586948e+00,1.781632e-01 -2.894970e-01 2.578386e+00,1.804374e-01 -2.887432e-01 2.574550e+00,1.811269e-01 -2.917719e-01 2.571149e+00,1.799793e-01 -2.923353e-01 2.570813e+00,1.827222e-01 -2.960733e-01 2.580624e+00,1.790411e-01 -2.975823e-01 2.590530e+00,1.911173e-01 -3.008267e-01 2.598769e+00,1.926261e-01 -3.005348e-01 2.596832e+00,1.861829e-01 -2.958583e-01 2.584781e+00,1.819138e-01 -2.938035e-01 2.579661e+00,1.795537e-01 -2.954422e-01 2.583881e+00,1.814675e-01 -2.971331e-01 2.587682e+00,1.813430e-01 -2.974817e-01 2.589315e+00,1.680826e-01 -2.956911e-01 2.588122e+00,1.720958e-01 -2.962484e-01 2.588125e+00,1.927142e-01 -2.954439e-01 2.588462e+00,2.377846e-01 -2.971993e-01 2.615734e+00,2.382091e-01 -2.979805e-01 2.616132e+00,2.374822e-01 -3.047595e-01 2.653449e+00,2.359764e-01 -3.056675e-01 2.667622e+00,2.474351e-01 -3.136504e-01 2.677798e+00,2.495168e-01 -3.191983e-01 2.682072e+00,2.485500e-01 -3.232332e-01 2.685654e+00,2.384889e-01 -3.415033e-01 2.693578e+00,2.329686e-01 -3.525061e-01 2.693242e+00,2.286273e-01 -3.578255e-01 2.694116e+00,2.268097e-01 -3.580865e-01 2.696786e+00,2.263690e-01 -3.582587e-01 2.697588e+00,2.260560e-01 -3.585616e-01 2.697953e+00,2.257474e-01 -3.590037e-01 2.698037e+00,2.244331e-01 -3.591558e-01 2.698100e+00,2.233823e-01 -3.579635e-01 2.698222e+00,2.229646e-01 -3.585407e-01 2.698286e+00,2.220903e-01 -3.595393e-01 2.698390e+00,2.219538e-01 -3.594240e-01 2.698551e+00
2.302292e-01 -5.459885e-01 2.606094e+00,2.296696e-01 -5.456642e-01 2.606432e+00,2.294546e-01 -5.455371e-01 2.606380e+00,2.275712e-01 -5.432035e-01 2.596011e+00,2.229979e-01 -5.290364e-01 2.577443e+00,2.232977e-01 -5.283977e-01 2.580729e+00,2.248916e-01 -4.544503e-01 2.503644e+00,2.118440e-01 -4.331804e-01 2.492096e+00,2.041930e-01 -3.195608e-01 2.519729e+00,1.678394e-01 -2.861479e-01 2.516099e+00,1.700656e-01 -2.368754e-01 2.507760e+00,1.482647e-01 -2.189826e-01 2.503907e+00,-2.091711e-02 -1.656118e-01 2.482205e+00,1.212407e-02 -1.383722e-01 2.474008e+00,5.041223e-03 -1.400333e-01 2.478153e+00,-1.128529e-02 -2.031864e-01 2.496731e+00,1.389849e-01 -5.948134e-02 2.503699e+00,1.618169e-01 -1.654821e-01 2.504403e+00,1.525784e-01 -1.628511e-01 2.504681e+00,5.233912e-02 -1.088678e-01 2.484183e+00,3.754314e-02 -1.493587e-01 2.491179e+00,-2.987828e-02 -1.679344e-01 2.511501e+00,4.726841e-04 -2.158477e-01 2.501383e+00,-4.358453e-02 -1.700101e-01 2.533766e+00,1.178631e-01 -1.062185e-01 2.482210e+00,1.121258e-01 -5.776318e-02 2.511264e+00,1.153089e-01 -5.645098e-02 2.516036e+00,7.616498e-03 -1.675783e-01 2.490017e+00,-3.597611e-03 -1.602207e-01 2.503512e+00,-1.162953e-02 -2.154205e-01 2.480106e+00,-2.155985e-03 -2.010181e-01 2.490153e+00,1.417808e-01 -2.430720e-01 2.425519e+00,1.550404e-01 -2.698370e-01 2.415416e+00,2.015605e-01 -3.546522e-01 2.443321e+00,2.173136e-01 -3.784925e-01 2.462354e+00,2.356142e-01 -4.524607e-01 2.511854e+00,2.439378e-01 -4.878764e-01 2.548879e+00,2.468386e-01 -5.007432e-01 2.565625e+00,2.475047e-01 -5.348700e-01 2.606055e+00,2.485492e-01 -5.492264e-01 2.616332e+00,2.482031e-01 -5.574328e-01 2.628103e+00,2.463845e-01 -5.580391e-01 2.632065e+00,2.453810e-01 -5.589390e-01 2.635480e+00,2.455810e-01 -5.594285e-01 2.636811e+00,2.451779e-01 -5.599404e-01 2.637149e+00,2.407479e-01 -5.602877e-01 2.636826e+00,2.409453e-01 -5.591277e-01 2.637508e+00,2.409273e-01 -5.597327e-01 2.637850e+00,2.400619e-01 -5.608531e-01 2.638482e+00,2.404124e-01 -5.607957e-01 2.639080e+00
